CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000149,Euclidean_dist_9046_43417,N/A,518.394193172,N/A,518.80748415,548.22091198,548.254410982
unit.000150,Euclidean_dist_9046_45226,N/A,773.910118103,N/A,774.326981068,803.539812088,803.591421127
unit.000151,Euclidean_dist_9046_47035,N/A,773.38756609,N/A,773.780586004,801.288800001,801.329092979
unit.000152,Euclidean_dist_9046_48844,N/A,240.004101992,N/A,240.408216,268.926804066,269.005127192
unit.000153,Euclidean_dist_10855_10855,N/A,240.196916103,N/A,240.61985302,256.21784997,256.255866051
unit.000154,Euclidean_dist_10855_12664,N/A,244.336699009,N/A,244.745805979,273.395313978,273.436410189
unit.000155,Euclidean_dist_10855_14473,N/A,242.469483137,N/A,242.933166027,273.429968119,273.465303183
unit.000156,Euclidean_dist_10855_16282,N/A,247.40348506,N/A,247.812240124,279.071285009,279.204159021
unit.000157,Euclidean_dist_10855_18091,N/A,244.077502966,N/A,244.487023115,272.32359004,272.355712175
unit.000158,Euclidean_dist_10855_19900,N/A,716.231139183,N/A,716.645795107,745.968528986,746.001284122
unit.000159,Euclidean_dist_10855_21709,N/A,715.979652166,N/A,716.394273043,744.883265972,744.933175087
unit.000160,Euclidean_dist_10855_23518,N/A,710.751216173,N/A,711.194207191,739.411224127,739.462336063
unit.000161,Euclidean_dist_10855_25327,N/A,711.75793004,N/A,712.172970057,740.49565506,740.585541964
unit.000162,Euclidean_dist_10855_27136,N/A,809.046401024,N/A,809.457704067,837.931441069,837.971214056
unit.000163,Euclidean_dist_10855_28945,N/A,809.291470051,N/A,809.706851006,838.005038023,838.056043148
unit.000164,Euclidean_dist_10855_30754,N/A,800.835741997,N/A,801.251970053,829.336685181,829.379974127
unit.000165,Euclidean_dist_10855_32563,N/A,802.151743174,N/A,802.574041128,832.457319021,832.497801065
unit.000166,Euclidean_dist_10855_34372,N/A,804.74975419,N/A,805.152238131,833.525043011,833.551316977
unit.000167,Euclidean_dist_10855_36181,N/A,807.442970991,N/A,807.842620134,836.868607998,836.932841063
unit.000168,Euclidean_dist_10855_37990,N/A,163.731578112,N/A,164.140017986,192.428915024,192.450585127
unit.000169,Euclidean_dist_10855_39799,N/A,135.742557049,N/A,136.150120974,164.380491972,164.396300077
unit.000170,Euclidean_dist_10855_41608,N/A,600.441328049,N/A,600.855499029,629.749977112,629.808878183
unit.000171,Euclidean_dist_10855_43417,N/A,597.177734137,N/A,597.642217159,626.661149979,626.68871212
unit.000172,Euclidean_dist_10855_45226,N/A,593.313037157,N/A,593.725649118,622.880738974,622.940263033
unit.000173,Euclidean_dist_10855_47035,N/A,590.045341015,N/A,590.554455042,617.436985016,617.506181002
unit.000174,Euclidean_dist_10855_48844,N/A,590.29755497,N/A,590.727705002,619.724651098,619.791651964
unit.000175,Euclidean_dist_12664_12664,N/A,586.201289177,N/A,586.614387035,602.512073994,602.560789108
unit.000176,Euclidean_dist_12664_14473,N/A,583.212400198,N/A,583.678137064,612.95976615,612.982283115
unit.000177,Euclidean_dist_12664_16282,N/A,582.665517092,N/A,583.071357965,612.918886185,612.948083162
unit.000178,Euclidean_dist_12664_18091,N/A,133.842571974,N/A,134.257577181,163.357748985,163.379393101
unit.000179,Euclidean_dist_12664_19900,N/A,131.041028023,N/A,131.448333025,161.264595985,161.29057312
unit.000180,Euclidean_dist_12664_21709,N/A,623.486755133,N/A,623.896250963,653.112409115,653.141703129
unit.000181,Euclidean_dist_12664_23518,N/A,626.020619154,N/A,626.431490183,656.213605165,656.248207092
unit.000182,Euclidean_dist_12664_25327,N/A,618.529260159,N/A,618.946035147,649.265921116,649.288489103
unit.000183,Euclidean_dist_12664_27136,N/A,623.140107155,N/A,623.553464174,652.04364419,652.079853058
unit.000184,Euclidean_dist_12664_28945,N/A,633.372745037,N/A,633.786201,662.447934151,662.493499041
unit.000185,Euclidean_dist_12664_30754,N/A,634.846852064,N/A,635.260481119,662.512804031,662.550129175
unit.000186,Euclidean_dist_12664_32563,N/A,628.865056992,N/A,629.280019999,658.292618036,658.333873987
unit.000187,Euclidean_dist_12664_34372,N/A,631.39249897,N/A,631.805287123,659.364399195,659.388415098
unit.000188,Euclidean_dist_12664_36181,N/A,615.764757156,N/A,616.180369139,645.641209126,645.796852112
unit.000189,Euclidean_dist_12664_37990,N/A,617.674615145,N/A,618.088167191,645.859815121,645.898495197
unit.000190,Euclidean_dist_12664_39799,N/A,343.003268003,N/A,343.413160086,372.127462149,372.156890154
unit.000191,Euclidean_dist_12664_41608,N/A,341.242894173,N/A,341.653241158,371.058640003,371.104046106
unit.000192,Euclidean_dist_12664_43417,N/A,542.56063509,N/A,542.972967148,571.074854136,571.120887041
unit.000193,Euclidean_dist_12664_45226,N/A,539.681905985,N/A,540.09376502,569.022132158,569.05173707
unit.000194,Euclidean_dist_12664_47035,N/A,328.790798187,N/A,329.162973166,358.255565166,358.279808998
unit.000195,Euclidean_dist_12664_48844,N/A,326.997260094,N/A,327.407116175,355.861989975,355.962437153
unit.000196,Euclidean_dist_14473_14473,N/A,340.388900995,N/A,340.800168037,357.124449968,357.185266018
unit.000197,Euclidean_dist_14473_16282,N/A,329.005133152,N/A,329.415322065,358.281301975,358.345585108
unit.000198,Euclidean_dist_14473_18091,N/A,545.786453962,N/A,546.19899106,575.268112183,575.28776598
unit.000199,Euclidean_dist_14473_19900,N/A,544.474951982,N/A,544.888072968,573.160529137,573.226794004
unit.000200,Euclidean_dist_14473_21709,N/A,114.021538019,N/A,114.430716991,142.635153055,142.679509163
unit.000201,Euclidean_dist_14473_23518,N/A,112.114225149,N/A,112.521196127,141.533869028,141.565546989
unit.000202,Euclidean_dist_14473_25327,N/A,117.072360039,N/A,117.479664087,145.802651167,145.824203014
unit.000203,Euclidean_dist_14473_27136,N/A,115.17575717,N/A,115.641971111,144.747475147,144.773821115
unit.000204,Euclidean_dist_14473_28945,N/A,126.034950018,N/A,126.442183971,155.018511057,155.040541172
unit.000205,Euclidean_dist_14473_30754,N/A,117.828776121,N/A,118.237071991,147.900813103,147.92525816
unit.000206,Euclidean_dist_14473_32563,N/A,129.141102076,N/A,129.548624992,158.162396193,158.190389156
unit.000207,Euclidean_dist_14473_34372,N/A,127.835710049,N/A,128.242982149,156.075412989,156.090753078
unit.000208,Euclidean_dist_14473_36181,N/A,109.317351103,N/A,109.724779129,138.331799984,138.358790159
unit.000209,Euclidean_dist_14473_37990,N/A,108.325750113,N/A,108.726158142,137.287554979,137.306460142
unit.000210,Euclidean_dist_14473_39799,N/A,360.820513964,N/A,361.303053141,390.596018076,390.615420103
unit.000211,Euclidean_dist_14473_41608,N/A,361.09614706,N/A,361.48629117,390.62612009,390.662337065
unit.000212,Euclidean_dist_14473_43417,N/A,359.667992115,N/A,360.078577042,388.448713064,388.478319168
unit.000213,Euclidean_dist_14473_45226,N/A,361.775973082,N/A,362.186370134,390.674657106,390.715698004
unit.000214,Euclidean_dist_14473_47035,N/A,355.744870186,N/A,356.15515399,384.884373188,384.960680008
unit.000215,Euclidean_dist_14473_48844,N/A,359.066605091,N/A,359.584604025,388.490543127,388.533879995
unit.000216,Euclidean_dist_16282_16282,N/A,354.741929054,N/A,355.153413057,371.062811136,371.101897001
unit.000217,Euclidean_dist_16282_18091,N/A,355.556648016,N/A,355.94927001,384.828518152,384.95935297
unit.000218,Euclidean_dist_16282_19900,N/A,343.555643082,N/A,343.966073036,373.157006979,373.185841084
unit.000219,Euclidean_dist_16282_21709,N/A,346.838953972,N/A,347.249439001,376.275701046,376.598827124
unit.000220,Euclidean_dist_16282_23518,N/A,441.871437073,N/A,442.297079086,471.402204037,471.434871197
unit.000221,Euclidean_dist_16282_25327,N/A,436.788170099,N/A,437.198827982,466.732657194,466.863476992
unit.000222,Euclidean_dist_16282_27136,N/A,437.041213036,N/A,437.452744007,466.80232811,466.830770969
