['blobDetector_multi-c969e0e8-ac86-4af1-aa98-2bba80128542', 'processing', 'memory', 'tcp://10.21.254.65:35639', 47457981695744, [['compute', 1533201371.585665, 1533201547.9722261]]]
['blobDetector_multi-d3486005-d277-4705-a202-1c8d35e4405c', 'processing', 'memory', 'tcp://10.21.254.26:42124', 47400538633984, [['compute', 1533201371.5871804, 1533201548.0010805]]]
['blobDetector_multi-f6d28974-6f7b-47bc-b4d0-842abc2336f2', 'processing', 'memory', 'tcp://10.21.254.65:39394', 47457832212224, [['compute', 1533201371.589287, 1533201548.0473921]]]
['blobDetector_multi-2fff23d7-d554-4147-9692-1e3b50bf7097', 'processing', 'memory', 'tcp://10.21.254.29:37867', 47119956211456, [['compute', 1533201371.5765212, 1533201548.155297]]]
['blobDetector_multi-320d1762-7ba4-461b-b0b9-cd81e676d297', 'processing', 'memory', 'tcp://10.21.254.29:44772', 47120157538048, [['compute', 1533201371.57728, 1533201548.5613441]]]
['blobDetector_multi-b50fe2bd-b90c-4ba8-85f3-baddf62fb733', 'processing', 'memory', 'tcp://10.21.254.65:44296', 47462010095360, [['compute', 1533201371.5841267, 1533201548.7304797]]]
['blobDetector_multi-bef1901e-7ba1-4de6-bee5-04de9c7c3e0b', 'processing', 'memory', 'tcp://10.21.254.29:38335', 47122573457152, [['compute', 1533201371.5850046, 1533201549.0448995]]]
['blobDetector_multi-25a2697e-e9cf-4e6f-a29d-6a31ddb53106', 'processing', 'memory', 'tcp://10.21.254.29:37008', 47123177441024, [['compute', 1533201371.5759645, 1533201549.2947745]]]
['blobDetector_multi-227f9271-7de3-43ca-ac48-8a036e5c01c1', 'processing', 'memory', 'tcp://10.21.254.29:36663', 47120560191232, [['compute', 1533201371.575957, 1533201549.3768759]]]
['blobDetector_multi-0695b4e3-57af-4243-8a2c-25b2bf534fe8', 'processing', 'memory', 'tcp://10.21.254.26:38506', 47400135718656, [['compute', 1533201371.5735176, 1533201549.3911564]]]
['blobDetector_multi-3b143360-3bc7-48ce-a6ae-f0dfcc6ef5c4', 'processing', 'memory', 'tcp://10.21.254.30:35719', 47038083397376, [['compute', 1533201371.5779026, 1533201549.9707878]]]
['blobDetector_multi-f4aac98e-e468-4da0-b947-67e22ca66fa2', 'processing', 'memory', 'tcp://10.21.254.30:46567', 47039694272256, [['compute', 1533201371.5892115, 1533201550.0132775]]]
['blobDetector_multi-d5079f5e-25c2-4217-a026-c4e1f3990a54', 'processing', 'memory', 'tcp://10.21.254.26:45081', 47399733065472, [['compute', 1533201371.5875833, 1533201550.0355904]]]
['blobDetector_multi-9af88807-6cba-49cd-afbe-f17126eb1df0', 'processing', 'memory', 'tcp://10.21.254.26:33735', 47398927759104, [['compute', 1533201371.5817142, 1533201550.091005]]]
['blobDetector_multi-0453349f-2c89-4dd7-a38f-fc45aa7f2135', 'processing', 'memory', 'tcp://10.21.254.26:34890', 47397959145216, [['compute', 1533201371.5734065, 1533201550.1869915]]]
['blobDetector_multi-b79125c7-3acf-4c1d-a1ce-479c9836c02c', 'processing', 'memory', 'tcp://10.21.254.26:34829', 47401143404288, [['compute', 1533201371.5843954, 1533201550.4100955]]]
['blobDetector_multi-cdf40a58-6fc5-403a-9077-cdfde42366d2', 'processing', 'memory', 'tcp://10.21.254.29:44433', 47121365497600, [['compute', 1533201371.5863724, 1533201550.6632845]]]
['blobDetector_multi-e3535160-4a94-468b-a718-7cd4226bcb23', 'processing', 'memory', 'tcp://10.21.254.29:45555', 47123779299072, [['compute', 1533201371.5882769, 1533201550.663506]]]
