['blobDetector_multi-71226932-1bc6-4d6c-a158-f3d87dcd3de9', 'processing', 'memory', 'tcp://10.21.250.42:37588', 47062173615872, [['compute', 1532977197.593962, 1532977385.3417988]]]
['blobDetector_multi-60945e6e-23fa-4e44-9657-97a722ceb397', 'processing', 'memory', 'tcp://10.21.250.42:40791', 47065195378432, [['compute', 1532977197.5922012, 1532977385.6851072]]]
['blobDetector_multi-09f5f017-b5c7-4453-b3aa-1be2d104dfa1', 'processing', 'memory', 'tcp://10.21.250.42:33513', 47064792737536, [['compute', 1532977197.5815806, 1532977385.7106066]]]
['blobDetector_multi-6136459a-0cd4-4530-b62b-3e1256ee96ce', 'processing', 'memory', 'tcp://10.21.250.44:35907', 47985123686144, [['compute', 1532977197.591152, 1532977385.984102]]]
['blobDetector_multi-20ce307f-1526-464d-b0ec-e9d587f6f06d', 'processing', 'memory', 'tcp://10.21.250.44:37584', 47982148572928, [['compute', 1532977197.5835729, 1532977388.1025968]]]
['blobDetector_multi-7a0c6c8d-6098-4347-af3d-cbccbedc6ab2', 'processing', 'memory', 'tcp://10.21.250.44:40561', 47984117053184, [['compute', 1532977197.5977292, 1532977389.8541243]]]
['blobDetector_multi-08fb2c4a-0a94-4b30-8d5a-3fd18e2083f3', 'processing', 'memory', 'tcp://10.21.250.42:33425', 47064994039552, [['compute', 1532977197.581107, 1532977389.982763]]]
['blobDetector_multi-7972a3f6-23d1-430a-aa7f-5e02e094a429', 'processing', 'memory', 'tcp://10.21.250.44:40101', 47982506440448, [['compute', 1532977197.5944793, 1532977391.2209003]]]
['blobDetector_multi-330c31a9-09bc-4c47-99a3-7cbc4c3b89cc', 'processing', 'memory', 'tcp://10.21.250.46:33251', 47522743613184, [['compute', 1532977197.5857267, 1532977392.3495808]]]
['blobDetector_multi-5e1e3639-bdf8-4cbd-ae76-1c78ae65a315', 'processing', 'memory', 'tcp://10.21.250.41:36438', 47649310930688, [['compute', 1532977197.595772, 1532977393.158726]]]
['blobDetector_multi-2e5e1e57-3da7-4062-8c3e-175e518fa632', 'processing', 'memory', 'tcp://10.21.250.44:43072', 47984318379776, [['compute', 1532977197.5850859, 1532977393.261285]]]
['blobDetector_multi-78e041be-05cd-487e-acc0-7e73947e1d90', 'processing', 'memory', 'tcp://10.21.250.44:36563', 47985928988416, [['compute', 1532977197.5945578, 1532977393.583653]]]
['blobDetector_multi-07de4eec-ec99-4061-90ff-dd51190b5076', 'processing', 'memory', 'tcp://10.21.250.41:44719', 47648565147392, [['compute', 1532977197.5809925, 1532977396.4770896]]]
['blobDetector_multi-81f22e11-799c-45b9-954f-8ceb092394a1', 'processing', 'memory', 'tcp://10.21.250.44:45627', 47982910142208, [['compute', 1532977197.5949488, 1532977396.6730537]]]
