['blobDetector_multi-3c524a98-c988-4c37-a5e5-3f066f4cd5ec', 'processing', 'memory', 'tcp://10.21.252.250:35991', 48007806482176, [['compute', 1533138590.5623, 1533138767.9258149]]]
['blobDetector_multi-e585d9f1-0460-4abc-b8b2-cf7d9c0272be', 'processing', 'memory', 'tcp://10.21.252.240:39846', 47720312108800, [['compute', 1533138590.5849125, 1533138767.9397635]]]
['blobDetector_multi-db627129-0614-4c2b-a213-86ad105dc131', 'processing', 'memory', 'tcp://10.21.253.15:33918', 47269743220480, [['compute', 1533138590.5836172, 1533138767.9738643]]]
['blobDetector_multi-6181a861-bf73-460a-81b1-7d26d31dc0b6', 'processing', 'memory', 'tcp://10.21.252.254:38467', 47281686472448, [['compute', 1533138590.566405, 1533138767.9858122]]]
['blobDetector_multi-9e605080-e08c-423c-a81b-7425fe64765b', 'processing', 'memory', 'tcp://10.21.253.15:33020', 47269539768064, [['compute', 1533138590.5756938, 1533138768.10692]]]
['blobDetector_multi-286159e9-8c5f-47a4-a923-8d70c6fa3f8e', 'processing', 'memory', 'tcp://10.21.252.248:38891', 47039291356928, [['compute', 1533138590.5600266, 1533138768.1551216]]]
['blobDetector_multi-db5ddfdc-ae03-4809-ac25-599613445df6', 'processing', 'memory', 'tcp://10.21.252.250:42457', 48011027711744, [['compute', 1533138590.5834298, 1533138768.189082]]]
['blobDetector_multi-e4bd1fdc-1bdd-41a5-88ac-cf6475aa32f6', 'processing', 'memory', 'tcp://10.21.252.233:45351', 47187126568704, [['compute', 1533138590.584679, 1533138768.1926]]]
['blobDetector_multi-46a9fb08-6123-4eb8-8d76-aa970f8f7ec4', 'processing', 'memory', 'tcp://10.21.252.250:42472', 48007447017216, [['compute', 1533138590.563082, 1533138768.230423]]]
['blobDetector_multi-28dc40db-6150-4cce-8dc6-9c71e0902137', 'processing', 'memory', 'tcp://10.21.252.248:39099', 47038486312704, [['compute', 1533138590.5601776, 1533138768.2398944]]]
['blobDetector_multi-a3850fe0-fce0-45ec-8070-c3ed7b74b107', 'processing', 'memory', 'tcp://10.21.252.233:42873', 47189277566720, [['compute', 1533138590.577257, 1533138768.358299]]]
['blobDetector_multi-f5d22a9f-2c55-4ef2-8fef-9c858154ad3b', 'processing', 'memory', 'tcp://10.21.252.254:44233', 47280077960960, [['compute', 1533138590.586937, 1533138768.4081578]]]
['blobDetector_multi-150663b3-c4af-49a3-9e37-c1dab9b7824e', 'processing', 'memory', 'tcp://10.21.252.240:37499', 47721117415168, [['compute', 1533138590.5030198, 1533138768.7847679]]]
['blobDetector_multi-98a81f39-bc83-475e-b8cd-61f611821f16', 'processing', 'memory', 'tcp://10.21.252.254:34228', 47278870001408, [['compute', 1533138590.5753548, 1533138768.8885348]]]
['blobDetector_multi-65caeb69-9f1f-43cc-b2ff-be4730412acf', 'processing', 'memory', 'tcp://10.21.252.254:43299', 47280883267328, [['compute', 1533138590.5674028, 1533138768.909232]]]
['blobDetector_multi-a5d6d202-2fae-474e-8012-8f62b94dfcf1', 'processing', 'memory', 'tcp://10.21.252.248:40224', 47037882070784, [['compute', 1533138590.577902, 1533138768.972949]]]
['blobDetector_multi-a86f6da3-e7b5-4648-a5cb-172fc22a168d', 'processing', 'memory', 'tcp://10.21.252.250:33893', 48011629561600, [['compute', 1533138590.5779836, 1533138769.0276594]]]
['blobDetector_multi-c771e992-0299-49cb-8a1b-b911cc720017', 'processing', 'memory', 'tcp://10.21.252.233:44223', 47189279667968, [['compute', 1533138590.5813599, 1533138769.1308608]]]
['blobDetector_multi-fb563a75-0873-42e4-a04d-14c9a20ae95f', 'processing', 'memory', 'tcp://10.21.253.15:36728', 47268132583168, [['compute', 1533138590.5870209, 1533138769.222795]]]
['blobDetector_multi-71361d7d-6ef2-450d-b5d0-46db4447b683', 'processing', 'memory', 'tcp://10.21.253.15:45909', 47267730192128, [['compute', 1533138590.5695052, 1533138769.2376091]]]
['blobDetector_multi-e29b37f5-c805-45c5-87df-7b3785bc437f', 'processing', 'memory', 'tcp://10.21.252.250:37834', 48009417094912, [['compute', 1533138590.5842052, 1533138769.255703]]]
['blobDetector_multi-6af864b7-23cf-4d12-8473-aea9e9dd9de1', 'processing', 'memory', 'tcp://10.21.253.15:34235', 47266521970432, [['compute', 1533138590.568155, 1533138769.3004339]]]
['blobDetector_multi-7315f17a-2dcc-46ef-b603-e9a2174024f0', 'processing', 'memory', 'tcp://10.21.253.35:33277', 47974453376768, [['compute', 1533138590.569809, 1533138769.334914]]]
['blobDetector_multi-38e1dd08-bfbb-480f-a190-af12fc2a5a5d', 'processing', 'memory', 'tcp://10.21.252.250:33910', 48008410461952, [['compute', 1533138590.5620105, 1533138769.4888785]]]
['blobDetector_multi-4799c226-ecf7-4ed0-a234-3ef47344de09', 'processing', 'memory', 'tcp://10.21.252.250:44036', 48007444915968, [['compute', 1533138590.5633302, 1533138769.553643]]]
['blobDetector_multi-5ab6a4e4-232b-46cd-b3c4-6c36457be2da', 'processing', 'memory', 'tcp://10.21.252.254:34374', 47282292561664, [['compute', 1533138590.5659418, 1533138769.608744]]]
['blobDetector_multi-c6c9a0ce-3dea-472d-aadd-a0d521fb1e81', 'processing', 'memory', 'tcp://10.21.253.35:43643', 47971293165312, [['compute', 1533138590.5812206, 1533138769.7247787]]]
['blobDetector_multi-ef47f20f-72b3-4446-acb5-55be7d62b8e7', 'processing', 'memory', 'tcp://10.21.252.250:46281', 48009014441728, [['compute', 1533138590.5857542, 1533138769.753711]]]
['blobDetector_multi-b16714c4-d3ad-49f1-a626-6297802e67d9', 'processing', 'memory', 'tcp://10.21.252.254:40625', 47279876896512, [['compute', 1533138590.5788102, 1533138769.7864351]]]
['blobDetector_multi-ea243c38-9941-41f4-a651-a8437c79fba1', 'processing', 'memory', 'tcp://10.21.252.248:39276', 47036070131456, [['compute', 1533138590.5867407, 1533138769.8616235]]]
['blobDetector_multi-1af53d3e-8959-4dae-a81a-b7e93d7ee029', 'processing', 'memory', 'tcp://10.21.252.240:39640', 47722728290048, [['compute', 1533138590.503306, 1533138769.9940128]]]
['blobDetector_multi-35645567-bbb4-4b22-aee3-0ac4d2bfeb20', 'processing', 'memory', 'tcp://10.21.252.250:32926', 48010424776448, [['compute', 1533138590.561356, 1533138770.0560691]]]
['blobDetector_multi-69bb7d75-6955-4258-925e-24a74305d045', 'processing', 'memory', 'tcp://10.21.253.15:33901', 47270548506368, [['compute', 1533138590.5678868, 1533138770.202205]]]
['blobDetector_multi-796b5458-a804-496f-940f-b60b1067e60f', 'processing', 'memory', 'tcp://10.21.253.35:39474', 47972440110848, [['compute', 1533138590.570785, 1533138770.22365]]]
['blobDetector_multi-10993351-df35-4f31-a964-619f0ec39835', 'processing', 'memory', 'tcp://10.21.252.233:45320', 47190286300928, [['compute', 1533138590.5025225, 1533138770.2541716]]]
['blobDetector_multi-93061483-9ddc-4061-807e-7c7552394dd8', 'processing', 'memory', 'tcp://10.21.252.250:43889', 48008611788544, [['compute', 1533138590.576884, 1533138770.3932]]]
['blobDetector_multi-78c105b5-28e9-4b62-984e-ba9caebb9445', 'processing', 'memory', 'tcp://10.21.253.35:38154', 47974050723584, [['compute', 1533138590.5703986, 1533138770.4146395]]]
['blobDetector_multi-b1e76cc5-3787-4391-9544-e1c40fcefb10', 'processing', 'memory', 'tcp://10.21.253.15:33679', 47266723297024, [['compute', 1533138590.5790155, 1533138770.4443395]]]
['blobDetector_multi-0161e1d1-9a3d-4d3e-b1b5-cfcd1dc85a8d', 'processing', 'memory', 'tcp://10.21.252.233:36042', 47187266402048, [['compute', 1533138590.500833, 1533138770.447522]]]
['blobDetector_multi-7a53c98c-f786-439a-b139-83175e6695ea', 'processing', 'memory', 'tcp://10.21.253.35:40979', 47971431614208, [['compute', 1533138590.5706952, 1533138770.468743]]]
['blobDetector_multi-b5fdd890-69d7-4df7-b05a-486491de9923', 'processing', 'memory', 'tcp://10.21.252.233:46470', 47188273035008, [['compute', 1533138590.5798264, 1533138770.5011275]]]
['blobDetector_multi-eb923f5a-fa51-4f54-a5b6-e3e25217b7c5', 'processing', 'memory', 'tcp://10.21.252.248:45389', 47037680744192, [['compute', 1533138590.586541, 1533138770.591395]]]
['blobDetector_multi-1f5f954a-cd2b-4f4a-bf51-9d825fd149f4', 'processing', 'memory', 'tcp://10.21.252.248:32797', 47038687377152, [['compute', 1533138590.5043635, 1533138770.6156735]]]
['blobDetector_multi-8e53e986-bb85-455f-8fcb-63df44bf06cd', 'processing', 'memory', 'tcp://10.21.252.250:35474', 48008813377280, [['compute', 1533138590.5738375, 1533138770.6599696]]]
['blobDetector_multi-8bc257f3-8017-41d3-aef2-4756257fa98d', 'processing', 'memory', 'tcp://10.21.252.248:43626', 47036271458048, [['compute', 1533138590.5737255, 1533138770.6777563]]]
['blobDetector_multi-e35ff3e3-a890-4139-83a4-879acf02a855', 'processing', 'memory', 'tcp://10.21.252.240:42598', 47720513435392, [['compute', 1533138590.5842366, 1533138770.7272775]]]
['blobDetector_multi-379404aa-0880-4d0c-92ba-f69b7b832cf0', 'processing', 'memory', 'tcp://10.21.252.250:33479', 48010021336832, [['compute', 1533138590.5613906, 1533138770.7437067]]]
['blobDetector_multi-26693dfa-8f7e-4335-8faf-4714a73be1b9', 'processing', 'memory', 'tcp://10.21.252.248:35523', 47035881518848, [['compute', 1533138590.559576, 1533138770.7976022]]]
['blobDetector_multi-c960be4d-06a7-44d6-b69e-9aefac9c5123', 'processing', 'memory', 'tcp://10.21.252.250:34324', 48009215768320, [['compute', 1533138590.5816677, 1533138770.8231108]]]
['blobDetector_multi-7c604ca7-6a33-4bd6-92cd-cdf1ca970713', 'processing', 'memory', 'tcp://10.21.253.35:44705', 47975258953472, [['compute', 1533138590.571332, 1533138770.824147]]]
['blobDetector_multi-fefe985c-923e-4b85-ade2-505b8b55d7da', 'processing', 'memory', 'tcp://10.21.253.35:46537', 47972037457664, [['compute', 1533138590.5875106, 1533138770.9529095]]]
['blobDetector_multi-c92f0aff-7553-4588-9572-44a948e052c5', 'processing', 'memory', 'tcp://10.21.252.240:46798', 47718719928064, [['compute', 1533138590.581542, 1533138770.968675]]]
['blobDetector_multi-5814c0c9-925f-42a4-9820-d9d251126d3f', 'processing', 'memory', 'tcp://10.21.252.254:33542', 47277949617920, [['compute', 1533138590.5661016, 1533138770.9776196]]]
['blobDetector_multi-a0d0daf7-3ba5-41c6-94d0-1605b0d9888d', 'processing', 'memory', 'tcp://10.21.253.35:36296', 47973044090624, [['compute', 1533138590.5768104, 1533138771.0009325]]]
['blobDetector_multi-45040063-a153-4994-a6ff-9bf873bf6468', 'processing', 'memory', 'tcp://10.21.252.250:41064', 48007603291904, [['compute', 1533138590.5626044, 1533138771.0394824]]]
['blobDetector_multi-e5670b0a-71a8-4469-838e-0293fe283a9f', 'processing', 'memory', 'tcp://10.21.252.240:37456', 47720916088576, [['compute', 1533138590.584868, 1533138771.09464]]]
['blobDetector_multi-7a909aef-445b-439c-b3b3-1e53856f75cc', 'processing', 'memory', 'tcp://10.21.253.35:44239', 47973648070400, [['compute', 1533138590.5713623, 1533138771.1141872]]]
['blobDetector_multi-1bd65d63-26e0-4473-af55-05d955d317f0', 'processing', 'memory', 'tcp://10.21.252.240:39970', 47721721394944, [['compute', 1533138590.5037596, 1533138771.1661747]]]
['blobDetector_multi-8675e72f-07c6-4d7f-812a-7d9f32bc5ff3', 'processing', 'memory', 'tcp://10.21.252.240:34811', 47722929354496, [['compute', 1533138590.572376, 1533138771.178195]]]
['blobDetector_multi-47e3faa2-a27c-4825-94a0-977f74272cd2', 'processing', 'memory', 'tcp://10.21.252.250:46280', 48011631687424, [['compute', 1533138590.5631506, 1533138771.2760606]]]
['blobDetector_multi-780647b8-4891-483c-9142-d71172f4d46b', 'processing', 'memory', 'tcp://10.21.253.35:36087', 47974856034048, [['compute', 1533138590.5703175, 1533138771.3953395]]]
