['blobDetector_multi-583a7825-b297-4cf8-a378-47af3d042e59', 'processing', 'memory', 'tcp://10.21.255.68:35408', 47746952464128, [['compute', 1533014627.8442209, 1533014804.1442919]]]
['blobDetector_multi-ec7c475e-9ba9-4c30-8886-37ccc4275511', 'processing', 'memory', 'tcp://10.21.255.53:37775', 47143668066048, [['compute', 1533014627.8611887, 1533014804.1604486]]]
['blobDetector_multi-07bc5285-66f5-4936-8942-62746448f778', 'processing', 'memory', 'tcp://10.21.255.48:38693', 46965740304128, [['compute', 1533014627.8315952, 1533014804.266855]]]
['blobDetector_multi-02f3fed2-b110-462d-9c7f-b1813c90556b', 'processing', 'memory', 'tcp://10.21.255.48:35897', 46967952533248, [['compute', 1533014627.830722, 1533014804.2688363]]]
['blobDetector_multi-edd7c162-818b-4400-aa85-443d8502db25', 'processing', 'memory', 'tcp://10.21.255.53:39055', 47146263156480, [['compute', 1533014627.8642166, 1533014804.2807775]]]
['blobDetector_multi-b1437c32-a470-4e10-8811-d328f8a818d0', 'processing', 'memory', 'tcp://10.21.255.53:40892', 47143670167296, [['compute', 1533014627.8536072, 1533014804.3902833]]]
['blobDetector_multi-edfdc5f2-e9cf-4bc5-9d4b-4e964243b2a5', 'processing', 'memory', 'tcp://10.21.255.53:44378', 47143845103360, [['compute', 1533014627.86158, 1533014804.5797968]]]
['blobDetector_multi-ee246f75-946d-4d13-99ef-a2ae592c9ac7', 'processing', 'memory', 'tcp://10.21.255.53:45309', 47147470837504, [['compute', 1533014627.8616722, 1533014804.6231942]]]
['blobDetector_multi-6ad41572-1d1a-44eb-9962-8b4ad33770b3', 'processing', 'memory', 'tcp://10.21.255.68:46461', 47750980859648, [['compute', 1533014627.84501, 1533014804.629963]]]
['blobDetector_multi-1e2a0f3e-e032-4dde-b469-8e882e0082b5', 'processing', 'memory', 'tcp://10.21.255.53:35933', 47146061559552, [['compute', 1533014627.8352246, 1533014804.6730845]]]
['blobDetector_multi-de2cf3ca-c2eb-40fa-8da5-e46c16fcb2e9', 'processing', 'memory', 'tcp://10.21.255.58:44994', 47398726432512, [['compute', 1533014627.8595088, 1533014804.6820188]]]
['blobDetector_multi-b00bcae7-fed6-40ff-9192-b251bd0a75da', 'processing', 'memory', 'tcp://10.21.255.53:35803', 47147068192512, [['compute', 1533014627.8535025, 1533014804.7325976]]]
['blobDetector_multi-de5f29f3-bcbd-47b7-885f-43ea54a829e3', 'processing', 'memory', 'tcp://10.21.255.68:35218', 47748766267136, [['compute', 1533014627.8594666, 1533014804.8006766]]]
['blobDetector_multi-2bf8ac37-858b-4fa2-b081-f11872f4b3b2', 'processing', 'memory', 'tcp://10.21.255.58:37020', 47397719807744, [['compute', 1533014627.8371735, 1533014804.8145814]]]
['blobDetector_multi-74e8ae92-3694-4075-ab8a-4fee5797a3ff', 'processing', 'memory', 'tcp://10.21.255.48:37969', 46966746674944, [['compute', 1533014627.8472424, 1533014804.8396044]]]
['blobDetector_multi-9bd9c450-3c63-4625-a245-4dd8acfece3f', 'processing', 'memory', 'tcp://10.21.255.68:45443', 47748162549504, [['compute', 1533014627.8518589, 1533014804.9270198]]]
['blobDetector_multi-2e4dd3ff-77d1-43e9-8f4b-d3d2a46d6a77', 'processing', 'memory', 'tcp://10.21.255.58:37911', 47395908122368, [['compute', 1533014627.837891, 1533014804.949263]]]
['blobDetector_multi-66b558f4-f4bb-4a2a-ad04-8554e2cc7b04', 'processing', 'memory', 'tcp://10.21.255.68:43492', 47749772900096, [['compute', 1533014627.8446465, 1533014804.9618125]]]
['blobDetector_multi-1668f7ed-ae08-42f1-a275-f79f4775acb4', 'processing', 'memory', 'tcp://10.21.255.51:40895', 47985190795008, [['compute', 1533014627.833915, 1533014805.1645331]]]
['blobDetector_multi-85e44b84-2098-4ed6-846c-dda4f24f400a', 'processing', 'memory', 'tcp://10.21.255.58:35638', 47394698036992, [['compute', 1533014627.8493104, 1533014805.2359893]]]
