['blobDetector_multi-80ae5c9c-2fe7-4808-bb73-c8cd5cf40971', 'processing', 'memory', 'tcp://10.21.255.7:40331', 47657026324224, [['compute', 1532742706.713689, 1532742889.463653]]]
['blobDetector_multi-4e0df921-86fb-4ee5-bdcb-3b5d1103bbd1', 'processing', 'memory', 'tcp://10.21.254.252:40292', 47859898808064, [['compute', 1532742704.211004, 1532742889.891696]]]
['blobDetector_multi-4b1c6081-52be-4fe9-89c5-3d2ece1bedbe', 'processing', 'memory', 'tcp://10.21.254.252:40035', 47857482626816, [['compute', 1532742705.7551563, 1532742890.8245802]]]
['blobDetector_multi-448361da-eeb5-40e4-9b5a-78a70bb9dc3a', 'processing', 'memory', 'tcp://10.21.254.252:38347', 47859697219328, [['compute', 1532742702.221842, 1532742891.139506]]]
['blobDetector_multi-682c4ec6-cf5e-454e-bf44-dcf58a664337', 'processing', 'memory', 'tcp://10.21.255.7:34600', 47657831630592, [['compute', 1532742697.8523653, 1532742891.6995294]]]
['blobDetector_multi-4ed449c3-fc00-4f2b-89fb-e7c82f855c53', 'processing', 'memory', 'tcp://10.21.254.252:41387', 47861509170944, [['compute', 1532742706.681196, 1532742891.764117]]]
['blobDetector_multi-444c29ef-0a2d-48b3-96db-7c957a255692', 'processing', 'memory', 'tcp://10.21.254.252:37240', 47861308094208, [['compute', 1532742705.0421026, 1532742892.0402105]]]
['blobDetector_multi-88064678-ca7b-4c1a-a588-63dd2ca44e86', 'processing', 'memory', 'tcp://10.21.255.7:45067', 47660046239488, [['compute', 1532742705.238285, 1532742892.9001238]]]
['blobDetector_multi-423ebf2f-8c87-429f-81b5-5ebc16a21615', 'processing', 'memory', 'tcp://10.21.254.252:33466', 47860502525696, [['compute', 1532742705.8913634, 1532742893.3013005]]]
['blobDetector_multi-603ecc81-a823-4bed-95e0-6cfa25c1df03', 'processing', 'memory', 'tcp://10.21.254.252:44457', 47857885280000, [['compute', 1532742704.5228105, 1532742894.2066593]]]
['blobDetector_multi-60ad2c6b-8c8b-4389-a893-d15a1633a99a', 'processing', 'memory', 'tcp://10.21.254.252:44976', 47860905182976, [['compute', 1532742701.331475, 1532742894.24049]]]
['blobDetector_multi-626e9f7d-28a3-4a8f-81f7-7147b11dee5a', 'processing', 'memory', 'tcp://10.21.254.252:46340', 47859294566144, [['compute', 1532742708.9853508, 1532742895.397374]]]
['blobDetector_multi-7a4239f3-e21b-4274-a689-721670b8829d', 'processing', 'memory', 'tcp://10.21.255.7:40090', 47657227650816, [['compute', 1532742706.7539625, 1532742895.5246515]]]
['blobDetector_multi-6a5109e7-6107-457d-91f7-49e21531f3d5', 'processing', 'memory', 'tcp://10.21.255.7:35319', 47659443291904, [['compute', 1532742708.109135, 1532742895.88968]]]
['blobDetector_multi-86ab0344-887d-4ee2-87aa-bccb6f25073e', 'processing', 'memory', 'tcp://10.21.255.7:44028', 47656426809088, [['compute', 1532742705.2367983, 1532742895.9411402]]]
['blobDetector_multi-7ffb210f-84f1-4473-9b7a-d9883ea7de31', 'processing', 'memory', 'tcp://10.21.255.7:40205', 47658838263552, [['compute', 1532742713.477758, 1532742898.518632]]]
['blobDetector_multi-79e8b514-69b4-4d28-8c1b-3a2f34f5fbb5', 'processing', 'memory', 'tcp://10.21.255.7:38340', 47656426571520, [['compute', 1532742704.617052, 1532742898.52568]]]
['blobDetector_multi-5b2508ac-66bc-49ed-9dc4-3de75915bcdb', 'processing', 'memory', 'tcp://10.21.254.252:43611', 47857480763136, [['compute', 1532742714.9942513, 1532742899.2604744]]]
['blobDetector_multi-5867d2e0-72e8-4434-b92a-6fb3d928db8f', 'processing', 'memory', 'tcp://10.21.254.252:42820', 47859495892736, [['compute', 1532742711.2637024, 1532742901.7399545]]]
['blobDetector_multi-548433a9-c8be-4bf1-9fc7-ce899a78852f', 'processing', 'memory', 'tcp://10.21.254.252:41569', 47861106501376, [['compute', 1532742723.696928, 1532742902.8635828]]]
['blobDetector_multi-42f1cd38-c451-4ebe-89d9-9e7f5b6d261c', 'processing', 'memory', 'tcp://10.21.254.252:34145', 47859093239552, [['compute', 1532742712.9923615, 1532742904.2460895]]]
['blobDetector_multi-84a1a84a-54c8-4c09-b621-aee0a0956206', 'processing', 'memory', 'tcp://10.21.255.7:42930', 47659844896512, [['compute', 1532742698.9936576, 1532742906.2746446]]]
['blobDetector_multi-65c65b99-d17e-47e1-bb2b-75541a960d67', 'processing', 'memory', 'tcp://10.21.254.252:46802', 47857322383104, [['compute', 1532742712.1742458, 1532742906.5762668]]]
['blobDetector_multi-71128e57-a000-4b1b-b985-9364a11dd713', 'processing', 'memory', 'tcp://10.21.255.7:35734', 47656623671040, [['compute', 1532742702.7481904, 1532742907.5307505]]]
['blobDetector_multi-5ff14755-3175-430a-9a27-ba66e8b9a22e', 'processing', 'memory', 'tcp://10.21.254.252:44328', 47858891912960, [['compute', 1532742715.691428, 1532742909.494641]]]
['blobDetector_multi-4324705f-44bd-46c0-85fe-8a63eca4b83b', 'processing', 'memory', 'tcp://10.21.254.252:35229', 47860099872512, [['compute', 1532742718.571995, 1532742910.822023]]]
['blobDetector_multi-45b9249b-3a24-4f18-ba47-4d6379643c97', 'processing', 'memory', 'tcp://10.21.254.252:38565', 47857683953408, [['compute', 1532742704.9735959, 1532742911.237539]]]
['blobDetector_multi-77af12f4-272a-44bf-9a95-806d78a130fd', 'processing', 'memory', 'tcp://10.21.255.7:37281', 47660449146624, [['compute', 1532742701.912966, 1532742911.93112]]]
['blobDetector_multi-612df79f-1ed5-44a1-8b6c-99f9f6e51f8f', 'processing', 'memory', 'tcp://10.21.254.252:45289', 47858287933184, [['compute', 1532742723.6188395, 1532742913.6490405]]]
['blobDetector_multi-4e1f2fbe-faf1-41ac-bb6d-f0d03914b9ae', 'processing', 'memory', 'tcp://10.21.254.252:40976', 47857324484352, [['compute', 1532742734.3194225, 1532742921.7978535]]]
['blobDetector_multi-473b35fb-da9e-4538-b7c2-444e4f77e1f5', 'processing', 'memory', 'tcp://10.21.254.252:39019', 47858690848512, [['compute', 1532742726.0386176, 1532742922.3125274]]]
['blobDetector_multi-4b35dfb5-55d9-4398-a14a-2c2937de3ecb', 'processing', 'memory', 'tcp://10.21.254.252:40274', 47860703852288, [['compute', 1532742730.369963, 1532742923.839834]]]
['blobDetector_multi-afdafe8a-8f91-4835-8fd6-5344b10a9712', 'processing', 'memory', 'tcp://10.21.255.7:36795', 47656422344448, [['compute', 1532742872.164495, 1532743053.117235]]]
['blobDetector_multi-bc775279-bf91-4bf5-9649-83ad1f71d062', 'processing', 'memory', 'tcp://10.21.255.7:41238', 47659039852288, [['compute', 1532742882.771217, 1532743062.041085]]]
['blobDetector_multi-be2b926d-30f6-42e8-8f0c-385502bca870', 'processing', 'memory', 'tcp://10.21.255.7:41485', 47660650215168, [['compute', 1532742882.0301163, 1532743063.8282902]]]
['blobDetector_multi-a8567241-ae7d-4edf-ab57-1e64e94ce53a', 'processing', 'memory', 'tcp://10.21.255.7:33009', 47658032957184, [['compute', 1532742878.9212985, 1532743065.3071356]]]
['blobDetector_multi-c23eb1f6-4b36-4806-a823-2c3c10e137b5', 'processing', 'memory', 'tcp://10.21.255.7:42965', 47658234283776, [['compute', 1532742883.033334, 1532743067.406785]]]
['blobDetector_multi-b62c65ed-25fb-4239-ac45-83a217391e3c', 'processing', 'memory', 'tcp://10.21.255.7:40179', 47659240916736, [['compute', 1532742878.8700862, 1532743068.690475]]]
['blobDetector_multi-b74d0e5d-d0d7-4df3-a3f7-7d7c84c3a663', 'processing', 'memory', 'tcp://10.21.255.7:40331', 47657026324224, [['compute', 1532742889.4673767, 1532743069.1071856]]]
['blobDetector_multi-c8335e53-be38-4c0f-82a6-f253d14d3aca', 'processing', 'memory', 'tcp://10.21.255.7:45472', 47657428977408, [['compute', 1532742883.3369317, 1532743070.4953008]]]
['blobDetector_multi-9c5c3632-eb56-45f1-b82b-c8f7140b8c5a', 'processing', 'memory', 'tcp://10.21.254.252:42847', 47858489259776, [['compute', 1532742887.2113395, 1532743071.6405256]]]
['blobDetector_multi-c604c17b-bc9c-4fe7-b36e-ff410f8a1915', 'processing', 'memory', 'tcp://10.21.255.7:45067', 47660046239488, [['compute', 1532742892.900873, 1532743071.760113]]]
['blobDetector_multi-ad1b6249-4e27-41b5-846d-9729e1f55102', 'processing', 'memory', 'tcp://10.21.255.7:35376', 47657630304000, [['compute', 1532742878.2731488, 1532743072.532307]]]
['blobDetector_multi-adb2588d-28fd-4b57-97e9-9739bb8b9a77', 'processing', 'memory', 'tcp://10.21.255.7:35420', 47658435610368, [['compute', 1532742881.632284, 1532743073.42425]]]
['blobDetector_multi-9f3f30ca-d18a-4a55-a468-ca27515436ba', 'processing', 'memory', 'tcp://10.21.254.252:43927', 47860301199104, [['compute', 1532742888.4015157, 1532743073.6250567]]]
['blobDetector_multi-c35a2d65-d516-44a5-a760-52893fefda77', 'processing', 'memory', 'tcp://10.21.255.7:44028', 47656426809088, [['compute', 1532742895.9430585, 1532743075.7954185]]]
['blobDetector_multi-8c67ee76-7e02-4a7e-8cc9-2a227ddd5df3', 'processing', 'memory', 'tcp://10.21.254.252:33146', 47858086606592, [['compute', 1532742886.109562, 1532743075.999515]]]
['blobDetector_multi-a3aa27d3-9460-4ea5-8f5a-d517e1672ab8', 'processing', 'memory', 'tcp://10.21.254.252:44976', 47860905182976, [['compute', 1532742894.2415886, 1532743077.1139045]]]
['blobDetector_multi-aacd6587-d807-41e1-92b6-301b9a823721', 'processing', 'memory', 'tcp://10.21.255.7:33267', 47658636936960, [['compute', 1532742884.5262692, 1532743077.5760472]]]
['blobDetector_multi-b242ff7a-4a44-4f13-9966-71b44340b38e', 'processing', 'memory', 'tcp://10.21.255.7:38139', 47656824997632, [['compute', 1532742886.871109, 1532743078.089015]]]
['blobDetector_multi-95ea267f-313f-41db-9c83-7b283d4b6f32', 'processing', 'memory', 'tcp://10.21.254.252:38347', 47859697219328, [['compute', 1532742891.1405592, 1532743078.7266443]]]
['blobDetector_multi-9772e54c-17f4-4fd0-8f1e-6d208fa00f12', 'processing', 'memory', 'tcp://10.21.254.252:40035', 47857482626816, [['compute', 1532742890.824753, 1532743078.959313]]]
['blobDetector_multi-93de4dc2-618c-4ef7-b3e9-7d53da625b38', 'processing', 'memory', 'tcp://10.21.254.252:37240', 47861308094208, [['compute', 1532742892.041934, 1532743079.0926461]]]
['blobDetector_multi-ab782bc5-cf69-4fc3-919d-e01d8500d6e2', 'processing', 'memory', 'tcp://10.21.255.7:34600', 47657831630592, [['compute', 1532742891.7007325, 1532743080.5958815]]]
['blobDetector_multi-b53cb298-3fb5-4e49-a424-50d77a35b39c', 'processing', 'memory', 'tcp://10.21.255.7:40090', 47657227650816, [['compute', 1532742895.525564, 1532743082.243102]]]
['blobDetector_multi-9908e571-eff8-4489-9a53-cc61e4613557', 'processing', 'memory', 'tcp://10.21.254.252:40292', 47859898808064, [['compute', 1532742889.8928368, 1532743082.2838497]]]
['blobDetector_multi-9afbf686-b6ea-4732-b3d6-57906521571a', 'processing', 'memory', 'tcp://10.21.254.252:41387', 47861509170944, [['compute', 1532742891.76649, 1532743082.981718]]]
['blobDetector_multi-b7941259-9303-4c17-a60c-c794c96ac5b6', 'processing', 'memory', 'tcp://10.21.255.7:40947', 47659643569920, [['compute', 1532742885.318526, 1532743083.737355]]]
['blobDetector_multi-9d631d67-2fb9-4154-b97e-e8d0dee58b05', 'processing', 'memory', 'tcp://10.21.254.252:43611', 47857480763136, [['compute', 1532742899.2614205, 1532743084.3218565]]]
['blobDetector_multi-ad147b0a-6386-46dd-9bd1-04b607936d9b', 'processing', 'memory', 'tcp://10.21.255.7:35319', 47659443291904, [['compute', 1532742895.8906913, 1532743084.7274282]]]
['blobDetector_multi-b6bfcb3e-31fa-4bc4-9ef0-f80aa76e0776', 'processing', 'memory', 'tcp://10.21.255.7:40205', 47658838263552, [['compute', 1532742898.5222042, 1532743084.9246182]]]
['blobDetector_multi-b528f9cf-1e0a-4555-9362-02cdc0fcede1', 'processing', 'memory', 'tcp://10.21.255.7:38340', 47656426571520, [['compute', 1532742898.5326285, 1532743085.6659884]]]
['blobDetector_multi-c4b90a56-07c4-4b25-9d5b-ef069b8d4768', 'processing', 'memory', 'tcp://10.21.255.7:45047', 47660247561984, [['compute', 1532742882.5192592, 1532743086.773333]]]
['blobDetector_multi-a103362c-107b-44cc-aafa-5c5b08ac2eea', 'processing', 'memory', 'tcp://10.21.254.252:44457', 47857885280000, [['compute', 1532742894.2065165, 1532743087.1454005]]]
['blobDetector_multi-a6fe79a4-d2a4-4876-83d5-323a3b087215', 'processing', 'memory', 'tcp://10.21.254.252:46340', 47859294566144, [['compute', 1532742895.3984754, 1532743087.7473924]]]
['blobDetector_multi-90e8e198-cc3d-49c5-9d8b-6a695c644b40', 'processing', 'memory', 'tcp://10.21.254.252:34145', 47859093239552, [['compute', 1532742904.2471654, 1532743090.1874104]]]
['blobDetector_multi-9b2a0ba3-3110-4207-915a-d07b8ff5f7f6', 'processing', 'memory', 'tcp://10.21.254.252:41569', 47861106501376, [['compute', 1532742902.8646317, 1532743091.1927037]]]
