['blobDetector_multi-39e59424-44f9-4b78-aeba-dcc193c28f4c', 'processing', 'memory', 'tcp://10.21.252.96:34135', 47193308006144, [['compute', 1532764921.7501721, 1532765107.668226]]]
['blobDetector_multi-69633259-8184-4ff7-a451-494d029078ca', 'processing', 'memory', 'tcp://10.21.252.96:39463', 47193708852992, [['compute', 1532764921.759601, 1532765107.8211262]]]
['blobDetector_multi-5f22886e-4dfe-443c-b74d-7037abdba8ad', 'processing', 'memory', 'tcp://10.21.251.253:42491', 47975124461312, [['compute', 1532764921.7579935, 1532765108.1839204]]]
['blobDetector_multi-595b055e-db50-40d7-ad49-83c627067bf9', 'processing', 'memory', 'tcp://10.21.252.96:43582', 47194715748096, [['compute', 1532764921.7567315, 1532765108.8144317]]]
['blobDetector_multi-77c98b15-b2e9-414b-9140-9b1e75ffc090', 'processing', 'memory', 'tcp://10.21.252.93:46408', 47502223333120, [['compute', 1532764921.762279, 1532765109.116702]]]
['blobDetector_multi-2e705043-9a0e-4fc1-8c8f-6dae44a98b3f', 'processing', 'memory', 'tcp://10.21.252.93:39194', 47506033506048, [['compute', 1532764921.748674, 1532765109.384744]]]
['blobDetector_multi-7321620f-9349-4c4e-adc4-7ca9d7879a03', 'processing', 'memory', 'tcp://10.21.251.253:46737', 47973513852672, [['compute', 1532764921.7610965, 1532765110.0113976]]]
['blobDetector_multi-1c8fceb0-6099-410a-ad8d-a938314b7198', 'processing', 'memory', 'tcp://10.21.251.253:34884', 47975728707328, [['compute', 1532764921.7458322, 1532765110.184577]]]
['blobDetector_multi-70d396ef-85f9-448a-983d-a12c9a91bfa5', 'processing', 'memory', 'tcp://10.21.251.253:34941', 47975929759488, [['compute', 1532764921.7605968, 1532765110.4232848]]]
['blobDetector_multi-1983c2b9-cbd5-48b0-a93f-38247d6feb4f', 'processing', 'memory', 'tcp://10.21.251.253:33257', 47974924195584, [['compute', 1532764921.7455742, 1532765110.8644264]]]
['blobDetector_multi-3f7cac1f-6637-427b-b746-59e2d08f97d2', 'processing', 'memory', 'tcp://10.21.252.96:38331', 47194312832768, [['compute', 1532764921.7528105, 1532765111.0385625]]]
['blobDetector_multi-208535de-6f09-4b6f-a845-594d81c093ff', 'processing', 'memory', 'tcp://10.21.251.253:39233', 47974117828352, [['compute', 1532764921.7462919, 1532765111.1895738]]]
['blobDetector_multi-572fb1f2-77c9-472f-a561-9f48e1494d9f', 'processing', 'memory', 'tcp://10.21.252.96:36860', 47196527433472, [['compute', 1532764921.7566133, 1532765111.8801012]]]
['blobDetector_multi-3eeb4a7e-3477-4f55-9741-7c8210395ae1', 'processing', 'memory', 'tcp://10.21.252.96:36975', 47196326102784, [['compute', 1532764921.752832, 1532765112.121166]]]
['blobDetector_multi-3d787ae9-2d16-4a90-b1be-71292a68e760', 'processing', 'memory', 'tcp://10.21.252.96:36644', 47196728751872, [['compute', 1532764921.7506392, 1532765112.620383]]]
['blobDetector_multi-6101235c-b625-4052-9fa5-b8ded63ed80e', 'processing', 'memory', 'tcp://10.21.252.93:42243', 47505832179456, [['compute', 1532764921.758238, 1532765113.146981]]]
['blobDetector_multi-2526b1d8-f55a-460c-88a8-fddc0e79c7cc', 'processing', 'memory', 'tcp://10.21.251.253:44756', 47972305893120, [['compute', 1532764921.7470539, 1532765113.7252898]]]
['blobDetector_multi-61da0a7a-0492-49f1-a76a-30f8bacbea08', 'processing', 'memory', 'tcp://10.21.252.96:35277', 47193910179584, [['compute', 1532764921.7585025, 1532765113.7567644]]]
['blobDetector_multi-09b690f2-fc94-439b-9e89-470e8aad6386', 'processing', 'memory', 'tcp://10.21.251.233:36696', 47769704232704, [['compute', 1532764921.7441063, 1532765114.5427933]]]
['blobDetector_multi-34a83c40-6d3f-4a8a-ba82-1a37bda84f63', 'processing', 'memory', 'tcp://10.21.252.93:44024', 47502221231872, [['compute', 1532764921.7497156, 1532765116.1574976]]]
