['blobDetector_multi-6834da58-ef99-4ae0-a71f-97e87dcb0b65', 'processing', 'memory', 'tcp://10.21.255.232:37776', 47221290866432, [['compute', 1533034774.4162066, 1533034950.3385308]]]
['blobDetector_multi-60365a37-0fdb-4eeb-a967-9263f6c1181c', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533034780.9816759, 1533034952.8313758]]]
['blobDetector_multi-7974a63c-2a55-4cc0-bef8-53b03ddb2a60', 'processing', 'memory', 'tcp://10.21.255.232:46085', 47220485281536, [['compute', 1533034776.66958, 1533034954.0437212]]]
['blobDetector_multi-762ed346-916a-440a-b35c-b7474092bec4', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533034785.170465, 1533034956.559148]]]
['blobDetector_multi-722232ab-46c7-4db5-8e48-b41c9fee24f7', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533034776.5671911, 1533034957.027802]]]
['blobDetector_multi-67a4b9dd-8b00-4445-87f5-be9e88545d41', 'processing', 'memory', 'tcp://10.21.255.232:35682', 47218270697216, [['compute', 1533034777.880653, 1533034957.5873668]]]
['blobDetector_multi-74acb183-bce5-44c0-b1de-5d16848c5d5f', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533034783.3290536, 1533034961.7766454]]]
['blobDetector_multi-68ad6287-9f4d-419f-be1c-bcb3856003e0', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533034782.7840734, 1533034963.0630703]]]
['blobDetector_multi-5f46cc7f-db9b-4e66-88fa-7a0633fa81fa', 'processing', 'memory', 'tcp://10.21.255.232:32975', 47219478656768, [['compute', 1533034781.7911017, 1533034965.0298927]]]
['blobDetector_multi-6477d288-0464-4d5d-9cc0-460d153f0203', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533034778.0894692, 1533034966.525155]]]
['blobDetector_multi-75b96714-fb5c-477c-af15-6b85d077e486', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533034786.4552093, 1533034968.4842384]]]
['blobDetector_multi-62521cb6-60e6-451d-b272-7f44020de511', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533034785.310728, 1533034968.711219]]]
['blobDetector_multi-625ad370-58c5-42cd-a43b-ee4f0529af28', 'processing', 'memory', 'tcp://10.21.255.232:34271', 47217666717440, [['compute', 1533034793.124724, 1533034969.599374]]]
['blobDetector_multi-6f5dcfec-532f-4864-9515-74495d664727', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533034781.602876, 1533034970.449393]]]
['blobDetector_multi-75c59fc9-84f8-4ecd-ae3c-514d60aefe16', 'processing', 'memory', 'tcp://10.21.255.232:43601', 47217868044032, [['compute', 1533034788.1637495, 1533034971.1833944]]]
['blobDetector_multi-5f2a65f2-6eb5-4ccf-a62a-782a998095ce', 'processing', 'memory', 'tcp://10.21.255.232:32886', 47220686628608, [['compute', 1533034787.127461, 1533034973.121629]]]
['blobDetector_multi-786a4a4c-8327-4350-8f8b-b702db1be25f', 'processing', 'memory', 'tcp://10.21.255.232:45772', 47218472023808, [['compute', 1533034773.2266755, 1533034973.8189597]]]
['blobDetector_multi-67b4919f-d92a-4924-aec6-1d157680b127', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533034789.7915661, 1533034974.625845]]]
['blobDetector_multi-75ca53e2-24a9-4d2d-be36-598a9f028608', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533034799.239547, 1533034975.541092]]]
['blobDetector_multi-754fe5aa-9fad-468b-8780-04af4bfbb0cd', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533034801.12995, 1533034976.519045]]]
['blobDetector_multi-75924b1f-b138-4048-a242-14dfd93710ba', 'processing', 'memory', 'tcp://10.21.255.232:42845', 47219881572096, [['compute', 1533034799.8597739, 1533034977.082602]]]
['blobDetector_multi-622c1a60-a998-4fbd-bdc0-b86ca0adb07c', 'processing', 'memory', 'tcp://10.21.255.232:33754', 47219076003584, [['compute', 1533034801.3325164, 1533034982.1337414]]]
['blobDetector_multi-6b8643f7-255f-4ccd-9d4c-f55a54a78c17', 'processing', 'memory', 'tcp://10.21.255.232:38351', 47217463527168, [['compute', 1533034797.904137, 1533034984.973924]]]
['blobDetector_multi-6ea1773d-3d53-4ade-adc9-4853aaa6bb39', 'processing', 'memory', 'tcp://10.21.255.232:38403', 47217288419072, [['compute', 1533034821.311208, 1533035003.658371]]]
['blobDetector_multi-7e7a0074-0522-4a2d-8680-97438fc8003c', 'processing', 'memory', 'tcp://10.21.255.232:33278', 47218874676992, [['compute', 1533034952.8325467, 1533035130.4819188]]]
['blobDetector_multi-8c28221c-3fdd-4a81-aef9-7372150551a8', 'processing', 'memory', 'tcp://10.21.255.232:37776', 47221290866432, [['compute', 1533034950.3407364, 1533035131.9070563]]]
['blobDetector_multi-9288357f-a773-45c8-9d6e-43ab57fa8d31', 'processing', 'memory', 'tcp://10.21.255.232:39989', 47220285019904, [['compute', 1533034957.0372505, 1533035133.5993567]]]
['blobDetector_multi-a0fee772-8883-4254-9061-2989b2e8dbf8', 'processing', 'memory', 'tcp://10.21.255.232:45454', 47221089277696, [['compute', 1533034956.556162, 1533035139.130285]]]
['blobDetector_multi-8800350b-c42f-4351-8178-6f91fb47f1f6', 'processing', 'memory', 'tcp://10.21.255.232:35682', 47218270697216, [['compute', 1533034957.5885322, 1533035140.2376373]]]
['blobDetector_multi-93874ccc-13a3-4929-bed5-027e1611f4c5', 'processing', 'memory', 'tcp://10.21.255.232:40163', 47218673612544, [['compute', 1533034961.7782536, 1533035141.8851557]]]
['blobDetector_multi-98acb22c-2749-4826-aee9-ef7a7a91bc84', 'processing', 'memory', 'tcp://10.21.255.232:43550', 47218069370624, [['compute', 1533034968.4853756, 1533035144.4642026]]]
['blobDetector_multi-81e6e811-74b5-4b8c-9ed2-99c4286eb4e3', 'processing', 'memory', 'tcp://10.21.255.232:34271', 47217666717440, [['compute', 1533034969.5996232, 1533035148.4041092]]]
['blobDetector_multi-7a1c3b8a-bbbd-4269-8b37-114e7b3f4b9d', 'processing', 'memory', 'tcp://10.21.255.232:32975', 47219478656768, [['compute', 1533034965.0379755, 1533035148.6124237]]]
['blobDetector_multi-9917bad2-9029-4144-ab84-28806c712d88', 'processing', 'memory', 'tcp://10.21.255.232:43601', 47217868044032, [['compute', 1533034971.185, 1533035149.1195478]]]
['blobDetector_multi-7981ec17-d96b-4621-80de-ef24db8d6a99', 'processing', 'memory', 'tcp://10.21.255.232:32886', 47220686628608, [['compute', 1533034973.1249013, 1533035149.9609153]]]
['blobDetector_multi-7f8e9c82-b670-48e6-9394-16a70f3df864', 'processing', 'memory', 'tcp://10.21.255.232:33819', 47220887934720, [['compute', 1533034968.7119007, 1533035150.9027567]]]
['blobDetector_multi-9258a00c-bec1-49ac-b03e-3d24e09803a2', 'processing', 'memory', 'tcp://10.21.255.232:39244', 47220082636544, [['compute', 1533034970.450475, 1533035151.255825]]]
['blobDetector_multi-84914cde-7fda-4e3e-80f7-d2dabf12ca3f', 'processing', 'memory', 'tcp://10.21.255.232:34483', 47219277330176, [['compute', 1533034966.5267205, 1533035151.7537403]]]
['blobDetector_multi-9b196805-d460-44eb-b02e-4cff3ffc90d4', 'processing', 'memory', 'tcp://10.21.255.232:45116', 47217286317824, [['compute', 1533034975.5458195, 1533035153.7876155]]]
['blobDetector_multi-8a3fbb77-bdc9-48e1-ad34-36f9d9cab7b4', 'processing', 'memory', 'tcp://10.21.255.232:36424', 47217465390848, [['compute', 1533034974.6268358, 1533035153.9707868]]]
['blobDetector_multi-a2c3197b-b30c-4529-a1d9-e430486a8165', 'processing', 'memory', 'tcp://10.21.255.232:45772', 47218472023808, [['compute', 1533034973.8190064, 1533035154.6852596]]]
['blobDetector_multi-946ff29b-16e9-4900-bf60-5e1190c6d960', 'processing', 'memory', 'tcp://10.21.255.232:42839', 47221491926784, [['compute', 1533034976.5210822, 1533035155.30164]]]
['blobDetector_multi-a41eb5f8-ca78-4e9f-8015-919da0c4e516', 'processing', 'memory', 'tcp://10.21.255.232:46085', 47220485281536, [['compute', 1533034954.050942, 1533035156.464918]]]
['blobDetector_multi-7e89175b-a386-4ff9-a7eb-f218f513a5c1', 'processing', 'memory', 'tcp://10.21.255.232:33754', 47219076003584, [['compute', 1533034982.134636, 1533035160.5603068]]]
['blobDetector_multi-8d6e1858-5d13-4ac0-a14b-701fee4c8bd3', 'processing', 'memory', 'tcp://10.21.255.232:38027', 47219679983360, [['compute', 1533034963.066277, 1533035167.0275538]]]
