['blobDetector_multi-3bd5f492-d3b6-418d-9808-b6ffcc604e2f', 'processing', 'memory', 'tcp://10.21.248.140:38467', 47929557546752, [['compute', 1533221010.1543155, 1533221194.7508125]]]
['blobDetector_multi-ce40e8c7-ad71-4026-a8e2-fac05e47627b', 'processing', 'memory', 'tcp://10.21.248.145:45999', 46918294337280, [['compute', 1533221010.172429, 1533221194.759087]]]
['blobDetector_multi-dffd90d4-ac12-4c5e-8a11-e2a33f3b98e8', 'processing', 'memory', 'tcp://10.21.248.147:40333', 47273702618880, [['compute', 1533221010.174286, 1533221194.80632]]]
['blobDetector_multi-5eef646e-4d4a-426d-baf8-e7ff804409ab', 'processing', 'memory', 'tcp://10.21.248.145:33580', 46917891421952, [['compute', 1533221010.1589606, 1533221194.8320775]]]
['blobDetector_multi-44879291-c02a-4390-912b-1a6fd4ea3a90', 'processing', 'memory', 'tcp://10.21.248.140:45711', 47932376131328, [['compute', 1533221010.1545196, 1533221194.8507347]]]
['blobDetector_multi-951931c0-d440-4b34-924e-140b06c0831c', 'processing', 'memory', 'tcp://10.21.248.139:46372', 47717089019648, [['compute', 1533221010.1644454, 1533221194.9074454]]]
['blobDetector_multi-fad4b0c9-3f77-4ee5-aa58-4b8f5afe484d', 'processing', 'memory', 'tcp://10.21.248.145:38262', 46919502034688, [['compute', 1533221010.1795855, 1533221194.9138606]]]
['blobDetector_multi-2cab433e-1782-4888-ab75-2da451255fc3', 'processing', 'memory', 'tcp://10.21.248.139:37511', 47719910508288, [['compute', 1533221010.1507797, 1533221194.9986477]]]
['blobDetector_multi-5b7bd3ca-78cc-40b0-a772-e5e3d39da78f', 'processing', 'memory', 'tcp://10.21.248.143:43368', 47544084244224, [['compute', 1533221010.1581569, 1533221195.040823]]]
['blobDetector_multi-9a3e0c09-dcec-4487-8ddb-517125502334', 'processing', 'memory', 'tcp://10.21.248.140:38527', 47930765506304, [['compute', 1533221010.165649, 1533221195.150116]]]
['blobDetector_multi-fb6d5372-26ac-4c7e-b508-6172aa63bdb1', 'processing', 'memory', 'tcp://10.21.248.145:44677', 46918898059008, [['compute', 1533221010.1810732, 1533221195.3400602]]]
['blobDetector_multi-66a685e3-3653-478d-a238-cd10c6c64056', 'processing', 'memory', 'tcp://10.21.248.145:38135', 46915691169536, [['compute', 1533221010.1593206, 1533221195.3794384]]]
['blobDetector_multi-e07c985e-c260-4195-9ffe-928e2f5f7015', 'processing', 'memory', 'tcp://10.21.248.131:41412', 47572806825728, [['compute', 1533221010.1749382, 1533221195.404072]]]
['blobDetector_multi-cd5a8128-ba0d-490c-a268-ab285803caf8', 'processing', 'memory', 'tcp://10.21.248.142:38564', 47766547990272, [['compute', 1533221010.171955, 1533221195.4596372]]]
['blobDetector_multi-92f7b57f-eb45-4019-ad23-483a983ee37c', 'processing', 'memory', 'tcp://10.21.248.139:33882', 47720110790400, [['compute', 1533221010.1642175, 1533221195.4646585]]]
['blobDetector_multi-4919bf32-981f-4918-9850-4299fe9fccc0', 'processing', 'memory', 'tcp://10.21.248.142:41664', 47768158603008, [['compute', 1533221010.156882, 1533221195.487986]]]
['blobDetector_multi-29529056-624d-4a36-b5dd-998e027632df', 'processing', 'memory', 'tcp://10.21.248.139:36042', 47717694863104, [['compute', 1533221010.1518774, 1533221195.5147185]]]
['blobDetector_multi-cd371779-9e60-440e-9b1f-2e5fd0c55201', 'processing', 'memory', 'tcp://10.21.248.140:40518', 47929154893568, [['compute', 1533221010.1726198, 1533221195.534381]]]
['blobDetector_multi-38db79f7-315f-4900-828f-4e5f5b56684e', 'processing', 'memory', 'tcp://10.21.248.140:34004', 47930966832896, [['compute', 1533221010.1532507, 1533221195.5446258]]]
['blobDetector_multi-2d90e053-0409-4fc8-b2a8-2ad769a73c4a', 'processing', 'memory', 'tcp://10.21.248.139:39363', 47719305475840, [['compute', 1533221010.1512895, 1533221195.5876174]]]
['blobDetector_multi-df62def8-bdcf-4f46-9a8d-5bc7f2b2b684', 'processing', 'memory', 'tcp://10.21.248.139:36547', 47720916363008, [['compute', 1533221010.1741612, 1533221195.5885572]]]
['blobDetector_multi-f7016703-0028-49e2-b4dd-29b572b9f841', 'processing', 'memory', 'tcp://10.21.248.142:36159', 47769771603712, [['compute', 1533221010.178538, 1533221195.591129]]]
['blobDetector_multi-2851f864-6231-4802-a64d-ca535ce9db6b', 'processing', 'memory', 'tcp://10.21.248.139:34114', 47719507089152, [['compute', 1533221010.1498086, 1533221195.6960118]]]
['blobDetector_multi-d3ed90d4-c79d-433c-bb40-5e55201b2556', 'processing', 'memory', 'tcp://10.21.248.147:44169', 47272293332736, [['compute', 1533221010.1732254, 1533221195.7582314]]]
['blobDetector_multi-dfd77784-d1ba-42ce-bd33-2f80a4f8adef', 'processing', 'memory', 'tcp://10.21.248.140:45500', 47928750376704, [['compute', 1533221010.1741855, 1533221195.8943837]]]
['blobDetector_multi-f4b31bad-7cc0-420a-b130-35bcb937ba50', 'processing', 'memory', 'tcp://10.21.248.139:41032', 47718299105024, [['compute', 1533221010.177693, 1533221195.960765]]]
['blobDetector_multi-aef5b0b5-a8cd-41ae-b90d-2f08a91df79c', 'processing', 'memory', 'tcp://10.21.248.147:32921', 47271890679552, [['compute', 1533221010.1674345, 1533221195.9820735]]]
['blobDetector_multi-b02a49aa-ff3f-424f-ad7a-3c4ee49040a5', 'processing', 'memory', 'tcp://10.21.248.147:44415', 47275514558208, [['compute', 1533221010.1682184, 1533221195.9865134]]]
['blobDetector_multi-890b9e3f-67cf-4a79-923e-72df6520ef14', 'processing', 'memory', 'tcp://10.21.248.147:45224', 47274105272064, [['compute', 1533221010.1627126, 1533221196.0428984]]]
['blobDetector_multi-1270cd6f-ae3c-4345-b394-e4266f0d4ecc', 'processing', 'memory', 'tcp://10.21.248.131:35061', 47572404172544, [['compute', 1533221010.1479466, 1533221196.0708015]]]
['blobDetector_multi-86b1d4e5-d06d-4399-a734-5b18a05fffe8', 'processing', 'memory', 'tcp://10.21.248.147:44271', 47273099687680, [['compute', 1533221010.1626573, 1533221196.0733383]]]
