['blobDetector_multi-870c5dc5-4a4b-4f88-9c68-fee856b7ceb8', 'processing', 'memory', 'tcp://10.21.251.200:36669', 47879358252800, [['compute', 1532676781.9521291, 1532676966.4516711]]]
['blobDetector_multi-53996cdc-0eb1-4e08-99ae-cab23aea7d15', 'processing', 'memory', 'tcp://10.21.251.215:41999', 47312153876224, [['compute', 1532676781.9497964, 1532676966.5796325]]]
['blobDetector_multi-d20937a8-7e12-4c92-b5bb-99e6dbb95e1a', 'processing', 'memory', 'tcp://10.21.251.215:42325', 47310142732032, [['compute', 1532676781.9543557, 1532676967.0243976]]]
['blobDetector_multi-282b7620-5b92-4483-962f-20d221d24a58', 'processing', 'memory', 'tcp://10.21.251.200:43065', 47880769402624, [['compute', 1532676781.9481895, 1532676967.1589625]]]
['blobDetector_multi-1f4cee13-aa01-4600-960b-cae8e3383dbc', 'processing', 'memory', 'tcp://10.21.251.200:42895', 47879205250816, [['compute', 1532676781.9486618, 1532676968.1397448]]]
['blobDetector_multi-bb9177c0-60b3-4628-9653-f28cc3d6b8a9', 'processing', 'memory', 'tcp://10.21.251.215:37194', 47310545385216, [['compute', 1532676781.9535012, 1532676968.3872411]]]
['blobDetector_multi-74e95f0a-675d-4a10-98d1-01c4aaaa18a7', 'processing', 'memory', 'tcp://10.21.251.200:39245', 47880366749440, [['compute', 1532676781.9510117, 1532676969.1647878]]]
['blobDetector_multi-01c9f46a-ca42-4439-ae59-4dc75ade2a01', 'processing', 'memory', 'tcp://10.21.251.200:33805', 47880165422848, [['compute', 1532676781.9469395, 1532676969.3927135]]]
['blobDetector_multi-155904c6-7e4f-47f0-80ee-00152746843e', 'processing', 'memory', 'tcp://10.21.251.200:40536', 47880970729216, [['compute', 1532676781.9477797, 1532676970.3356407]]]
['blobDetector_multi-72cb8da2-bac4-4eef-8584-a8f5b9dbc299', 'processing', 'memory', 'tcp://10.21.251.200:34369', 47879360116480, [['compute', 1532676781.9511793, 1532676970.3619075]]]
['blobDetector_multi-1337199d-f397-4624-a71d-b50fd15b441d', 'processing', 'memory', 'tcp://10.21.251.200:39399', 47879203149568, [['compute', 1532676781.9473524, 1532676970.3935704]]]
['blobDetector_multi-1da73ca5-82b7-4575-88a9-ea983a2c0cc6', 'processing', 'memory', 'tcp://10.21.251.200:40738', 47882380015360, [['compute', 1532676781.9476812, 1532676970.4258013]]]
['blobDetector_multi-55aac69d-5c87-4f0d-a15c-a2b4bcab1fa2', 'processing', 'memory', 'tcp://10.21.251.215:42823', 47310948300544, [['compute', 1532676781.9502654, 1532676971.4239485]]]
['blobDetector_multi-28ad48f9-81a7-41b6-9647-5e66a3b2f7e3', 'processing', 'memory', 'tcp://10.21.251.200:44170', 47882984003328, [['compute', 1532676781.948363, 1532676976.9021192]]]
['blobDetector_multi-8eff90dc-1af9-4160-a20c-16f129c4f366', 'processing', 'memory', 'tcp://10.21.251.200:43018', 47880568338176, [['compute', 1532676781.9524586, 1532676976.9292786]]]
['blobDetector_multi-fe1fcd13-79de-4b34-81df-cfe763c8cef6', 'processing', 'memory', 'tcp://10.21.251.215:46706', 47310746711808, [['compute', 1532676781.9550016, 1532676977.9402006]]]
['blobDetector_multi-8bad6b0c-cb07-4dec-8275-72df4e222f46', 'processing', 'memory', 'tcp://10.21.251.200:40692', 47881574708992, [['compute', 1532676781.952591, 1532676978.9188437]]]
['blobDetector_multi-0d90fe46-859d-4554-9b69-964f6595cf7f', 'processing', 'memory', 'tcp://10.21.251.200:37433', 47879562491648, [['compute', 1532676781.9471974, 1532676978.9274774]]]
