['blobDetector_multi-3e077346-abb1-418d-bac6-547048586fa6', 'processing', 'memory', 'tcp://10.21.254.253:34907', 47793729468160, [['compute', 1532935942.1956701, 1532936121.408771]]]
['blobDetector_multi-3818088c-21c9-4142-89ae-d8520412a35f', 'processing', 'memory', 'tcp://10.21.254.253:32991', 47791311423232, [['compute', 1532935934.6745758, 1532936121.4755378]]]
['blobDetector_multi-3eb17c0a-43ff-4b36-b6ab-2a3dd02a834e', 'processing', 'memory', 'tcp://10.21.254.253:36068', 47793326552832, [['compute', 1532935944.9846876, 1532936124.1809137]]]
['blobDetector_multi-4375245b-9d62-4c3e-847d-32c8a8278df5', 'processing', 'memory', 'tcp://10.21.254.253:36853', 47791715940096, [['compute', 1532935949.0374913, 1532936124.3925881]]]
['blobDetector_multi-58f538f4-2242-4679-b925-684e8f703cd3', 'processing', 'memory', 'tcp://10.21.254.253:44902', 47792923899648, [['compute', 1532935940.051899, 1532936124.4280078]]]
['blobDetector_multi-549becc4-9d93-421f-ad07-43426a44e19c', 'processing', 'memory', 'tcp://10.21.254.253:41137', 47794131863296, [['compute', 1532935936.7437413, 1532936126.7493293]]]
['blobDetector_multi-3d5b0882-a5bf-4688-9679-9f65c58fad9b', 'processing', 'memory', 'tcp://10.21.254.253:34040', 47795339831040, [['compute', 1532935944.072643, 1532936129.034593]]]
['blobDetector_multi-4cc8abcc-fae8-4084-ae52-8dc05d6fef16', 'processing', 'memory', 'tcp://10.21.254.253:37784', 47794937161472, [['compute', 1532935945.144661, 1532936129.354929]]]
['blobDetector_multi-56df295b-39ac-492b-9d07-695da28e95a1', 'processing', 'memory', 'tcp://10.21.254.253:43253', 47792118593280, [['compute', 1532935942.578894, 1532936130.0378067]]]
['blobDetector_multi-54033917-7de8-4488-a707-22f9b0070dad', 'processing', 'memory', 'tcp://10.21.254.253:38629', 47791514613504, [['compute', 1532935956.0467799, 1532936140.6194499]]]
['blobDetector_multi-428985e0-843d-45a1-aed0-3653afa7714a', 'processing', 'memory', 'tcp://10.21.254.253:36372', 47794333189888, [['compute', 1532935958.6843684, 1532936140.8264234]]]
['blobDetector_multi-56f2f495-aaa8-4eae-906d-46b1a8e1a259', 'processing', 'memory', 'tcp://10.21.254.253:43659', 47792319919872, [['compute', 1532935950.6036193, 1532936142.6154404]]]
['blobDetector_multi-45db91c1-07f9-4bfe-a8d7-b428d775b4f4', 'processing', 'memory', 'tcp://10.21.254.253:37353', 47795138758400, [['compute', 1532935981.2685773, 1532936158.3649426]]]
['blobDetector_multi-80d43126-e525-4bd8-b0aa-40046c45997f', 'processing', 'memory', 'tcp://10.21.254.253:45863', 47791313286912, [['compute', 1532936110.3434675, 1532936284.3488345]]]
['blobDetector_multi-61454eca-4ce8-44b9-9acd-5212160b8b57', 'processing', 'memory', 'tcp://10.21.254.253:33445', 47791917266688, [['compute', 1532936114.638067, 1532936293.969059]]]
['blobDetector_multi-7bd75a34-5800-4c54-9aa3-9597c90cdae1', 'processing', 'memory', 'tcp://10.21.254.253:44902', 47792923899648, [['compute', 1532936124.429815, 1532936294.357278]]]
['blobDetector_multi-6215371c-4524-4af4-b588-231acb6ec4bd', 'processing', 'memory', 'tcp://10.21.254.253:34805', 47792521508608, [['compute', 1532936115.564191, 1532936295.9888442]]]
['blobDetector_multi-8086afcc-c4ac-4b42-ae1a-afe5c208f8f8', 'processing', 'memory', 'tcp://10.21.254.253:45250', 47792722573056, [['compute', 1532936119.7392492, 1532936299.4555333]]]
['blobDetector_multi-7bd40e5e-03e6-4ff8-8934-b81d929d97e3', 'processing', 'memory', 'tcp://10.21.254.253:43918', 47793527879424, [['compute', 1532936118.7136924, 1532936299.5546553]]]
['blobDetector_multi-6eb2d5ef-e2a6-4d56-8a14-909f1942605c', 'processing', 'memory', 'tcp://10.21.254.253:37862', 47794735847168, [['compute', 1532936116.401809, 1532936299.779815]]]
['blobDetector_multi-6232a199-a84a-491b-a142-001482666b81', 'processing', 'memory', 'tcp://10.21.254.253:34907', 47793729468160, [['compute', 1532936121.4128144, 1532936299.9756086]]]
['blobDetector_multi-637c2e44-c394-473a-bd71-6f916823bc42', 'processing', 'memory', 'tcp://10.21.254.253:36068', 47793326552832, [['compute', 1532936124.1876292, 1532936301.014184]]]
['blobDetector_multi-61ded328-f3a9-4c49-af94-e5f21be36566', 'processing', 'memory', 'tcp://10.21.254.253:34040', 47795339831040, [['compute', 1532936129.0452054, 1532936301.5094354]]]
