['blobDetector_multi-4267bf9c-9ceb-4120-993f-bf47c6af2127', 'processing', 'memory', 'tcp://10.21.253.46:33236', 47462077200128, [['compute', 1533284549.3942578, 1533284756.3792958]]]
['blobDetector_multi-169c9564-52da-4e27-aee6-0309ee47d455', 'processing', 'memory', 'tcp://10.21.253.22:39848', 47453285938944, [['compute', 1533284549.3876035, 1533284757.4663785]]]
['blobDetector_multi-3998e61c-d322-417f-9267-9742b629c78a', 'processing', 'memory', 'tcp://10.21.253.22:36073', 47453084620544, [['compute', 1533284549.3930833, 1533284758.2037094]]]
['blobDetector_multi-4b96de66-7568-4a65-a008-b9de801fd366', 'processing', 'memory', 'tcp://10.21.253.22:33720', 47449899243264, [['compute', 1533284549.3956401, 1533284758.7113771]]]
['blobDetector_multi-c057fefe-04f8-4b44-aee9-c1ee69e34dd2', 'processing', 'memory', 'tcp://10.21.253.45:35063', 47276319864576, [['compute', 1533284726.7935297, 1533284900.4721997]]]
['blobDetector_multi-e328d272-73d7-4ff1-8c77-2f542fde6a79', 'processing', 'memory', 'tcp://10.21.253.45:45563', 47276118537984, [['compute', 1533284723.1152494, 1533284901.9224844]]]
['blobDetector_multi-bd0bb140-5c59-4f37-a1bb-3a5c500b1fbe', 'processing', 'memory', 'tcp://10.21.253.45:33773', 47275917211392, [['compute', 1533284721.696362, 1533284903.454885]]]
['blobDetector_multi-e21da606-2d76-42f7-84a0-43444a4e4d23', 'processing', 'memory', 'tcp://10.21.253.45:43368', 47277326497536, [['compute', 1533284725.2843928, 1533284904.983387]]]
['blobDetector_multi-daa11191-7a89-4197-b36f-2b096de9aad6', 'processing', 'memory', 'tcp://10.21.253.45:41156', 47277125170944, [['compute', 1533284726.032901, 1533284906.7011921]]]
['blobDetector_multi-e4f11bc5-5bcf-4196-b731-738ddf21f26d', 'processing', 'memory', 'tcp://10.21.253.45:45776', 47279138436864, [['compute', 1533284727.4580922, 1533284907.009684]]]
['blobDetector_multi-e54b5e4f-5519-4e96-96ac-344f9c437924', 'processing', 'memory', 'tcp://10.21.253.46:32819', 47465701095168, [['compute', 1533284731.6527934, 1533284907.1547203]]]
['blobDetector_multi-f69200af-9274-4864-a44a-8c3e7783dcdf', 'processing', 'memory', 'tcp://10.21.253.46:42914', 47463687812864, [['compute', 1533284728.654401, 1533284907.520977]]]
['blobDetector_multi-d6ab5e07-85a1-4444-a5bb-a6751b266dfd', 'processing', 'memory', 'tcp://10.21.253.45:39461', 47275568649984, [['compute', 1533284729.7715893, 1533284908.1773794]]]
['blobDetector_multi-df6fcfe2-deea-4738-9c12-57b937347b45', 'processing', 'memory', 'tcp://10.21.253.45:42312', 47276521191168, [['compute', 1533284729.9662263, 1533284908.2670903]]]
['blobDetector_multi-e85fe61b-7656-4208-976c-e6a959f3b322', 'processing', 'memory', 'tcp://10.21.253.46:35099', 47464694445824, [['compute', 1533284732.6682417, 1533284908.410363]]]
['blobDetector_multi-e4f7b178-7023-42ca-abf5-7b333c910cca', 'processing', 'memory', 'tcp://10.21.253.45:46002', 47277527824128, [['compute', 1533284730.7604718, 1533284909.022374]]]
['blobDetector_multi-f53c9999-97cc-455d-b663-935dce7ba67f', 'processing', 'memory', 'tcp://10.21.253.46:41963', 47465497650944, [['compute', 1533284734.205051, 1533284909.138423]]]
['blobDetector_multi-c0fafa5d-e033-41a7-aa7d-3e851039e4ff', 'processing', 'memory', 'tcp://10.21.253.45:36325', 47278735783680, [['compute', 1533284734.0599735, 1533284909.8888464]]]
['blobDetector_multi-f52a4b71-8a1a-4c32-badb-0351337e40ce', 'processing', 'memory', 'tcp://10.21.253.46:41687', 47461919446784, [['compute', 1533284733.915439, 1533284909.905887]]]
['blobDetector_multi-bf3dc2cb-8d24-43e3-aca1-d9e8c39a134c', 'processing', 'memory', 'tcp://10.21.253.45:34532', 47276722517760, [['compute', 1533284729.155757, 1533284909.9738731]]]
['blobDetector_multi-f2d0d35d-cb5e-48c8-88b7-66d0afa16203', 'processing', 'memory', 'tcp://10.21.253.46:40172', 47462278526720, [['compute', 1533284732.169287, 1533284910.014367]]]
