['blobDetector_multi-91ad959a-eb69-4d6b-b733-60859a9bfa7b', 'processing', 'memory', 'tcp://10.21.255.72:40470', 47436104206080, [['compute', 1532856229.102458, 1532856406.3668058]]]
['blobDetector_multi-f3402f3a-cca5-4ea0-93fa-873ae2d4c83c', 'processing', 'memory', 'tcp://10.21.255.76:44409', 47545963280128, [['compute', 1532856229.1158106, 1532856406.3847175]]]
['blobDetector_multi-6cd68d87-2fa0-4e88-a6bc-3211c340ee0c', 'processing', 'memory', 'tcp://10.21.255.83:35811', 47075999905536, [['compute', 1532856229.0965068, 1532856406.4282808]]]
['blobDetector_multi-4ab7539b-6125-4550-93df-a43ab2e7a5f3', 'processing', 'memory', 'tcp://10.21.255.72:44674', 47440132585216, [['compute', 1532856229.0890188, 1532856406.5185308]]]
['blobDetector_multi-cf8e7b46-ac77-48c0-adf0-801e77862cae', 'processing', 'memory', 'tcp://10.21.255.50:46618', 47208808613632, [['compute', 1532856229.1109574, 1532856406.6098084]]]
['blobDetector_multi-1ac42744-4325-456c-8746-5790bee83d3c', 'processing', 'memory', 'tcp://10.21.255.50:39908', 47204822861568, [['compute', 1532856229.083169, 1532856406.742711]]]
['blobDetector_multi-d16818ed-3fd9-4ce4-a908-fcdb86d86703', 'processing', 'memory', 'tcp://10.21.255.72:36884', 47436106069760, [['compute', 1532856229.110986, 1532856406.955636]]]
['blobDetector_multi-0c9d7b09-93d0-456c-9aff-c0fe2463ffbb', 'processing', 'memory', 'tcp://10.21.255.47:41988', 47493484148480, [['compute', 1532856229.082393, 1532856406.99034]]]
['blobDetector_multi-897854be-ccf3-405d-9be9-5b6ea8650406', 'processing', 'memory', 'tcp://10.21.255.50:44684', 47205989775104, [['compute', 1532856229.101147, 1532856406.99089]]]
['blobDetector_multi-7c027466-66df-418b-9850-a71a0cff59d4', 'processing', 'memory', 'tcp://10.21.255.98:37577', 47156463437568, [['compute', 1532856229.098532, 1532856407.085123]]]
['blobDetector_multi-3ade20c0-17bd-4bbb-a3f6-e5c97ea4d9da', 'processing', 'memory', 'tcp://10.21.255.72:37212', 47436307396352, [['compute', 1532856229.0876327, 1532856407.0996108]]]
['blobDetector_multi-7796d202-4d08-4f47-944f-964756e76258', 'processing', 'memory', 'tcp://10.21.255.83:46258', 47073031489280, [['compute', 1532856229.0976467, 1532856407.3039527]]]
['blobDetector_multi-4c99979b-accd-4ce6-9041-6f09ee06942e', 'processing', 'memory', 'tcp://10.21.255.75:32772', 47850973067008, [['compute', 1532856229.0892403, 1532856407.3752263]]]
['blobDetector_multi-69c910d1-84b9-4729-87cb-63c8fc75439f', 'processing', 'memory', 'tcp://10.21.255.83:34177', 47077207860992, [['compute', 1532856229.0961475, 1532856407.4394045]]]
['blobDetector_multi-b6108fc4-e271-41cf-8530-a85a2f04f4da', 'processing', 'memory', 'tcp://10.21.255.72:41897', 47435962246912, [['compute', 1532856229.106841, 1532856407.496828]]]
['blobDetector_multi-0f1b227a-0aa8-4fc5-a5cc-e8edafada551', 'processing', 'memory', 'tcp://10.21.255.47:45666', 47494893434624, [['compute', 1532856229.0822737, 1532856407.5739226]]]
['blobDetector_multi-ce3ea442-3c7d-4260-aef3-2d2cff3e8385', 'processing', 'memory', 'tcp://10.21.255.47:41547', 47492074862336, [['compute', 1532856229.1109629, 1532856407.6344779]]]
['blobDetector_multi-a4b9da62-6509-43ab-8306-77f08122843f', 'processing', 'memory', 'tcp://10.21.255.83:45299', 47076603897600, [['compute', 1532856229.105183, 1532856407.640699]]]
['blobDetector_multi-2a988a3c-1f16-4c33-8aa4-25ffd8aefa6e', 'processing', 'memory', 'tcp://10.21.255.68:38619', 47185588680448, [['compute', 1532856229.085637, 1532856407.792051]]]
['blobDetector_multi-75573f59-0751-44ba-aee1-b0e889c3d068', 'processing', 'memory', 'tcp://10.21.255.83:45004', 47073785313024, [['compute', 1532856229.0972035, 1532856407.9529195]]]
['blobDetector_multi-e6919199-e171-4320-8adf-038d9e366728', 'processing', 'memory', 'tcp://10.21.255.50:38728', 47206392428288, [['compute', 1532856229.114085, 1532856408.011376]]]
['blobDetector_multi-5480591d-5013-4d7c-9e8c-fb542fe705bd', 'processing', 'memory', 'tcp://10.21.255.75:40680', 47854597220096, [['compute', 1532856229.0902824, 1532856408.0370555]]]
