Produce_batch_Start,Produce_batch_end,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
384000,392000,61,8000,30312.0,6511.00857528
392000,400000,62,8000,30805.0,6496.71780065
400000,408000,63,8000,31287.0,6524.29169911
408000,416000,64,8000,31797.0,6511.2714625
416000,424000,65,8000,32286.0,6495.92087387
424000,432000,66,8000,32767.0,6479.87802654
432000,440000,67,8000,33248.0,6455.97750309
440000,448000,68,8000,33732.0,6439.07336025
448000,456000,69,8000,34235.0,6501.40720478
456000,464000,70,8000,34727.0,6560.44225582
464000,472000,71,8000,35229.0,6585.07503572
472000,480000,72,8000,35738.0,6512.93515952
480000,488000,73,8000,36230.0,6441.04122675
488000,496000,74,8000,36735.0,6494.45231914
496000,504000,75,8000,37228.0,6544.91709146
504000,512000,76,8000,37722.0,6586.54160208
512000,520000,77,8000,38219.0,6627.80847944
520000,528000,78,8000,38710.0,6668.02965907
528000,536000,79,8000,39218.0,6691.90322228
536000,544000,80,8000,39711.0,6713.08403019
544000,552000,81,8000,40200.0,6733.2813608
552000,560000,82,8000,40686.0,6752.8709803
560000,568000,83,8000,41165.0,6789.58215164
568000,576000,84,8000,41661.0,6809.43230955
576000,584000,85,8000,42164.0,6830.20564102
584000,592000,86,8000,42665.0,6849.8462683
592000,600000,87,8000,43162.0,6886.06173527
600000,608000,88,8000,43663.0,6935.09878049
608000,616000,89,8000,44163.0,6981.47005005
616000,624000,90,8000,44660.0,7016.0961992
624000,632000,91,8000,45157.0,7052.73079508
632000,640000,92,8000,45656.0,7086.73047392
640000,648000,93,8000,46161.0,7128.66374564
648000,656000,94,8000,46639.0,7160.3207532
656000,664000,95,8000,47132.0,7192.7821728
664000,672000,96,8000,47631.0,7208.25115969
672000,680000,97,8000,48133.0,7223.43530464
680000,688000,98,8000,48640.0,7269.89544456
688000,696000,99,8000,49118.0,7299.23952273
696000,704000,100,8000,49615.0,7330.93190729
704000,712000,101,8000,50105.0,7344.22299283
712000,720000,102,8000,50592.0,7356.99990993
720000,728000,103,8000,51102.0,7383.04969257
728000,736000,104,8000,51593.0,7395.23094955
736000,744000,105,8000,52095.0,7425.82710128
744000,752000,106,8000,52601.0,7439.60838111
752000,760000,107,8000,53104.0,7452.70867785
760000,768000,108,8000,53600.0,7480.46702215
768000,776000,109,8000,54079.0,7490.56342441
776000,784000,110,8000,54580.0,7502.44572302
784000,792000,111,8000,55093.0,7516.03963195
792000,800000,112,8000,55605.0,7529.00508549
800000,808000,113,8000,56105.0,7556.74706039
808000,816000,114,8000,56596.0,7582.91243335
816000,824000,115,8000,57088.0,7604.47147461
824000,832000,116,8000,57583.0,7614.52249075
832000,840000,117,8000,58080.0,7653.01274803
840000,848000,118,8000,58572.0,7688.15477756
848000,856000,119,8000,59073.0,7720.07652933
856000,864000,120,8000,59566.0,7744.39105261
864000,872000,121,8000,60059.0,7768.60792153
872000,880000,122,8000,60553.0,7793.36735116
880000,888000,123,8000,61041.0,7801.16153245
888000,896000,124,8000,61520.0,7808.2451988
896000,904000,125,8000,62016.0,7843.59453838
904000,912000,126,8000,62517.0,7876.21094686
912000,920000,127,8000,63015.0,7893.20106487
920000,928000,128,8000,63508.0,7898.8644726
928000,936000,129,8000,64012.0,7932.39491673
936000,944000,130,8000,64508.0,7953.40995367
944000,952000,131,8000,65000.0,7973.95334787
952000,960000,132,8000,65489.0,7948.07039943
960000,968000,133,8000,65976.0,7978.39909888
968000,976000,134,8000,66478.0,8008.25411677
976000,984000,135,8000,66980.0,8037.66768475
984000,992000,136,8000,67482.0,8067.55880285
992000,1000000,137,8000,67982.0,8089.2268816
0,8000,138,8000,68473.0,6869.8144552
8000,16000,139,8000,68977.0,6853.95730606
16000,24000,140,8000,69482.0,6866.49075337
24000,32000,141,8000,69987.0,6897.31630568
32000,40000,142,8000,70492.0,6920.48112088
40000,48000,143,8000,70996.0,6942.52055315
48000,56000,144,8000,71501.0,6965.79338409
56000,64000,145,8000,72006.0,6976.96521493
64000,72000,146,8000,72511.0,7007.06757306
72000,80000,147,8000,73015.0,7028.58688266
80000,88000,148,8000,73520.0,7050.97285083
88000,96000,149,8000,74025.0,7072.93651447
96000,104000,150,8000,74530.0,7083.1390076
104000,112000,151,8000,75033.0,7101.1537651
112000,120000,152,8000,75535.0,7129.28668485
120000,128000,153,8000,76037.0,7157.27425361
128000,136000,154,8000,76539.0,7177.90039297
136000,144000,155,8000,77041.0,7203.45350334
144000,152000,156,8000,77543.0,7229.26518449
152000,160000,157,8000,78045.0,7254.4670507
160000,168000,158,8000,78547.0,7282.83696906
168000,176000,159,8000,79049.0,7308.10203144
176000,184000,160,8000,79551.0,7336.52999224
184000,192000,161,8000,80053.0,7355.74709566
192000,200000,162,8000,80555.0,7364.41710674
200000,208000,163,8000,81057.0,7388.47483418
208000,216000,164,8000,81555.0,7411.94479139
216000,224000,165,8000,82053.0,7430.28962602
224000,232000,166,8000,82551.0,7451.95299771
232000,240000,167,8000,83050.0,7475.99842443
240000,248000,168,8000,83548.0,7499.24484661
248000,256000,169,8000,84046.0,7516.82802592
256000,264000,170,8000,84544.0,7524.10199466
264000,272000,171,8000,85042.0,7542.09896073
272000,280000,172,8000,85540.0,7549.30656196
280000,288000,173,8000,86038.0,7556.392536
288000,296000,174,8000,86537.0,7563.44527177
296000,304000,175,8000,87035.0,7565.83776843
304000,312000,176,8000,87533.0,7572.44071472
312000,320000,177,8000,88031.0,7579.48079602
320000,328000,178,8000,88528.0,7586.46697531
328000,336000,179,8000,89026.0,7593.27423337
336000,344000,180,8000,89524.0,7600.11007769
344000,352000,181,8000,90022.0,7606.80976516
352000,360000,182,8000,90520.0,7623.67542583
360000,368000,183,8000,91017.0,7640.43087188
368000,376000,184,8000,91515.0,7657.06773769
376000,384000,185,8000,92012.0,7673.51194413
384000,392000,186,8000,92510.0,7679.68682028
392000,400000,187,8000,93008.0,7682.72009407
400000,408000,188,8000,93506.0,7699.11520583
408000,416000,189,8000,94010.0,7706.11040166
416000,424000,190,8000,94514.0,7712.97177996
424000,432000,191,8000,95018.0,7719.83760242
432000,440000,192,8000,95522.0,7726.64614347
440000,448000,193,8000,96026.0,7743.3278315
448000,456000,194,8000,96530.0,7749.97312272
456000,464000,195,8000,97034.0,7766.44599442
464000,472000,196,8000,97538.0,7782.62154376
472000,480000,197,8000,98041.0,7788.81616577
480000,488000,198,8000,98545.0,7795.01431769
488000,496000,199,8000,99049.0,7810.85443759
496000,504000,200,8000,99553.0,7814.3028553
504000,512000,201,8000,100060.0,7837.11830304
512000,520000,202,8000,100570.0,7853.01694001
520000,528000,203,8000,101080.0,7868.82449917
528000,536000,204,8000,101590.0,7884.49501138
536000,544000,205,8000,102100.0,7900.01927601
544000,552000,206,8000,102610.0,7915.45509539
552000,560000,207,8000,103120.0,7920.98070608
560000,568000,208,8000,103630.0,7936.22350214
568000,576000,209,8000,104140.0,7941.6009512
576000,584000,210,8000,104650.0,7946.20175558
584000,592000,211,8000,105159.0,7950.43348853
592000,600000,212,8000,105669.0,7951.84749547
600000,608000,213,8000,106179.0,7956.30444343
608000,616000,214,8000,106652.0,7958.95601455
616000,624000,215,8000,107125.0,7970.87874364
624000,632000,216,8000,107598.0,7972.78415891
632000,640000,217,8000,108071.0,7974.62188383
640000,648000,218,8000,108544.0,7986.15785323
648000,656000,219,8000,109017.0,7997.74211439
656000,664000,220,8000,109490.0,8009.31412453
664000,672000,221,8000,109963.0,8020.8599975
672000,680000,222,8000,110436.0,8039.02136242
680000,688000,223,8000,110908.0,8050.48627009
688000,696000,224,8000,111381.0,8059.08594686
696000,704000,225,8000,111854.0,8061.08829038
704000,712000,226,8000,112333.0,8063.25815693
712000,720000,227,8000,112818.0,8065.51581037
720000,728000,228,8000,113303.0,8067.68991627
728000,736000,229,8000,113788.0,8069.8477378
736000,744000,230,8000,114274.0,8072.0554859
744000,752000,231,8000,114759.0,8074.09261654
752000,760000,232,8000,115244.0,8084.2330211
760000,768000,233,8000,115729.0,8086.41926193
768000,776000,234,8000,116214.0,8097.71944417
776000,784000,235,8000,116699.0,8099.84246317
784000,792000,236,8000,117184.0,8107.33580647
792000,800000,237,8000,117670.0,8109.3252371
800000,808000,238,8000,118155.0,8111.95580772
808000,816000,239,8000,118651.0,8115.19161337
816000,824000,240,8000,119147.0,8118.3456586
824000,832000,241,8000,119643.0,8121.46756275
832000,840000,242,8000,120140.0,8124.68923065
840000,848000,243,8000,120636.0,8127.77850829
848000,856000,244,8000,121132.0,8139.76368085
856000,864000,245,8000,121628.0,8151.82870257
864000,872000,246,8000,122124.0,8154.87446307
872000,880000,247,8000,122621.0,8158.03540441
880000,888000,248,8000,123117.0,8158.67500534
888000,896000,249,8000,123613.0,8170.19228845
896000,904000,250,8000,124109.0,8173.10497543
904000,912000,251,8000,124613.0,8184.96934152
912000,920000,252,8000,125124.0,8188.60790751
920000,928000,253,8000,125635.0,8192.25891693
928000,936000,254,8000,126147.0,8195.89483289
936000,944000,255,8000,126658.0,8199.70089568
944000,952000,256,8000,127169.0,8203.37350527
952000,960000,257,8000,127680.0,8215.40628519
960000,968000,258,8000,128192.0,8219.01955414
968000,976000,259,8000,128703.0,8222.56286761
976000,984000,260,8000,129215.0,8223.79778446
984000,992000,261,8000,129726.0,8227.28470039
992000,1000000,262,8000,130237.0,8230.67859581
1000000,1008000,263,8000,130748.0,8242.41067713
1008000,1016000,264,8000,131252.0,8245.32583224
1016000,1024000,265,8000,131755.0,8262.11668974
1024000,1032000,266,8000,132259.0,8277.65516362
1032000,1040000,267,8000,132762.0,8288.92672898
1040000,1048000,268,8000,133266.0,8291.85414654
1048000,1056000,269,8000,133769.0,8302.9463027
1056000,1064000,270,8000,134273.0,8319.71729821
1064000,1072000,271,8000,134776.0,8329.96596914
1072000,1080000,272,8000,135280.0,8338.54492465
1080000,1088000,273,8000,135783.0,8341.08061688
1088000,1096000,274,8000,136287.0,8343.65217897
1096000,1104000,275,8000,136791.0,8346.16350195
1104000,1112000,276,8000,137291.0,8356.57968929
1112000,1120000,277,8000,137788.0,8366.92133436
1120000,1128000,278,8000,138285.0,8377.1809642
1128000,1136000,279,8000,138783.0,8387.38503232
1136000,1144000,280,8000,139280.0,8389.42995693
1144000,1152000,281,8000,139777.0,8391.42757538
1152000,1160000,282,8000,140274.0,8393.44107685
1160000,1168000,283,8000,140771.0,8408.91912586
1168000,1176000,284,8000,141268.0,8416.57977614
1176000,1184000,285,8000,141766.0,8426.54188234
1184000,1192000,286,8000,142263.0,8428.32420355
1192000,1200000,287,8000,142760.0,8430.04074086
1200000,1208000,288,8000,143257.0,8439.95885488
1208000,1216000,289,8000,143761.0,8442.47515042
1216000,1224000,290,8000,144266.0,8444.95975194
1224000,1232000,291,8000,144770.0,8447.31253339
1232000,1240000,292,8000,145274.0,8449.66598882
1240000,1248000,293,8000,145778.0,8451.9931363
1248000,1256000,294,8000,146282.0,8454.28746027
1256000,1264000,295,8000,146786.0,8464.41300999
1264000,1272000,296,8000,147291.0,8464.48383284
1272000,1280000,297,8000,147795.0,8474.4732587
1280000,1288000,298,8000,148299.0,8484.39627846
1288000,1296000,299,8000,148803.0,8494.3608893
1296000,1304000,300,8000,149307.0,8504.35221831
1304000,1312000,301,8000,149805.0,8513.88593419
1312000,1320000,302,8000,150298.0,8515.20730554
1320000,1328000,303,8000,150791.0,8516.55278283
1328000,1336000,304,8000,151283.0,8525.46721251
1336000,1344000,305,8000,151775.0,8534.36488703
1344000,1352000,306,8000,152268.0,8535.60701909
1352000,1360000,307,8000,152760.0,8544.36296655
1360000,1368000,308,8000,153253.0,8556.79916192
1368000,1376000,309,8000,153746.0,8564.83596486
1376000,1384000,310,8000,154238.0,8566.01330225
1384000,1392000,311,8000,154730.0,8567.19817536
1392000,1400000,312,8000,155223.0,8576.00845065
1400000,1408000,313,8000,155716.0,8584.64121168
1408000,1416000,314,8000,156205.0,8585.52359715
1416000,1424000,315,8000,156695.0,8586.46352912
1424000,1432000,316,8000,157185.0,8587.36917024
1432000,1440000,317,8000,157675.0,8601.04997968
1440000,1448000,318,8000,158165.0,8609.4632543
1448000,1456000,319,8000,158655.0,8617.80941118
1456000,1464000,320,8000,159144.0,8629.5732041
1464000,1472000,321,8000,159634.0,8641.07066601
1472000,1480000,322,8000,160124.0,8653.16326527
1480000,1488000,323,8000,160614.0,8661.10121152
1488000,1496000,324,8000,161104.0,8661.82762711
1496000,1504000,325,8000,161594.0,8670.0353494
1504000,1512000,326,8000,162089.0,8684.03269649
1512000,1520000,327,8000,162590.0,8696.33868717
1520000,1528000,328,8000,163091.0,8710.02479661
1528000,1536000,329,8000,163592.0,8718.4656412
1536000,1544000,330,8000,164094.0,8730.66442285
1544000,1552000,331,8000,164595.0,8739.01015894
1552000,1560000,332,8000,165096.0,8747.20836244
1560000,1568000,333,8000,165597.0,8753.72365312
1568000,1576000,334,8000,166098.0,8762.01750382
1576000,1584000,335,8000,166599.0,8775.87548718
1584000,1592000,336,8000,167100.0,8787.14196116
1592000,1600000,337,8000,167601.0,8799.07097692
1600000,1608000,338,8000,168103.0,8806.58451176
1608000,1616000,339,8000,168602.0,8807.42042522
1616000,1624000,340,8000,169101.0,8808.03596231
1624000,1632000,341,8000,169600.0,8808.84332364
1632000,1640000,342,8000,170099.0,8816.17009231
1640000,1648000,343,8000,170598.0,8816.95941212
1648000,1656000,344,8000,171097.0,8825.23896338
1656000,1664000,345,8000,171596.0,8823.47476047
1664000,1672000,346,8000,172095.0,8824.3233954
1672000,1680000,347,8000,172593.0,8825.00383366
1680000,1688000,348,8000,173093.0,8833.23768643
1688000,1696000,349,8000,173592.0,8834.16520237
1696000,1704000,350,8000,174091.0,8842.19373061
1704000,1712000,351,8000,174585.0,8842.68035815
1712000,1720000,352,8000,175073.0,8849.93725931
1720000,1728000,353,8000,175562.0,8857.16569706
1728000,1736000,354,8000,176050.0,8864.34652668
1736000,1744000,355,8000,176538.0,8871.62134303
1744000,1752000,356,8000,177027.0,8871.79107957
1752000,1760000,357,8000,177516.0,8870.01185912
1760000,1768000,358,8000,178004.0,8870.05204507
1768000,1776000,359,8000,178493.0,8870.18700223
1776000,1784000,360,8000,178981.0,8870.26212839
1784000,1792000,361,8000,179470.0,8870.34498427
1792000,1800000,362,8000,179958.0,8877.41486589
1800000,1808000,363,8000,180446.0,8877.44182556
1808000,1816000,364,8000,180948.0,8885.02959137
1816000,1824000,365,8000,181449.0,8885.53085651
1824000,1832000,366,8000,181950.0,8886.1981758
1832000,1840000,367,8000,182451.0,8898.4209833
1840000,1848000,368,8000,182953.0,8905.91059113
1848000,1856000,369,8000,183454.0,8911.53189621
1856000,1864000,370,8000,183955.0,8912.09379407
1864000,1872000,371,8000,184457.0,8912.61693865
1872000,1880000,372,8000,184958.0,8920.03003344
1880000,1888000,373,8000,185459.0,8920.48515112
1888000,1896000,374,8000,185961.0,8907.2459393
1896000,1904000,375,8000,186462.0,8894.13326369
1904000,1912000,376,8000,186965.0,8881.17311371
1912000,1920000,377,8000,187469.0,8868.42804329
1920000,1928000,378,8000,187973.0,8855.82763978
1928000,1936000,379,8000,188478.0,8843.38819248
1936000,1944000,380,8000,188982.0,8830.93827875
1944000,1952000,381,8000,189486.0,8816.7338867
1952000,1960000,382,8000,189990.0,8804.38499035
1960000,1968000,383,8000,190494.0,8805.24209983
1968000,1976000,384,8000,190998.0,8806.05022662
1976000,1984000,385,8000,191502.0,8793.88388936
1984000,1992000,386,8000,192007.0,8805.7240695
1992000,2000000,387,8000,192511.0,8813.04652925
2000000,2008000,388,8000,193015.0,8823.66826328
2008000,2016000,389,8000,193520.0,8834.81471832
2016000,2024000,390,8000,194025.0,8842.09939732
2024000,2032000,391,8000,194530.0,8849.86344698
2032000,2040000,392,8000,195035.0,8851.16033096
2040000,2048000,393,8000,195539.0,8850.47956785
2048000,2056000,394,8000,196044.0,8851.63925219
2056000,2064000,395,8000,196549.0,8859.25284966
2064000,2072000,396,8000,197054.0,8866.86107375
2072000,2080000,397,8000,197559.0,8874.43349576
2080000,2088000,398,8000,198064.0,8881.96694947
2088000,2096000,399,8000,198569.0,8889.5815314
2096000,2104000,400,8000,199073.0,8890.76761951
2104000,2112000,401,8000,199578.0,8898.04466442
2112000,2120000,402,8000,200082.0,8905.02050094
2120000,2128000,403,8000,200586.0,8905.51369738
2128000,2136000,404,8000,201090.0,8905.99375519
2136000,2144000,405,8000,201594.0,8904.70386481
2144000,2152000,406,8000,202099.0,8905.2451129
2152000,2160000,407,8000,202603.0,8905.66977248
2160000,2168000,408,8000,203107.0,8906.13966411
2168000,2176000,409,8000,203611.0,8912.78746335
2176000,2184000,410,8000,204115.0,8913.24904855
2184000,2192000,411,8000,204619.0,8913.74766087
2192000,2200000,412,8000,205123.0,8920.51673422
2200000,2208000,413,8000,205627.0,8927.22938753
2208000,2216000,414,8000,206130.0,8928.01803357
2216000,2224000,415,8000,206633.0,8928.6184561
2224000,2232000,416,8000,207137.0,8935.52473313
2232000,2240000,417,8000,207640.0,8934.4825062
2240000,2248000,418,8000,208143.0,8945.53229246
2248000,2256000,419,8000,208646.0,8952.22350927
2256000,2264000,420,8000,209150.0,8959.00092385
2264000,2272000,421,8000,209653.0,8959.69072879
2272000,2280000,422,8000,210156.0,8966.50796287
2280000,2288000,423,8000,210660.0,8967.22516342
2288000,2296000,424,8000,211163.0,8973.90872949
2296000,2304000,425,8000,211666.0,8974.52673365
2304000,2312000,426,8000,212171.0,8981.19782085
2312000,2320000,427,8000,212679.0,8987.8082315
2320000,2328000,428,8000,213186.0,8994.38646361
2328000,2336000,429,8000,213693.0,8993.03679852
2336000,2344000,430,8000,214199.0,8999.48532836
2344000,2352000,431,8000,214706.0,8999.86465982
2352000,2360000,432,8000,215213.0,9000.28665666
2360000,2368000,433,8000,215720.0,9006.84158095
2368000,2376000,434,8000,216227.0,9013.33969093
2376000,2384000,435,8000,216735.0,9023.90552117
2384000,2392000,436,8000,217241.0,9030.34060602
2392000,2400000,437,8000,217748.0,9036.19083133
2400000,2408000,438,8000,218255.0,9036.56331284
2408000,2416000,439,8000,218742.0,9036.22520799
2416000,2424000,440,8000,219228.0,9041.80228522
2424000,2432000,441,8000,219714.0,9039.65257122
2432000,2440000,442,8000,220200.0,9045.18127813
2440000,2448000,443,8000,220686.0,9044.89296763
2448000,2456000,444,8000,221172.0,9044.55232695
2456000,2464000,445,8000,221658.0,9050.07745836
2464000,2472000,446,8000,222145.0,9049.18335341
2472000,2480000,447,8000,222631.0,9048.79991623
2480000,2488000,448,8000,223117.0,9048.40208384
2488000,2496000,449,8000,223603.0,9048.02574332
2496000,2504000,450,8000,224089.0,9047.56884975
2504000,2512000,451,8000,224582.0,9047.42004893
2512000,2520000,452,8000,225081.0,9057.23960708
2520000,2528000,453,8000,225580.0,9061.36827968
2528000,2536000,454,8000,226079.0,9067.27018632
2536000,2544000,455,8000,226578.0,9073.19705169
2544000,2552000,456,8000,227077.0,9073.30438536
2552000,2560000,457,8000,227576.0,9079.26936422
2560000,2568000,458,8000,228074.0,9085.07740989
2568000,2576000,459,8000,228573.0,9090.8743766
2576000,2584000,460,8000,229072.0,9090.79113325
2584000,2592000,461,8000,229571.0,9090.76472712
2592000,2600000,462,8000,230070.0,9096.50079994
2600000,2608000,463,8000,230569.0,9096.46972554
2608000,2616000,464,8000,231073.0,9096.53205636
2616000,2624000,465,8000,231578.0,9102.33305949
2624000,2632000,466,8000,232082.0,9100.99324408
2632000,2640000,467,8000,232587.0,9100.9660257
2640000,2648000,468,8000,233092.0,9100.76228799
2648000,2656000,469,8000,233596.0,9109.95179461
2656000,2664000,470,8000,234101.0,9117.92457466
2664000,2672000,471,8000,234605.0,9122.98874214
2672000,2680000,472,8000,235110.0,9121.31381619
2680000,2688000,473,8000,235615.0,9112.55300714
2688000,2696000,474,8000,236119.0,9108.58824295
2696000,2704000,475,8000,236624.0,9108.64754292
2704000,2712000,476,8000,237123.0,9118.06170354
2712000,2720000,477,8000,237616.0,9123.40468502
2720000,2728000,478,8000,238110.0,9126.55099362
2728000,2736000,479,8000,238604.0,9135.75446153
2736000,2744000,480,8000,239098.0,9144.97689199
2744000,2752000,481,8000,239592.0,9150.27364335
2752000,2760000,482,8000,240085.0,9159.37544268
2760000,2768000,483,8000,240579.0,9167.4794202
2768000,2776000,484,8000,241073.0,9172.70647189
2776000,2784000,485,8000,241567.0,9172.30232641
2784000,2792000,486,8000,242061.0,9177.54471747
2792000,2800000,487,8000,242555.0,9186.56022224
2800000,2808000,488,8000,243048.0,9191.75602472
2808000,2816000,489,8000,243548.0,9197.09126238
2816000,2824000,490,8000,244047.0,9199.4661929
2824000,2832000,491,8000,244546.0,9198.18875796
2832000,2840000,492,8000,245045.0,9202.5141893
2840000,2848000,493,8000,245544.0,9207.40646039
2848000,2856000,494,8000,246042.0,9212.0506543
2856000,2864000,495,8000,246541.0,9211.280841
2864000,2872000,496,8000,247040.0,9210.85626161
2872000,2880000,497,8000,247539.0,9219.74405797
2880000,2888000,498,8000,248038.0,9224.8123718
2888000,2896000,499,8000,248538.0,9232.80744435
2896000,2904000,500,8000,249037.0,9240.73581268
2904000,2912000,501,8000,249537.0,9248.70817217
2912000,2920000,502,8000,250039.0,9256.11643947
2920000,2928000,503,8000,250540.0,9261.30742306
2928000,2936000,504,8000,251042.0,9266.59182935
2936000,2944000,505,8000,251544.0,9271.75252773
2944000,2952000,506,8000,252045.0,9271.51854995
2952000,2960000,507,8000,252547.0,9271.26444603
2960000,2968000,508,8000,253049.0,9276.46305205
2968000,2976000,509,8000,253550.0,9280.87680342
2976000,2984000,510,8000,254052.0,9280.66993023
2984000,2992000,511,8000,254554.0,9285.96351201
2992000,3000000,512,8000,255055.0,9285.71378604
3000000,3008000,513,8000,255557.0,9290.83783494
3008000,3016000,514,8000,256040.0,9287.81697482
3016000,3024000,515,8000,256522.0,9286.91479334
3024000,3032000,516,8000,257005.0,9291.42408644
3032000,3040000,517,8000,257487.0,9299.48618336
3040000,3048000,518,8000,257970.0,9306.61379936
3048000,3056000,519,8000,258453.0,9311.02859249
3056000,3064000,520,8000,258935.0,9315.39950138
3064000,3072000,521,8000,259418.0,9319.75969104
3072000,3080000,522,8000,259900.0,9328.2443904
3080000,3088000,523,8000,260383.0,9331.91520266
3088000,3096000,524,8000,260865.0,9339.36044226
3096000,3104000,525,8000,261348.0,9343.1745799
3104000,3112000,526,8000,261840.0,9345.96585274
3112000,3120000,527,8000,262344.0,9345.15514603
3120000,3128000,528,8000,262847.0,9344.42816896
3128000,3136000,529,8000,263350.0,9349.05544041
3136000,3144000,530,8000,263854.0,9348.54341006
3144000,3152000,531,8000,264357.0,9353.03904811
3152000,3160000,532,8000,264860.0,9352.32383448
3160000,3168000,533,8000,265363.0,9351.79334074
3168000,3176000,534,8000,265867.0,9351.56616923
3176000,3184000,535,8000,266370.0,9351.3442105
3184000,3192000,536,8000,266873.0,9350.85765425
3192000,3200000,537,8000,267376.0,9355.87977555
3200000,3208000,538,8000,267880.0,9358.95654958
3208000,3216000,539,8000,268374.0,9363.36977338
3216000,3224000,540,8000,268868.0,9362.51742039
3224000,3232000,541,8000,269362.0,9366.85355652
3232000,3240000,542,8000,269856.0,9371.21497836
3240000,3248000,543,8000,270350.0,9375.67892204
3248000,3256000,544,8000,270844.0,9380.11137273
3256000,3264000,545,8000,271338.0,9384.49122725
3264000,3272000,546,8000,271832.0,9383.66196465
3272000,3280000,547,8000,272326.0,9382.8306152
3280000,3288000,548,8000,272820.0,9382.03180752
3288000,3296000,549,8000,273314.0,9386.38182335
3296000,3304000,550,8000,273808.0,9384.03394599
3304000,3312000,551,8000,274304.0,9388.48447122
3312000,3320000,552,8000,274802.0,9393.04323905
3320000,3328000,553,8000,275300.0,9397.55687849
3328000,3336000,554,8000,275798.0,9396.9614764
3336000,3344000,555,8000,276297.0,9401.57618988
3344000,3352000,556,8000,276795.0,9406.12947468
3352000,3360000,557,8000,277293.0,9405.55494557
3360000,3368000,558,8000,277791.0,9404.81788553
3368000,3376000,559,8000,278289.0,9404.2348864
3376000,3384000,560,8000,278788.0,9403.649658
3384000,3392000,561,8000,279286.0,9408.07378203
3392000,3400000,562,8000,279784.0,9410.98212396
3400000,3408000,563,8000,280282.0,9415.41941294
3408000,3416000,564,8000,280789.0,9414.93477083
3416000,3424000,565,8000,281296.0,9414.56152949
3424000,3432000,566,8000,281803.0,9414.17901309
3432000,3440000,567,8000,282310.0,9413.78817212
3440000,3448000,568,8000,282817.0,9418.40453717
3448000,3456000,569,8000,283325.0,9418.01504437
3456000,3464000,570,8000,283832.0,9417.54909762
3464000,3472000,571,8000,284339.0,9417.08299939
3472000,3480000,572,8000,284846.0,9425.43950087
3480000,3488000,573,8000,285353.0,9429.93430406
3488000,3496000,574,8000,285860.0,9427.99671634
3496000,3504000,575,8000,286367.0,9427.46132045
3504000,3512000,576,8000,286870.0,9427.01327894
