,Atoms,Cores,Partition,Scenario,Time(s),Try,Type
39,131072,256,N/A,RDD,0.0136480331,1,Write
40,131072,256,N/A,RDD,0.0113558769,2,Write
41,131072,256,N/A,RDD,0.0104439259,3,Write
42,131072,1024,N/A,RDD,0.0134291649,1,Write
43,131072,1024,N/A,RDD,0.0102279186,2,Write
44,131072,1024,N/A,RDD,0.016988039,3,Write
45,131072,64,N/A,RDD,221.058158159,1,Execution
46,131072,64,N/A,RDD,214.966356993,2,Execution
47,131072,64,N/A,RDD,224.935989857,3,Execution
48,131072,256,N/A,RDD,122.175673008,1,Execution
49,131072,256,N/A,RDD,121.239088058,2,Execution
50,131072,256,N/A,RDD,124.736171007,3,Execution
51,131072,1024,N/A,RDD,104.291068077,1,Execution
52,131072,1024,N/A,RDD,104.291068077,2,Execution
53,131072,1024,N/A,RDD,102.783496856,3,Execution
54,131072,64,2048,Broadcast,6.7861750126,1,RP-Overhead
55,131072,64,2048,Broadcast,6.5095791817,2,RP-Overhead
56,131072,64,2048,Broadcast,5.4811480045,3,RP-Overhead
57,131072,256,512,Broadcast,5.6473469734,1,RP-Overhead
58,131072,256,512,Broadcast,11.3916060925,2,RP-Overhead
59,131072,256,512,Broadcast,5.4372520447,3,RP-Overhead
60,131072,1024,128,Broadcast,7.6186068058,1,RP-Overhead
61,131072,1024,128,Broadcast,11.3871588707,2,RP-Overhead
62,131072,1024,128,Broadcast,5.8279790878,3,RP-Overhead
63,131072,64,2048,Broadcast,2.0902819633,1,Spark-Overhead
64,131072,64,2048,Broadcast,1.9570832253,2,Spark-Overhead
65,131072,64,2048,Broadcast,1.9537007809,3,Spark-Overhead
66,131072,256,512,Broadcast,1.9331078529,1,Spark-Overhead
67,131072,256,512,Broadcast,1.9591269493,2,Spark-Overhead
68,131072,256,512,Broadcast,1.907766819,3,Spark-Overhead
69,131072,1024,128,Broadcast,2.0350060463,1,Spark-Overhead
70,131072,1024,128,Broadcast,2.0449738503,2,Spark-Overhead
71,131072,1024,128,Broadcast,1.9721159935,3,Spark-Overhead
72,131072,64,2048,Broadcast,189.591191053,1,AdjMatrix
73,131072,64,2048,Broadcast,181.923786879,2,AdjMatrix
74,131072,64,2048,Broadcast,193.578272104,3,AdjMatrix
75,131072,256,512,Broadcast,68.6265871525,1,AdjMatrix
76,131072,256,512,Broadcast,76.3395869732,2,AdjMatrix
77,131072,256,512,Broadcast,71.8301820755,3,AdjMatrix
78,131072,1024,128,Broadcast,50.2439520359,1,AdjMatrix
79,131072,1024,128,Broadcast,50.4631180763,2,AdjMatrix
80,131072,1024,128,Broadcast,52.7556369305,3,AdjMatrix
81,131072,64,2048,Broadcast,45.3506009579,1,ConnComp
82,131072,64,2048,Broadcast,46.7129309177,2,ConnComp
83,131072,64,2048,Broadcast,46.9087059498,3,ConnComp
84,131072,256,512,Broadcast,45.0201258659,1,ConnComp
85,131072,256,512,Broadcast,47.1151821613,2,ConnComp
86,131072,256,512,Broadcast,47.060999155,3,ConnComp
87,131072,1024,128,Broadcast,46.1555678844,1,ConnComp
88,131072,1024,128,Broadcast,46.8852300644,2,ConnComp
89,131072,1024,128,Broadcast,46.7546639442,3,ConnComp
90,131072,64,2048,Broadcast,0.0096271038,1,Write
91,131072,64,2048,Broadcast,0.0135660172,2,Write
92,131072,64,2048,Broadcast,0.0116500854,3,Write
93,131072,256,512,Broadcast,0.017884016,1,Write
94,131072,256,512,Broadcast,0.0107738972,2,Write
95,131072,256,512,Broadcast,0.0129098892,3,Write
96,131072,1024,128,Broadcast,0.0144619942,1,Write
97,131072,1024,128,Broadcast,0.013258934,2,Write
98,131072,1024,128,Broadcast,0.0110230446,3,Write
99,131072,64,2048,Broadcast,240.046950101,1,Execution
100,131072,64,2048,Broadcast,235.924569845,2,Execution
101,131072,64,2048,Broadcast,245.302442073,3,Execution
102,131072,256,512,Broadcast,119.238244057,1,Execution
103,131072,256,512,Broadcast,128.40427804,2,Execution
104,131072,256,512,Broadcast,123.668620109,3,Execution
105,131072,1024,128,Broadcast,101.550719976,1,Execution
106,131072,1024,128,Broadcast,102.659551143,2,Execution
107,131072,1024,128,Broadcast,104.763053894,3,Execution
108,131072,64,16384,ParallelCC,5.4513800144,1,Overhead
109,131072,64,16384,ParallelCC,5.7266511917,2,Overhead
110,131072,64,16384,ParallelCC,6.7515461445,3,Overhead
111,131072,256,8192,ParallelCC,5.6845469475,1,Overhead
112,131072,256,8192,ParallelCC,5.8552658558,2,Overhead
113,131072,256,8192,ParallelCC,10.5672039986,3,Overhead
114,131072,1024,4096,ParallelCC,5.4411790371,1,Overhead
115,131072,1024,4096,ParallelCC,5.7360780239,2,Overhead
116,131072,1024,4096,ParallelCC,5.6821870804,3,Overhead
117,262144,256,16384,ParallelCC,5.8399341106,1,Overhead
118,262144,256,16384,ParallelCC,5.5764520168,2,Overhead
119,262144,256,16384,ParallelCC,10.7518351078,3,Overhead
120,262144,1024,8192,ParallelCC,5.4834778309,1,Overhead
121,262144,1024,8192,ParallelCC,9.4470360279,2,Overhead
122,262144,1024,8192,ParallelCC,5.7909851074,3,Overhead
123,524288,1024,16384,ParallelCC,5.7707140446,1,Overhead
124,524288,1024,16384,ParallelCC,5.7357709408,2,Overhead
125,524288,1024,16384,ParallelCC,5.6513679028,3,Overhead
126,131072,64,16384,ParallelCC,72.4334220886,1,Execution
127,131072,64,16384,ParallelCC,72.5285718441,2,Execution
128,131072,64,16384,ParallelCC,77.3094379902,3,Execution
129,131072,256,8192,ParallelCC,24.8693048954,1,Execution
130,131072,256,8192,ParallelCC,26.0565471649,2,Execution
131,131072,256,8192,ParallelCC,25.5196170807,3,Execution
132,131072,1024,4096,ParallelCC,21.52637887,1,Execution
133,131072,1024,4096,ParallelCC,20.2278108597,2,Execution
134,131072,1024,4096,ParallelCC,21.864112854,3,Execution
135,262144,256,16384,ParallelCC,74.6623458863,1,Execution
136,262144,256,16384,ParallelCC,76.5568499565,2,Execution
137,262144,256,16384,ParallelCC,76.2425820828,3,Execution
138,262144,1024,8192,ParallelCC,34.4228200912,1,Execution
139,262144,1024,8192,ParallelCC,34.1719079018,2,Execution
140,262144,1024,8192,ParallelCC,56.0572879315,3,Execution
141,524288,1024,16384,ParallelCC,171.022871017,1,Execution
142,524288,1024,16384,ParallelCC,86.4559841156,2,Execution
143,524288,1024,16384,ParallelCC,85.115391016,3,Execution
