2017-07-28 15:00:42.536212  svmem(total=134778585088, available=127227260928, percent=5.6, used=7245230080, free=126704918528, active=2569134080, inactive=312520704, buffers=0, cached=828436480, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:42.736824  svmem(total=134778585088, available=127227760640, percent=5.6, used=7245647872, free=126703861760, active=2570657792, inactive=312557568, buffers=0, cached=829075456, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:42.937425  svmem(total=134778585088, available=127226744832, percent=5.6, used=7246663680, free=126702845952, active=2571649024, inactive=312557568, buffers=0, cached=829075456, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:43.137965  svmem(total=134778585088, available=127226744832, percent=5.6, used=7246663680, free=126702845952, active=2571649024, inactive=312557568, buffers=0, cached=829075456, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:43.338514  svmem(total=134778585088, available=127226707968, percent=5.6, used=7245963264, free=126701322240, active=2575245312, inactive=312557568, buffers=0, cached=831299584, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:43.539067  svmem(total=134778585088, available=127223963648, percent=5.6, used=7248707584, free=126698577920, active=2577342464, inactive=312557568, buffers=0, cached=831299584, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:43.739616  svmem(total=134778585088, available=127215788032, percent=5.6, used=7257395200, free=126688366592, active=2582376448, inactive=312545280, buffers=0, cached=832823296, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:43.940170  svmem(total=134778585088, available=127207243776, percent=5.6, used=7266131968, free=126679547904, active=2588336128, inactive=312590336, buffers=0, cached=832905216, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:44.140710  svmem(total=134778585088, available=127197839360, percent=5.6, used=7275536384, free=126670143488, active=2594627584, inactive=312590336, buffers=0, cached=832905216, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:44.341403  svmem(total=134778585088, available=127197839360, percent=5.6, used=7274795008, free=126670143488, active=2594627584, inactive=312590336, buffers=0, cached=833646592, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:44.541968  svmem(total=134778585088, available=127199821824, percent=5.6, used=7272570880, free=126670143488, active=2596610048, inactive=312590336, buffers=0, cached=835870720, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:44.742540  svmem(total=134778585088, available=127199293440, percent=5.6, used=7274102784, free=126668509184, active=2598002688, inactive=312573952, buffers=0, cached=835973120, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:44.943105  svmem(total=134778585088, available=127203393536, percent=5.6, used=7270002688, free=126672605184, active=2595151872, inactive=312573952, buffers=0, cached=835977216, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:45.143663  svmem(total=134778585088, available=127203393536, percent=5.6, used=7270002688, free=126672605184, active=2595151872, inactive=312573952, buffers=0, cached=835977216, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:45.344202  svmem(total=134778585088, available=127203356672, percent=5.6, used=7269302272, free=126671081472, active=2596638720, inactive=312573952, buffers=0, cached=838201344, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:45.544751  svmem(total=134778585088, available=127203356672, percent=5.6, used=7269302272, free=126671081472, active=2596638720, inactive=312573952, buffers=0, cached=838201344, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:45.745296  svmem(total=134778585088, available=127204347904, percent=5.6, used=7269011456, free=126670114816, active=2598252544, inactive=312590336, buffers=0, cached=839458816, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:45.945857  svmem(total=134778585088, available=127204347904, percent=5.6, used=7269011456, free=126670114816, active=2598252544, inactive=312590336, buffers=0, cached=839458816, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:46.146409  svmem(total=134778585088, available=127204347904, percent=5.6, used=7269011456, free=126670114816, active=2600349696, inactive=312590336, buffers=0, cached=839458816, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:46.346960  svmem(total=134778585088, available=127203295232, percent=5.6, used=7269326848, free=126667575296, active=2602827776, inactive=312590336, buffers=0, cached=841682944, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:46.547518  svmem(total=134778585088, available=127203295232, percent=5.6, used=7269326848, free=126667575296, active=2602827776, inactive=312590336, buffers=0, cached=841682944, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:46.748068  svmem(total=134778585088, available=127203938304, percent=5.6, used=7269392384, free=126666039296, active=2605264896, inactive=312614912, buffers=0, cached=843153408, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:46.948600  svmem(total=134778585088, available=127199363072, percent=5.6, used=7273967616, free=126661464064, active=2607362048, inactive=312614912, buffers=0, cached=843153408, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:47.149168  svmem(total=134778585088, available=127194279936, percent=5.6, used=7279050752, free=126656380928, active=2613653504, inactive=312614912, buffers=0, cached=843153408, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:47.349690  svmem(total=134778585088, available=127188828160, percent=5.6, used=7283519488, free=126648946688, active=2619830272, inactive=312614912, buffers=0, cached=846118912, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:47.550290  svmem(total=134778585088, available=127182409728, percent=5.6, used=7289937920, free=126642528256, active=2626121728, inactive=312614912, buffers=0, cached=846118912, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
2017-07-28 15:00:47.750829  svmem(total=134778585088, available=127176159232, percent=5.6, used=7297134592, free=126634840064, active=2631729152, inactive=312610816, buffers=0, cached=846610432, shared=37572608) sswap(total=1073737728, used=0, free=1073737728, percent=0.0, sin=0, sout=0)
