CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000324,Euclidean_dist_91767_97165,-47.907668829,27.8256850243,28.0350852013,28.2411952019,272.220183134,273.268526077
unit.000325,Euclidean_dist_91767_102563,-47.8814868927,30.4785091877,30.6852810383,30.9436571598,298.711161137,299.842807055
unit.000326,Euclidean_dist_91767_107961,-47.8748710155,32.5173220634,32.7238199711,32.9209980965,300.226685047,301.06090498
unit.000327,Euclidean_dist_91767_113359,-47.8714768887,10.0838241577,10.2847731113,10.4856581688,269.007899046,270.056843996
unit.000328,Euclidean_dist_91767_118757,-47.8684139252,11.1154279709,11.3068571091,11.5081009865,272.571531057,274.287922144
unit.000329,Euclidean_dist_91767_124155,-47.864771843,18.0332021713,18.2399671078,18.43780303,291.236644983,292.377609968
unit.000330,Euclidean_dist_91767_129553,-47.8622829914,71.958616972,72.113186121,72.312623024,330.326249123,331.689771175
unit.000331,Euclidean_dist_91767_134951,-47.8582859039,37.6106140614,37.8171551228,38.0145261288,306.612291098,307.678966045
unit.000332,Euclidean_dist_91767_140349,-47.851831913,48.3632001877,48.5668649673,48.7695231438,358.672639132,359.153451204
unit.000333,Euclidean_dist_97165_97165,-47.8465487957,11.5110971928,11.7187490463,11.9157521725,140.112466097,140.704787016
unit.000334,Euclidean_dist_97165_102563,-47.8404068947,12.1232500076,12.3290390968,12.5266571045,281.085307121,282.309900045
unit.000335,Euclidean_dist_97165_107961,-47.832518816,56.8611700535,57.056276083,57.2587351799,319.182301998,322.080180168
unit.000336,Euclidean_dist_97165_113359,-47.8302838802,12.9373300076,13.1403989792,13.3412091732,274.748684168,276.412401199
unit.000337,Euclidean_dist_97165_118757,-47.8268868923,13.3472981453,13.6041150093,13.7482089996,274.362918139,276.438733101
unit.000338,Euclidean_dist_97165_124155,-47.8246438503,13.7541890144,13.9574840069,14.1552431583,275.509109974,277.494958162
unit.000339,Euclidean_dist_97165_129553,-47.8221418858,14.1582400799,14.3675990105,14.5635449886,270.634711981,272.1770432
unit.000340,Euclidean_dist_97165_134951,-47.8195919991,14.7702460289,14.9771220684,15.179723978,271.296730042,273.239384174
unit.000341,Euclidean_dist_97165_140349,-47.8172860146,15.176513195,15.385928154,15.5855140686,278.809375048,282.334943056
unit.000342,Euclidean_dist_102563_102563,-47.8149828911,15.6402010918,15.7966480255,15.9942290783,194.034690142,195.413596153
