Partitions,Message_size_in_Points,Dimensions,Total_Messages,Throughput_Rate,Producers
12, 5000, 3, 2, 20.614731, 16 
12, 5000, 3, 2, 7.650112, 16 
12, 5000, 3, 2, 46.343340, 16 
12, 5000, 3, 2000, 31.702570, 16 
12, 5000, 3, 2000, 34.536109, 16 
12, 5000, 3, 2000, 34.430669, 16 
12, 5000, 3, 2000, 34.942215, 16 
12, 5000, 3, 2000, 35.327191, 16 
12, 5000, 3, 2000, 32.712680, 16 
12, 5000, 3, 2000, 33.658079, 16 
12, 5000, 3, 2000, 32.116332, 16 
12, 5000, 3, 2000, 32.908579, 16 
12, 5000, 3, 2000, 33.956093, 16 
12, 5000, 3, 2, 21.152426, 16 
12, 5000, 3, 2, 12.465481, 16 
12, 5000, 3, 2, 15.634899, 16 
12, 5000, 3, 2, 44.694667, 16 
12, 5000, 3, 2, 14.474922, 16 
12, 5000, 3, 2, 12.429077, 16 
12, 5000, 3, 2, 41.426861, 16 
12, 5000, 3, 2, 15.538920, 16 
12, 5000, 3, 2, 12.434881, 16 
12, 5000, 3, 2, 35.773689, 16 
12, 5000, 3, 2000, 35.000855, 16 
12, 5000, 3, 2000, 33.912291, 16 
12, 5000, 3, 2000, 35.424271, 16 
12, 5000, 3, 2000, 34.822726, 16 
12, 5000, 3, 2000, 34.887049, 16 
12, 5000, 3, 2000, 33.040139, 16 
12, 5000, 3, 2000, 34.910528, 16 
12, 5000, 3, 2000, 32.747666, 16 
12, 5000, 3, 2000, 34.563674, 16 
12, 5000, 3, 2000, 34.171589, 16 
12, 5000, 3, 2, 24.278915, 16 
12, 5000, 3, 2, 45.247950, 16 
12, 5000, 3, 2, 15.679876, 16 
12, 5000, 3, 2, 12.454857, 16 
12, 5000, 3, 2, 18.335996, 16 
12, 5000, 3, 2, 30.049032, 16 
12, 5000, 3, 2, 30.945366, 16 
12, 5000, 3, 2, 29.834648, 16 
12, 5000, 3, 2, 20.950308, 16 
12, 5000, 3, 2, 9.532986, 16 
12, 5000, 3, 2000, 37.358211, 16 
12, 5000, 3, 2000, 34.201819, 16 
12, 5000, 3, 2000, 35.925023, 16 
12, 5000, 3, 2000, 34.003650, 16 
12, 5000, 3, 2000, 35.296481, 16 
12, 5000, 3, 2000, 33.416662, 16 
12, 5000, 3, 2000, 34.252076, 16 
12, 5000, 3, 2000, 33.093883, 16 
12, 5000, 3, 2000, 32.820181, 16 
12, 5000, 3, 2000, 35.325261, 16 
12, 5000, 3, 2, 12.567316, 1 
12, 5000, 3, 2, 29.768160, 1 
12, 5000, 3, 2, 30.823246, 1 
12, 5000, 3, 2, 16.061023, 1 
12, 5000, 3, 2, 12.208448, 1 
12, 5000, 3, 2, 38.376694, 1 
12, 5000, 3, 2, 21.820444, 1 
12, 5000, 3, 2, 12.778649, 1 
12, 5000, 3, 2, 21.756607, 1 
12, 5000, 3, 2, 50.381727, 1 
12, 5000, 3, 2000, 35.999204, 1 
12, 5000, 3, 2000, 31.433781, 1 
12, 5000, 3, 2000, 35.149476, 1 
12, 5000, 3, 2000, 25.971496, 1 
12, 5000, 3, 2000, 27.399101, 1 
12, 5000, 3, 2000, 30.454034, 1 
12, 5000, 3, 2000, 25.512807, 1 
12, 5000, 3, 2000, 31.782930, 1 
