,Duration,Framework,Nodes,Optimization
237,33093600.0,MPIC++,1,2
238,33077200.0,MPIC++,1,2
239,33076200.0,MPIC++,1,2
240,30747400.0,MPIC++,2,2
241,30713700.0,MPIC++,2,2
242,30721400.0,MPIC++,2,2
243,30780100.0,MPIC++,2,2
244,30712700.0,MPIC++,2,2
245,30736000.0,MPIC++,2,2
246,30718000.0,MPIC++,2,2
247,30711900.0,MPIC++,2,2
248,30719000.0,MPIC++,2,2
249,30710000.0,MPIC++,2,2
250,30722200.0,MPIC++,2,2
251,30799200.0,MPIC++,2,2
252,30748400.0,MPIC++,2,2
253,30720700.0,MPIC++,2,2
254,30743900.0,MPIC++,2,2
255,30747600.0,MPIC++,2,2
256,30724400.0,MPIC++,2,2
257,30717100.0,MPIC++,2,2
258,30708000.0,MPIC++,2,2
259,30714400.0,MPIC++,2,2
260,30717600.0,MPIC++,2,2
261,30715300.0,MPIC++,2,2
262,30714700.0,MPIC++,2,2
263,30705900.0,MPIC++,2,2
264,30788700.0,MPIC++,2,2
265,30710400.0,MPIC++,2,2
266,30708800.0,MPIC++,2,2
267,30710900.0,MPIC++,2,2
268,30694100.0,MPIC++,2,2
269,30704400.0,MPIC++,2,2
270,30692600.0,MPIC++,2,2
271,30740100.0,MPIC++,2,2
272,30776700.0,MPIC++,2,2
273,30699600.0,MPIC++,2,2
274,30719500.0,MPIC++,2,2
275,30806800.0,MPIC++,2,2
276,30752800.0,MPIC++,2,2
277,33969500.0,MPIC++,2,2
278,30707400.0,MPIC++,2,2
279,30722900.0,MPIC++,2,2
280,30712000.0,MPIC++,2,2
281,30699900.0,MPIC++,2,2
282,30700800.0,MPIC++,2,2
283,30698600.0,MPIC++,2,2
284,30698300.0,MPIC++,2,2
285,30709500.0,MPIC++,2,2
286,30708800.0,MPIC++,2,2
287,30718200.0,MPIC++,2,2
288,30745200.0,MPIC++,2,2
289,30716500.0,MPIC++,2,2
290,30735400.0,MPIC++,2,2
291,30723900.0,MPIC++,2,2
292,30711200.0,MPIC++,2,2
293,30724100.0,MPIC++,2,2
294,30714300.0,MPIC++,2,2
295,30719800.0,MPIC++,2,2
296,30729400.0,MPIC++,2,2
297,30791000.0,MPIC++,2,2
298,30714300.0,MPIC++,2,2
299,30749400.0,MPIC++,2,2
300,30816400.0,MPIC++,2,2
301,30727900.0,MPIC++,2,2
302,30734600.0,MPIC++,2,2
303,30732600.0,MPIC++,2,2
304,30711700.0,MPIC++,2,2
305,30735000.0,MPIC++,2,2
306,30705400.0,MPIC++,2,2
307,30717900.0,MPIC++,2,2
308,30732000.0,MPIC++,2,2
309,30717000.0,MPIC++,2,2
