CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000075,Mapper-0-76,N/A,0.772,N/A,1.008,14.658,14.659,0.020232,2.335958,0.003665

unit.000076,Mapper-0-77,N/A,0.862,N/A,2.069,12.538,12.539,0.021015,1.936371,0.003306

unit.000077,Mapper-0-78,N/A,0.87,N/A,2.148,12.543,12.546,0.021124,1.93994,0.003506

unit.000078,Mapper-0-79,N/A,0.873,N/A,2.24,12.547,12.552,0.019559,1.925235,0.007982

unit.000079,Mapper-0-80,N/A,0.926,N/A,3.078,15.782,15.784,0.015296,1.979625,0.003928

unit.000080,Mapper-0-81,N/A,0.877,N/A,2.324,14.696,14.697,0.019857,2.59868,0.003832

unit.000081,Mapper-0-82,N/A,0.879,N/A,2.353,13.614,13.616,0.01926,2.318789,0.003528

unit.000082,Mapper-0-83,N/A,0.882,N/A,2.393,14.699,14.7,0.019221,1.989202,0.003708

unit.000083,Mapper-0-84,N/A,0.884,N/A,2.455,14.702,14.703,0.019116,1.954748,0.005005

unit.000084,Mapper-0-85,N/A,0.842,N/A,1.694,13.596,13.598,0.017245,2.263849,0.003335

unit.000085,Mapper-0-86,N/A,0.888,N/A,2.547,13.633,13.635,0.016487,1.891269,0.014388

unit.000086,Mapper-0-87,N/A,0.892,N/A,2.598,14.708,14.71,0.040805,1.911616,0.00343

unit.000087,Mapper-0-88,N/A,0.887,N/A,2.537,14.705,14.707,0.033708,1.929595,0.003472

unit.000088,Mapper-0-89,N/A,0.895,N/A,2.627,13.639,13.641,0.016414,2.107488,0.00353

unit.000089,Mapper-0-90,N/A,0.916,N/A,2.892,15.766,15.767,0.014873,1.918875,0.011332

unit.000090,Mapper-0-91,N/A,0.75,N/A,0.815,12.435,12.437,0.04102,1.970937,0.006291

unit.000091,Mapper-0-92,N/A,0.768,N/A,0.968,13.568,13.57,0.020395,2.353766,0.003615

unit.000092,Mapper-0-93,N/A,0.787,N/A,1.174,12.457,12.458,0.013707,1.959324,0.003714

unit.000093,Mapper-0-94,N/A,0.805,N/A,1.371,12.47,12.475,0.038111,1.983962,0.003704

unit.000094,Mapper-0-95,N/A,0.831,N/A,1.581,12.518,12.519,0.041064,1.989846,0.00345

unit.000095,Mapper-0-96,N/A,0.849,N/A,1.761,12.523,12.526,0.021607,1.939039,0.004243

unit.000096,Mapper-0-97,N/A,0.861,N/A,2.053,14.685,14.688,0.020896,2.108222,0.003442

unit.000097,Mapper-0-98,N/A,0.878,N/A,2.333,13.614,13.616,0.029915,1.985694,0.003966

unit.000098,Mapper-0-99,N/A,0.892,N/A,2.588,13.636,13.638,0.018397,1.918052,0.003444

unit.000099,Mapper-0-100,N/A,0.811,N/A,1.448,12.491,12.493,0.038204,1.916345,0.007783

unit.000100,Mapper-0-101,N/A,0.922,N/A,3.017,15.771,15.781,0.016181,1.925474,0.005066

unit.000101,Mapper-0-102,N/A,0.851,N/A,1.79,13.601,13.603,0.020904,2.028617,0.00369

unit.000102,Mapper-0-103,N/A,0.883,N/A,2.446,13.629,13.631,0.019231,1.9285,0.003414

unit.000103,Mapper-0-104,N/A,0.854,N/A,1.833,15.753,15.755,0.020966,2.481766,0.003629

unit.000104,Mapper-0-105,N/A,0.858,N/A,1.885,12.531,12.533,0.025644,2.068215,0.00346

unit.000105,Mapper-0-106,N/A,0.86,N/A,1.964,13.606,13.607,0.02102,1.952757,0.010958

unit.000106,Mapper-0-107,N/A,0.859,N/A,1.905,12.534,12.536,0.02947,1.94948,0.021965

