CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000115,Euclidean_dist_7237_23518,N/A,13.6303360462,N/A,14.0359342098,44.6272850037,44.6517241001
unit.000116,Euclidean_dist_7237_25327,N/A,13.0830850601,N/A,13.488874197,46.7928512096,46.8040602207
unit.000117,Euclidean_dist_7237_27136,N/A,22.6866190434,N/A,23.093091011,58.3163192272,58.3278160095
unit.000118,Euclidean_dist_7237_28945,N/A,12.2863631248,N/A,12.6920921803,44.6009302139,44.6281781197
unit.000119,Euclidean_dist_7237_30754,N/A,12.0382142067,N/A,12.4440071583,47.8671910763,47.8818330765
unit.000120,Euclidean_dist_7237_32563,N/A,192.983859062,N/A,193.367678165,222.612627029,222.652519226
unit.000121,Euclidean_dist_7237_34372,N/A,193.50685811,N/A,194.010038137,222.600621223,222.63769722
unit.000122,Euclidean_dist_7237_36181,N/A,194.784198046,N/A,195.199120045,225.731671095,225.777486086
unit.000123,Euclidean_dist_7237_37990,N/A,195.486596107,N/A,195.908847094,227.949881077,227.974787235
unit.000124,Euclidean_dist_7237_39799,N/A,196.191260099,N/A,196.610339165,226.847402096,226.877918005
unit.000125,Euclidean_dist_7237_41608,N/A,204.917085171,N/A,205.23755002,234.396166086,234.418493032
unit.000126,Euclidean_dist_7237_43417,N/A,13.8780400753,N/A,14.2839200497,45.7197329998,45.7338631153
unit.000127,Euclidean_dist_7237_45226,N/A,14.426181078,N/A,14.8318691254,44.6497700214,44.6694171429
unit.000128,Euclidean_dist_7237_47035,N/A,188.637225151,N/A,189.031018019,219.324730158,219.354563236
unit.000129,Euclidean_dist_7237_48844,N/A,189.492998123,N/A,189.889200211,219.366339207,219.397625208
unit.000130,Euclidean_dist_9046_9046,N/A,170.266365051,N/A,170.666177034,187.308211088,187.323726177
unit.000131,Euclidean_dist_9046_10855,N/A,79.8374581337,N/A,80.2457752228,110.096437216,110.1145432
unit.000132,Euclidean_dist_9046_12664,N/A,129.595496178,N/A,130.001252174,160.414965153,160.500917196
unit.000133,Euclidean_dist_9046_14473,N/A,127.998650074,N/A,128.425768137,158.272777081,158.309559107
unit.000134,Euclidean_dist_9046_16282,N/A,131.517074108,N/A,131.912440062,162.68683219,162.721018076
unit.000135,Euclidean_dist_9046_18091,N/A,140.864450216,N/A,141.280546188,170.189859152,170.205455065
unit.000136,Euclidean_dist_9046_19900,N/A,132.460817099,N/A,132.870783091,161.593140125,161.616049051
unit.000137,Euclidean_dist_9046_21709,N/A,130.32667613,N/A,130.738876104,160.415158033,160.501435041
unit.000138,Euclidean_dist_9046_23518,N/A,65.7288601398,N/A,66.1368470192,95.3416731358,95.3552601337
unit.000139,Euclidean_dist_9046_25327,N/A,64.9312360287,N/A,65.3394680023,93.0368411541,93.0551660061
unit.000140,Euclidean_dist_9046_27136,N/A,134.612138033,N/A,135.025084019,164.868811131,164.90269804
unit.000141,Euclidean_dist_9046_28945,N/A,135.698375225,N/A,136.098758221,166.968651056,166.984652042
unit.000142,Euclidean_dist_9046_30754,N/A,134.870938063,N/A,135.292890072,165.92970705,165.945616007
unit.000143,Euclidean_dist_9046_32563,N/A,135.431542158,N/A,135.854105234,164.812996149,164.851171017
unit.000144,Euclidean_dist_9046_34372,N/A,133.657838106,N/A,134.103302002,163.765143156,163.790042162
unit.000145,Euclidean_dist_9046_36181,N/A,140.309333086,N/A,140.761118174,169.142483234,169.160790205
unit.000146,Euclidean_dist_9046_37990,N/A,134.078701019,N/A,134.469868183,164.780184031,164.821673155
unit.000147,Euclidean_dist_9046_39799,N/A,133.251657009,N/A,133.680213213,162.618745089,162.665739059
unit.000148,Euclidean_dist_9046_41608,N/A,131.248720169,N/A,131.664237022,162.63757515,162.680016041
