,Nodes,Framework,Duration
67,1,Dask,4083.14394951
68,1,Dask,3809.13090706
69,1,Dask,3811.92302704
70,1,Dask,3442.71302223
71,1,Dask,3534.25884247
72,1,Dask,3510.05220413
73,1,Dask,3591.04514122
74,1,Dask,3693.44997406
75,1,Dask,3706.12597466
76,1,Dask,3731.06908798
77,1,Dask,3767.86589622
78,1,Dask,3775.61903
79,1,Dask,3800.48513412
80,1,Dask,3821.76208496
81,1,Dask,3821.29001617
82,1,Dask,3823.53305817
83,1,Dask,3831.4909935
84,1,Dask,3865.59104919
85,1,Dask,3872.5540638
86,1,Dask,3870.18990517
87,1,Dask,3891.09110832
88,1,Dask,4020.78008652
89,1,Dask,4034.49416161
90,1,Dask,4040.94791412
91,1,Dask,4051.33390427
92,1,Dask,4072.33786583
93,1,Dask,4083.17804337
94,1,Dask,3464.27083015
95,1,Dask,3622.0369339
96,1,Dask,3574.00488853
97,1,Dask,3694.70405579
98,1,Dask,3747.51901627
99,1,Dask,3787.6329422
100,1,Dask,3784.40904617
101,1,Dask,3843.81985664
102,1,Dask,3850.33917427
103,1,Dask,3854.0019989
104,1,Dask,3865.27299881
105,1,Dask,3865.99087715
106,1,Dask,3892.13180542
107,1,Dask,3901.18503571
108,1,Dask,3900.8538723
109,1,Dask,3932.52801895
110,1,Dask,3948.49705696
111,1,Dask,3960.32190323
112,1,Dask,3959.61308479
113,1,Dask,3995.95189095
114,1,Dask,4006.27493858
115,1,Dask,4036.60082817
116,1,Dask,4037.44411469
117,1,Dask,4090.95001221
118,1,Dask,4175.35686493
119,1,Dask,3347.22995758
120,1,Dask,3634.43493843
121,1,Dask,3680.64785004
122,1,Dask,3700.54984093
123,1,Dask,3734.72619057
124,1,Dask,3743.98088455
125,1,Dask,3751.76405907
126,1,Dask,3783.03217888
127,1,Dask,3789.43514824
128,1,Dask,3808.71701241
129,1,Dask,3817.02494621
130,1,Dask,3826.816082
131,1,Dask,3847.79310226
132,1,Dask,3887.45594025
133,1,Dask,3921.03409767
134,1,Dask,3944.55599785
135,1,Dask,3953.13382149
136,1,Dask,3970.52407265
137,1,Dask,4017.25697517
138,1,Dask,4098.03795815
139,1,Dask,4135.25509834
140,1,Dask,4178.15995216
141,1,Dask,4217.86808968
142,1,Dask,4003.51190567
143,1,Dask,3626.98483467
144,1,Dask,3440.32597542
145,1,Dask,3488.7368679
146,1,Dask,3495.79310417
147,1,Dask,3491.1429882
