,Duration,Framework,Nodes
411,6319,Spark,2
412,6348,Spark,2
413,6359,Spark,2
414,6369,Spark,2
415,6373,Spark,2
416,6376,Spark,2
417,6379,Spark,2
418,6383,Spark,2
419,6398,Spark,2
420,6428,Spark,2
421,6442,Spark,2
422,6448,Spark,2
423,6453,Spark,2
424,6479,Spark,2
425,6459,Spark,2
426,6633,Spark,2
427,6649,Spark,2
428,6878,Spark,2
429,6918,Spark,2
430,7079,Spark,2
431,7087,Spark,2
432,5950,Spark,2
433,5950,Spark,2
434,5953,Spark,2
435,5954,Spark,2
436,5956,Spark,2
437,5963,Spark,2
438,6008,Spark,2
439,6010,Spark,2
440,6013,Spark,2
441,6014,Spark,2
442,6018,Spark,2
443,6020,Spark,2
444,6021,Spark,2
445,6174,Spark,2
446,6176,Spark,2
447,6176,Spark,2
448,6179,Spark,2
449,6183,Spark,2
450,6185,Spark,2
451,6186,Spark,2
452,6188,Spark,2
453,6189,Spark,2
454,6191,Spark,2
455,6284,Spark,2
456,6288,Spark,2
457,6292,Spark,2
458,6316,Spark,2
459,6332,Spark,2
460,6342,Spark,2
461,6349,Spark,2
462,6354,Spark,2
463,6355,Spark,2
464,6358,Spark,2
465,6366,Spark,2
466,6371,Spark,2
467,6373,Spark,2
468,6384,Spark,2
469,6385,Spark,2
470,6428,Spark,2
471,6512,Spark,2
472,6555,Spark,2
473,6592,Spark,2
474,6602,Spark,2
475,6646,Spark,2
476,6807,Spark,2
477,6828,Spark,2
478,6874,Spark,2
479,6929,Spark,2
480,5640,Spark,2
481,5635,Spark,2
482,5638,Spark,2
483,5644,Spark,2
484,5648,Spark,2
485,5648,Spark,2
486,5654,Spark,2
487,5689,Spark,2
488,5689,Spark,2
489,5694,Spark,2
490,5706,Spark,2
491,5706,Spark,2
492,5724,Spark,2
493,5732,Spark,2
494,5734,Spark,2
495,5734,Spark,2
496,5733,Spark,2
497,5741,Spark,2
498,5737,Spark,2
499,5758,Spark,2
500,5748,Spark,2
501,5765,Spark,2
502,5784,Spark,2
503,5917,Spark,2
504,5926,Spark,2
505,5926,Spark,2
506,5941,Spark,2
507,5971,Spark,2
508,5979,Spark,2
509,5983,Spark,2
510,5985,Spark,2
511,5991,Spark,2
512,5994,Spark,2
513,6001,Spark,2
514,6015,Spark,2
515,6016,Spark,2
516,6030,Spark,2
517,6032,Spark,2
518,6032,Spark,2
519,6036,Spark,2
520,6043,Spark,2
521,6048,Spark,2
522,6046,Spark,2
523,6055,Spark,2
524,6060,Spark,2
525,6064,Spark,2
526,6193,Spark,2
527,6432,Spark,2
528,6054,Spark,2
529,6055,Spark,2
530,6057,Spark,2
531,6059,Spark,2
532,6062,Spark,2
533,6065,Spark,2
534,6066,Spark,2
535,6103,Spark,2
536,6107,Spark,2
537,6107,Spark,2
538,6176,Spark,2
539,6180,Spark,2
540,6182,Spark,2
541,6185,Spark,2
542,6190,Spark,2
543,6194,Spark,2
544,6198,Spark,2
545,6201,Spark,2
546,6206,Spark,2
547,6209,Spark,2
548,6227,Spark,2
549,6236,Spark,2
550,6239,Spark,2
551,6236,Spark,2
552,6240,Spark,2
553,6241,Spark,2
554,6244,Spark,2
555,6261,Spark,2
556,6275,Spark,2
557,6279,Spark,2
558,6279,Spark,2
559,6290,Spark,2
560,6340,Spark,2
561,6344,Spark,2
562,6346,Spark,2
563,6349,Spark,2
564,6358,Spark,2
565,6362,Spark,2
566,6363,Spark,2
567,6374,Spark,2
568,6379,Spark,2
569,6383,Spark,2
570,6400,Spark,2
571,6403,Spark,2
572,6404,Spark,2
573,6412,Spark,2
574,6647,Spark,2
575,6722,Spark,2
576,6027,Spark,2
577,6031,Spark,2
578,6030,Spark,2
579,6034,Spark,2
