Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
145000,150000,251,5000,77816.0,8610.10669022
150000,155000,252,5000,78123.0,8613.52210889
155000,160000,253,5000,78430.0,8616.95522599
160000,165000,254,5000,78737.0,8628.04098631
165000,170000,255,5000,79044.0,8638.84712979
170000,175000,256,5000,79351.0,8643.17488494
175000,180000,257,5000,79659.0,8654.00890478
180000,185000,258,5000,79966.0,8657.32814856
185000,190000,259,5000,80273.0,8660.51157568
190000,195000,260,5000,80580.0,8674.75432015
195000,200000,261,5000,80887.0,8677.85066383
200000,205000,262,5000,81194.0,8692.03843991
205000,210000,263,5000,81491.0,8702.20983848
210000,215000,264,5000,81788.0,8711.83820253
215000,220000,265,5000,82085.0,8725.62692916
220000,225000,266,5000,82382.0,8735.57849315
225000,230000,267,5000,82679.0,8745.46913207
230000,235000,268,5000,82976.0,8747.81142204
235000,240000,269,5000,83273.0,8750.0757705
240000,245000,270,5000,83570.0,8759.97474458
245000,250000,271,5000,83867.0,8769.69176807
250000,255000,272,5000,84164.0,8772.07626424
255000,260000,273,5000,84461.0,8781.77286089
260000,265000,274,5000,84758.0,8791.30316419
265000,270000,275,5000,85055.0,8793.97233502
270000,275000,276,5000,85353.0,8807.25304971
275000,280000,277,5000,85650.0,8816.81448111
280000,285000,278,5000,85947.0,8825.94336756
285000,290000,279,5000,86244.0,8840.36841576
290000,295000,280,5000,86541.0,8849.74213874
295000,300000,281,5000,86838.0,8837.15031661
300000,305000,282,5000,87135.0,8796.05550436
305000,310000,283,5000,87437.0,8783.84579983
310000,315000,284,5000,87740.0,8772.10181627
315000,320000,285,5000,88043.0,8732.52319575
320000,325000,286,5000,88346.0,8745.48880226
325000,330000,287,5000,88649.0,8748.14039615
330000,335000,288,5000,88952.0,8757.59544965
335000,340000,289,5000,89255.0,8771.84797928
340000,345000,290,5000,89557.0,8781.0854672
345000,350000,291,5000,89860.0,8783.61598877
350000,355000,292,5000,90163.0,8785.99540621
355000,360000,293,5000,90466.0,8798.41173197
360000,365000,294,5000,90769.0,8794.69423018
365000,370000,295,5000,91071.0,8803.68800292
370000,375000,296,5000,91374.0,8812.63669367
375000,380000,297,5000,91677.0,8821.65638279
380000,385000,298,5000,91980.0,8833.92320681
385000,390000,299,5000,92283.0,8842.89151233
390000,395000,300,5000,92586.0,8851.70315009
395000,400000,301,5000,92889.0,8860.75118422
400000,405000,302,5000,93192.0,8862.76999904
405000,410000,303,5000,93498.0,8871.573509
410000,415000,304,5000,93805.0,8880.38268057
415000,420000,305,5000,94112.0,8889.32647913
420000,425000,306,5000,94419.0,8898.28095827
425000,430000,307,5000,94725.0,8899.95442336
430000,435000,308,5000,95032.0,8901.59053649
435000,440000,309,5000,95339.0,8910.04631366
440000,445000,310,5000,95646.0,8918.35052439
445000,450000,311,5000,95952.0,8929.58613746
450000,455000,312,5000,96259.0,8942.49415392
455000,460000,313,5000,96566.0,8948.12004903
460000,465000,314,5000,96873.0,8956.3896461
465000,470000,315,5000,97179.0,8964.40017068
470000,475000,316,5000,97486.0,8976.80660928
475000,480000,317,5000,97793.0,8978.55565334
480000,485000,318,5000,98100.0,8940.39379421
485000,490000,319,5000,98407.0,8951.60109778
490000,495000,320,5000,98713.0,8962.71961607
495000,500000,321,5000,99020.0,8970.48035529
500000,505000,322,5000,99327.0,8978.18922741
505000,510000,323,5000,99655.0,8987.85509934
510000,515000,324,5000,99984.0,9001.74414156
515000,520000,325,5000,100313.0,9007.49558068
520000,525000,326,5000,100641.0,9006.03020347
525000,530000,327,5000,100970.0,9009.41016522
530000,535000,328,5000,101298.0,9012.48613825
535000,540000,329,5000,101627.0,9002.82159913
540000,545000,330,5000,101955.0,8993.20790238
545000,550000,331,5000,102284.0,8983.70587819
550000,555000,332,5000,102612.0,8968.93681025
555000,560000,333,5000,102941.0,8959.43844455
560000,565000,334,5000,103269.0,8948.49216321
565000,570000,335,5000,103597.0,8951.19073055
570000,575000,336,5000,103926.0,8954.57660041
575000,580000,337,5000,104254.0,8962.52970271
580000,585000,338,5000,104583.0,8965.81082315
585000,590000,339,5000,104911.0,8979.74521557
590000,595000,340,5000,105240.0,8992.24481705
595000,600000,341,5000,105569.0,9004.89624436
600000,605000,342,5000,105897.0,9014.29747237
605000,610000,343,5000,106208.0,9022.33092424
610000,615000,344,5000,106519.0,9033.50213486
615000,620000,345,5000,106829.0,9035.00228532
620000,625000,346,5000,107140.0,9046.01757543
625000,630000,347,5000,107450.0,9053.78326321
630000,635000,348,5000,107761.0,9055.54324305
635000,640000,349,5000,108072.0,9057.06990871
640000,645000,350,5000,108382.0,9064.55272184
645000,650000,351,5000,108693.0,9070.13312856
650000,655000,352,5000,109004.0,9071.67093271
655000,660000,353,5000,109314.0,9083.51060439
660000,665000,354,5000,109625.0,9091.09608923
665000,670000,355,5000,109936.0,9092.57903037
670000,675000,356,5000,110246.0,9081.64779809
675000,680000,357,5000,110557.0,9082.70646098
680000,685000,358,5000,110868.0,9083.87104388
685000,690000,359,5000,111178.0,9072.97777288
690000,695000,360,5000,111489.0,9074.36423891
695000,700000,361,5000,111800.0,9084.74609003
700000,705000,362,5000,112110.0,9091.99949967
705000,710000,363,5000,112412.0,9102.25624183
