,Nodes,Framework,Duration
133,1,Dask,15654.0429592
134,1,Dask,15716.1049843
135,1,Dask,15805.3100109
136,1,Dask,15830.4581642
137,1,Dask,15832.7879906
138,1,Dask,15868.044138
139,1,Dask,16295.9158421
140,1,Dask,16316.2119389
141,1,Dask,16321.4859962
142,1,Dask,16358.9980602
143,1,Dask,16983.0670357
144,1,Dask,14724.2619991
145,1,Dask,14714.3759727
146,1,Dask,15139.3659115
147,1,Dask,15258.3868504
148,1,Dask,15459.2349529
149,1,Dask,15419.3739891
150,1,Dask,15308.9828491
151,1,Dask,15594.7151184
152,1,Dask,15507.776022
153,1,Dask,15695.9269047
154,1,Dask,15660.3369713
155,1,Dask,15715.8620358
156,1,Dask,15534.7459316
157,1,Dask,15602.039814
158,1,Dask,15765.0120258
159,1,Dask,15821.3641644
160,1,Dask,15787.2641087
161,1,Dask,15666.5451527
162,1,Dask,15775.9299278
163,1,Dask,16033.8890553
164,1,Dask,15883.8551044
165,1,Dask,15933.9179993
166,1,Dask,17026.1909962
167,1,Dask,19047.8279591
168,1,Dask,15062.4608994
169,1,Dask,15102.7059555
170,1,Dask,15150.1300335
171,1,Dask,15235.8911037
172,1,Dask,15244.1990376
173,1,Dask,15315.8669472
174,1,Dask,15333.6601257
175,1,Dask,15340.9678936
176,1,Dask,15354.5720577
177,1,Dask,15359.7431183
178,1,Dask,15370.9759712
179,1,Dask,15389.3239498
180,1,Dask,15403.6631584
181,1,Dask,15551.6889095
182,1,Dask,15554.9609661
183,1,Dask,15593.9469337
184,1,Dask,15673.4008789
185,1,Dask,15700.2360821
186,1,Dask,15722.3289013
187,1,Dask,15791.1169529
188,1,Dask,15848.0060101
189,1,Dask,16148.3290195
190,1,Dask,16930.4721355
191,1,Dask,18619.3470955
192,1,Dask,15170.7530022
193,1,Dask,15302.5360107
194,1,Dask,15323.2028484
195,1,Dask,15346.3690281
196,1,Dask,15396.5611458
197,1,Dask,15427.4141788
198,1,Dask,15425.7998466
199,1,Dask,15444.5669651
200,1,Dask,15483.891964
201,1,Dask,15496.6609478
202,1,Dask,15507.5941086
203,1,Dask,15521.3549137
204,1,Dask,15522.685051
205,1,Dask,15529.6268463
206,1,Dask,15543.9069271
207,1,Dask,15601.8571854
208,1,Dask,15610.3219986
209,1,Dask,15620.000124
210,1,Dask,15614.3519878
211,1,Dask,15626.8150806
212,1,Dask,15780.3308964
213,1,Dask,15811.3780022
214,1,Dask,16609.3690395
215,1,Dask,20988.4958267
216,1,Dask,15214.3039703
217,1,Dask,15216.8180943
218,1,Dask,15226.2790203
219,1,Dask,15248.9509583
220,1,Dask,15339.7049904
221,1,Dask,15362.72192
222,1,Dask,15376.0080338
223,1,Dask,15379.2259693
224,1,Dask,15392.3060894
225,1,Dask,15424.8070717
226,1,Dask,15432.5630665
227,1,Dask,15456.0928345
228,1,Dask,15490.81707
229,1,Dask,15507.8630447
230,1,Dask,15529.0501118
231,1,Dask,15585.3180885
232,1,Dask,15703.5348415
233,1,Dask,15708.2870007
234,1,Dask,15748.4061718
235,1,Dask,15932.4507713
236,1,Dask,16202.4700642
237,1,Dask,16424.1728783
238,1,Dask,16878.0510426
239,1,Dask,20833.1007957
240,2,Dask,14368.4229851
241,2,Dask,14395.9488869
242,2,Dask,14509.4881058
243,2,Dask,14708.7869644
244,2,Dask,14773.2970715
245,2,Dask,14796.257019
246,2,Dask,14851.6769409
247,2,Dask,14909.2879295
248,2,Dask,14918.2960987
249,2,Dask,15050.1790047
250,2,Dask,15059.0939522
251,2,Dask,15078.7761211
252,2,Dask,15082.4570656
253,2,Dask,15108.5889339
254,2,Dask,15126.3749599
255,2,Dask,15203.0551434
256,2,Dask,15307.929039
257,2,Dask,15325.2851963
258,2,Dask,15361.5739346
259,2,Dask,15436.1290932
260,2,Dask,15552.3989201
261,2,Dask,15618.3609962
262,2,Dask,15656.208992
263,2,Dask,15728.1749249
264,2,Dask,15851.5388966
265,2,Dask,15968.8110352
266,2,Dask,15964.0269279
267,2,Dask,15991.3029671
268,2,Dask,16066.6980743
269,2,Dask,16077.9628754
270,2,Dask,16136.8479729
271,2,Dask,16301.612854
272,2,Dask,16307.6210022
273,2,Dask,16402.9438496
274,2,Dask,16419.5621014
275,2,Dask,16541.4419174
276,2,Dask,16550.9588718
277,2,Dask,16550.5449772
278,2,Dask,16582.6950073
279,2,Dask,16576.1182308
280,2,Dask,16921.820879
281,2,Dask,16930.1450253
282,2,Dask,16982.9740524
283,2,Dask,17040.1570797
284,2,Dask,17241.7600155
285,2,Dask,17262.6130581
286,2,Dask,18170.5830097
287,2,Dask,18178.4582138
288,2,Dask,14342.621088
289,2,Dask,14427.8430939
290,2,Dask,14589.1690254
291,2,Dask,15057.9121113
292,2,Dask,15087.8338814
293,2,Dask,15098.140955
294,2,Dask,15169.0220833
295,2,Dask,15166.9931412
296,2,Dask,15177.5319576
297,2,Dask,15214.0648365
298,2,Dask,15232.3842049
299,2,Dask,15250.1070499
300,2,Dask,15279.3619633
301,2,Dask,15279.1409492
302,2,Dask,15313.1248951
303,2,Dask,15317.0058727
304,2,Dask,15350.7800102
305,2,Dask,15385.338068
306,2,Dask,15404.4260979
307,2,Dask,15398.6129761
308,2,Dask,15424.1900444
309,2,Dask,15434.9751472
310,2,Dask,15480.4239273
311,2,Dask,15555.9449196
312,2,Dask,15573.1768608
313,2,Dask,15635.4160309
314,2,Dask,15646.7359066
315,2,Dask,15639.5921707
316,2,Dask,15639.564991
317,2,Dask,15659.2509747
318,2,Dask,15688.4849072
