['watershed_multi-5e6f4644-ab7d-4447-b2d4-92336b6914c7', 'processing', 'memory', 'tcp://10.21.255.86:40740', 47879225898752, [['deserialize', 1527364142.144231, 1527364145.258539], ['compute', 1527364145.2603567, 1527366497.7015777]]]
['watershed_multi-1e649e21-e347-449d-8cad-f6e60174ba36', 'processing', 'memory', 'tcp://10.21.255.102:45931', 47659243042560, [['deserialize', 1527364142.134459, 1527364152.853196], ['compute', 1527364152.853938, 1527366498.437117]]]
['watershed_multi-164a3260-5a52-4489-a763-07a64afaad7c', 'processing', 'memory', 'tcp://10.21.255.102:44166', 47662665869056, [['deserialize', 1527364142.133929, 1527364152.495252], ['compute', 1527364152.495812, 1527366498.434872]]]
['watershed_multi-98b8d44c-d826-40be-b443-0b26e62eaf13', 'processing', 'memory', 'tcp://10.21.255.86:43674', 47877212632832, [['deserialize', 1527364142.154439, 1527364145.33019], ['compute', 1527364145.3300662, 1527366498.2141724]]]
['watershed_multi-a175d90e-2394-481e-90e9-97f5cb6bb1fc', 'processing', 'memory', 'tcp://10.21.255.75:36023', 47574616639232, [['deserialize', 1527364142.155496, 1527364146.181161], ['compute', 1527364146.1812723, 1527366499.5618203]]]
['watershed_multi-218e4a45-d0ff-4c91-a641-0f0286793b3e', 'processing', 'memory', 'tcp://10.21.255.68:37560', 47119016687360, [['deserialize', 1527364142.13681, 1527364145.583326], ['compute', 1527364145.5841324, 1527366499.9906144]]]
['watershed_multi-c2944798-3999-4f4d-9050-f17b9a04ebea', 'processing', 'memory', 'tcp://10.21.255.77:45333', 47377517905664, [['deserialize', 1527364142.161255, 1527364145.423399], ['compute', 1527364145.4224157, 1527366500.6971128]]]
['watershed_multi-3fd0c625-2066-4d8e-960b-730a1b3271e8', 'processing', 'memory', 'tcp://10.21.255.75:45730', 47574436689664, [['deserialize', 1527364142.142339, 1527364146.181154], ['compute', 1527364146.181215, 1527366501.551398]]]
['watershed_multi-c81b1ea3-e846-4000-9927-5e303cbf249c', 'processing', 'memory', 'tcp://10.21.255.92:43489', 47520530069248, [['deserialize', 1527364142.161265, 1527364145.467976], ['compute', 1527364145.469648, 1527366500.867445]]]
['watershed_multi-c069db68-9f21-48ce-b1aa-7af0aad98c44', 'processing', 'memory', 'tcp://10.21.255.75:39301', 47576633079552, [['deserialize', 1527364142.159497, 1527364146.18288], ['compute', 1527364146.183177, 1527366502.328252]]]
['watershed_multi-a22ab6eb-a9d7-4cb9-8bc7-2a328ac9a02b', 'processing', 'memory', 'tcp://10.21.255.77:35491', 47380338603776, [['deserialize', 1527364142.156852, 1527364145.423457], ['compute', 1527364145.4222026, 1527366503.4097476]]]
['watershed_multi-5161fe38-1572-4ed5-bfa4-c68ec07e2149', 'processing', 'memory', 'tcp://10.21.255.77:46532', 47379130644224, [['deserialize', 1527364142.144546, 1527364145.423794], ['compute', 1527364145.4241228, 1527366504.516753]]]
['watershed_multi-246979d2-ee3c-46db-9002-f0f87a6014ea', 'processing', 'memory', 'tcp://10.21.255.73:32795', 47855066707712, [['deserialize', 1527364142.137639, 1527364145.574098], ['compute', 1527364145.5740557, 1527366504.5183296]]]
['watershed_multi-2d584411-bd4d-4f4b-a754-5230be47aec2', 'processing', 'memory', 'tcp://10.21.255.73:42010', 47852246271744, [['deserialize', 1527364142.139404, 1527364145.670965], ['compute', 1527364145.670549, 1527366505.291442]]]
['watershed_multi-64230c10-36a8-41d2-ab40-cb1728d53949', 'processing', 'memory', 'tcp://10.21.255.92:32900', 47523951568640, [['deserialize', 1527364142.147006, 1527364145.467967], ['compute', 1527364145.492321, 1527366505.460338]]]
['watershed_multi-b32d9172-0f9b-45c6-b613-15d4e409df3f', 'processing', 'memory', 'tcp://10.21.255.102:46705', 47660451002112, [['deserialize', 1527364142.157762, 1527364152.861244], ['compute', 1527364152.8623154, 1527366505.4193046]]]
['watershed_multi-40d50cac-73e7-4cf8-b3c8-baea90bb5ae3', 'processing', 'memory', 'tcp://10.21.255.77:37426', 47380137277184, [['deserialize', 1527364142.143462, 1527364145.423373], ['compute', 1527364145.4227486, 1527366505.8171906]]]
['watershed_multi-4ddec0d0-13a0-490d-be18-313c5c369809', 'processing', 'memory', 'tcp://10.21.255.77:41782', 47377721358080, [['deserialize', 1527364142.143883, 1527364145.495005], ['compute', 1527364145.4937649, 1527366505.79779]]]
['watershed_multi-c43db4a7-2819-4544-9f08-39a83010adc6', 'processing', 'memory', 'tcp://10.21.255.77:46234', 47380539930368, [['deserialize', 1527364142.161362, 1527364145.423383], ['compute', 1527364145.4229846, 1527366506.2485325]]]
['watershed_multi-2425818e-0283-42a8-8a20-2163667d766c', 'processing', 'memory', 'tcp://10.21.255.68:45352', 47120224646912, [['deserialize', 1527364142.137514, 1527364145.58325], ['compute', 1527364145.5830336, 1527366506.1757808]]]
