['watershed_multi-be8296ee-ff5e-4d05-ae94-79b0ec0a852c', 'processing', 'memory', 'tcp://10.21.250.123:36000', 47085864908544, [['deserialize', 1527423182.729299, 1527423185.443971], ['compute', 1527423185.442584, 1527425633.805366]]]
['watershed_multi-66bf9b05-e971-4942-9c49-e656b90a65bd', 'processing', 'memory', 'tcp://10.21.250.124:45337', 47535022409472, [['deserialize', 1527423182.724245, 1527423185.61579], ['compute', 1527423185.6156566, 1527425633.8163636]]]
['watershed_multi-a47259b2-818a-42c1-a9b8-1d8d4252e7df', 'processing', 'memory', 'tcp://10.21.250.124:44496', 47532208301824, [['deserialize', 1527423182.727932, 1527423185.61579], ['compute', 1527423185.6145535, 1527425633.9707716]]]
['watershed_multi-3c94df27-a0d3-40a0-92b1-6165e080e8a0', 'processing', 'memory', 'tcp://10.21.250.123:41068', 47087876073216, [['deserialize', 1527423182.72118, 1527423185.388115], ['compute', 1527423185.388045, 1527425636.6365032]]]
['watershed_multi-c5d85ef0-c8b1-4c5a-8735-f047bfae5031', 'processing', 'memory', 'tcp://10.21.250.156:42795', 47497577789184, [['deserialize', 1527423182.728211, 1527423188.197785], ['compute', 1527423188.1986012, 1527425637.0914164]]]
['watershed_multi-4465d932-ccc2-4c97-9c22-14e1e8b01451', 'processing', 'memory', 'tcp://10.21.250.123:45824', 47087274194688, [['deserialize', 1527423182.722078, 1527423185.386699], ['compute', 1527423185.385451, 1527425639.2573552]]]
['watershed_multi-9b661db2-d124-42cc-a5a7-eadc832aba9c', 'processing', 'memory', 'tcp://10.21.250.124:32946', 47533814449920, [['deserialize', 1527423182.727459, 1527423185.726775], ['compute', 1527423185.7255423, 1527425639.3244574]]]
['watershed_multi-6ae03002-3e18-442f-8b62-55cdd8e7c8d2', 'processing', 'memory', 'tcp://10.21.250.156:37980', 47497376462592, [['deserialize', 1527423182.722322, 1527423188.110397], ['compute', 1527423188.111182, 1527425641.064897]]]
['watershed_multi-b6f13cd0-9b5b-4034-add6-6025b7c7b737', 'processing', 'memory', 'tcp://10.21.250.156:43899', 47500597950208, [['deserialize', 1527423182.726755, 1527423188.021738], ['compute', 1527423188.0225441, 1527425641.0692081]]]
['watershed_multi-729c85b7-8da9-458c-b2b6-433ae2a21f6e', 'processing', 'memory', 'tcp://10.21.250.156:41992', 47498785748736, [['deserialize', 1527423182.723163, 1527423188.115544], ['compute', 1527423188.1159403, 1527425641.2827172]]]
