['watershed_multi-b08f563d-b0f5-4a1c-9f77-252e12ba1e01', 'processing', 'memory', 'tcp://10.21.251.6:38592', 47221290604288, [['deserialize', 1527361494.073783, 1527361496.956999], ['compute', 1527361496.9565039, 1527363897.850538]]]
['watershed_multi-514b339b-64ee-41e2-bd22-7630b783c01f', 'processing', 'memory', 'tcp://10.21.251.27:45988', 47948146702080, [['deserialize', 1527361494.065885, 1527361499.911267], ['compute', 1527361499.9118721, 1527363898.0171921]]]
['watershed_multi-52e27b72-e221-43ac-8720-14608dd96c41', 'processing', 'memory', 'tcp://10.21.251.2:33904', 46948493063936, [['deserialize', 1527361494.067326, 1527361496.935132], ['compute', 1527361496.9374375, 1527363898.9201133]]]
['watershed_multi-88314c6d-da5d-42e1-8981-81ce631eed80', 'processing', 'memory', 'tcp://10.21.251.6:38897', 47219881309952, [['deserialize', 1527361494.070254, 1527361496.956956], ['compute', 1527361496.9564564, 1527363899.6090045]]]
['watershed_multi-0a9f6e4a-980f-4d04-b937-e10a0a1ca28c', 'processing', 'memory', 'tcp://10.21.251.26:37425', 47883453761280, [['deserialize', 1527361494.061607, 1527361496.820648], ['compute', 1527361496.821864, 1527363900.7202868]]]
['watershed_multi-7c1a11ea-80cf-49e4-a0dd-05757390018a', 'processing', 'memory', 'tcp://10.21.251.6:34452', 47218270959360, [['deserialize', 1527361494.069402, 1527361497.061864], ['compute', 1527361497.0617204, 1527363902.4820144]]]
['watershed_multi-6e76b522-1d22-4a59-8fad-d1f665ac9f1e', 'processing', 'memory', 'tcp://10.21.251.2:44231', 46948895717120, [['deserialize', 1527361494.06893, 1527361496.970698], ['compute', 1527361496.971846, 1527363905.0145671]]]
['watershed_multi-3d9490d4-9a3d-416d-882e-f18d67c2eab3', 'processing', 'memory', 'tcp://10.21.251.27:36699', 47947744311040, [['deserialize', 1527361494.064553, 1527361499.833477], ['compute', 1527361499.834209, 1527363906.781024]]]
['watershed_multi-ef510336-f38d-4bd6-ab9e-79af1dff84be', 'processing', 'memory', 'tcp://10.21.251.2:44427', 46951110309632, [['deserialize', 1527361494.078626, 1527361496.844422], ['compute', 1527361496.8457868, 1527363906.8376088]]]
['watershed_multi-d4dd7615-3a8d-4a87-8a70-38023dc5e767', 'processing', 'memory', 'tcp://10.21.251.26:45274', 47881641817856, [['deserialize', 1527361494.077012, 1527361496.920597], ['compute', 1527361496.9202724, 1527363907.6476674]]]
