['watershed_multi-ffb4addc-57bb-4610-bf29-401476e18096', 'processing', 'memory', 'tcp://10.21.253.12:36600', 47420805248768, [['deserialize', 1527351332.740312, 1527351360.537465], ['compute', 1527351360.5797815, 1527353743.4594417]]]
['watershed_multi-5fbb562a-5b83-4517-a73e-938c126489e3', 'processing', 'memory', 'tcp://10.21.253.19:43108', 47360541488896, [['deserialize', 1527351320.547808, 1527351328.540409], ['compute', 1527351328.5408084, 1527353744.3480453]]]
['watershed_multi-1e6f3a4e-000b-460c-9e6b-3f05ebd821ce', 'processing', 'memory', 'tcp://10.21.253.18:36791', 47897345292032, [['deserialize', 1527351320.545177, 1527351324.657139], ['compute', 1527351324.6573193, 1527353747.9380634]]]
['watershed_multi-cc5b7d6b-c133-4ee9-8db3-8aade865360e', 'processing', 'memory', 'tcp://10.21.253.12:38577', 47418389329664, [['deserialize', 1527351320.555317, 1527351323.836132], ['compute', 1527351323.836772, 1527353747.941809]]]
['watershed_multi-e5928008-1049-4401-afe9-071d603a13b1', 'processing', 'memory', 'tcp://10.21.253.18:35099', 47897747945216, [['deserialize', 1527351320.557014, 1527351324.73551], ['compute', 1527351324.7358057, 1527353749.90794]]]
['watershed_multi-0213cb51-c34e-4e8a-96d4-216c8057479c', 'processing', 'memory', 'tcp://10.21.253.12:34374', 47419194623744, [['deserialize', 1527351320.540542, 1527351323.78882], ['compute', 1527351323.7894678, 1527353750.1474588]]]
['watershed_multi-26418d94-5d64-4db4-9bad-17378a3ac53f', 'processing', 'memory', 'tcp://10.21.253.18:40970', 47898553251584, [['deserialize', 1527351320.545652, 1527351324.800442], ['compute', 1527351324.800931, 1527353750.906411]]]
['watershed_multi-88217b1f-6549-4185-ae71-d6df2eb7498e', 'processing', 'memory', 'tcp://10.21.253.8:44369', 47184579921664, [['deserialize', 1527351320.551242, 1527351324.075813], ['compute', 1527351324.0781488, 1527353751.1772869]]]
['watershed_multi-2396d3ea-c73a-43d4-9519-417ab92811b0', 'processing', 'memory', 'tcp://10.21.253.18:37610', 47899962545920, [['deserialize', 1527351320.545229, 1527351324.657073], ['compute', 1527351324.657091, 1527353752.480822]]]
['watershed_multi-e7931303-b283-48e5-97a5-0f95826cfbd1', 'processing', 'memory', 'tcp://10.21.253.18:44142', 47897547667200, [['deserialize', 1527351320.557513, 1527351324.725825], ['compute', 1527351324.7262886, 1527353752.6733944]]]
['watershed_multi-160ef3da-46ca-4fbc-aba3-ebc30fb88f72', 'processing', 'memory', 'tcp://10.21.253.18:36245', 47899157231360, [['deserialize', 1527351320.542964, 1527351324.65702], ['compute', 1527351324.6594458, 1527353753.456919]]]
['watershed_multi-f8a7744f-f790-450e-b635-207951969339', 'processing', 'memory', 'tcp://10.21.253.8:41043', 47183642523392, [['deserialize', 1527351320.558925, 1527351324.139167], ['compute', 1527351324.139657, 1527353753.7990859]]]
['watershed_multi-f705c088-0420-4b85-94b8-7634e6c2dfa0', 'processing', 'memory', 'tcp://10.21.253.8:39274', 47185586562816, [['deserialize', 1527351320.558764, 1527351324.076568], ['compute', 1527351324.078882, 1527353755.080874]]]
