['watershed_multi-24e4755b-050e-4af2-b9e7-eba87ae9316c', 'processing', 'memory', 'tcp://10.21.250.231:33064', 47526635927296, [['deserialize', 1527405458.542652, 1527405461.92145], ['compute', 1527405461.9220684, 1527407821.3267114]]]
['watershed_multi-e1e1029a-1967-4225-8fe7-9a57c233d0f2', 'processing', 'memory', 'tcp://10.21.250.229:43511', 46928712541952, [['deserialize', 1527405458.575857, 1527405461.953795], ['compute', 1527405461.9552507, 1527407822.5163448]]]
['watershed_multi-40a91ecf-5ea9-44cd-9443-d7684ab78f68', 'processing', 'memory', 'tcp://10.21.250.233:44655', 47825136154368, [['deserialize', 1527405458.55024, 1527405461.699136], ['compute', 1527405461.7018707, 1527407822.3516629]]]
['watershed_multi-cf782900-9a46-4585-be10-389c39909a07', 'processing', 'memory', 'tcp://10.21.250.237:34755', 47906203924224, [['deserialize', 1527405458.573171, 1527405462.847969], ['compute', 1527405462.848166, 1527407823.083084]]]
['watershed_multi-873d82d7-c9d1-4435-9af6-c1db5848b137', 'processing', 'memory', 'tcp://10.21.250.233:39483', 47823324215040, [['deserialize', 1527405458.563008, 1527405461.766499], ['compute', 1527405461.76697, 1527407822.976496]]]
['watershed_multi-004c87c0-bfab-493d-aa2f-fcb57ab2a092', 'processing', 'memory', 'tcp://10.21.250.222:32949', 47501671429888, [['deserialize', 1527405458.538627, 1527405461.851404], ['compute', 1527405461.851378, 1527407823.7210739]]]
['watershed_multi-e8b3cfaa-18c5-4957-92ee-9247b988d1a1', 'processing', 'memory', 'tcp://10.21.250.233:46155', 47825941460736, [['deserialize', 1527405458.577243, 1527405461.699132], ['compute', 1527405461.7021098, 1527407823.939437]]]
['watershed_multi-de56b5f5-c0da-40f1-8825-16f555a7fdf1', 'processing', 'memory', 'tcp://10.21.250.222:38314', 47504691349248, [['deserialize', 1527405458.576025, 1527405461.768286], ['compute', 1527405461.770099, 1527407824.0000558]]]
['watershed_multi-57e5f36c-8d4f-4b92-a6bc-df89743e78c5', 'processing', 'memory', 'tcp://10.21.250.235:39198', 47464962881280, [['deserialize', 1527405458.555343, 1527405462.04831], ['compute', 1527405462.0481765, 1527407823.6650376]]]
['watershed_multi-1f084b77-662f-450d-9b11-aa83319df657', 'processing', 'memory', 'tcp://10.21.250.229:38457', 46929904170752, [['deserialize', 1527405458.541824, 1527405462.008879], ['compute', 1527405462.0107024, 1527407824.0838745]]]
['watershed_multi-5916a614-b1d5-4b2a-b6d1-c48a89f99fe9', 'processing', 'memory', 'tcp://10.21.250.235:41833', 47463956248320, [['deserialize', 1527405458.555415, 1527405462.127359], ['compute', 1527405462.1282098, 1527407824.3701758]]]
['watershed_multi-32b9993b-2898-4c28-9f3d-796c0379b2a5', 'processing', 'memory', 'tcp://10.21.250.231:43058', 47526434862848, [['deserialize', 1527405458.544855, 1527405461.921135], ['compute', 1527405461.921783, 1527407824.32698]]]
['watershed_multi-d41b6634-6058-4876-ba91-71a911975873', 'processing', 'memory', 'tcp://10.21.250.222:35845', 47502476998400, [['deserialize', 1527405458.574768, 1527405461.866082], ['compute', 1527405461.8659618, 1527407825.052749]]]
['watershed_multi-254d4165-61a0-436b-9c79-08c86575175f', 'processing', 'memory', 'tcp://10.21.250.231:33461', 47524622661376, [['deserialize', 1527405458.54275, 1527405461.991482], ['compute', 1527405461.9926655, 1527407825.4051816]]]
