['watershed_multi-74ccb741-7a27-470c-87f2-e210757db9b5', 'processing', 'memory', 'tcp://10.21.255.149:41173', 47950294185728, [['deserialize', 1527410485.530635, 1527410492.150243], ['compute', 1527410492.1508706, 1527412881.3618326]]]
['watershed_multi-289ab733-359d-4578-848f-3e1bf75bf529', 'processing', 'memory', 'tcp://10.21.255.148:40545', 47520327694080, [['deserialize', 1527410485.528411, 1527410489.063951], ['compute', 1527410489.0642085, 1527412881.4144075]]]
['watershed_multi-69ec72be-9f75-4ee1-aa3c-74d23023071d', 'processing', 'memory', 'tcp://10.21.255.149:39204', 47951502145280, [['deserialize', 1527410485.530321, 1527410492.06148], ['compute', 1527410492.0618715, 1527412883.1405516]]]
['watershed_multi-d7333770-96c6-4e87-ba38-7ff63983e96c', 'processing', 'memory', 'tcp://10.21.255.149:37089', 47951099754240, [['deserialize', 1527410485.534193, 1527410492.065048], ['compute', 1527410492.065774, 1527412884.355794]]]
['watershed_multi-44ad054d-ca8a-4434-8f4c-4870f19481d0', 'processing', 'memory', 'tcp://10.21.255.149:32878', 47952509040384, [['deserialize', 1527410485.529492, 1527410492.836554], ['compute', 1527410492.8482158, 1527412887.107543]]]
['watershed_multi-d405b057-1996-4dfe-bf70-93db626ce660', 'processing', 'memory', 'tcp://10.21.255.149:34239', 47951300818688, [['deserialize', 1527410485.53389, 1527410492.272676], ['compute', 1527410492.2733488, 1527412888.899406]]]
['watershed_multi-8b50c750-1963-4f19-8348-1837b01a1eca', 'processing', 'memory', 'tcp://10.21.255.149:42734', 47952106125056, [['deserialize', 1527410485.530797, 1527410492.167682], ['compute', 1527410492.168098, 1527412890.515404]]]
['watershed_multi-d5c32b88-c06e-4d81-a7b1-067ce7e59859', 'processing', 'memory', 'tcp://10.21.255.149:35623', 47953515403008, [['deserialize', 1527410485.534064, 1527410492.055719], ['compute', 1527410492.0564663, 1527412891.9862053]]]
['watershed_multi-de2d1bdf-ab2a-41fb-81c7-ce1dfb94f575', 'processing', 'memory', 'tcp://10.21.255.149:38635', 47953112770304, [['deserialize', 1527410485.534371, 1527410494.54754], ['compute', 1527410494.5897787, 1527412894.7414176]]]
['watershed_multi-672c7490-a768-4cb2-8502-9d6a18646f2b', 'processing', 'memory', 'tcp://10.21.255.149:36013', 47950093907712, [['deserialize', 1527410485.529938, 1527410492.156781], ['compute', 1527410492.1573641, 1527412897.1275423]]]
['watershed_multi-be3ec2ff-64cf-4ebc-ba5c-d3836ea2154d', 'processing', 'memory', 'tcp://10.21.255.148:36249', 47519925040896, [['deserialize', 1527410485.532618, 1527410489.071751], ['compute', 1527410489.072379, 1527412898.378416]]]
['watershed_multi-d32481e4-a8c5-4b24-a102-72304d9af13c', 'processing', 'memory', 'tcp://10.21.255.148:45562', 47520931673856, [['deserialize', 1527410485.533859, 1527410488.984973], ['compute', 1527410488.9852045, 1527412899.2378335]]]
['watershed_multi-c1d4f69e-44f9-49c5-b765-6ef5487a1b71', 'processing', 'memory', 'tcp://10.21.255.148:37075', 47518939084544, [['deserialize', 1527410485.532909, 1527410488.984827], ['compute', 1527410488.9851937, 1527412901.0555108]]]
['watershed_multi-9175c7ae-48d8-4bad-b9bc-545aad9e2b1f', 'processing', 'memory', 'tcp://10.21.255.149:44422', 47952307451648, [['deserialize', 1527410485.531132, 1527410492.29314], ['compute', 1527410492.2938962, 1527412903.4702482]]]
['watershed_multi-21222c94-80a4-48e8-9f25-9946bb0841ee', 'processing', 'memory', 'tcp://10.21.255.148:38818', 47522942834432, [['deserialize', 1527410485.528036, 1527410488.984818], ['compute', 1527410488.9851127, 1527412904.0115848]]]
['watershed_multi-af447a74-b5cd-4c80-a586-10dd0c31bf41', 'processing', 'memory', 'tcp://10.21.255.148:43973', 47521535915776, [['deserialize', 1527410485.532128, 1527410488.984896], ['compute', 1527410488.9851472, 1527412905.6427102]]]
['watershed_multi-e7fd91fd-b556-4bf5-8443-f2f709a625f7', 'processing', 'memory', 'tcp://10.21.255.149:42692', 47950696838912, [['deserialize', 1527410485.534871, 1527410492.337052], ['compute', 1527410492.337533, 1527412910.307836]]]
['watershed_multi-650e4a77-6e32-4e0b-b9da-f9a08f55005a', 'processing', 'memory', 'tcp://10.21.255.149:35218', 47949912581888, [['deserialize', 1527410485.529841, 1527410492.108982], ['compute', 1527410492.1095994, 1527412928.2997735]]]
['watershed_multi-e0467531-1f93-4b38-b860-b475940ff4ee', 'processing', 'memory', 'tcp://10.21.255.149:40280', 47949914683136, [['deserialize', 1527410485.53454, 1527410492.260858], ['compute', 1527410492.26142, 1527412928.457326]]]
['watershed_multi-672e1449-47cb-445f-8ec1-33d3fdbc1bc7', 'processing', 'memory', 'tcp://10.21.255.149:37890', 47953918084864, [['deserialize', 1527410485.530177, 1527410492.052835], ['compute', 1527410492.0535848, 1527412928.827726]]]
['watershed_multi-6f171be3-5fa0-467f-b4cd-0eb0f9b77ef0', 'processing', 'memory', 'tcp://10.21.255.149:40790', 47950495512320, [['deserialize', 1527410485.53049, 1527410492.110198], ['compute', 1527410492.1106288, 1527412930.689313]]]
['watershed_multi-b0918057-f2aa-40c3-88ec-a50dea1ec957', 'processing', 'memory', 'tcp://10.21.255.149:32966', 47950898165504, [['deserialize', 1527410485.532177, 1527410492.146325], ['compute', 1527410492.1476705, 1527412934.0314786]]]
['watershed_multi-fa2cf470-1cde-450d-af57-cf7fb8ac18d2', 'processing', 'memory', 'tcp://10.21.255.149:44943', 47951904798464, [['deserialize', 1527410485.535362, 1527410494.94289], ['compute', 1527410494.949518, 1527412935.0299249]]]
