['watershed_multi-43ebd10a-3966-417e-bd66-59e514d76fe1', 'processing', 'memory', 'tcp://10.21.249.46:41378', 47047411529472, [['deserialize', 1527374847.225054, 1527374850.643494], ['compute', 1527374850.6439707, 1527377215.8274047]]]
['watershed_multi-75b972a4-884f-4c5a-81b0-10187029f7b9', 'processing', 'memory', 'tcp://10.21.249.59:34650', 47788159170304, [['deserialize', 1527374847.233606, 1527374853.747679], ['compute', 1527374853.7481544, 1527377216.3326135]]]
['watershed_multi-8673407b-2a08-4d56-b252-9681993be2e8', 'processing', 'memory', 'tcp://10.21.249.40:37994', 47402283202304, [['deserialize', 1527374847.235547, 1527374850.773642], ['compute', 1527374850.774844, 1527377216.32158]]]
['watershed_multi-8dcfb92a-c529-496e-ab50-0543bfb3d6b9', 'processing', 'memory', 'tcp://10.21.249.44:38063', 47225174849280, [['deserialize', 1527374847.237774, 1527374850.400671], ['compute', 1527374850.4024894, 1527377216.6085505]]]
['watershed_multi-4f6cd6c5-3266-4dc3-841b-a0c7b6e77147', 'processing', 'memory', 'tcp://10.21.249.48:46313', 47220352120576, [['deserialize', 1527374847.227145, 1527374850.576491], ['compute', 1527374850.577525, 1527377218.220748]]]
['watershed_multi-24c2ceb2-80a0-45f6-8d5b-e0440cf37f5e', 'processing', 'memory', 'tcp://10.21.249.44:34870', 47226324023040, [['deserialize', 1527374847.221415, 1527374850.491118], ['compute', 1527374850.4911735, 1527377218.2625585]]]
['watershed_multi-4dd9a20c-3a86-47e9-bd27-4836abc01d35', 'processing', 'memory', 'tcp://10.21.249.48:45664', 47218740459264, [['deserialize', 1527374847.226959, 1527374850.648804], ['compute', 1527374850.6491854, 1527377218.9717865]]]
['watershed_multi-d2d73e5a-ee79-4fab-805a-52a92f6b3df2', 'processing', 'memory', 'tcp://10.21.249.59:33677', 47786347230976, [['deserialize', 1527374847.246795, 1527374854.162681], ['compute', 1527374854.189011, 1527377219.0721362]]]
['watershed_multi-67cd60c4-b152-4df1-b865-f8076781662d', 'processing', 'memory', 'tcp://10.21.249.56:35312', 47553076819712, [['deserialize', 1527374847.233033, 1527374850.654608], ['compute', 1527374850.6542006, 1527377219.6845865]]]
['watershed_multi-6ef6ab0a-5bec-49fa-a977-546f69299916', 'processing', 'memory', 'tcp://10.21.249.56:43447', 47554687428352, [['deserialize', 1527374847.234203, 1527374850.548162], ['compute', 1527374850.547715, 1527377219.823532]]]
['watershed_multi-9ca5a325-7689-431e-914f-872b3d4c197c', 'processing', 'memory', 'tcp://10.21.249.53:39312', 47852113917696, [['deserialize', 1527374847.239048, 1527374850.365433], ['compute', 1527374850.3663085, 1527377220.3107085]]]
['watershed_multi-a6fdb648-9a3d-443a-bb7c-cf41a33dfe52', 'processing', 'memory', 'tcp://10.21.249.59:41896', 47785340598016, [['deserialize', 1527374847.240939, 1527374854.114513], ['compute', 1527374854.1236749, 1527377220.9714959]]]
['watershed_multi-4617b6cb-f964-4d92-a21c-ccc16b5382d0', 'processing', 'memory', 'tcp://10.21.249.46:46697', 47049022142208, [['deserialize', 1527374847.225405, 1527374850.575157], ['compute', 1527374850.5760534, 1527377221.4668803]]]
