['watershed_multi-b4255c1a-3e2b-4ac3-9e0e-19ce03357c4e', 'processing', 'memory', 'tcp://10.21.250.196:37764', 47964454156032, [['deserialize', 1527353860.205497, 1527353863.795541], ['compute', 1527353863.7967453, 1527356239.8120341]]]
['watershed_multi-5d38bcf4-e71d-4d52-a08d-30d5666af049', 'processing', 'memory', 'tcp://10.21.250.196:45368', 47961434257152, [['deserialize', 1527353860.19202, 1527353863.858699], ['compute', 1527353863.8607957, 1527356240.618492]]]
['watershed_multi-cfa0c82d-29e3-44d0-ae1d-e404e4717000', 'processing', 'memory', 'tcp://10.21.250.196:34180', 47963447523072, [['deserialize', 1527353860.209681, 1527353863.79559], ['compute', 1527353863.7975962, 1527356240.624303]]]
['watershed_multi-3c477483-9259-4cf1-b626-2b1f6e4b561c', 'processing', 'memory', 'tcp://10.21.250.187:42867', 47211895355136, [['deserialize', 1527353860.186389, 1527353863.222517], ['compute', 1527353863.2243953, 1527356240.8804865]]]
['watershed_multi-8db264a4-ef00-4761-9fef-c7c8dbef7b4d', 'processing', 'memory', 'tcp://10.21.250.178:45450', 46966880892672, [['deserialize', 1527353860.197991, 1527353863.482401], ['compute', 1527353863.4829326, 1527356241.0904965]]]
['watershed_multi-19850276-13e4-45ad-8ccc-7f5fae9bd806', 'processing', 'memory', 'tcp://10.21.250.181:34181', 47157000566528, [['deserialize', 1527353860.183307, 1527353864.091339], ['compute', 1527353864.0923111, 1527356241.144468]]]
['watershed_multi-01c465ad-ce68-4f27-bc64-c727b8b9e09d', 'processing', 'memory', 'tcp://10.21.250.177:34198', 47687361656576, [['deserialize', 1527353860.178683, 1527353863.714058], ['compute', 1527353863.715668, 1527356241.358315]]]
['watershed_multi-e6282443-0e1c-4a38-b5ed-e8b3c67e144e', 'processing', 'memory', 'tcp://10.21.250.191:36431', 47879234750208, [['deserialize', 1527353860.214151, 1527353863.440081], ['compute', 1527353863.4413114, 1527356242.3412015]]]
['watershed_multi-f831549d-a833-444f-9e35-cf832f665ab5', 'processing', 'memory', 'tcp://10.21.250.204:43925', 47761852495616, [['deserialize', 1527353884.536474, 1527353940.149997], ['compute', 1527353940.2013495, 1527356243.2193513]]]
['watershed_multi-f9ea7d22-8a65-43f7-8a18-4008300e21ed', 'processing', 'memory', 'tcp://10.21.250.204:33752', 47760040556288, [['deserialize', 1527353914.906902, 1527353971.787311], ['compute', 1527353971.8647904, 1527356243.3757734]]]
['watershed_multi-1059f06a-c5b5-47c8-9fec-ad25bc2d406d', 'processing', 'memory', 'tcp://10.21.250.178:32999', 46968693106432, [['deserialize', 1527353860.181463, 1527353863.482367], ['compute', 1527353863.482936, 1527356243.5260599]]]
['watershed_multi-f96f021f-b334-4c57-9f8b-7363003cc387', 'processing', 'memory', 'tcp://10.21.250.187:39380', 47213304907520, [['deserialize', 1527353885.167777, 1527353899.423585], ['compute', 1527353899.4929051, 1527356243.7555711]]]
['watershed_multi-a30c2223-b9a2-4acf-a66d-ae99c6d39c08', 'processing', 'memory', 'tcp://10.21.250.203:44382', 47707360360192, [['deserialize', 1527353860.20117, 1527353864.36046], ['compute', 1527353864.361579, 1527356244.191673]]]
['watershed_multi-8e62d38e-5abe-4a00-b085-ff3656f5342f', 'processing', 'memory', 'tcp://10.21.250.181:38303', 47158208263936, [['deserialize', 1527353860.197953, 1527353864.027301], ['compute', 1527353864.0299466, 1527356245.7866507]]]
['watershed_multi-4af79806-349b-402d-9b46-913ce88add31', 'processing', 'memory', 'tcp://10.21.250.191:43329', 47880232531712, [['deserialize', 1527353860.190777, 1527353863.517812], ['compute', 1527353863.5190532, 1527356245.8490553]]]
['watershed_multi-e4b30dd2-98ab-4833-8e7b-58d669dc6dee', 'processing', 'memory', 'tcp://10.21.250.187:36493', 47212499343104, [['deserialize', 1527353860.21275, 1527353863.222581], ['compute', 1527353863.2244136, 1527356246.0038736]]]
['watershed_multi-5d1732ee-a8ef-4cee-890c-8ecbdc620c7b', 'processing', 'memory', 'tcp://10.21.250.196:45022', 47964051498752, [['deserialize', 1527353860.191916, 1527353863.795576], ['compute', 1527353863.798615, 1527356246.530971]]]
['watershed_multi-34871006-dd5c-4591-a978-1fe9308a6e79', 'processing', 'memory', 'tcp://10.21.250.187:34320', 47210888722176, [['deserialize', 1527353860.185193, 1527353863.280653], ['compute', 1527353863.2825558, 1527356246.6658838]]]
['watershed_multi-ab0bfecc-e831-4ecf-8d4f-52d08154f1c5', 'processing', 'memory', 'tcp://10.21.250.181:44198', 47158409852672, [['deserialize', 1527353860.204615, 1527353864.027968], ['compute', 1527353864.0294046, 1527356246.9182696]]]
['watershed_multi-964ecdf3-e41b-43e5-bca9-29f61e53c476', 'processing', 'memory', 'tcp://10.21.250.191:34863', 47879427225344, [['deserialize', 1527353860.199436, 1527353863.440076], ['compute', 1527353863.4411438, 1527356247.2311668]]]
['watershed_multi-b8953b2b-4133-4b0e-b593-46c832ca4e49', 'processing', 'memory', 'tcp://10.21.250.203:45852', 47705951074048, [['deserialize', 1527353860.20599, 1527353864.426419], ['compute', 1527353864.4275222, 1527356247.6650631]]]
