Pilot Startuptime:33.7161531448CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000122,Mapper-1-26,N/A,427.525486946,N/A,427.541668892,868.165575027,868.179001808,0.03078,230.427116,0.002862
unit.000123,Mapper-1-27,N/A,441.325609922,N/A,441.342692852,929.473474979,929.485441923,0.031432,232.233733,0.001997
unit.000124,Mapper-1-28,N/A,428.728742838,N/A,428.744240999,869.179698944,869.191289902,0.029304,229.676355,0.002458
unit.000125,Mapper-1-29,N/A,428.447299957,N/A,428.468008995,859.983798981,859.996271849,0.029778,224.167784,0.003147
unit.000126,Mapper-1-30,N/A,429.331166029,N/A,429.350667,911.076926947,911.087531805,0.031228,238.964903,0.00316
unit.000127,Mapper-1-31,N/A,434.647501945,N/A,434.734002829,875.307884932,875.319473982,0.029578,224.597521,0.002416
unit.000128,Mapper-1-32,N/A,426.073925018,N/A,426.090994835,828.450574875,828.463513851,0.028713,215.552784,0.002889
unit.000129,Mapper-1-33,N/A,426.524199009,N/A,426.545703888,882.446221828,882.457603931,0.030917,234.09953,0.002356
unit.000130,Mapper-1-34,N/A,427.225811958,N/A,427.241737843,919.256034851,919.268443823,0.030614,242.921349,0.002485
unit.000131,Mapper-1-35,N/A,436.768622875,N/A,436.797727823,933.549291849,933.562153816,0.032713,237.391162,0.002294
unit.000132,Mapper-1-36,N/A,437.652048826,N/A,437.671558857,905.979784966,905.991281986,0.030644,228.749544,0.002345
unit.000133,Mapper-1-37,N/A,439.360783815,N/A,439.378311872,914.133625031,914.144769907,0.029002,229.676376,0.002356
unit.000134,Mapper-1-38,N/A,442.943645954,N/A,442.967692852,879.386170864,879.397686005,0.030466,217.104958,0.002419
unit.000135,Mapper-1-39,N/A,431.5397439,N/A,431.555358887,893.712458849,893.725180864,0.027395,231.585453,0.002276
unit.000136,Mapper-1-40,N/A,433.519762993,N/A,433.566872835,900.859149933,900.884860992,0.029321,231.599183,0.002738
unit.000137,Mapper-1-41,N/A,436.748955965,N/A,436.772288799,894.728870869,894.740329981,0.028152,227.028096,0.002882
unit.000138,Mapper-1-42,N/A,425.204305887,N/A,425.220820904,838.736153841,838.748359919,0.031394,221.263868,0.003195
unit.000139,Mapper-1-43,N/A,423.364779949,N/A,423.385454893,916.1629498,916.174444914,0.029223,245.859457,0.003425
unit.000140,Mapper-1-44,N/A,440.574095964,N/A,440.640380859,925.388971806,925.400928974,0.028908,231.118014,0.002736
