CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000084,Mapper-0-85,N/A,6.02573800087,N/A,7.06855010986,305.587291956,305.600106001,0.012052,261.071362,0.012943
unit.000085,Mapper-0-86,N/A,6.07630515099,N/A,7.23674416542,266.656058073,266.669497967,0.011118,247.413413,0.01223
unit.000086,Mapper-0-87,N/A,6.15608501434,N/A,7.68644595146,316.861909151,318.022487164,0.009862,264.167186,0.012072
unit.000087,Mapper-0-88,N/A,6.20299196243,N/A,8.01715397835,277.065037966,277.075777054,0.010231,252.270978,0.012284
unit.000088,Mapper-0-89,N/A,6.24623298645,N/A,8.17361497879,306.621063948,307.788218021,0.009964,260.057309,0.012184
unit.000089,Mapper-0-90,N/A,6.29331302643,N/A,8.32887101173,288.424366951,289.333441019,0.011611,254.953884,0.012306
unit.000090,Mapper-0-91,N/A,6.34014415741,N/A,8.52523899078,319.021809101,319.035837173,0.012225,261.601496,0.012123
unit.000091,Mapper-0-92,N/A,6.40522408485,N/A,8.9608361721,261.485547066,261.499317169,0.010291,240.419304,0.012681
unit.000092,Mapper-0-93,N/A,6.45138812065,N/A,9.18406009674,372.778474092,373.700845957,0.011535,270.421468,0.012544
unit.000093,Mapper-0-94,N/A,6.50949907303,N/A,9.38313794136,348.718014002,348.743077993,0.009662,267.374451,0.01234
unit.000094,Mapper-0-95,N/A,6.60442996025,N/A,9.39816999435,324.736578941,324.749758959,0.013904,263.806991,0.012584
unit.000095,Mapper-0-96,N/A,6.63699102402,N/A,9.40558195114,382.196563959,382.210535049,0.009624,274.951906,0.012805
unit.000096,Mapper-0-97,N/A,6.69855713844,N/A,9.42037010193,372.776499987,373.702027082,0.009564,271.092689,0.012778
unit.000097,Mapper-0-98,N/A,6.94546794891,N/A,9.43519711494,259.360823154,259.376012087,0.009656,239.199498,0.012988
unit.000098,Mapper-0-99,N/A,7.01059699059,N/A,9.45001101494,342.539214134,342.554033041,0.010503,266.374617,0.011327
unit.000099,Mapper-0-100,N/A,7.07563209534,N/A,9.46478915215,368.627993107,368.639564037,0.014494,270.079956,0.012089
unit.000100,Mapper-0-101,N/A,7.12107110023,N/A,9.47644114494,363.263008118,363.274635077,0.010411,269.708346,0.013602
unit.000101,Mapper-0-102,N/A,7.1861770153,N/A,9.49125504494,358.554869175,358.568194151,0.013222,267.594804,0.012021
unit.000102,Mapper-0-103,N/A,7.2292599678,N/A,9.50232410431,351.809337139,351.826751947,0.01298,266.87144,0.01173
unit.000103,Mapper-0-104,N/A,7.27247595787,N/A,9.51338100433,269.73520112,269.746803999,0.011933,245.801881,0.012428
unit.000104,Mapper-0-105,N/A,7.32281494141,N/A,9.52448606491,303.502160072,303.514321089,0.012888,258.711294,0.01238
unit.000105,Mapper-0-106,N/A,7.38024902344,N/A,9.5394320488,347.679825068,347.695703983,0.010478,266.877396,0.011668
unit.000106,Mapper-0-107,N/A,7.43040013313,N/A,9.55052113533,275.03472209,275.045675039,0.010438,250.367205,0.012299
unit.000107,Mapper-0-108,N/A,8.34327101707,N/A,9.7254011631,279.134452105,279.146542072,0.010407,249.97626,0.013387
unit.000108,Mapper-0-109,N/A,7.53496003151,N/A,9.57688999176,371.743209124,371.756473064,0.013324,270.600525,0.01161
