CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000121,Euclidean_dist_49153_147457,113.378304005,113.380884171,113.389502048,117.586894989,118.054325104
unit.000122,Euclidean_dist_49153_163841,274.786525965,274.789182186,274.798047066,279.070399046,280.253203154
unit.000123,Euclidean_dist_49153_180225,116.489936113,116.492923021,116.50160718,120.806867123,121.343952179
unit.000124,Euclidean_dist_49153_196609,117.826882124,117.829604149,117.838510036,122.115597963,122.474950075
unit.000125,Euclidean_dist_49153_212993,119.30884099,119.31241107,119.314290047,123.422139168,124.631167173
unit.000126,Euclidean_dist_49153_229377,120.80767417,120.820723057,120.822719097,125.032013178,125.88789916
unit.000127,Euclidean_dist_49153_245761,316.857836008,316.860732079,316.870203018,321.055067062,321.162729979
unit.000128,Euclidean_dist_49153_262145,123.778997183,123.781943083,123.790493011,127.954046011,129.190051079
unit.000129,Euclidean_dist_49153_278529,126.636496067,126.640280008,126.642354012,130.870434046,131.453684092
unit.000130,Euclidean_dist_49153_294913,342.712444067,342.715842962,342.717832088,347.021237135,347.021556139
unit.000131,Euclidean_dist_49153_311297,351.45505619,351.459134102,351.461199045,355.879976034,355.886408091
unit.000132,Euclidean_dist_49153_327681,361.704710007,361.708142996,361.710150003,366.04530406,366.994403124
unit.000133,Euclidean_dist_49153_344065,371.330615044,371.333428144,371.342501163,375.512668133,375.933614016
unit.000134,Euclidean_dist_49153_360449,379.184339046,379.187024117,379.196554184,383.362631083,383.786411047
unit.000135,Euclidean_dist_49153_376833,134.642683983,134.645493984,134.654626131,138.924277067,140.348124027
unit.000136,Euclidean_dist_49153_393217,136.91546607,136.918168068,136.927229166,141.046066046,142.660156965
unit.000137,Euclidean_dist_49153_409601,138.405315161,138.408075094,138.41727519,142.553231001,143.795081139
unit.000138,Euclidean_dist_49153_425985,139.893678188,139.896515131,139.905337095,144.064512968,145.957051992
unit.000139,Euclidean_dist_49153_442369,48.2982079983,48.3009991646,48.3096330166,52.469410181,53.6153600216
unit.000140,Euclidean_dist_49153_458753,142.714951992,142.718492985,142.720409155,146.876425028,147.195221186
unit.000141,Euclidean_dist_49153_475137,67.342094183,67.3458180428,67.3477880955,71.4827060699,72.6659901142
unit.000142,Euclidean_dist_49153_491521,75.3503739834,75.3531901836,75.3617901802,79.538695097,81.52374506
unit.000143,Euclidean_dist_49153_507905,92.9415271282,92.9457581043,92.9476220608,97.1460471153,98.9452111721
unit.000144,Euclidean_dist_65537_1,84.1468889713,84.1497051716,84.1581361294,88.294421196,89.0334200859
unit.000145,Euclidean_dist_65537_16385,219.725749016,219.729460001,219.73144412,223.711040974,225.047783136
unit.000146,Euclidean_dist_65537_32769,103.825268984,103.829203129,103.831212044,108.020514965,109.116523027
unit.000147,Euclidean_dist_65537_49153,105.312693119,105.315371037,105.324853182,109.533847094,110.251444101
unit.000148,Euclidean_dist_65537_65537,106.846249104,106.84893012,106.857666969,110.940014124,112.409764051
unit.000149,Euclidean_dist_65537_81921,108.320617199,108.324442148,108.326374054,112.448485136,113.491281033
unit.000150,Euclidean_dist_65537_98305,109.812412977,109.816148996,109.818063974,113.959145069,114.707153082
unit.000151,Euclidean_dist_65537_114689,110.555482149,110.558192015,110.567262173,114.765362978,114.765295982
unit.000152,Euclidean_dist_65537_131073,111.891283035,111.893870115,111.902541161,116.378861189,116.924066067
unit.000153,Euclidean_dist_65537_147457,114.11789012,114.120748043,114.129680157,118.391594172,119.133623123
unit.000154,Euclidean_dist_65537_163841,115.750725985,115.753386974,115.762510061,119.901179075,120.264842987
unit.000155,Euclidean_dist_65537_180225,117.231455088,117.235146999,117.237004042,121.80825901,122.420145035
unit.000156,Euclidean_dist_65537_196609,118.56264019,118.566357136,118.568341017,122.717607021,123.551578999
unit.000157,Euclidean_dist_65537_212993,119.311976194,119.314628124,119.323960066,123.523395061,124.632943153
unit.000158,Euclidean_dist_65537_229377,120.810657024,120.822422981,120.831580162,125.036404133,125.888714075
unit.000159,Euclidean_dist_65537_245761,123.037176132,123.040949106,123.042896986,127.245676994,128.102248192
unit.000160,Euclidean_dist_65537_262145,125.110852003,125.113842964,125.121603966,129.262928963,130.323587179
unit.000161,Euclidean_dist_65537_278529,126.63993907,126.642645121,126.651581049,130.874484062,131.455098152
unit.000162,Euclidean_dist_65537_294913,128.124473095,128.128201008,128.130184174,132.581478119,133.613138199
unit.000163,Euclidean_dist_65537_311297,129.603787184,129.607802153,129.609750032,133.790315151,134.743396997
unit.000164,Euclidean_dist_65537_327681,131.091488123,131.094559193,131.10335207,135.303945065,135.877272129
unit.000165,Euclidean_dist_65537_344065,132.570609093,132.573487997,132.582350016,136.713294029,138.134912968
unit.000166,Euclidean_dist_65537_360449,133.89893198,133.902537107,133.904415131,138.118028164,139.266811132
unit.000167,Euclidean_dist_65537_376833,136.122192144,136.125931978,136.12785697,140.333270073,141.479660034
unit.000168,Euclidean_dist_65537_393217,137.664892197,137.66762805,137.67655611,141.849624157,142.711527109
unit.000169,Euclidean_dist_65537_409601,139.146217108,139.149958134,139.151854992,143.556653023,144.874778986
unit.000170,Euclidean_dist_65537_425985,140.635071039,140.63815999,140.646537066,144.66429019,146.008376122
unit.000171,Euclidean_dist_65537_442369,142.122225046,142.125843048,142.12789607,175.265769005,176.371786118
unit.000172,Euclidean_dist_65537_458753,143.458077192,143.46206212,143.464182138,175.769762039,176.527121067
unit.000173,Euclidean_dist_65537_475137,144.206524134,144.209459066,144.218816996,148.389935017,149.475121021
unit.000174,Euclidean_dist_65537_491521,150.183019161,150.185477018,150.195158005,154.627892017,156.405209064
unit.000175,Euclidean_dist_65537_507905,151.51772213,151.521522045,151.523544073,155.631159067,157.491605997
unit.000176,Euclidean_dist_81921_1,152.26117301,152.26386404,152.273539066,156.440252066,157.589039087
unit.000177,Euclidean_dist_81921_16385,152.258012056,152.26158309,152.263602018,156.43604517,157.543168068
unit.000178,Euclidean_dist_81921_32769,153.005604982,153.008293152,153.01809001,157.144330025,157.640558004
unit.000179,Euclidean_dist_81921_49153,153.744839191,153.747603178,153.756919146,157.949629068,158.719588041
unit.000180,Euclidean_dist_81921_65537,155.969029188,155.973016024,155.975169182,160.059038162,160.886162043
unit.000181,Euclidean_dist_81921_81921,157.449388981,157.453358173,157.455517054,161.568808079,162.016915083
unit.000182,Euclidean_dist_81921_98305,158.927038193,158.93069315,158.932758093,163.078622103,164.179645061
unit.000183,Euclidean_dist_81921_114689,161.161381006,161.165050983,161.167050123,165.393287182,166.391088963
unit.000184,Euclidean_dist_81921_131073,162.510421991,162.513981104,162.516080141,166.702308178,167.522642136
unit.000185,Euclidean_dist_81921_147457,163.39598918,163.399811983,163.402142048,167.508533001,168.651535034
unit.000186,Euclidean_dist_81921_163841,164.72352314,164.727324963,164.7294631,168.817826033,169.734744072
unit.000187,Euclidean_dist_81921_180225,166.20243597,166.206331968,166.208400965,170.328005075,171.89332819
unit.000188,Euclidean_dist_81921_196609,167.701717138,167.705417156,167.707501173,171.838263035,173.025465012
unit.000189,Euclidean_dist_81921_212993,169.923039198,169.926877975,169.929025173,174.054856062,175.289232016
unit.000190,Euclidean_dist_81921_229377,171.543133974,171.546854019,171.549048185,175.971907139,176.578799963
unit.000191,Euclidean_dist_81921_245761,174.209832191,174.213479996,174.215533018,178.489478111,179.127283096
unit.000192,Euclidean_dist_81921_262145,175.691658974,175.695387125,175.697419167,187.856563091,188.242757082
unit.000193,Euclidean_dist_81921_278529,177.320568085,177.324141979,177.326313972,181.410602093,182.524478197
unit.000194,Euclidean_dist_81921_294913,178.66130805,178.664808035,178.666725159,183.019270182,184.687400103
unit.000195,Euclidean_dist_81921_311297,179.996401072,180.000415087,180.002631187,184.128149986,185.822952032
unit.000196,Euclidean_dist_81921_327681,181.026412964,181.030371189,181.032577991,185.135322094,185.927932024
unit.000197,Euclidean_dist_81921_344065,182.209587097,182.213462114,182.215430021,186.645933151,187.111534119
unit.000198,Euclidean_dist_81921_360449,183.832688093,183.836179972,183.838503122,187.959105015,188.501864195
unit.000199,Euclidean_dist_81921_376833,185.309473991,185.313290119,185.315646172,189.369982004,190.475768089
unit.000200,Euclidean_dist_81921_393217,186.637621164,186.641482115,186.644251108,190.780194044,191.660300016
unit.000201,Euclidean_dist_81921_409601,191.27385211,191.278009176,191.280034065,195.613265038,196.135150194
unit.000202,Euclidean_dist_81921_425985,193.359151125,193.362419128,193.364288092,197.830974102,198.35495615
unit.000203,Euclidean_dist_81921_442369,189.048218012,189.051539183,189.053665161,193.297638178,193.916684151
unit.000204,Euclidean_dist_81921_458753,194.099498034,194.111951113,194.113891125,198.233911037,198.406937122
unit.000205,Euclidean_dist_81921_475137,198.459537983,198.462970972,198.464855194,203.065422058,203.871618986
unit.000206,Euclidean_dist_81921_491521,204.265799999,204.269407034,204.271507025,208.504189014,209.434830189
unit.000207,Euclidean_dist_81921_507905,213.455185175,213.45848918,213.460597992,217.56814599,218.408393145
unit.000208,Euclidean_dist_98305_1,209.010573149,209.013916969,209.016048193,213.13679409,213.88035512
unit.000209,Euclidean_dist_98305_16385,104.572417974,104.575057983,104.583582163,108.729346037,110.199618101
unit.000210,Euclidean_dist_98305_32769,229.44701004,229.458638191,229.467974186,233.674478054,233.991605997
unit.000211,Euclidean_dist_98305_49153,238.872539043,238.875725985,238.877684116,243.236395121,243.084954023
unit.000212,Euclidean_dist_98305_65537,109.068144083,109.070652962,109.079517126,113.258780003,114.657148123
unit.000213,Euclidean_dist_98305_81921,110.552312136,110.555931091,110.557903051,114.664138079,114.75820303
unit.000214,Euclidean_dist_98305_98305,260.910336018,260.91410017,260.916025162,265.178606987,265.814969063
unit.000215,Euclidean_dist_98305_114689,266.738861084,266.741810083,266.75052309,270.819689035,271.441045046
unit.000216,Euclidean_dist_98305_131073,114.862989187,114.866044998,114.874716997,118.996100187,119.185649157
unit.000217,Euclidean_dist_98305_147457,282.155987978,282.159020185,282.168501139,286.218425989,285.939944983
unit.000218,Euclidean_dist_98305_163841,291.021018982,291.023800135,291.0326581,295.182163,295.486493111
unit.000219,Euclidean_dist_98305_180225,299.300387144,299.303188086,299.311983109,303.337361097,303.32626915
unit.000220,Euclidean_dist_98305_196609,308.935811996,308.939176083,308.941236019,313.096763134,313.374855042
unit.000221,Euclidean_dist_98305_212993,121.555149078,121.55795908,121.566234112,125.740576029,126.971079111
unit.000222,Euclidean_dist_98305_229377,325.724372149,325.72717905,325.735977173,330.213566065,330.191181183
unit.000223,Euclidean_dist_98305_245761,333.060847998,333.063840151,333.073517084,337.058511972,337.932463169
unit.000224,Euclidean_dist_98305_262145,127.386944056,127.389799118,127.39883709,131.578606129,132.534751177
unit.000225,Euclidean_dist_98305_278529,128.864679098,128.868803024,128.870653152,132.985496044,133.664476156
unit.000226,Euclidean_dist_98305_294913,130.348246098,130.351266146,130.360452175,134.498584986,134.798030138
unit.000227,Euclidean_dist_98305_311297,131.831017017,131.833960056,131.843332052,136.008800983,137.05469799
unit.000228,Euclidean_dist_98305_327681,133.312005043,133.315196037,133.323958158,137.417353153,138.186329126
unit.000229,Euclidean_dist_98305_344065,12.629940033,12.6325981617,12.6407160759,16.8401789665,18.7195670605
unit.000230,Euclidean_dist_98305_360449,21.3581700325,21.3620350361,21.3639001846,25.4929740429,26.5488960743
unit.000231,Euclidean_dist_98305_376833,30.8839960098,30.8876559734,30.889521122,35.0542161465,36.4797871113
unit.000232,Euclidean_dist_98305_393217,39.5106420517,39.5142931938,39.5162551403,43.6093871593,44.2924201488
unit.000233,Euclidean_dist_98305_409601,141.382732153,141.385607004,141.394704103,145.769623995,146.061837196
unit.000234,Euclidean_dist_98305_425985,58.5726530552,58.5761079788,58.5782060623,62.8266170025,63.7744109631
unit.000235,Euclidean_dist_98305_442369,144.203284979,144.20699501,144.208961964,148.385559082,149.423563004
unit.000236,Euclidean_dist_98305_458753,145.692844152,145.695545197,145.704306126,149.89923501,150.710129976
unit.000237,Euclidean_dist_98305_475137,149.435986996,149.439894199,149.441934109,153.618524075,155.280266047
unit.000238,Euclidean_dist_98305_491521,6.83432817459,6.83702707291,6.84555315971,52.7681691647,53.5122771263
unit.000239,Euclidean_dist_98305_507905,11.1429970264,11.1455750465,11.1545541286,15.3303890228,16.560005188
unit.000240,Euclidean_dist_114689_1,19.8822751045,19.8849050999,19.8939740658,24.0877051353,25.3976020813
unit.000241,Euclidean_dist_114689_16385,9.65555000305,9.65932703018,9.66137504578,13.8170521259,15.4028091431
unit.000242,Euclidean_dist_114689_32769,10.4044389725,10.4084839821,10.4183840752,14.6259121895,15.4813849926
unit.000243,Euclidean_dist_114689_49153,12.6264100075,12.6301410198,12.6320831776,16.8363051414,18.6910870075
unit.000244,Euclidean_dist_114689_65537,13.3678929806,13.3706841469,13.3785250187,17.546033144,18.7704310417
unit.000245,Euclidean_dist_114689_81921,15.4375030994,15.4410841465,15.4430589676,19.5559580326,20.9508051872
unit.000246,Euclidean_dist_114689_98305,187.571515083,187.575208187,187.577542067,191.887915134,192.744781971
unit.000247,Euclidean_dist_114689_114689,74.6085591316,74.6123001575,74.6142339706,78.8297860622,80.3906490803
unit.000248,Euclidean_dist_114689_131073,32.3650121689,32.3688280582,32.3707900047,36.5634841919,38.6390361786
unit.000249,Euclidean_dist_114689_147457,330.213420153,330.22262001,330.224586964,334.340723991,334.634521008
unit.000250,Euclidean_dist_114689_163841,73.1249051094,73.128442049,73.1304271221,77.3200559616,79.2589821815
unit.000251,Euclidean_dist_114689_180225,264.651506186,264.654146194,264.663473129,268.902209044,269.22925806
unit.000252,Euclidean_dist_114689_196609,276.276443005,276.280574083,276.282601118,280.378718138,281.383347988
unit.000253,Euclidean_dist_114689_212993,271.203530073,271.207019091,271.215376139,275.450153112,275.870277166
unit.000254,Euclidean_dist_114689_229377,280.667950153,280.670655966,280.680319071,285.114173174,285.834875107
unit.000255,Euclidean_dist_114689_245761,31.6293721199,31.6322901249,31.6412520409,35.8630151749,37.585695982
unit.000256,Euclidean_dist_114689_262145,16.9183661938,16.9218780994,16.923787117,21.0649430752,22.0812191963
unit.000257,Euclidean_dist_114689_278529,277.825010061,277.827779055,277.836078167,282.094640017,282.517773151
unit.000258,Euclidean_dist_114689_294913,179.55448103,179.558017015,179.560182095,183.624637127,184.755130053
unit.000259,Euclidean_dist_114689_311297,35.9683561325,35.9711530209,35.9793159962,40.1908361912,40.9779231548
unit.000260,Euclidean_dist_114689_327681,244.847012997,244.85038805,244.852307081,249.07396102,249.68466711
unit.000261,Euclidean_dist_114689_344065,81.1778969765,81.1813521385,81.1832439899,85.3735661507,85.7913210392
unit.000262,Euclidean_dist_114689_360449,39.5139760971,39.5166201591,39.5254061222,43.6133780479,44.3198001385
unit.000263,Euclidean_dist_114689_376833,170.066442966,170.07002306,170.072236061,174.156126976,175.290034056
unit.000264,Euclidean_dist_114689_393217,42.4845731258,42.4873001575,42.4959070683,46.6309449673,47.7489111423
unit.000265,Euclidean_dist_114689_409601,245.593913078,245.596914053,245.605763197,249.682480097,249.740328074
unit.000266,Euclidean_dist_114689_425985,45.2890620232,45.2919130325,45.3004741669,49.4493451118,51.0404520035
unit.000267,Euclidean_dist_114689_442369,258.074362993,258.077290058,258.085926056,262.158985138,262.252761126
unit.000268,Euclidean_dist_114689_458753,49.0370650291,49.0400300026,49.0495231152,53.2742440701,54.7465410233
unit.000269,Euclidean_dist_114689_475137,101.002344131,101.005479097,101.007424116,141.038772106,142.559029102
unit.000270,Euclidean_dist_114689_491521,333.817423105,333.820311069,333.829187155,338.06833005,337.984937191
unit.000271,Euclidean_dist_114689_507905,335.311962128,335.314774036,335.323523998,339.878945112,340.29975915
unit.000272,Euclidean_dist_131073_1,334.563853025,334.566626072,334.57498908,338.568338156,338.056953192
unit.000273,Euclidean_dist_131073_16385,336.817008972,336.820823193,336.82287097,340.982808113,341.443643093
unit.000274,Euclidean_dist_131073_32769,338.211874962,338.215615988,338.217611074,342.492367983,342.579006195
unit.000275,Euclidean_dist_131073_49153,339.577784061,339.581304073,339.583472967,343.901422024,343.720538139
unit.000276,Euclidean_dist_131073_65537,341.069920063,341.073228121,341.075165033,345.411173105,345.885868073
unit.000277,Euclidean_dist_131073_81921,341.969290018,341.972164154,341.9812181,346.015406132,345.940428019
unit.000278,Euclidean_dist_131073_98305,343.466315031,343.469101191,343.47836113,347.529069185,348.113825083
unit.000279,Euclidean_dist_131073_114689,344.818103075,344.820989132,344.82990098,349.338263035,350.274084091
unit.000280,Euclidean_dist_131073_131073,346.319959164,346.32290411,346.331420183,350.449560165,351.407005072
