index,Init,Execute,Gather
360,110,398700,25665
361,116,396886,25497
362,110,396406,25778
363,136,472462,25949
364,128,398152,24105
365,109,397488,25228
366,110,399460,24142
367,110,395973,24843
368,109,396731,22870
369,111,395648,23452
370,116,398227,25818
371,112,396340,23059
372,110,396808,61744
373,239,427422,24255
374,111,400014,25256
375,110,396054,25726
376,110,396190,25577
377,114,396189,25689
378,110,396543,24423
379,111,398250,26035
380,110,396312,26044
381,110,398607,26039
382,110,396407,25341
383,110,396607,24145
384,130,403059,63286
385,222,426500,24131
386,112,404655,26568
387,124,397638,26076
388,111,396971,25666
389,112,397720,25987
390,112,397132,23655
391,111,397499,24875
392,111,396965,25189
393,109,396401,25930
394,116,396621,25151
395,110,396344,25323
396,110,396363,31291
397,111,397223,24203
398,111,396861,24001
399,112,396715,25374
400,112,396569,24901
401,125,397441,26043
402,110,397089,26114
403,117,398483,24733
404,117,398156,25589
405,117,397681,25478
406,110,396330,24729
407,111,396457,25548
408,112,396899,31609
409,112,397691,26110
410,111,466238,25567
411,119,398298,25387
412,120,399297,24005
413,116,396074,24700
414,109,399317,26086
415,114,396514,25971
416,110,396549,24911
417,109,396554,25136
418,113,396588,24599
419,110,399090,24119
420,110,396656,63268
421,227,426834,24864
422,111,396862,25829
423,111,397010,24727
424,124,398227,25572
425,115,397387,24158
426,110,397169,24605
427,111,396957,25607
428,111,397363,25405
429,127,397486,25719
430,110,463367,26321
431,124,400683,25083
432,110,401478,25515
433,111,490188,26456
434,166,402335,25120
435,133,412960,25854
436,138,405054,26069
437,134,402673,25399
438,115,396880,24340
439,114,397718,26179
440,132,400616,25461
441,117,458888,24856
442,119,398304,25989
443,112,403114,24947
444,112,464832,65670
445,227,428466,24131
446,110,399497,25390
447,111,397321,24563
448,115,397922,26573
449,110,397377,24997
450,109,396643,24960
451,110,400610,25467
452,110,401786,25998
453,111,461384,31297
454,129,497673,25392
455,119,457666,36738
456,163,399810,62487
457,223,430183,24565
458,118,397306,25800
459,117,397134,26001
460,116,397503,25547
461,117,396710,23553
462,111,401402,24614
463,111,401911,26458
464,111,402208,25225
465,111,402681,25486
466,110,406779,26010
467,117,403189,25796
468,111,401272,25090
469,110,396854,25858
470,119,396099,25709
471,110,396425,26025
472,109,397998,26186
473,118,400542,27493
474,117,425964,26670
475,117,407824,25342
476,110,401229,25784
477,110,402102,26068
478,111,419259,51588
479,200,417311,25827
480,110,396184,64496
481,215,428674,25392
482,110,397619,23477
483,112,397197,25416
484,111,399382,25319
485,110,396565,25452
486,110,396640,25656
487,110,396001,25500
488,114,399860,24787
489,110,396284,25817
490,110,396497,24250
491,111,396141,28399
492,110,396569,65614
493,244,433555,24990
494,110,398527,25477
495,117,401434,26359
496,110,400628,26379
497,117,396614,25665
498,111,396695,23790
499,109,399623,25643
500,110,396592,26009
501,109,398534,24994
502,110,397811,25648
503,111,397522,25509
504,110,396821,63217
505,224,426191,24353
506,110,397055,21405
507,111,397128,25381
508,112,397002,24630
509,110,397464,25020
510,110,397376,24755
511,111,397834,25337
512,110,398024,25411
513,114,396658,24678
514,109,396343,25593
515,109,395897,24944
516,114,397870,31677
517,112,398133,25847
518,118,435744,45219
519,189,413038,23600
520,111,400616,26256
521,110,397915,24972
522,110,397209,25672
523,111,397135,25596
524,110,396535,25924
525,110,401156,25758
526,117,397390,25421
527,111,400282,25986
528,112,397174,29306
529,111,398466,25035
530,111,397599,25657
531,111,396928,25414
532,117,401013,26376
533,111,396418,25744
534,109,396366,25119
535,109,396496,25593
536,110,397205,26223
537,110,396980,24847
538,111,396352,25749
539,111,401188,26440
540,110,396703,64045
541,231,425936,24506
542,111,397223,24716
543,112,397194,24648
544,130,397699,25443
545,111,396629,24616
546,110,397718,26043
547,111,398148,24477
548,112,401324,24162
549,111,397533,24398
550,111,396088,25656
551,109,397014,25648
552,112,397046,25118
553,110,454008,35272
554,160,398172,25591
555,110,399787,24949
556,111,401546,26695
557,112,397060,24920
558,110,396887,24550
559,111,397210,25941
560,110,401800,25624
561,110,396432,24563
562,117,399149,25738
563,124,396492,24570
564,110,396906,63836
565,219,429319,25518
566,110,396595,25769
567,111,426929,28050
568,125,419093,24931
569,110,396393,25891
570,109,396463,24868
571,110,395988,25254
572,110,401727,25952
573,111,396981,24556
574,121,1.07589e+06,26965
575,110,397482,25727
576,110,397286,30760
577,112,396811,25116
578,111,398179,25992
579,109,396479,25583
580,111,404079,24896
581,110,398009,25625
582,110,396777,25330
583,135,396367,25041
584,110,397631,25859
585,109,396369,25753
586,110,468664,24817
587,127,396961,25001
588,109,396719,65584
589,222,429021,25620
590,111,397765,24756
591,110,398148,25346
592,112,414207,25211
593,111,463220,25794
594,119,400733,28157
595,117,433326,27756
596,146,408718,25801
597,116,397413,25563
598,111,396557,24386
599,110,396686,25966
600,109,397063,31293
601,128,398766,26142
602,119,397329,23029
603,110,397177,24944
604,113,400923,25755
605,111,397250,25525
606,110,397636,25831
607,113,396415,24091
608,110,397088,25277
609,116,396347,25936
610,109,396193,25116
611,110,400822,26240
612,141,396420,30203
613,114,397268,24995
614,116,397502,25304
615,111,397628,26227
616,116,402140,26349
617,118,401914,25194
618,117,462432,25595
619,134,397664,26107
620,133,399539,25152
621,141,399629,26108
622,137,397542,26543
623,138,397106,25390
624,140,398685,25815
625,132,399294,25597
626,132,397529,25572
627,134,399483,25786
628,137,405172,26393
629,141,410470,26067
630,136,397037,25781
631,132,396145,23902
632,133,399470,24251
633,132,398576,25447
634,132,396884,24612
635,132,396611,27879
636,132,396201,66957
637,221,429520,24744
638,130,397468,25537
639,111,400751,24657
640,111,397785,25424
641,110,416066,51316
642,208,421125,25828
643,111,396792,25464
644,202,458762,24893
645,119,396740,25282
646,127,396987,24895
647,117,396885,25524
648,110,397874,64836
649,230,431186,25876
650,116,397696,24467
651,111,397129,25080
652,112,397084,25906
653,110,396706,25232
654,110,396220,26038
655,110,400514,26080
656,111,397003,25483
657,117,396357,24878
658,110,396607,25321
659,110,397023,25874
660,109,400363,65988
661,238,429011,24116
662,111,396332,24260
663,110,397067,25012
664,110,396934,25862
665,111,396850,25670
666,110,396189,25506
667,111,396941,25091
668,112,396987,24431
669,109,396577,26027
670,115,396869,25543
671,110,396281,25848
672,111,396407,33695
673,111,397073,24722
674,111,398569,25721
675,111,396729,25895
676,110,396714,25423
677,112,396717,25582
678,116,396727,23038
679,110,397345,25498
680,110,397097,23476
681,110,397037,25131
682,116,396649,24631
683,110,396318,23401
684,111,396541,32854
685,111,396685,25631
686,111,397544,25005
687,111,396543,24141
688,111,462951,25463
689,119,400907,24423
690,109,399827,25224
691,120,396621,25434
692,110,397193,26150
693,115,396470,25497
694,110,396236,24188
695,110,396272,24303
696,109,396305,25769
697,109,410594,27772
698,116,396450,24769
699,135,399173,25847
700,116,396722,25342
701,116,396363,25746
702,115,397680,24497
703,114,396589,25791
704,110,397155,25383
705,120,396808,24737
706,111,396593,25829
707,109,401673,24748
708,110,398706,63835
709,228,434247,25129
710,111,397836,24967
711,112,397709,25741
712,118,398087,25162
713,111,397927,24812
714,111,397459,25597
715,111,396999,25419
716,112,399537,24316
717,111,396642,25213
718,110,395832,21657
719,110,396698,24135
720,109,396391,32570
721,112,397210,24792
722,110,396816,25235
723,110,398316,25787
724,118,398586,26027
725,118,398310,24762
726,118,397925,25079
727,111,396528,23640
728,109,397128,25502
729,112,396139,25458
730,116,396314,25626
731,110,460092,25191
732,119,397443,66248
733,234,430381,25149
734,111,397209,24358
735,111,475179,26151
736,121,397104,25240
737,110,411500,26495
738,114,397802,24965
739,114,397113,25702
740,132,397000,25651
741,115,400184,25081
742,115,396696,25680
743,146,396699,24393
744,121,402408,63234
745,232,430746,25515
746,111,396352,24710
747,110,397000,25335
748,114,396126,25277
749,110,463734,25692
750,121,396951,25487
751,117,397027,25392
752,110,397564,25834
753,111,401130,25217
754,111,400424,23726
755,110,397196,25695
756,111,396632,63868
757,230,428974,24457
758,111,460220,25336
759,119,397044,25615
760,110,398569,24801
761,112,396619,25633
762,111,397341,24262
763,111,397335,25851
764,110,396472,26036
765,109,396574,25520
766,110,396286,25661
767,111,396624,25320
768,109,396557,26067
769,109,401198,26153
770,110,401348,25255
771,123,397540,25182
772,109,398854,25844
773,109,396616,24938
774,110,396799,25477
775,110,396499,25435
776,111,397176,24836
777,110,397005,26017
778,110,396667,25689
779,110,397653,24851
780,116,466319,65898
781,235,482536,25640
782,121,400817,25490
783,115,397771,25964
784,119,396076,25471
785,114,397359,25064
786,115,398896,25435
787,139,396708,23231
788,154,396418,25889
789,132,396753,23621
790,132,399111,25758
791,140,396693,25605
792,132,401081,65961
793,230,437292,25026
794,110,396613,24096
795,110,399588,24578
796,111,397092,25842
797,111,396930,25601
798,111,397933,25329
799,111,397459,25300
800,109,406277,25793
801,110,396626,25722
802,110,396942,26060
803,110,397695,24980
804,110,464814,56941
805,208,417083,25080
806,117,397044,25756
807,110,398002,25338
808,116,398034,25939
809,111,397871,25547
810,121,396989,25851
811,110,396699,25319
812,109,458416,24713
813,119,400114,25792
814,111,397080,25110
815,111,-273533,26408
816,112,402274,67268
817,221,428054,25772
818,118,475057,25564
819,118,397246,24652
820,110,396724,25763
821,111,396433,24757
822,110,396375,25432
823,110,396376,26051
824,110,397410,24939
825,110,396518,24480
826,115,396595,25010
827,109,460428,25866
828,121,397319,25579
829,110,399992,24699
830,114,395964,25613
831,116,396894,25716
832,137,396165,25498
833,114,398424,24150
834,132,396094,24211
835,114,396062,26141
836,115,398995,25921
837,124,395937,25201
838,114,399851,26460
839,135,401799,25085
840,132,403749,64295
841,221,426625,25338
842,111,396955,26140
843,111,397265,25500
844,116,397121,25975
845,116,397344,25220
846,111,397094,25830
847,111,401149,25809
848,124,396402,25204
849,110,396377,25879
850,110,396057,25704
851,137,396246,25330
852,115,396430,68281
853,223,429028,24800
854,110,459177,25594
855,126,396821,24063
856,111,397246,25202
857,109,396930,25593
858,110,396922,23788
859,110,397738,25113
860,116,396145,24487
861,110,398110,26537
862,122,402603,25498
863,114,396208,24444
864,110,396766,32672
865,112,397230,24144
866,110,397535,25306
867,116,396524,25257
868,110,396672,24800
869,116,397642,24731
870,111,396304,25123
871,110,396467,24500
872,110,396779,25384
873,110,397253,26101
874,110,463608,26015
875,123,397328,25312
876,110,398662,25851
877,110,396902,24252
878,110,396915,25613
879,110,396503,25519
880,114,396725,25684
881,116,396104,25781
882,110,397592,25609
883,110,398086,25047
884,110,396855,23200
885,110,401826,24921
886,110,399863,24277
887,110,396240,24672
888,110,396383,63432
889,254,430946,25384
890,111,396824,25839
891,116,396802,24431
892,125,396958,25614
893,111,397644,25349
894,111,397107,24695
895,111,396309,24530
896,110,396758,25139
897,110,463006,25371
898,128,396884,25249
899,132,398187,28310
900,112,398278,56820
901,212,422151,24227
902,110,396518,25880
903,110,397083,25717
904,110,396361,25532
905,111,396828,24916
906,110,396373,24976
907,109,396638,25153
908,110,400289,25820
909,116,399555,24804
910,110,396345,25256
911,109,395980,24734
912,110,397034,24942
913,109,396212,25009
914,109,396309,24084
915,111,396404,24361
916,109,396245,25128
917,110,396706,24667
918,123,401667,25690
919,110,396955,25902
920,111,396205,26119
921,110,468323,25927
922,125,396288,25540
923,110,396401,25760
924,109,396563,64493
925,225,427539,25075
926,110,397220,23711
927,111,400117,25266
928,120,400532,25477
929,115,397506,25076
930,142,397288,25598
931,133,401175,25563
932,132,404819,25809
933,155,396353,25449
934,114,396661,25116
935,116,399007,25981
936,114,397126,62948
937,209,430688,25024
938,111,398600,24700
939,111,398132,24259
940,112,397376,25253
941,117,396163,26068
942,109,396037,26086
943,109,396918,25742
944,114,399442,26105
945,125,397265,25905
946,111,398884,25248
947,110,397131,25611
948,110,398875,66706
949,225,425272,24980
950,115,395985,25410
951,110,398209,25562
952,109,397164,25737
953,116,400344,24981
954,115,422425,27191
955,185,460187,25655
956,133,396795,24512
957,111,398192,25898
958,111,397766,25251
959,110,397300,25340
960,121,396917,64624
961,209,422704,24053
962,111,397681,25713
963,110,396654,25161
964,110,396419,24515
965,115,397458,26164
966,109,459124,25747
967,119,463418,25814
968,126,398018,25736
969,123,400028,25710
970,116,396323,26078
971,120,396758,24975
972,114,396355,25358
973,115,399282,25171
974,114,396468,23678
975,115,396583,24902
976,135,399338,25760
977,120,396865,25976
978,114,396709,25872
979,114,396820,25913
980,115,399197,26176
981,115,396722,25554
982,114,396111,25108
983,142,396886,25045
984,115,398330,65301
985,224,429617,25844
986,125,398005,25313
987,110,397090,25479
988,115,396218,25919
989,110,396597,25426
990,116,411217,25027
991,126,397174,25377
992,111,397346,25041
993,121,396838,25663
994,110,397014,25339
995,110,396512,25389
996,110,396936,64834
997,230,430147,24263
998,111,397538,25623
999,112,403920,26073
