,Nodes,Run,ID,Measurement,Duration
181,2,2,12,Communication,5.50746917725e-05
182,2,2,12,Barrier,52.199764967
183,2,2,13,Execution,145.18985486
184,2,2,13,Communication,3.31401824951e-05
185,2,2,13,Barrier,7.20024108887e-05
186,2,2,14,Execution,92.972244978
187,2,2,14,Communication,5.60283660889e-05
188,2,2,14,Barrier,52.2173409462
189,2,2,15,Execution,93.01039505
190,2,2,15,Communication,4.10079956055e-05
191,2,2,15,Barrier,52.1796929836
192,2,2,16,Execution,92.944122076
193,2,2,16,Communication,5.60283660889e-05
194,2,2,16,Barrier,52.2460370064
195,2,2,17,Execution,92.9850280285
196,2,2,17,Communication,4.00543212891e-05
197,2,2,17,Barrier,52.2059381008
198,2,2,18,Execution,92.9193508625
199,2,2,18,Communication,4.6968460083e-05
200,2,2,18,Barrier,52.2698471546
201,2,2,19,Execution,92.9596500397
202,2,2,19,Communication,4.60147857666e-05
203,2,2,19,Barrier,52.2290840149
204,2,2,20,Execution,92.9770131111
205,2,2,20,Communication,5.19752502441e-05
206,2,2,20,Barrier,52.2134759426
207,2,2,21,Execution,92.9878540039
208,2,2,21,Communication,4.07695770264e-05
209,2,2,21,Barrier,52.2020339966
210,2,2,22,Execution,92.9858198166
211,2,2,22,Communication,5.10215759277e-05
212,2,2,22,Barrier,52.2050731182
213,2,2,23,Execution,92.9682929516
214,2,2,23,Communication,3.69548797607e-05
215,2,2,23,Barrier,52.2224569321
216,2,2,24,Execution,118.5007658
217,2,2,24,Communication,7.58171081543e-05
218,2,2,24,Barrier,26.4317700863
219,2,2,25,Execution,118.476852894
220,2,2,25,Communication,5.29289245605e-05
221,2,2,25,Barrier,26.4556360245
222,2,2,26,Execution,118.460111141
223,2,2,26,Communication,5.29289245605e-05
224,2,2,26,Barrier,26.4724209309
225,2,2,27,Execution,118.482764959
226,2,2,27,Communication,5.29289245605e-05
227,2,2,27,Barrier,26.4495439529
228,2,2,28,Execution,118.443590879
229,2,2,28,Communication,5.31673431396e-05
230,2,2,28,Barrier,26.487817049
231,2,2,29,Execution,118.450429916
232,2,2,29,Communication,4.19616699219e-05
233,2,2,29,Barrier,26.4822850227
234,2,2,30,Execution,118.507218838
235,2,2,30,Communication,4.91142272949e-05
236,2,2,30,Barrier,26.4255940914
237,2,2,31,Execution,118.373898029
238,2,2,31,Communication,5.19752502441e-05
239,2,2,31,Barrier,26.5587699413
240,2,2,32,Execution,118.488569975
241,2,2,32,Communication,8.20159912109e-05
242,2,2,32,Barrier,26.4437689781
243,2,2,33,Execution,118.356387138
244,2,2,33,Communication,4.60147857666e-05
245,2,2,33,Barrier,26.5762639046
246,2,2,34,Execution,118.431254864
247,2,2,34,Communication,4.91142272949e-05
248,2,2,34,Barrier,26.5014929771
249,2,2,35,Execution,118.45310998
250,2,2,35,Communication,4.60147857666e-05
251,2,2,35,Barrier,26.4796061516
252,2,2,36,Execution,117.908221006
253,2,2,36,Communication,5.50746917725e-05
254,2,2,36,Barrier,27.0224530697
255,2,2,37,Execution,118.038682938
256,2,2,37,Communication,4.79221343994e-05
257,2,2,37,Barrier,26.8915140629
258,2,2,38,Execution,118.038130999
259,2,2,38,Communication,5.50746917725e-05
260,2,2,38,Barrier,26.8943679333
261,2,2,39,Execution,118.065311909
262,2,2,39,Communication,4.29153442383e-05
263,2,2,39,Barrier,26.867057085
264,2,2,40,Execution,118.194640875
265,2,2,40,Communication,5.3882598877e-05
266,2,2,40,Barrier,26.7377610207
267,2,2,41,Execution,118.161684036
268,2,2,41,Communication,4.79221343994e-05
269,2,2,41,Barrier,26.7709429264
270,2,2,42,Execution,117.978084087
271,2,2,42,Communication,5.19752502441e-05
272,2,2,42,Barrier,26.9545929432
273,2,2,43,Execution,117.957483053
274,2,2,43,Communication,4.88758087158e-05
275,2,2,43,Barrier,26.9751420021
276,2,2,44,Execution,118.067173004
277,2,2,44,Communication,5.31673431396e-05
278,2,2,44,Barrier,26.8651359081
279,2,2,45,Execution,117.730286121
280,2,2,45,Communication,4.19616699219e-05
281,2,2,45,Barrier,27.2020778656
282,2,2,46,Execution,117.974343061
283,2,2,46,Communication,5.60283660889e-05
284,2,2,46,Barrier,26.9581210613
285,2,2,47,Execution,118.118452072
286,2,2,47,Communication,4.38690185547e-05
287,2,2,47,Barrier,26.8139400482
288,2,3,0,Execution,159.510738134
289,2,3,0,Communication,0.000151872634888
290,2,3,0,Barrier,39.0832669735
291,2,3,1,Execution,146.808479071
292,2,3,1,Communication,4.79221343994e-05
293,2,3,1,Barrier,51.7732460499
294,2,3,2,Execution,146.75584507
295,2,3,2,Communication,6.00814819336e-05
296,2,3,2,Barrier,51.8254370689
297,2,3,3,Execution,146.772413969
298,2,3,3,Communication,4.60147857666e-05
299,2,3,3,Barrier,51.809540987
300,2,3,4,Execution,146.791209936
301,2,3,4,Communication,5.69820404053e-05
302,2,3,4,Barrier,51.7907030582
303,2,3,5,Execution,147.072077036
