['getitem-e226de32547fa00bcb3ea1947a889906', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740588.819401, 1495740588.8194091)]]
['getitem-67b7e940582de159ce5f3656cbf8b17b', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740588.820136, 1495740588.8201451)]]
['getitem-5448b68e232884257a8ab1ae525a1ce3', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740588.8206651, 1495740588.820672)]]
['getitem-0a10c29f74161fc932281cae9a13017c', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740588.821183, 1495740588.821193)]]
['getitem-520f09b492a0eda064aad7d6c1d2df28', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495740588.821738, 1495740588.821748)]]
['block_rmsd-be492c5cacf644aa0e1a60dd92b116c0', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740543.799418, 1495740588.864378)]]
['getitem-bb0db063f20355a4790c3c62ab6b8dc5', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740588.8686469, 1495740588.868653)]]
['getitem-36b4417c007529d35340c5f1fc838a54', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740588.869261, 1495740588.869267)]]
['getitem-514c1dbadb3e4e61e23b5d67e7bb56e3', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740588.869667, 1495740588.8696709)]]
['getitem-742fd4c5de638211cf2170482b3eec18', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740588.870131, 1495740588.870135)]]
['getitem-b8cb51d3ad225ce6bd35199a6cac29c4', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495740588.8705919, 1495740588.870596)]]
['block_rmsd-8863bc22200b50ddaab778019d30e5dd', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740543.792645, 1495740588.866761)]]
['getitem-d014ec1477768bcc1efd0645d214d6b0', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740588.870761, 1495740588.870767)]]
['getitem-060c76f1dfba2804be99dbd86d6d6a55', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740588.871339, 1495740588.871345)]]
['getitem-1d0ceecd7909423a2e9d47882ede98f8', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740588.871741, 1495740588.871746)]]
['getitem-085eb22184f2e1040841eedf363742f2', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740588.872194, 1495740588.872198)]]
['getitem-203092440bf166e2c8e15b73c2c58c72', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495740588.872656, 1495740588.87266)]]
['block_rmsd-7c26d3e695e5ba0269efb59bb5c0c574', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740543.7926779, 1495740589.143841)]]
['getitem-49bd8ae5994b3236366e8e228dda8ebc', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740589.155214, 1495740589.155292)]]
['getitem-4f85c5b9788cbb15653f7c1277a2a90b', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740589.156746, 1495740589.156859)]]
['getitem-cb1c7d210087d1606b094e459c8df5d9', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740589.157396, 1495740589.157438)]]
['getitem-05039307f3000c86cfd6b30e0ddc9423', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740589.158056, 1495740589.158062)]]
['getitem-74ea132aa5d76513defc71e6f2bbb3f9', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740589.158593, 1495740589.158597)]]
['block_rmsd-5eadb3403fb760778c98c0a1103b6f20', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740543.7938578, 1495740589.184547)]]
['getitem-02b099996ad69a695f5258fa60b50f8a', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740589.188897, 1495740589.1889029)]]
['getitem-94d8ac45eb40d1b2cbaeaf49b3d23052', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740589.189381, 1495740589.1893868)]]
['getitem-d3929fe1f49667926c71a0a02abfb2db', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740589.1898558, 1495740589.1898599)]]
['getitem-66020d351bf4df630367b637f7c48e50', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740589.19027, 1495740589.190274)]]
['getitem-bee3422e89fa28aace544241a6413ea0', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495740589.190706, 1495740589.1907098)]]
['block_rmsd-05f3a0f22fe3ad9ae281d98a60af3e6f', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740543.792136, 1495740589.229468)]]
['getitem-d25890cf9de212d3f77ba89ad5d9f9df', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.236133, 1495740589.236138)]]
['getitem-fd6c994a0bd3090024551b42500eaea5', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.2367392, 1495740589.236745)]]
['getitem-cd457c34de37c132121d305ac213e5e6', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.2371562, 1495740589.2371612)]]
['getitem-64751a1c5ca73672be364305d8278b92', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.237581, 1495740589.237585)]]
['getitem-6614435adc4774a7d0f0f2b4855b0911', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740589.2380111, 1495740589.238015)]]
['block_rmsd-b9ce96af031d028296e2b8f9377d08cd', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740543.792125, 1495740589.302456)]]
['getitem-27afb455cb73d2163b9a806aa80fed2a', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740589.3061209, 1495740589.3061259)]]
['getitem-deaf7c5c1a6e8d3b48f8fb4efd394632', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740589.3066978, 1495740589.306704)]]
['getitem-e46d8f8b4127fd487110a55fcafb3b8d', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740589.307095, 1495740589.3071)]]
['getitem-5eed820be97bae7733b3c5621a4bc244', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740589.307522, 1495740589.3075259)]]
['getitem-f8930fab0306cb82647bca8ded6ec5cc', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495740589.307981, 1495740589.307986)]]
['block_rmsd-3334d123c06e817d34ed65b21809a85e', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740543.792926, 1495740589.35229)]]
['getitem-0ef317ac2928f4458fcf8afb81eb534e', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740589.357198, 1495740589.357208)]]
['getitem-9dac34fef16ae9adfe1947fb53d108dc', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740589.357896, 1495740589.3579159)]]
['getitem-7baee8d3e23feb7d2a34f31419e32fea', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740589.358392, 1495740589.358408)]]
['getitem-21ea71edb004d56dfc7f8968add90257', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740589.358864, 1495740589.35887)]]
['getitem-8527e940448203e70a78765e1c619d82', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740589.359407, 1495740589.3594139)]]
['block_rmsd-846e1c2a4018444c7da7d26cd161d8bc', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740543.79245, 1495740589.372245)]]
['getitem-4020696f430da7ae2a739f7bb1af73fc', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740589.3762429, 1495740589.376251)]]
['getitem-2a4978ef386872aa914af21f0e401456', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740589.376936, 1495740589.376945)]]
['getitem-cf6abe2b2d6b8f8c2a9c562ffdae5671', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740589.377395, 1495740589.377403)]]
['getitem-3229fabeb306a3a7a61036400028a825', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740589.377809, 1495740589.37782)]]
['getitem-e56675943ebaee3b8b298282e41585fd', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495740589.37834, 1495740589.378347)]]
['block_rmsd-6032c0f565110a532d68673edf95e771', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740543.793357, 1495740589.397883)]]
['getitem-cc88b31f1018c876b59b5180e19ca8fd', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495740589.40282, 1495740589.4028301)]]
