['getitem-a7e1e49085a3eb7ed4477e80843e96f2', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.409492, 1495737470.4094992)]]
['block_rmsd-92cdbf5bd97c3159b7640e2a1e86b026', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737454.8568769, 1495737470.409333)]]
['getitem-57937a93571a000f303a5738b2a61bdc', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737470.4157658, 1495737470.4157708)]]
['getitem-39686d80c3ee64c4fb92d63da1b12e1a', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737470.416365, 1495737470.4163718)]]
['getitem-da8dd3703aa0d381aac8aa5cdae5b36b', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737470.416775, 1495737470.4167788)]]
['getitem-659c739e70741507a9cf249be5da00d4', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737470.4172158, 1495737470.4172199)]]
['getitem-d3e4f0276fc1cf2643b116312b0f6480', 'processing', 'memory', 'tcp://129.114.90.206:55757', 47053804279552, [('compute', 1495737470.4176629, 1495737470.417667)]]
['block_rmsd-245aaaffddeef254404c1be0ad9bb776', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737454.8590329, 1495737470.422927)]]
['block_rmsd-5f3fe7c4f1af0284d03b3cd15bbdcfcf', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737454.859074, 1495737470.424905)]]
['getitem-9607ecee01cafd7089abb946f408f1e1', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737470.426694, 1495737470.426703)]]
['getitem-3096655037e788e4764399011a2b60fc', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737470.427368, 1495737470.427378)]]
['getitem-7265b7ef473448c73efb4a6216115405', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737470.427905, 1495737470.427912)]]
['getitem-6d8d29122580c92842442bff73676c84', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737470.428309, 1495737470.428315)]]
['getitem-cc1daf920dd54fba4fae539501860aa7', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737470.428846, 1495737470.428853)]]
['getitem-1a11fb4a09234be1ca20345be01977f8', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.4286742, 1495737470.428683)]]
['getitem-6a06b2be53b5b4e9414224c3fb90334c', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.429377, 1495737470.429387)]]
['getitem-4cb29f998171a03cf81bd6a26b6c430d', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.4299202, 1495737470.429929)]]
['getitem-af66fc5185f356f35b0142b1cf6ee9c2', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.4304922, 1495737470.4305)]]
['getitem-d8ba6f92b7b5db7a2a002c524a9d4c89', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.431293, 1495737470.4313061)]]
['block_rmsd-54d434b23b6149e023cac730a12a2ea1', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737455.175366, 1495737470.462062)]]
['getitem-3265a01d31049b8fd58a54c51c3b2426', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737470.466304, 1495737470.466315)]]
['getitem-70d1378c5386a77d974cc368cd7b5190', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737470.467031, 1495737470.467052)]]
['getitem-c3f78ad5ed8b55533848853942e6ac36', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737470.4675689, 1495737470.467579)]]
['getitem-a52eba709cc32aa81a4f4d57c2862608', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737470.468118, 1495737470.4681249)]]
['getitem-ebf49d4b1b82f429a58c079ac4c3f353', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737470.468658, 1495737470.468666)]]
['amax-4e588284-0413-41a8-b3f3-98173b993420', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('transfer', 1495737470.480326, 1495737470.484876), ('transfer', 1495737470.477953, 1495737470.484968), ('transfer', 1495737470.474135, 1495737470.485046), ('transfer', 1495737470.475889, 1495737470.4851048), ('transfer', 1495737470.481, 1495737470.4870148), ('transfer', 1495737470.4789839, 1495737470.4875228), ('transfer', 1495737470.4761868, 1495737470.489045), ('transfer', 1495737470.4767628, 1495737470.489112), ('transfer', 1495737470.4771438, 1495737470.4891708), ('transfer', 1495737470.477505, 1495737470.489229), ('transfer', 1495737470.4786158, 1495737470.4892848), ('transfer', 1495737470.480624, 1495737470.4893408), ('transfer', 1495737470.4745247, 1495737470.4896579), ('transfer', 1495737470.4799309, 1495737470.4897218), ('transfer', 1495737470.478248, 1495737470.490742), ('compute', 1495737470.491387, 1495737470.4923728)]]
['sum-c840ad1a-f0c7-49e8-9da5-c9acb746e540', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('transfer', 1495737470.473989, 1495737470.4804232), ('transfer', 1495737470.471359, 1495737470.480515), ('transfer', 1495737470.469733, 1495737470.48072), ('transfer', 1495737470.475085, 1495737470.4832351), ('transfer', 1495737470.471672, 1495737470.48513), ('transfer', 1495737470.472254, 1495737470.485197), ('transfer', 1495737470.4726481, 1495737470.4852562), ('transfer', 1495737470.473025, 1495737470.4853122), ('transfer', 1495737470.4762712, 1495737470.485366), ('transfer', 1495737470.4700532, 1495737470.4854212), ('transfer', 1495737470.4746912, 1495737470.485742), ('transfer', 1495737470.4758651, 1495737470.485804), ('transfer', 1495737470.4766562, 1495737470.4858592), ('transfer', 1495737470.474307, 1495737470.4862902), ('transfer', 1495737470.475393, 1495737470.487318), ('compute', 1495737470.488497, 1495737470.4886022)]]
['truediv-14a8f07396e43dea7b63313541c6c640', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737470.495232, 1495737470.495274)]]
['sum-894c8407-8a1f-434c-90a8-a4f826c07878', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('transfer', 1495737470.48005, 1495737470.486445), ('transfer', 1495737470.4783552, 1495737470.486726), ('transfer', 1495737470.47523, 1495737470.49182), ('transfer', 1495737470.476582, 1495737470.491903), ('transfer', 1495737470.477176, 1495737470.491966), ('transfer', 1495737470.479273, 1495737470.492027), ('transfer', 1495737470.4803522, 1495737470.4920871), ('transfer', 1495737470.48125, 1495737470.500315), ('transfer', 1495737470.4779851, 1495737470.501102), ('transfer', 1495737470.481668, 1495737470.501235), ('transfer', 1495737470.482144, 1495737470.50138), ('transfer', 1495737470.479667, 1495737470.501796), ('transfer', 1495737470.482536, 1495737470.501894), ('transfer', 1495737470.4808261, 1495737470.5031412), ('transfer', 1495737470.477598, 1495737470.700309), ('compute', 1495737470.701227, 1495737470.701314)]]
['amax-a8604f8b-4a28-4ade-8d9a-abe5fd665233', 'processing', 'memory', 'tcp://129.114.90.205:34389', 47267737278208, [('transfer', 1495737470.4746943, 1495737470.5004191), ('transfer', 1495737470.475439, 1495737470.5005732), ('transfer', 1495737470.4758422, 1495737470.5006382), ('transfer', 1495737470.4763522, 1495737470.500703), ('transfer', 1495737470.4771192, 1495737470.500765), ('transfer', 1495737470.4788072, 1495737470.5008261), ('transfer', 1495737470.4792812, 1495737470.500889), ('transfer', 1495737470.4779902, 1495737470.5017512), ('transfer', 1495737470.4800801, 1495737470.5019932), ('transfer', 1495737470.4767272, 1495737470.5020702), ('transfer', 1495737470.478424, 1495737470.5021873), ('transfer', 1495737470.479664, 1495737470.502252), ('transfer', 1495737470.4813132, 1495737470.5026011), ('transfer', 1495737470.480539, 1495737470.699789), ('transfer', 1495737470.4809272, 1495737470.7020872), ('compute', 1495737470.7029462, 1495737470.7030952)]]
['truediv-6bb0b9acc969b642c996fe68bd4e1e53', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737470.704603, 1495737470.704644)]]
['vstack-4dcca6b6-c3fa-487c-b628-466ada9138aa', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('transfer', 1495737470.4778543, 1495737470.5035963), ('transfer', 1495737470.4752853, 1495737470.5042012), ('transfer', 1495737470.4792812, 1495737470.50446), ('transfer', 1495737470.474466, 1495737470.5045931), ('transfer', 1495737470.4788861, 1495737470.5065153), ('transfer', 1495737470.480492, 1495737470.7108653), ('transfer', 1495737470.4758573, 1495737471.1177063), ('transfer', 1495737470.4770873, 1495737471.118884), ('transfer', 1495737470.4774783, 1495737471.1204011), ('transfer', 1495737470.4813411, 1495737471.1210313), ('transfer', 1495737470.4762511, 1495737471.9237342), ('transfer', 1495737470.4796681, 1495737471.9253683), ('transfer', 1495737470.4801183, 1495737471.9254372), ('transfer', 1495737470.4766302, 1495737471.9255643), ('transfer', 1495737470.4808693, 1495737471.9365473), ('compute', 1495737471.9373562, 1495737471.9412212)]]
['tuple-7dcfef66-b16e-49fa-953b-b0de40113ea5', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('transfer', 1495737471.9472992, 1495737471.9554162), ('transfer', 1495737471.9481401, 1495737471.955521), ('transfer', 1495737471.9503863, 1495737471.9556222), ('transfer', 1495737471.9478571, 1495737471.9556983), ('transfer', 1495737471.9486833, 1495737471.955773), ('transfer', 1495737471.9500782, 1495737471.9558463), ('transfer', 1495737471.9492183, 1495737471.9559193), ('transfer', 1495737471.9506762, 1495737471.9559972), ('transfer', 1495737471.9475863, 1495737471.9560912), ('transfer', 1495737471.9469922, 1495737471.9561882), ('transfer', 1495737471.9498043, 1495737471.9562612), ('transfer', 1495737471.948419, 1495737471.9563403), ('transfer', 1495737471.9495182, 1495737471.956432), ('transfer', 1495737471.9512253, 1495737471.9567993), ('transfer', 1495737471.950961, 1495737471.9568772), ('compute', 1495737471.9579742, 1495737471.9580302)]]
