['getitem-de7d1414acb993d5229e27bfe89e9016', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737873.130104, 1495737873.13011)]]
['getitem-0e6bcb756aeccbb3ebfd31cdb7323328', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737873.130698, 1495737873.130702)]]
['getitem-4f780f9d585c881408b38d72e2c240fb', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737873.131092, 1495737873.1310961)]]
['getitem-053cb0b7855ccf273d7d1d2a8acdc5da', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737873.1315382, 1495737873.131542)]]
['getitem-502213ee58f3142ae5aa901d48c10935', 'processing', 'memory', 'tcp://129.114.90.206:58568', 47053804279552, [('compute', 1495737873.131962, 1495737873.131966)]]
['block_rmsd-08f2174e6b0199bbd2581d9a9a6dd854', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('compute', 1495737866.9734643, 1495737873.1264732)]]
['getitem-268119355f2ef07943fb4dfe15fb7b1c', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737873.129418, 1495737873.1299658)]]
['getitem-fc80ab25f5eed9c21f616e54354e67fd', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737873.131744, 1495737873.1317499)]]
['getitem-d055d6a4d7cb6258d9898730cb942711', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737873.1337178, 1495737873.133802)]]
['getitem-42dcadf2401263be4968e04ab8ecb9d2', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737873.1342008, 1495737873.1342049)]]
['getitem-ec1ac31b273044c4e27d92adbeae9d20', 'processing', 'memory', 'tcp://129.114.90.205:35492', 47267737278208, [('compute', 1495737873.1353319, 1495737873.1353369)]]
['getitem-9081d1f43aef1fe266c45a561821e9bd', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737873.127981, 1495737873.1284719)]]
['getitem-daee7b5f57dace276046ec04d0b51b81', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737873.1302779, 1495737873.1302838)]]
['getitem-e6df31db2dc6ce7b11d5837df393b4ed', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737873.1308448, 1495737873.1309178)]]
