['getitem-584348ea066d7a233f49484a915d239b', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740749.265072, 1495740749.265077)]]
['getitem-d90639ca61f2da6eb73f8807f111019b', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495740749.265518, 1495740749.265523)]]
['block_rmsd-caeaa4c18bd25e894ac2a34acea790fe', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740703.219653, 1495740749.282949)]]
['getitem-d7fcf7dfe63d9a6e2fedef0ea15cf966', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740749.2868989, 1495740749.286907)]]
['getitem-6600d0d57fee44311eee9b9662d95adb', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740749.2876098, 1495740749.287621)]]
['getitem-d1c31a0edbc4e7828685ff0fb86ebb82', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740749.288097, 1495740749.288115)]]
['getitem-b5b4209b500763e55bb1897343470eaf', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740749.2886288, 1495740749.288637)]]
['getitem-e08d4eb2f6a6a135fac26e69c3bfa518', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740749.289191, 1495740749.2891998)]]
['block_rmsd-8837308582ad16db5286d97e774637fd', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740703.2202199, 1495740749.2957249)]]
['getitem-f1086183319607c1c428e988b0978a3e', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740749.3000169, 1495740749.3000228)]]
['getitem-62484f82a331bea5a2a8b2e5cfcc939e', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740749.300624, 1495740749.3006299)]]
['getitem-52e122ab1f34683e682a49ac92ec0cf4', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740749.3010187, 1495740749.3010237)]]
['getitem-5e7de64f151c299fea8c19a503b19513', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740749.3016288, 1495740749.301633)]]
['getitem-8c5b51db059af68c993b016c81f4e951', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740749.3020897, 1495740749.3020937)]]
['block_rmsd-40556b86a5a167eeda0cd8a2c90c71d2', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740703.2212198, 1495740749.311838)]]
['getitem-92d0d67bc148ce9c1dbc8427ea1432b1', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740749.316273, 1495740749.316284)]]
['getitem-a3889c01f0e0b65069218f1f00a7352c', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740749.3169649, 1495740749.3169768)]]
['getitem-18c25018b9468366cd86b1f5d80a9f97', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740749.3174708, 1495740749.3174808)]]
['getitem-894ee47a5d53ce7f280375077049ac4d', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740749.318053, 1495740749.3180628)]]
['getitem-e84bad95f53fec9069505c6122f01848', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740749.3185968, 1495740749.318605)]]
['block_rmsd-dd705ccceaf6dd55a330141cb1b39ecf', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740703.234665, 1495740749.387497)]]
['getitem-89468e226296536165c144c4bbf621a7', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740749.3916178, 1495740749.3916268)]]
['getitem-ddf549be9a715c72209b99671e9349d8', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740749.3923488, 1495740749.39236)]]
['getitem-221d5f9d4de44a3f1c1926595d692c77', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740749.392864, 1495740749.3928719)]]
['getitem-ac270e3cdfd754fb032084434e7d68d4', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740749.3934848, 1495740749.393493)]]
['getitem-cc5bcb4f58550e5396db7f4457f9c1d6', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495740749.394192, 1495740749.394213)]]
['block_rmsd-fd9b0b00e78cf243b96ad0562442614d', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740703.222987, 1495740749.45689)]]
['getitem-49a6777be30798563d0639273ca5fa57', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740749.461056, 1495740749.461064)]]
['getitem-a7fa66674010fd085733ea30623f0dde', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740749.461846, 1495740749.46186)]]
['getitem-dd50ff5e983853e0ab49da2a8ff642c6', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740749.462285, 1495740749.4622931)]]
['getitem-5f8b707f653d3732d0d1d3ee4ebf11b0', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740749.46298, 1495740749.462987)]]
['getitem-61e070bc57815a4b6ca0152ea0659e2c', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740749.463792, 1495740749.463807)]]
['block_rmsd-ea97455b889a0cd6bf17cde3844729bb', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740703.221056, 1495740752.0355701)]]
['getitem-7fd104cf42130b0138861c145caf182d', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740752.0429451, 1495740752.042953)]]
['getitem-a1e921d77433be6c8e23a2593b66e9aa', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740752.043663, 1495740752.043673)]]
['getitem-f859cd7123db36be4eb554d0f5e2a6dc', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740752.044351, 1495740752.044367)]]
['getitem-198a29d1ef5e3617b1b8a79adb640ce9', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740752.045084, 1495740752.0450912)]]
['getitem-bb03b783f1cd9b7867ce6513dcac18f2', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740752.04588, 1495740752.045887)]]
['sum-88c3318a-cde3-492d-880c-5d0616cff824', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('transfer', 1495740752.055156, 1495740752.0625138), ('transfer', 1495740752.051668, 1495740752.0626478), ('transfer', 1495740752.0570018, 1495740752.062712), ('transfer', 1495740752.0557659, 1495740752.063684), ('transfer', 1495740752.0563009, 1495740752.063752), ('transfer', 1495740752.0554578, 1495740752.063819), ('transfer', 1495740752.057293, 1495740752.064334), ('transfer', 1495740752.058641, 1495740752.0651388), ('transfer', 1495740752.058353, 1495740752.065203), ('transfer', 1495740752.0592258, 1495740752.065464), ('transfer', 1495740752.053321, 1495740752.065528), ('transfer', 1495740752.056598, 1495740752.065585), ('transfer', 1495740752.057889, 1495740752.06564), ('transfer', 1495740752.0575988, 1495740752.067708), ('transfer', 1495740752.058941, 1495740752.07437), ('compute', 1495740752.0757349, 1495740752.07743)]]
['amax-85ec4f88-6baf-4fb9-9221-203c7fe81647', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('transfer', 1495740752.04943, 1495740752.0589168), ('transfer', 1495740752.05126, 1495740752.059172), ('transfer', 1495740752.053974, 1495740752.059244), ('transfer', 1495740752.0533888, 1495740752.059304), ('transfer', 1495740752.054255, 1495740752.0593638), ('transfer', 1495740752.051874, 1495740752.060107), ('transfer', 1495740752.05246, 1495740752.060175), ('transfer', 1495740752.0521789, 1495740752.0602329), ('transfer', 1495740752.0515769, 1495740752.0602899), ('transfer', 1495740752.053679, 1495740752.060612), ('transfer', 1495740752.0509489, 1495740752.0609329), ('transfer', 1495740752.054844, 1495740752.0609958), ('transfer', 1495740752.054545, 1495740752.0611808), ('transfer', 1495740752.05548, 1495740752.061843), ('transfer', 1495740752.055119, 1495740752.0732129), ('compute', 1495740752.0741298, 1495740752.075356)]]
['truediv-5f0525eaaaafe84cf9e0a918a9859448', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740752.081867, 1495740752.082031)]]
['sum-56c001d6-7ca2-47f7-8830-2ee726352eda', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('transfer', 1495740752.065407, 1495740752.0792181), ('transfer', 1495740752.065785, 1495740752.079417), ('transfer', 1495740752.0661771, 1495740752.079483), ('transfer', 1495740752.066636, 1495740752.079547), ('transfer', 1495740752.067008, 1495740752.079609), ('transfer', 1495740752.068888, 1495740752.079669), ('transfer', 1495740752.069283, 1495740752.079729), ('transfer', 1495740752.0622041, 1495740752.079788), ('transfer', 1495740752.063529, 1495740752.0798512), ('transfer', 1495740752.0641701, 1495740752.079912), ('transfer', 1495740752.064573, 1495740752.080386), ('transfer', 1495740752.064949, 1495740752.080453), ('transfer', 1495740752.067391, 1495740752.080512), ('transfer', 1495740752.0696821, 1495740752.08057), ('transfer', 1495740752.063136, 1495740752.080718), ('compute', 1495740752.08251, 1495740752.083415)]]
['amax-9c8042b0-df9a-4e04-a26e-0950569ef451', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('transfer', 1495740752.0651338, 1495740752.0713928), ('transfer', 1495740752.063957, 1495740752.071575), ('transfer', 1495740752.060112, 1495740752.0716429), ('transfer', 1495740752.0633519, 1495740752.0717068), ('transfer', 1495740752.06367, 1495740752.0717828), ('transfer', 1495740752.0657818, 1495740752.0718439), ('transfer', 1495740752.0627348, 1495740752.071946), ('transfer', 1495740752.063058, 1495740752.072021), ('transfer', 1495740752.067365, 1495740752.0740688), ('transfer', 1495740752.064245, 1495740752.0752668), ('transfer', 1495740752.0619738, 1495740752.075625), ('transfer', 1495740752.066397, 1495740752.0756989), ('transfer', 1495740752.06158, 1495740752.075799), ('transfer', 1495740752.0647578, 1495740752.076885), ('transfer', 1495740752.060437, 1495740752.078158), ('compute', 1495740752.0791059, 1495740752.080175)]]
['truediv-c8a0b973d63ff5cc4f793c4fe7679f13', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495740752.097814, 1495740752.097978)]]
['vstack-5a3dbaf4-54a7-42ce-a874-8960c3a3bfa0', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('transfer', 1495740752.0618432, 1495740752.0843382), ('transfer', 1495740752.065813, 1495740752.0997221), ('transfer', 1495740752.066199, 1495740752.1096811), ('transfer', 1495740752.0631092, 1495740752.12359), ('transfer', 1495740752.0678122, 1495740752.138931), ('transfer', 1495740752.0654342, 1495740752.3348222), ('transfer', 1495740752.067341, 1495740752.3349552), ('transfer', 1495740752.06659, 1495740752.3374052), ('transfer', 1495740752.06849, 1495740752.515073), ('transfer', 1495740752.0641432, 1495740752.7118242), ('transfer', 1495740752.065057, 1495740752.715634), ('transfer', 1495740752.066971, 1495740753.5143802), ('transfer', 1495740752.064753, 1495740753.7327151), ('transfer', 1495740752.068182, 1495740753.759804), ('transfer', 1495740752.0687902, 1495740753.760102), ('compute', 1495740753.7607582, 1495740753.78921)]]
['tuple-cee81d20-32f3-498b-8709-b39bccfeb751', 'processing', 'memory', 'tcp://129.114.90.154:46684', 47744891332352, [('transfer', 1495740753.7975101, 1495740753.8140671), ('transfer', 1495740753.80618, 1495740753.81428), ('transfer', 1495740753.807285, 1495740753.814361), ('transfer', 1495740753.8056202, 1495740753.8144372), ('transfer', 1495740753.7969532, 1495740753.814512), ('transfer', 1495740753.7978241, 1495740753.8146832), ('transfer', 1495740753.8070061, 1495740753.8147652), ('transfer', 1495740753.796082, 1495740753.8148391), ('transfer', 1495740753.796679, 1495740753.814934), ('transfer', 1495740753.806736, 1495740753.8150282), ('transfer', 1495740753.796394, 1495740753.8151011), ('transfer', 1495740753.8064492, 1495740753.815181), ('transfer', 1495740753.8033981, 1495740753.8152552), ('transfer', 1495740753.805902, 1495740753.8153272), ('transfer', 1495740753.7972372, 1495740753.8154001), ('compute', 1495740753.818119, 1495740753.8182151)]]
