['getitem-b58f3ea105b326be7fcc3522326973f9', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740891.1247988, 1495740891.1248028)]]
['getitem-ebffbd33d57d5017794caf1aa9d41c94', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740891.1251957, 1495740891.1252007)]]
['getitem-9e5ca5d1291eb5e24944ea80e0518c31', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740891.1257598, 1495740891.125764)]]
['getitem-e19e003d42b2584895b4e003702a812e', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495740891.1261878, 1495740891.1261947)]]
['block_rmsd-942f8b735acd8e48bfe8edeaaa413737', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740863.452965, 1495740891.538462)]]
['getitem-9de7e0c9271556ff35a4d89c95813441', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740891.54194, 1495740891.541948)]]
['getitem-c1003c1b1675db9743d5f2547906a355', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740891.542572, 1495740891.542579)]]
['getitem-c2dd8dc4635444587c86899cb09232c8', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740891.542977, 1495740891.542983)]]
['getitem-8f2d5bc5b75f8ddcc2d524de59fdbfab', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740891.543425, 1495740891.543429)]]
['getitem-bb8b2915e47ec1ab76a439061d4c6937', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495740891.543879, 1495740891.543883)]]
['block_rmsd-74e1ec7ce4ef98e808db60a4da657e22', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740863.456711, 1495740891.5962949)]]
['getitem-6e253b16e1576d7fc3088dcc9d3285e8', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740891.599785, 1495740891.599796)]]
['getitem-aa6f65afba7ab64576bfca80e5bf1d66', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740891.60046, 1495740891.600467)]]
['getitem-194109f40676da993a9ec6038b12f464', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740891.600932, 1495740891.600939)]]
['getitem-162a8b36df432bf11c30fd44c084581c', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740891.601406, 1495740891.601412)]]
['getitem-e7a9c7f1caac600262493d071031909a', 'processing', 'memory', 'tcp://129.114.90.153:36060', 47879174719232, [('compute', 1495740891.601851, 1495740891.601857)]]
['block_rmsd-acc74e0981bd7f195cb0ce2dcd9c596b', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740863.455791, 1495740891.759917)]]
['getitem-2d72834fcef1704ce2c20826c0cf6ee5', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740891.763501, 1495740891.763509)]]
['getitem-abe73e374b41213a811a7315442a6b75', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740891.7640998, 1495740891.7641048)]]
['getitem-be3c77373c4235dbf8c048f2f54485e1', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740891.764512, 1495740891.7645168)]]
['getitem-3375f96ee1b72c5511725b1c281904b8', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740891.765068, 1495740891.765073)]]
['getitem-484e66ef442b24a464b589891c01e53b', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495740891.765606, 1495740891.765611)]]
['block_rmsd-d22e06b9bfeccb5471a8b8585726de27', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740863.457791, 1495740891.798124)]]
['getitem-0284c10fc979a90d0357c38f76786481', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740891.801419, 1495740891.801426)]]
['getitem-ff0656140ce502c143344fc9b12b5c9c', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740891.802015, 1495740891.80202)]]
['getitem-f84ceeaf069aaf311dde2c6575eaf8df', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740891.802422, 1495740891.802429)]]
['getitem-353da3adb2bf076cba2e901fbc189b44', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740891.802831, 1495740891.802836)]]
['getitem-6d630304ab37d827c47dd40dc2c885b7', 'processing', 'memory', 'tcp://129.114.90.153:41422', 47879174719232, [('compute', 1495740891.803315, 1495740891.80332)]]
['block_rmsd-43e84220a65c044975aa6f7caa96dc35', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740863.4612699, 1495740891.816973)]]
['getitem-6f398f36a2f56f7b39fe027b4cf7ddb3', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740891.824059, 1495740891.8240688)]]
['getitem-00f94898311d61eb8c738e4c25c9aea4', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740891.824807, 1495740891.8248148)]]
['getitem-f67ec9fe999ad7edc483a783f6b621bd', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740891.8252828, 1495740891.8252988)]]
['getitem-984c5f0614c6f21928de12ca5ab83882', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740891.8257859, 1495740891.8257928)]]
['getitem-a518172d7a8e02e670fb95f52a8f9d50', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495740891.826628, 1495740891.826635)]]
['block_rmsd-7dac07718d2523f2f1b2b63bd4e065c1', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740863.456354, 1495740892.4417129)]]
['getitem-063cf517636e79d39f7c273c32833996', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740892.445312, 1495740892.445322)]]
['getitem-443befbe88effd65eca913e060dd70e8', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740892.445976, 1495740892.445984)]]
['getitem-803a4ece677a93feab0c4abee8f7bd0b', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740892.446443, 1495740892.446452)]]
['getitem-4a5603fa9e3c81ef4be3debbf20cd621', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740892.44693, 1495740892.446938)]]
['getitem-731cbbc18cba86285a4dfbecf8ad120f', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495740892.44749, 1495740892.447497)]]
['block_rmsd-36b8f51fa5689d50a153fc998ce06d71', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740863.453488, 1495740892.514847)]]
['getitem-833909277ad52a742955b527608d85e9', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740892.518209, 1495740892.518219)]]
['getitem-4c6013dc9173dbedf588861df3bf5faf', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495740892.518866, 1495740892.518873)]]
