['getitem-add6a1b50bd17a832fd3b2d9b6b8b21a', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737678.181783, 1495737678.181792)]]
['getitem-4c0297617563eab59900def1c4d5af51', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737678.1823971, 1495737678.1824021)]]
['getitem-498352fba11507a904233be20d6935fd', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737678.182789, 1495737678.1827931)]]
['getitem-0c0652ff25b9d6472ebec98d099f5f2f', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737678.183242, 1495737678.183247)]]
['getitem-bd073019f25a4c824e8a20821545d070', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737678.183675, 1495737678.183679)]]
['block_rmsd-d3b8ff624e5e7258fc7f6c0b1be16b7b', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495737670.262258, 1495737678.187689)]]
['block_rmsd-65bf0a302ff2ac668b2772aa8d23da30', 'processing', 'memory', 'tcp://129.114.90.153:57166', 47879174719232, [('compute', 1495737670.251433, 1495737678.1833758)]]
['block_rmsd-93e47fbef4329c00e20cfc98cef9b181', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495737670.2709231, 1495737678.185832)]]
['getitem-7a58813443905eee1ff489bfcc075c8a', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737678.184473, 1495737678.184796)]]
['getitem-cf6ab050d07289b04a2d2f387151f594', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737678.18663, 1495737678.186639)]]
['getitem-96855523bc8a874611a611a9a70d4c09', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737678.187432, 1495737678.187497)]]
['getitem-26f0d9ad4ce23fe911863257f7b2c79e', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737678.188099, 1495737678.188106)]]
['getitem-87e5ede17fc022eb581ff5593a100554', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737678.18873, 1495737678.188737)]]
['getitem-245b77e7b37908f16315cb959a2141d2', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737678.186605, 1495737678.186869)]]
['getitem-e6bf1ab38cf37c08e582f9e3338460cd', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737678.187815, 1495737678.1878219)]]
['getitem-68e11d7b90bb75235edb73e487edc245', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737678.188298, 1495737678.188356)]]
['getitem-2620ad56672ae08026ec8cf9e28db905', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737678.18911, 1495737678.189117)]]
['getitem-73ab79a9c492d2af12ce8549eeb99039', 'processing', 'memory', 'tcp://129.114.90.154:50140', 47744891332352, [('compute', 1495737678.189765, 1495737678.189771)]]
['getitem-faaedc08190ecba69a7f1f9b7ea225d4', 'processing', 'memory', 'tcp://129.114.90.154:47575', 47744891332352, [('compute', 1495737678.1838462, 1495737678.1841881)]]
