['getitem-703a3e3d724fd6b7158c07031036ad7a', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737623.4504821, 1495737623.450486)]]
['getitem-c9d24e7f0a6b56cc3c1ee4b7183a8fb2', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495737623.451024, 1495737623.451028)]]
['block_rmsd-a1d60d70879e10d45a8876ba4073de79', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737613.5136728, 1495737623.453498)]]
['getitem-355d337e8df071456d6a7a48a45a1aad', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737623.461788, 1495737623.461793)]]
['getitem-790ce20e46ee5465518550387715382d', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737623.4623399, 1495737623.462347)]]
['getitem-27d538613bd3f4d7f44d499852cb8a20', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737623.462823, 1495737623.462828)]]
['getitem-1bb55e00a0cc8cc617b73112b7e387c3', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737623.463237, 1495737623.4632418)]]
['getitem-d2a098ae2e2fe74572be3fb05bb81a9c', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495737623.463666, 1495737623.463671)]]
['block_rmsd-aeee564485375b8c56e9a1906254ac1c', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737613.517223, 1495737623.473109)]]
['block_rmsd-1fa57e1ed52bd9ec2a8953e6eddfa4be', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737613.509753, 1495737623.470044)]]
['getitem-2a8b07574570b2a4d270b2e249679647', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737623.470015, 1495737623.470123)]]
['getitem-23e1e7867546c5a69be084081bc4529a', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737623.4721231, 1495737623.472296)]]
['getitem-86b0f3b0651e7df816d9fd6a54b33da8', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737623.477361, 1495737623.477366)]]
['getitem-e3d0b3b8d1f2f455d8a8cb3e42c729e1', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737623.477936, 1495737623.477942)]]
['getitem-7b2a398171e01bed914af80b214712c7', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737623.4782999, 1495737623.478304)]]
['getitem-27803d2e28272cc53bc57d872822d6ab', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737623.4786959, 1495737623.4787)]]
['getitem-76bb024392566e68fd308715aaa7a4ae', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737623.479256, 1495737623.47926)]]
['getitem-d28bdba678277bc41f7a7b475c204212', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737623.473052, 1495737623.473103)]]
['getitem-3c2366386b228bcab6fac7b72ffdad04', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737623.473718, 1495737623.473726)]]
['getitem-e3e23c4a8dbec37a6b8590f6953e8c24', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495737623.4742131, 1495737623.47422)]]
['getitem-de9d5f1bba1b8011e7291f8fcbc3d71b', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737623.473961, 1495737623.473967)]]
['getitem-fcf5e1c0a9ddc90c103468a47ee0bb38', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737623.474517, 1495737623.474523)]]
['getitem-9900615355e152d188fdbbe186901ee7', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737623.475017, 1495737623.475022)]]
['getitem-ae692bf37879e2f0d95728cbd3156e8c', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737623.475429, 1495737623.475434)]]
['getitem-e8b5dd268862f7fc55596b351a5d0fdf', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737623.475886, 1495737623.47589)]]
['block_rmsd-32713c69f3f63ac860b910d90fefdbb3', 'processing', 'memory', 'tcp://129.114.90.154:39508', 47744891332352, [('compute', 1495737613.514484, 1495737623.472066)]]
['block_rmsd-443e4abe33bb25e7ab08f8c2596e4ca2', 'processing', 'memory', 'tcp://129.114.90.206:55169', 47053804279552, [('compute', 1495737613.519352, 1495737623.479454)]]
