['getitem-d82e7c099cbd4ef7dbbf6ec28346632e', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737545.932885, 1495737545.932892)]]
['getitem-248fc7ebdb71389935c3db82f3b20b6d', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737545.9334111, 1495737545.933418)]]
['getitem-7887ff94fafb48545fa618de1e8c6abd', 'processing', 'memory', 'tcp://129.114.90.206:52451', 47053804279552, [('compute', 1495737545.9339151, 1495737545.933924)]]
['getitem-9c735beb58be227a850e5cc8350aa29e', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737545.929488, 1495737545.929494)]]
['getitem-66e6266a96b4cdcfe259af6fb29aabf7', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737545.930034, 1495737545.93004)]]
['getitem-b541108a1c8bf68a918882e48108c37d', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737545.930507, 1495737545.930511)]]
['getitem-2df66e1c5293fbabb9f5ae3389e06107', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737545.931082, 1495737545.9310858)]]
['getitem-e1bd4f7fa1eee1b626dec7a1337f5b15', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495737545.9315789, 1495737545.931584)]]
['getitem-b96e8954a2c672b9c64a6d5da6bf8857', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737545.930033, 1495737545.930044)]]
['getitem-b2ac423cd22f4bd6ffbc00d1ebb01001', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737545.930726, 1495737545.930747)]]
['getitem-82c7982e8e3e147003a0b42728c9756b', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737545.931204, 1495737545.931212)]]
['getitem-100f4692a5cfac4bed79dfd60e6721b4', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737545.931801, 1495737545.931809)]]
['getitem-46c59095251fd4b48b8113ce1fa5a2f1', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495737545.93244, 1495737545.932447)]]
['getitem-04af11f1cda27b320a9f6d91dae2f71e', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737545.9310198, 1495737545.9310248)]]
['getitem-cb4030c4a56d45c93acfec0e6f0170a3', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737545.9316278, 1495737545.931635)]]
['getitem-8fa5c4910941ece11caa91d95f498d1c', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737545.932057, 1495737545.932062)]]
['getitem-d7cc821d448a8d483bb63590cf327cd6', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737545.9325068, 1495737545.9325109)]]
['getitem-fb6aa7340889a96bdb30b2e0b640be92', 'processing', 'memory', 'tcp://129.114.90.206:48373', 47053804279552, [('compute', 1495737545.9329708, 1495737545.9329739)]]
['getitem-dc8fa39b3f6cb08ab7d4f5f970678755', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737545.931457, 1495737545.9314659)]]
['getitem-d9b6a31ae3e98a1bf8364f1995500101', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737545.932348, 1495737545.932371)]]
['getitem-e5fbf9a8127df647262486b4d38ea79a', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737545.932976, 1495737545.9329839)]]
['getitem-30b4d0be9497826feb60c9256f3333d7', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737545.933708, 1495737545.9337149)]]
['getitem-e7f80842223c2807a839294bc25203d0', 'processing', 'memory', 'tcp://129.114.90.205:49984', 47267737278208, [('compute', 1495737545.934356, 1495737545.934363)]]
