['getitem-df3b005aceb415d7283594e90aef2c0d', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737523.0530279, 1495737523.053038)]]
['getitem-4492b77be2085e305cadb5a942bac14b', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737523.0539339, 1495737523.053942)]]
['getitem-30d285ce435e9f22561f70a1d0fa6814', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737523.054453, 1495737523.0544598)]]
['getitem-80fd0eb6c8ff1d59a44bde921fb63f29', 'processing', 'memory', 'tcp://129.114.90.206:53217', 47053804279552, [('compute', 1495737523.05496, 1495737523.054966)]]
['block_rmsd-35ac7500ea50c0040e7c90bbb4c72ed5', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737514.207758, 1495737523.0574949)]]
['block_rmsd-26f1fc12fdcc31052f5424deb981d32c', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737513.8652208, 1495737523.060088)]]
['block_rmsd-cc3dfe948bd033fb5ce898b6444bbd23', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495737513.8532772, 1495737523.0574331)]]
['block_rmsd-6b5044646217b26caaa46d3f3e7be334', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737513.8643432, 1495737523.06475)]]
['block_rmsd-03195d406358146ad8a6f9582d8ebd23', 'processing', 'memory', 'tcp://129.114.90.153:59262', 47879174719232, [('compute', 1495737513.849956, 1495737523.067669)]]
['block_rmsd-84a0fc63c268ec022bd8974360838eb1', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737514.246032, 1495737523.056452)]]
['block_rmsd-fb0464f6b3994830f0535d885a18836b', 'processing', 'memory', 'tcp://129.114.90.154:58341', 47744891332352, [('compute', 1495737513.8652332, 1495737523.0639591)]]
['block_rmsd-93603b86fce6eac2951702d6fd7827e5', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737513.8554428, 1495737523.067725)]]
['block_rmsd-9b8abc256f2a7c33c7d724713d916bd9', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737513.864149, 1495737523.067197)]]
['block_rmsd-8233ca6036aa9dac98a29acfd2d3acba', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737514.189071, 1495737523.055705)]]
['block_rmsd-b0839025bfad80969a64c28f45c595fd', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495737513.8645468, 1495737523.0790727)]]
['getitem-7a9db94311f46dcc99c32832a33e575a', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737523.0733242, 1495737523.0733292)]]
['getitem-0d011ce7e24dfc77f5ea70f14d257d33', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737523.0739572, 1495737523.0739632)]]
['getitem-e4848c972ee29f57fc2e23fe1e556744', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737523.0743682, 1495737523.074372)]]
['getitem-52f025d165fce13eabeac99a74a1be8b', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737523.074774, 1495737523.074779)]]
['getitem-8c4cce6a1c5616990825cf0fa3a37f60', 'processing', 'memory', 'tcp://129.114.90.153:55216', 47879174719232, [('compute', 1495737523.075417, 1495737523.075422)]]
['getitem-f0fc37d4280f4072ab47a15bd5e65b44', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737523.074368, 1495737523.074377)]]
['getitem-08389ec3b32443412788326f9e10b6ed', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737523.0751011, 1495737523.0751262)]]
['getitem-e9cd7fb5ed774b496446225c0045b927', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737523.0756452, 1495737523.075653)]]
['getitem-1ca7ab9f23cfbf3519268ac129bb50a7', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737523.0761771, 1495737523.076184)]]
['getitem-cfbe36fb836cf32be6536b435b94370f', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495737523.0769472, 1495737523.0769541)]]
['getitem-0171f03c753cf84385c7b46c17edf460', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737523.075157, 1495737523.0751657)]]
['getitem-dce01e7988e51d6be45fd184318cd722', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737523.075832, 1495737523.075842)]]
['getitem-b3cbaf666aa9498b3a784a66785e71be', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737523.076309, 1495737523.0763168)]]
['getitem-af81a7cfd617a81d6e8a38b923c6aa80', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737523.076834, 1495737523.0768409)]]
['getitem-d41bdc566ad4e8e99b20a1c01f1f5cb5', 'processing', 'memory', 'tcp://129.114.90.205:54201', 47267737278208, [('compute', 1495737523.077303, 1495737523.0773199)]]
['getitem-e8de89775e1c440c0fd1987e9d41c21d', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737523.089747, 1495737523.0897548)]]
['getitem-971b080d5b650b3c7c76795210ae6841', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737523.090417, 1495737523.090426)]]
['getitem-d346602a0c102da1a3df1231954e67cb', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737523.090895, 1495737523.090903)]]
['getitem-1346d87d31892f38be5fe78eac27b8d1', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737523.09141, 1495737523.0914168)]]
['getitem-6a97099a3e44c11c920e41e4650faf22', 'processing', 'memory', 'tcp://129.114.90.205:39452', 47267737278208, [('compute', 1495737523.091991, 1495737523.0919979)]]
['block_rmsd-6a0da009f288f3399a6c97322074d33e', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495737513.85794, 1495737523.072026)]]
['block_rmsd-253f12f31439a503a9b795281c08ca45', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495737513.858237, 1495737523.077934)]]
['block_rmsd-b5e42560885ed387ae203d0aadbec34f', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495737513.8619318, 1495737523.078848)]]
['getitem-177e514e93927bac44fac52674285e2b', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737523.07416, 1495737523.0741692)]]
['getitem-609071ea49c4044b123ba54d68fa08f6', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737523.074934, 1495737523.074942)]]
['getitem-db0a18757132baa776e4fcb36196bd7d', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737523.075592, 1495737523.075599)]]
['getitem-f04dee8848b6e06cf69d1c2fbe6974cc', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737523.076334, 1495737523.07634)]]
['getitem-fa0fee366449fb49f99dd3cd2e332e98', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495737523.076991, 1495737523.0770102)]]
['block_rmsd-059f8b0b0f8990e2be68249c6391ef23', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495737513.861073, 1495737523.0821302)]]
['getitem-671b91e7e8ed6d14f9080dd685d25ae6', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737523.0855858, 1495737523.085595)]]
['getitem-5ae3cb214378ece10e63d10e874a24b7', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737523.086501, 1495737523.0865269)]]
['getitem-eb963c3c766b3934fa1d643c0944f369', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737523.087025, 1495737523.0870328)]]
['getitem-54214a458c80afdecf46f5eaf8ea4d0c', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737523.087674, 1495737523.0876808)]]
['getitem-c6606d809b109db683bb223578e3d013', 'processing', 'memory', 'tcp://129.114.90.206:59702', 47053804279552, [('compute', 1495737523.088279, 1495737523.088294)]]
['block_rmsd-6ad664b67173ba0f7134c0c9e65e4451', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495737513.859241, 1495737523.084646)]]
['getitem-71cbbaedc7e620984c57e69dccd3a55b', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737523.0946898, 1495737523.0947168)]]
['getitem-ad18ca79bf426a86fde49a85616b5d52', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737523.095497, 1495737523.095506)]]
['getitem-b4468c773d90a47d9c8437c61391ae93', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737523.0960658, 1495737523.0960739)]]
['getitem-0d2449ea5c2eeaba3f3999c2d58e27dc', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737523.096932, 1495737523.0969388)]]
['getitem-4308de7b4c7979a8c1e5bf63e725b4b7', 'processing', 'memory', 'tcp://129.114.90.205:59432', 47267737278208, [('compute', 1495737523.097487, 1495737523.0975008)]]
['getitem-b7877fa14197453d086bfb0b7c4128ae', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737523.094248, 1495737523.094253)]]
['getitem-286eb942febb04020b06bec072ef91ce', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737523.094846, 1495737523.094852)]]
['getitem-2def50fb98314401cee88eb2fee0d2ec', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737523.095252, 1495737523.095256)]]
['getitem-ec25056bbf9ecf12d859732b96a15ce5', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737523.095684, 1495737523.095688)]]
['getitem-f63d893031863dbcdcebc0c815436c30', 'processing', 'memory', 'tcp://129.114.90.205:43919', 47267737278208, [('compute', 1495737523.096146, 1495737523.0961502)]]
['block_rmsd-92e176989d35657b48aa652875d08ccb', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495737514.249319, 1495737523.09657)]]
['getitem-7c801f08a9d38596df9e2d0d8a02d0cf', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737523.095018, 1495737523.095027)]]
['getitem-af87790e441b4c85151ae4bea4035533', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737523.095747, 1495737523.095756)]]
['getitem-6631c5cfa0ed4b7ac91efa38e0ebbaae', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737523.09626, 1495737523.096267)]]
['getitem-8dd88321f14927ce7c804c5a78b5a702', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737523.097176, 1495737523.097183)]]
['getitem-8e4f1fdd0563437a4ec3429a10968c0a', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495737523.097838, 1495737523.097847)]]
['getitem-4ffadd3ae9508b2096552a576a61403a', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737523.095187, 1495737523.095197)]]
['getitem-c6561ef580e15b0caa148797f2ed97bf', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737523.095767, 1495737523.095773)]]
['getitem-010132dbcb93dc3c6d76b08ba539daca', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737523.096155, 1495737523.09616)]]
['getitem-161082e45e0d131da19a3c8885747c2e', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737523.096566, 1495737523.09657)]]
['getitem-226da5e314fd871b453c465ec18c9dea', 'processing', 'memory', 'tcp://129.114.90.205:41648', 47267737278208, [('compute', 1495737523.097018, 1495737523.097022)]]
['getitem-38e909424d5af7418d924c7b4a7ca0d5', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737523.095517, 1495737523.0955238)]]
['getitem-42e934b8536173d0d9dbf8230699775a', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737523.0961728, 1495737523.0961819)]]
['getitem-d22689a89bef89f54d67164efdb2204f', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737523.096644, 1495737523.0966508)]]
['getitem-8f9a04cba50786b0aa663e0deec875cd', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737523.0971508, 1495737523.097158)]]
['getitem-e2013b24d3a62c1310a07954a6f9ed02', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495737523.0977948, 1495737523.097802)]]
['getitem-a6c1f39391c0808232f62f3a4d4579ad', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737523.094627, 1495737523.094632)]]
['getitem-eacf32978282e8a51f72f786087f22d7', 'processing', 'memory', 'tcp://129.114.90.153:33997', 47879174719232, [('compute', 1495737523.095246, 1495737523.095253)]]
