['getitem-526d86ddc606b98bbd0585b6a604e9fb', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742279.241419, 1495742279.241495)]]
['getitem-ab131ac98fbaea12aa70219dbc5761a6', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742279.244028, 1495742279.244034)]]
['getitem-af5b26b9a41e3eb3a0dcf10c59ddc11d', 'processing', 'memory', 'tcp://129.114.90.154:43040', 47744891332352, [('compute', 1495742279.244448, 1495742279.244453)]]
['block_rmsd-0e05e43f841726e7b88cddeab70d9fe0', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742263.222616, 1495742279.295068)]]
['getitem-25d6f90f8e1ee3818b8f83d728c7f6f6', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742279.298847, 1495742279.298852)]]
['getitem-5384af16c9d96bb66fbc170844044801', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742279.2994459, 1495742279.2994518)]]
['getitem-15109d061ab27a32e919a6f380e685a3', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742279.2998729, 1495742279.29988)]]
['getitem-8efe0099df07c65bfac14747372662f1', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742279.300303, 1495742279.300309)]]
['getitem-ddc87b0b5393233063145f79ea7a10c9', 'processing', 'memory', 'tcp://129.114.90.153:35206', 47879174719232, [('compute', 1495742279.300942, 1495742279.300947)]]
['block_rmsd-7f99fb146c410f019335ea18f92a69b6', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742263.2555902, 1495742279.4698522)]]
['getitem-da69e6134ae430ba8f88e7378d0ffe73', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742279.4739952, 1495742279.4740012)]]
['getitem-1f06c8e363f4979dd552598b72fc2182', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742279.474586, 1495742279.4745932)]]
['getitem-cb7908f68bf9d0aac31946a1f2c6b487', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742279.474998, 1495742279.475003)]]
['getitem-595de428bfc44107cd4cfe24d2f50392', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742279.4754431, 1495742279.4754481)]]
['getitem-801fbe9b15e4495cec0129397035f742', 'processing', 'memory', 'tcp://129.114.90.154:53988', 47744891332352, [('compute', 1495742279.475938, 1495742279.475943)]]
['block_rmsd-274ca720f97f4ef863a5b79e571fd029', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742263.2191799, 1495742279.492817)]]
['getitem-1dc17b0687a46b0e731c99eda04fd31c', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742279.496595, 1495742279.4966)]]
['getitem-00283be3cce8dec4e8e5318d75d39116', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742279.4971838, 1495742279.497191)]]
['getitem-7799a209b6a3ca49ca947eb8b7a1576c', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742279.497592, 1495742279.497596)]]
['getitem-1a8846e02e435e02bfaf26cc8a627da4', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742279.4979908, 1495742279.4979959)]]
['getitem-8531a2b48f10c1d6ed8e9bc27313fa64', 'processing', 'memory', 'tcp://129.114.90.153:48204', 47879174719232, [('compute', 1495742279.498564, 1495742279.4985678)]]
['block_rmsd-4b963b6e42bf16284504b9350a16068a', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742263.2171671, 1495742279.5997581)]]
['getitem-263a0532a1b7019303dd1a837bdc410c', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742279.603619, 1495742279.603624)]]
['getitem-a795ca22e616c4397eaa0e0217bf23e4', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742279.6042101, 1495742279.604216)]]
['getitem-6b2ecf7c295fe2b3294c4cb015b739b9', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742279.604608, 1495742279.604613)]]
['getitem-2701c77e402538ba7e9098536f9a4f74', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742279.605048, 1495742279.605052)]]
['getitem-647ce4239cf0b2e8678e5390d54656b0', 'processing', 'memory', 'tcp://129.114.90.153:55922', 47879174719232, [('compute', 1495742279.605504, 1495742279.605508)]]
['block_rmsd-db7eda7d8af08eb456262b1648ef5adb', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742263.234736, 1495742279.79149)]]
['getitem-c0fca3ba55a956b472d45d2f64f163ac', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742279.795671, 1495742279.795676)]]
['getitem-2ae1ba795a08a2e3b137e4ecc9b33dc4', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742279.796258, 1495742279.7962642)]]
['getitem-1d72317c38dfc6aed7bc96864f80b899', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742279.796663, 1495742279.796668)]]
['getitem-7ea68d377c3e371bf4914c2687865f66', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742279.79706, 1495742279.797064)]]
['getitem-e595448e66412eaf6febb1b71ba1d323', 'processing', 'memory', 'tcp://129.114.90.154:34496', 47744891332352, [('compute', 1495742279.797665, 1495742279.7976692)]]
['block_rmsd-798292aa6cf005f49405f055ed6627e4', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742263.22348, 1495742279.8081992)]]
['getitem-21e205608312d1a8068748ed85744629', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742279.811898, 1495742279.811903)]]
['getitem-181cdf16b03743d20a90e88d6c8b0073', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742279.812494, 1495742279.8125)]]
['getitem-1c4628c692927d14cf4ebdbba7a0ac87', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742279.8129041, 1495742279.8129091)]]
['getitem-aac80c4e9626a6663c08a8a0568044b9', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742279.813323, 1495742279.813327)]]
['getitem-f67406a753513adecfc1f0e7e941b955', 'processing', 'memory', 'tcp://129.114.90.153:46170', 47879174719232, [('compute', 1495742279.81375, 1495742279.813754)]]
['block_rmsd-0a0bb7c665537cdd1ae4c4d83f572ebe', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742263.236133, 1495742279.829055)]]
['getitem-142c43b52bfe903ad7e291f275226bde', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742279.83301, 1495742279.833015)]]
['getitem-9cc759407eb870073a3fe4745c146410', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742279.8336, 1495742279.833606)]]
['getitem-484ee7112974c5456c4853929b45b096', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742279.834007, 1495742279.834012)]]
['getitem-4972ae7cc0eb6d497dad1e9c4a7bbdd9', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742279.8345811, 1495742279.8345861)]]
['getitem-bcddebc23ab36ff715ff34043ce2ed81', 'processing', 'memory', 'tcp://129.114.90.154:53824', 47744891332352, [('compute', 1495742279.835107, 1495742279.835112)]]
['block_rmsd-540bb3b44eb6176e2b093e8c3f8efd82', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742263.204093, 1495742279.86658)]]
['getitem-a46a676a16707ac4ad85f7e17b08eda1', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742279.870392, 1495742279.870398)]]
['getitem-9b204c94b9492b1ecbcffafd36863efa', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742279.870996, 1495742279.871003)]]
['getitem-3704705e7b5f7aa21a0b419feca45ee2', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742279.871403, 1495742279.871408)]]
['getitem-6101c52f940dd62773fe0c0b7720dd68', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742279.871823, 1495742279.871828)]]
['getitem-926652467702e7feb4794d460a674c7a', 'processing', 'memory', 'tcp://129.114.90.153:52481', 47879174719232, [('compute', 1495742279.87229, 1495742279.872294)]]
['block_rmsd-d958c3d40c5fa5375c97fb88a1634124', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742263.2334151, 1495742279.899748)]]
['getitem-16c879456ee61e6702f8b05bbe73c07f', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742279.9035962, 1495742279.9036012)]]
['getitem-a34603182bdc70d334f08250c6f25f63', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742279.9041772, 1495742279.9041831)]]
['getitem-caf556e66fc273b30283a095758625ac', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742279.904587, 1495742279.904591)]]
['getitem-8e332d4982e5dcac9be0101f9ffa8357', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742279.905097, 1495742279.905101)]]
['getitem-97135f66d46cd67c2eb3c92368b5da9e', 'processing', 'memory', 'tcp://129.114.90.154:45682', 47744891332352, [('compute', 1495742279.9056182, 1495742279.905622)]]
['block_rmsd-a35d7d179fdc25155996645eb490a104', 'processing', 'memory', 'tcp://129.114.90.154:37880', 47744891332352, [('compute', 1495742263.2339947, 1495742280.0396898)]]
