['getitem-5da79f5af8ca64358edc2007df37243a', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741450.096298, 1495741450.096305)]]
['getitem-97c71ae269695ce4fe1e2f16d9962b4c', 'processing', 'memory', 'tcp://129.114.90.153:51470', 47879174719232, [('compute', 1495741450.096905, 1495741450.096928)]]
['block_rmsd-8d21732b012cac6c6b167b86ecacfb1f', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741424.365912, 1495741450.099328)]]
['getitem-fb6f53a4725be74194e526c95fe884dd', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741450.113147, 1495741450.113219)]]
['getitem-ba12c4df370afafb3464c2f482b06a7e', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741450.113864, 1495741450.113973)]]
['getitem-e3023ca3aa3f846e051ef5517e282c04', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741450.1143699, 1495741450.11441)]]
['getitem-9664953c1335018c21c22e3e64332d0a', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741450.114858, 1495741450.114862)]]
['getitem-f6434bccb7d7f989cf3d8680b888f559', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741450.1152298, 1495741450.115234)]]
['block_rmsd-d477aacf088e507e86382dc33fd72020', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741424.374899, 1495741450.1383538)]]
['getitem-7478b2a7e91c4663a7d122bf3ade3583', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741450.1420739, 1495741450.1420798)]]
['getitem-4c7eb780a8f1e4131249fc363f0539cb', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741450.142669, 1495741450.142675)]]
['getitem-5cff8af929dcd612a704afbc51d1d5a4', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741450.1430779, 1495741450.1430829)]]
['getitem-126f2ac44375ddd50d9dbe6b300bc62a', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741450.143503, 1495741450.143507)]]
['getitem-aa6260c2fcd84611ed3b92066ba06ab8', 'processing', 'memory', 'tcp://129.114.90.206:54883', 47053804279552, [('compute', 1495741450.1439378, 1495741450.1439419)]]
['block_rmsd-c1c68f8b4c79aaeb28f97e6442490acc', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741424.3571248, 1495741450.1377919)]]
['getitem-4829c33715710804291c629d209bb400', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741450.141588, 1495741450.141594)]]
['getitem-ee8d889aa2e5a536d79c330ebb584a6c', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741450.142191, 1495741450.1421978)]]
['getitem-544c690165a8f07f479143abe609b4b8', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741450.142598, 1495741450.142603)]]
['getitem-77ef33bfb2c81bc6cf60aafbae020fe0', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741450.14301, 1495741450.143015)]]
['getitem-b28a5ce10a9e384adf3af834a9926e31', 'processing', 'memory', 'tcp://129.114.90.153:38221', 47879174719232, [('compute', 1495741450.143481, 1495741450.1434848)]]
['block_rmsd-3440ecbddef514c82ba87bc1e3af9295', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741424.3690302, 1495741450.1518602)]]
['getitem-37757e3b05ac2a98decc4536c6ff3db1', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741450.156001, 1495741450.156007)]]
['getitem-a146295e98d19990853eedcd939167d3', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741450.1567502, 1495741450.1567562)]]
['getitem-7a5f86f91aaff9f3a1faca00456e6dba', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741450.157149, 1495741450.157154)]]
['getitem-20fe853a5d4578a46f3898c8a053ee8f', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741450.157587, 1495741450.157591)]]
['getitem-fee86078c4c4d65622303f4a6a3bd5b0', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495741450.1580472, 1495741450.1580522)]]
['block_rmsd-9cbd4bac8f6d3c2fc4c71f2b7b81241f', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741424.368966, 1495741450.1867452)]]
['getitem-b6e907805c48fca3ec1ae94976d0f532', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741450.191441, 1495741450.19145)]]
['getitem-9649c895607648efcb1df91a1455da0f', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741450.1921132, 1495741450.1921222)]]
['getitem-626bbd5e869d813c141857bb68d14e75', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741450.192574, 1495741450.192583)]]
['getitem-47dca35894525aa469f1fb2c5ed37701', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741450.1930282, 1495741450.1930351)]]
['getitem-d9ad13d8bbe49eb943b41cc64d8aa078', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741450.1936772, 1495741450.193684)]]
['block_rmsd-c66404489c2e7cba7bbfc8d00add17f2', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741424.366476, 1495741450.202895)]]
['getitem-1097279fc4053d3b4941a9b12f7cc992', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741450.216111, 1495741450.216198)]]
['getitem-f8c2b91d218b72f2f41faa76789aa4ab', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741450.217951, 1495741450.218111)]]
['block_rmsd-314bdb3853d03280bab37977c941e813', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741424.367812, 1495741450.220676)]]
['getitem-58c3355fe18072795fcbe878c7da6a9c', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741450.218729, 1495741450.218776)]]
['getitem-eb34d3c8801693461fd2ac359cd57f1d', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741450.219324, 1495741450.219329)]]
['getitem-ef5c2770e1beb8462bfe796022bbdbb9', 'processing', 'memory', 'tcp://129.114.90.154:33946', 47744891332352, [('compute', 1495741450.219845, 1495741450.219849)]]
['block_rmsd-844624980b178f5f908b9153e5d20097', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741424.36608, 1495741450.220891)]]
['getitem-e219c664ba5113419fa70f796a3fa55f', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741450.226285, 1495741450.22629)]]
['getitem-d2279579c9ff512adedccd269e57e45b', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741450.226868, 1495741450.226873)]]
['getitem-56d6c0938c724d134edc5bb97dcd83e6', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741450.227263, 1495741450.227267)]]
['getitem-15851e5882158311cca5f5d411159757', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741450.227712, 1495741450.227716)]]
['getitem-259967759f9e82515694fca43d45fa2d', 'processing', 'memory', 'tcp://129.114.90.154:49816', 47744891332352, [('compute', 1495741450.228244, 1495741450.228247)]]
['getitem-45852f6c8754e7e925ce9a4a9284a16d', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741450.2308838, 1495741450.230891)]]
['getitem-37ac5cd5cbca43022b0d19c7577d902c', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741450.2315218, 1495741450.231531)]]
['getitem-9cc5ea927d5a10333fbb39b124f75c4d', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741450.231978, 1495741450.2319849)]]
['getitem-039f24778a237f0d0496a7cdd0ee4315', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741450.232396, 1495741450.232403)]]
['getitem-a149aa0482620a9ad57de59108cd2f61', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741450.2333739, 1495741450.233381)]]
