['block_rmsd-df57b808b574833b77d6ad5e36cd45d6', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741710.331369, 1495741730.744961)]]
['getitem-aac6467638e9be86fef72735dcd737b1', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741730.749202, 1495741730.749211)]]
['getitem-4050f6239eee9762ca5b9e043dab3429', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741730.749899, 1495741730.749907)]]
['getitem-3c337f3990615cdd2f0476500abc7058', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741730.750429, 1495741730.750436)]]
['getitem-3a892489d6c6022303d698035ae16f89', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741730.750915, 1495741730.750923)]]
['getitem-459415ab9429d104c8fe9240858307fe', 'processing', 'memory', 'tcp://129.114.90.205:35149', 47267737278208, [('compute', 1495741730.751423, 1495741730.75143)]]
['block_rmsd-a8573de7ab1ce36f35f0eeae8eeb886c', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741710.3381321, 1495741730.7602751)]]
['getitem-4e90382ed4bd9ec7e989f832c588bb01', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741730.764084, 1495741730.764094)]]
['getitem-fd1740ed49bf0795460a9cb4f8638d98', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741730.7647161, 1495741730.764725)]]
['getitem-6746a1b211ccf1d9a451760c6b67e194', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741730.765177, 1495741730.7651842)]]
['getitem-4d22196b2b10b7e7fe6a8e39dedea90f', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741730.765727, 1495741730.765734)]]
['getitem-9afea48b75c55499d0ca8758c8f13711', 'processing', 'memory', 'tcp://129.114.90.206:54162', 47053804279552, [('compute', 1495741730.766205, 1495741730.766212)]]
['block_rmsd-8dc90c7b3239329c91d7e30b0c1a0d1e', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741710.3300369, 1495741731.0291169)]]
['getitem-f9a00ef914d577eeb571d689b552345d', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741731.033937, 1495741731.033947)]]
['getitem-82af6c19c47d18d7875f0fe1f40b746c', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741731.034575, 1495741731.034583)]]
['getitem-83203b64fb6d57632a5915613179065e', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741731.035025, 1495741731.035033)]]
['getitem-d1a5a50bc9e164140680fdd3e703f393', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741731.035508, 1495741731.035515)]]
['getitem-edb9838fc0df8ef304d1c6c179fa3193', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495741731.036155, 1495741731.036162)]]
['block_rmsd-3051ed9eadb232df76031d0f569706b5', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741710.3368871, 1495741731.367028)]]
['getitem-365033855a1af6e8563f58bd46e04b4f', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741731.371134, 1495741731.371142)]]
['getitem-30fbc6152dc3ebc9abb8d5fe65a234a7', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741731.3717551, 1495741731.371759)]]
['getitem-78df290441b155bdc644258b2f47466c', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741731.3721461, 1495741731.3721511)]]
['getitem-81f9bde1341a3d1911704206266d8e82', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741731.372648, 1495741731.372652)]]
['getitem-97ef5d21e3959752566211ba462fbcec', 'processing', 'memory', 'tcp://129.114.90.205:34986', 47267737278208, [('compute', 1495741731.3730931, 1495741731.373097)]]
['block_rmsd-7a6296a9f6ada50a9b30e80cf91ac40c', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741710.3320282, 1495741731.3995042)]]
['getitem-0129db154ff660034702bf1e0ef27095', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741731.4036403, 1495741731.4036472)]]
['getitem-23efa3bfa94314d4a4479776e3b603bc', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741731.4042912, 1495741731.4042962)]]
['getitem-806478e3fdd49fd024aa799c4f79558c', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741731.4046562, 1495741731.4046612)]]
['getitem-55ac3a9808f8741c4d62778999d6481d', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741731.4051812, 1495741731.4051862)]]
['getitem-9c5e3c2304dca197f28c24bba676162c', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495741731.4058232, 1495741731.4058282)]]
['block_rmsd-ce7727960e6f5df2a29965e96bf71bf1', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741710.331225, 1495741731.403014)]]
['getitem-53c4aa3771f22c3e2dbaa4c70528318a', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741731.412776, 1495741731.412783)]]
['getitem-64633ba1987807650bd94687e9e69c18', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495741731.413523, 1495741731.413527)]]
