['getitem-4d16fdd63dadb7b0b3dbbb6e146dabd7', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740426.384801, 1495740426.3848078)]]
['getitem-957a5e7567339be06ab56ef5b184d997', 'processing', 'memory', 'tcp://129.114.90.206:33560', 47053804279552, [('compute', 1495740426.3853028, 1495740426.38531)]]
['block_rmsd-2f560bd1037743301c461a2150332257', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740381.488224, 1495740426.401614)]]
['getitem-06104ae2f19cc9ece2fd31ddb8ad4839', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740426.405462, 1495740426.4054708)]]
['getitem-7bae4c7495bdaf300412a940939d63f3', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740426.406157, 1495740426.406168)]]
['getitem-6476c6de6cc19d14e90f54ce5f53c1ee', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740426.4066398, 1495740426.4066489)]]
['getitem-84c45c70a62e463f9fb8fcfb4d6b5b14', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740426.4071028, 1495740426.407109)]]
['getitem-9b3807f4207e553db750197774c4ac88', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495740426.407665, 1495740426.407672)]]
['block_rmsd-2fe9bd15baa508873685992eca267971', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740381.4915361, 1495740426.5473092)]]
['getitem-270bb4b75f84d71a754ee26e1ee7be25', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740426.558557, 1495740426.558639)]]
['getitem-d0a35e3200c2f671360e76ad586f3413', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740426.5604181, 1495740426.560529)]]
['getitem-03d8989e1ad925e4e6559d9a8eb03b69', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740426.5611272, 1495740426.5611691)]]
['getitem-6a3e6e3e4c6d065f236dc16467a287fb', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740426.561664, 1495740426.561669)]]
['getitem-bfdb87e4064bca014917a5dffd93a7f5', 'processing', 'memory', 'tcp://129.114.90.205:37510', 47267737278208, [('compute', 1495740426.5620542, 1495740426.5620592)]]
['block_rmsd-9d65285a9f3a4402b1340ba57e8502f6', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740381.486737, 1495740426.576238)]]
['getitem-6d268bce9389b0847b02e36fd3c67ac0', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740426.580157, 1495740426.580167)]]
['getitem-ec9c70d8d16a05591d54e5f1d667ce00', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740426.580931, 1495740426.580942)]]
['getitem-97d53bc34f9474b3385a170a45e515de', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740426.58149, 1495740426.581499)]]
['getitem-278eb1bd54f392ef6a4c6683e67b927f', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740426.582097, 1495740426.582109)]]
['getitem-9ab063ec73a70e660df1e03a9a450e43', 'processing', 'memory', 'tcp://129.114.90.206:47759', 47053804279552, [('compute', 1495740426.582827, 1495740426.582835)]]
['block_rmsd-c952bd94213f4db0080c5b608ac775f2', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740381.4808578, 1495740426.828316)]]
['getitem-9e1c59f6534bdc02af04af60432b76b7', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740426.832594, 1495740426.8325999)]]
['getitem-e09dae3db3fd0fcb51c238b28a2371f8', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740426.833338, 1495740426.833344)]]
['getitem-266570268aaaadf1cecc4a81ab33f7dd', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740426.833736, 1495740426.833741)]]
['getitem-7f6f87621122c5a90ba5b3054bb91e59', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740426.8341649, 1495740426.834169)]]
['getitem-94ab628b61a5b4ac0c8f29c746fd90f5', 'processing', 'memory', 'tcp://129.114.90.205:51903', 47267737278208, [('compute', 1495740426.834607, 1495740426.834611)]]
['block_rmsd-a82a49bb2df1ecc1da8dc59702868b38', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740381.481989, 1495740427.425435)]]
['getitem-180276c4f2350306a41a6f511e26c291', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740427.428858, 1495740427.428866)]]
['getitem-d80b2e6ad8c667187e38db5d17920d03', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740427.429503, 1495740427.429513)]]
['getitem-eca23247064896507cd3273033fddb55', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740427.429937, 1495740427.429945)]]
['getitem-1e4ef1a626e9325fa9504de43905d451', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740427.430521, 1495740427.4305289)]]
['getitem-59dafd757806dfc3b9b8fc4e5bd6643e', 'processing', 'memory', 'tcp://129.114.90.205:42362', 47267737278208, [('compute', 1495740427.430996, 1495740427.4310029)]]
['block_rmsd-c8797fe9e00aa3556b9164d1570ac105', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740381.4806612, 1495740427.5059593)]]
['getitem-32b9aa57befd55c34eaffa2fe59673eb', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740427.5092132, 1495740427.5092192)]]
['getitem-60addc956c478ebef25c48be8192d2bd', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740427.509777, 1495740427.5097833)]]
['getitem-ecbf620a1b33d6ef275d6ee455c81370', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740427.5101712, 1495740427.5101762)]]
['getitem-8269545e4f054b78caf08ac33176b67e', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740427.510775, 1495740427.5107791)]]
['getitem-e35f6d6167e6e485f6247ea893590f33', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495740427.5112371, 1495740427.5112412)]]
