['getitem-6eb1fbf2b9e035524c2854e642d8d228', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741312.041192, 1495741312.041201)]]
['getitem-c6a88b520da78e3361acd1148ed52c2d', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741312.04165, 1495741312.041657)]]
['getitem-2943e48c64341315bb90cd5478b3c041', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741312.042131, 1495741312.042138)]]
['getitem-b9d13ffc3a586eb06b7fb24646c6312b', 'processing', 'memory', 'tcp://129.114.90.206:49117', 47053804279552, [('compute', 1495741312.04285, 1495741312.042857)]]
['block_rmsd-bfae90426c5c8bee88154430497eba27', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741286.9649, 1495741312.057887)]]
['getitem-8b7a8fb574e69ae35aad441c63d6ac8c', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741312.06987, 1495741312.06995)]]
['getitem-1813f451aed8ddef8d18abee04eb9173', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741312.071646, 1495741312.071792)]]
['getitem-13c36e08da94c742da59c74bc009113a', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741312.072453, 1495741312.072505)]]
['getitem-19c40597cedd1e69645850e70c2aab30', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741312.073188, 1495741312.073196)]]
['getitem-ad7542e9441ec54f0fdf4516fbb25318', 'processing', 'memory', 'tcp://129.114.90.154:56589', 47744891332352, [('compute', 1495741312.0736861, 1495741312.073693)]]
['block_rmsd-de049785717d5336a398e351fd41a526', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741286.955122, 1495741312.06788)]]
['getitem-b4f160f3a5066b114dec6352e68da573', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741312.0718238, 1495741312.071832)]]
['getitem-28e87bdc9e262cf9e1ae01511f2e7035', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741312.072456, 1495741312.072465)]]
['getitem-32b0b8915e0ec4ccb9dbcd601735beb5', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741312.07298, 1495741312.0729868)]]
['getitem-bafe177c9d7f009a0f5f2d67e08a58b6', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741312.073402, 1495741312.0734088)]]
['getitem-fa2d3491525f21f068a620d2055d37aa', 'processing', 'memory', 'tcp://129.114.90.206:43226', 47053804279552, [('compute', 1495741312.0740259, 1495741312.0740318)]]
['block_rmsd-f6d95da938ce92d1e5bd1256a88d56c9', 'processing', 'memory', 'tcp://129.114.90.205:55760', 47267737278208, [('compute', 1495741286.958612, 1495741312.075938)]]
