['getitem-aab72f04fd98deaae4b016f26fbee6b5', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742647.133898, 1495742647.133903)]]
['getitem-d5a84d7e985269a4ed9e18987447e896', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742647.134294, 1495742647.134299)]]
['getitem-ab779557307a55ede35e48f88cfa4175', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742647.1345801, 1495742647.1345842)]]
['getitem-eea72d9e422b1f9b79a51e9c8f6cdc0a', 'processing', 'memory', 'tcp://129.114.90.153:57404', 47879174719232, [('compute', 1495742647.1350062, 1495742647.13501)]]
['block_rmsd-0e508bc391467825c2b160d44ae8dc8a', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742631.927253, 1495742647.160216)]]
['getitem-c9b67905b0d70b1cd5a76e783e2432c9', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742647.1642501, 1495742647.164256)]]
['getitem-0b6c8befbddd82d9d22fd4dd42ab2fa8', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742647.164851, 1495742647.164855)]]
['getitem-51c9332e34f5cf694c8e813b022b3114', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742647.165244, 1495742647.165248)]]
['getitem-8f2c13fb8dcbdc2dd170e892f8143e8e', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742647.165644, 1495742647.165648)]]
['getitem-faca1a18e50b258d23ac21dbff64aebb', 'processing', 'memory', 'tcp://129.114.90.206:40227', 47053804279552, [('compute', 1495742647.1662061, 1495742647.166209)]]
['block_rmsd-52561239228d6dcf49050128b22d5456', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495742631.933392, 1495742647.194478)]]
['getitem-f548c7c6b4ce88bdc3c43b730759eeba', 'processing', 'memory', 'tcp://129.114.90.154:34926', 47744891332352, [('compute', 1495742647.198334, 1495742647.1983411)]]
