t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508428844,4282,13.498470,0.174369,0.000468,0.486384,0.101495,0.250548,0.307956,0.427486,3.379940,4.934305,7.780643,7.753407,7.118914,5.309083,calls/second,milliseconds
1508428854,4370,4.934305,0.168663,0.000468,0.456490,0.009368,0.247593,0.310561,0.421156,3.379940,4.915204,7.798774,7.947970,7.178097,5.348850,calls/second,milliseconds
1508428864,4419,4.934305,0.159160,0.000468,0.465194,0.003144,0.240168,0.307770,0.421156,3.439221,4.915204,7.747952,7.511376,7.104751,5.344041,calls/second,milliseconds
1508428874,4443,4.934305,0.163742,0.000468,0.452726,0.005657,0.238462,0.311755,0.427486,3.379940,4.915204,7.655835,6.710047,6.944555,5.309368,calls/second,milliseconds
1508428884,4610,8.126514,0.169213,0.000770,0.528702,0.101495,0.211041,0.288918,0.409667,3.223727,8.126514,7.809003,8.318502,7.272819,5.437652,calls/second,milliseconds
1508428894,4762,8.126514,0.170546,0.000858,0.547508,0.075279,0.214287,0.296465,0.427486,3.439221,8.126514,7.932124,9.277766,7.528550,5.545055,calls/second,milliseconds
1508428904,4764,8.126514,0.170975,0.000858,0.546300,0.076223,0.215199,0.296465,0.427486,3.439221,8.126514,7.805435,7.885441,7.288346,5.486001,calls/second,milliseconds
1508428914,4809,8.126514,0.176659,0.000990,0.521765,0.130437,0.218200,0.294917,0.409667,3.439221,8.126514,7.752166,7.357403,7.196578,5.475066,calls/second,milliseconds
1508428924,4908,8.126514,0.157901,0.000912,0.543962,0.003691,0.211802,0.287606,0.409667,3.601917,8.126514,7.786233,7.747099,7.285179,5.523957,calls/second,milliseconds
1508428934,4914,8.126514,0.160124,0.000912,0.540499,0.003780,0.213060,0.296806,0.409667,3.601917,8.126514,7.674002,6.637733,7.062871,5.468459,calls/second,milliseconds
1508428944,5003,8.126514,0.185453,0.000912,0.487121,0.184206,0.257942,0.313630,0.396659,3.379940,8.126514,7.692845,6.987599,7.125832,5.507420,calls/second,milliseconds
1508428954,5251,4.992362,0.166537,0.000912,0.454184,0.081310,0.224293,0.304302,0.396659,3.210707,4.992362,7.951911,9.563584,7.698485,5.719834,calls/second,milliseconds
1508428964,5252,4.992362,0.167073,0.000912,0.453882,0.081893,0.225326,0.306243,0.396659,3.210707,4.992362,7.834695,8.095399,7.446098,5.656632,calls/second,milliseconds
1508428974,5296,4.992362,0.179005,0.000912,0.435909,0.121903,0.253446,0.311500,0.394843,3.210707,4.992362,7.784308,7.550472,7.349814,5.643886,calls/second,milliseconds
