BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1529215800000 ms, 2018-06-17T01:10:00, 65752, 119313, 185065, 48,light-sirt-1-4-2-100
1529216100000 ms, 2018-06-17T01:15:00, 4, 120761, 120765, 48,light-sirt-1-4-4-100
1529216160000 ms, 2018-06-17T01:16:00, 60818, 60944, 121762, 24,light-sirt-1-4-4-100
1529216220000 ms, 2018-06-17T01:17:00, 61763, 60994, 122757, 24,light-sirt-1-4-4-100
1529216280000 ms, 2018-06-17T01:18:00, 62757, 60183, 122940, 24,light-sirt-1-4-4-100
1529216580000 ms, 2018-06-17T01:23:00, 4, 62652, 62656, 24,light-sirt-1-4-8-100
1529216640000 ms, 2018-06-17T01:24:00, 2710, 62273, 64983, 24,light-sirt-1-4-8-100
1529216700000 ms, 2018-06-17T01:25:00, 4981, 121653, 126634, 48,light-sirt-1-4-8-100
1529216760000 ms, 2018-06-17T01:26:00, 66637, 60776, 127413, 24,light-sirt-1-4-8-100
1529216820000 ms, 2018-06-17T01:27:00, 67415, 61763, 129178, 24,light-sirt-1-4-8-100
1529216880000 ms, 2018-06-17T01:28:00, 69177, 62253, 131430, 24,light-sirt-1-4-8-100
1529217120000 ms, 2018-06-17T01:32:00, 4, 62892, 62896, 24,light-sirt-1-4-16-100
1529217180000 ms, 2018-06-17T01:33:00, 2951, 61852, 64803, 24,light-sirt-1-4-16-100
1529217240000 ms, 2018-06-17T01:34:00, 4802, 119724, 124526, 48,light-sirt-1-4-16-100
1529217300000 ms, 2018-06-17T01:35:00, 64531, 62598, 127129, 24,light-sirt-1-4-16-100
1529217360000 ms, 2018-06-17T01:36:00, 67125, 62817, 129942, 24,light-sirt-1-4-16-100
1529217420000 ms, 2018-06-17T01:37:00, 69939, 62057, 131996, 24,light-sirt-1-4-16-100
1529217720000 ms, 2018-06-17T01:42:00, 5, 64055, 64060, 24,light-sirt-2-1-1-100
1529217780000 ms, 2018-06-17T01:43:00, 4115, 119536, 123651, 48,light-sirt-2-1-1-100
1529217840000 ms, 2018-06-17T01:44:00, 63651, 60909, 124560, 24,light-sirt-2-1-1-100
1529217900000 ms, 2018-06-17T01:45:00, 64563, 60795, 125358, 24,light-sirt-2-1-1-100
1529218200000 ms, 2018-06-17T01:50:00, 5, 64119, 64124, 24,light-sirt-2-1-2-100
1529218260000 ms, 2018-06-17T01:51:00, 4178, 62729, 66907, 24,light-sirt-2-1-2-100
1529218320000 ms, 2018-06-17T01:52:00, 6909, 121219, 128128, 48,light-sirt-2-1-2-100
1529218380000 ms, 2018-06-17T01:53:00, 68127, 61459, 129586, 24,light-sirt-2-1-2-100
1529218440000 ms, 2018-06-17T01:54:00, 69587, 61027, 130614, 24,light-sirt-2-1-2-100
1529218500000 ms, 2018-06-17T01:55:00, 70614, 61750, 132364, 24,light-sirt-2-1-2-100
1529218680000 ms, 2018-06-17T01:58:00, 4, 62406, 62410, 24,light-sirt-2-1-4-100
1529218740000 ms, 2018-06-17T01:59:00, 2466, 60292, 62758, 24,light-sirt-2-1-4-100
1529218800000 ms, 2018-06-17T02:00:00, 2760, 64946, 67706, 24,light-sirt-2-1-4-100
1529218860000 ms, 2018-06-17T02:01:00, 7707, 122594, 130301, 48,light-sirt-2-1-4-100
1529218920000 ms, 2018-06-17T02:02:00, 70306, 62470, 132776, 24,light-sirt-2-1-4-100
1529218980000 ms, 2018-06-17T02:03:00, 72775, 60660, 133435, 24,light-sirt-2-1-4-100
1529219220000 ms, 2018-06-17T02:07:00, 5, 121286, 121291, 48,light-sirt-2-1-8-100
1529219280000 ms, 2018-06-17T02:08:00, 61348, 61014, 122362, 24,light-sirt-2-1-8-100
1529219340000 ms, 2018-06-17T02:09:00, 62364, 120105, 182469, 48,light-sirt-2-1-8-100
1529219400000 ms, 2018-06-17T02:10:00, 122473, 60746, 183219, 24,light-sirt-2-1-8-100
1529219700000 ms, 2018-06-17T02:15:00, 4, 62901, 62905, 24,light-sirt-2-1-16-100
1529219760000 ms, 2018-06-17T02:16:00, 2954, 121810, 124764, 48,light-sirt-2-1-16-100
1529219820000 ms, 2018-06-17T02:17:00, 64769, 62550, 127319, 24,light-sirt-2-1-16-100
1529219880000 ms, 2018-06-17T02:18:00, 67322, 62562, 129884, 24,light-sirt-2-1-16-100
1529220240000 ms, 2018-06-17T02:24:00, 4, 65542, 65546, 24,light-sirt-2-2-1-100
1529220300000 ms, 2018-06-17T02:25:00, 5604, 122402, 128006, 48,light-sirt-2-2-1-100
1529220360000 ms, 2018-06-17T02:26:00, 68005, 62676, 130681, 24,light-sirt-2-2-1-100
1529220420000 ms, 2018-06-17T02:27:00, 70684, 62246, 132930, 24,light-sirt-2-2-1-100
1529220720000 ms, 2018-06-17T02:32:00, 4, 62597, 62601, 24,light-sirt-2-2-2-100
1529220780000 ms, 2018-06-17T02:33:00, 2657, 60609, 63266, 24,light-sirt-2-2-2-100
1529220840000 ms, 2018-06-17T02:34:00, 3269, 119427, 122696, 48,light-sirt-2-2-2-100
1529220900000 ms, 2018-06-17T02:35:00, 62695, 62205, 124900, 24,light-sirt-2-2-2-100
1529220960000 ms, 2018-06-17T02:36:00, 64905, 60762, 125667, 24,light-sirt-2-2-2-100
1529221200000 ms, 2018-06-17T02:40:00, 4, 62697, 62701, 24,light-sirt-2-2-4-100
1529221260000 ms, 2018-06-17T02:41:00, 2753, 62570, 65323, 24,light-sirt-2-2-4-100
1529221320000 ms, 2018-06-17T02:42:00, 5324, 60134, 65458, 24,light-sirt-2-2-4-100
1529221380000 ms, 2018-06-17T02:43:00, 5458, 117660, 123118, 48,light-sirt-2-2-4-100
1529221440000 ms, 2018-06-17T02:44:00, 63120, 62315, 125435, 24,light-sirt-2-2-4-100
1529221500000 ms, 2018-06-17T02:45:00, 65434, 60537, 125971, 24,light-sirt-2-2-4-100
1529221740000 ms, 2018-06-17T02:49:00, 4, 119041, 119045, 48,light-sirt-2-2-8-100
1529221800000 ms, 2018-06-17T02:50:00, 59102, 62001, 121103, 24,light-sirt-2-2-8-100
1529221860000 ms, 2018-06-17T02:51:00, 61105, 59167, 120272, 24,light-sirt-2-2-8-100
1529222220000 ms, 2018-06-17T02:57:00, 4, 62448, 62452, 24,light-sirt-2-2-16-100
1529222280000 ms, 2018-06-17T02:58:00, 2511, 120994, 123505, 48,light-sirt-2-2-16-100
1529222340000 ms, 2018-06-17T02:59:00, 63507, 62472, 125979, 24,light-sirt-2-2-16-100
1529222400000 ms, 2018-06-17T03:00:00, 65978, 62701, 128679, 24,light-sirt-2-2-16-100
1529222760000 ms, 2018-06-17T03:06:00, 4, 63562, 63566, 24,light-sirt-2-4-1-100
1529222820000 ms, 2018-06-17T03:07:00, 3634, 120802, 124436, 48,light-sirt-2-4-1-100
1529222880000 ms, 2018-06-17T03:08:00, 64437, 60667, 125104, 24,light-sirt-2-4-1-100
1529222940000 ms, 2018-06-17T03:09:00, 65091, 60741, 125832, 24,light-sirt-2-4-1-100
1529223000000 ms, 2018-06-17T03:10:00, 65847, 60663, 126510, 24,light-sirt-2-4-1-100
1529223240000 ms, 2018-06-17T03:14:00, 5, 62996, 63001, 24,light-sirt-2-4-2-100
1529223300000 ms, 2018-06-17T03:15:00, 3060, 60365, 63425, 24,light-sirt-2-4-2-100
1529223360000 ms, 2018-06-17T03:16:00, 3426, 119764, 123190, 48,light-sirt-2-4-2-100
1529223420000 ms, 2018-06-17T03:17:00, 63193, 62447, 125640, 24,light-sirt-2-4-2-100
1529223480000 ms, 2018-06-17T03:18:00, 65641, 60187, 125828, 24,light-sirt-2-4-2-100
1529223720000 ms, 2018-06-17T03:22:00, 4, 62842, 62846, 24,light-sirt-2-4-4-100
1529223780000 ms, 2018-06-17T03:23:00, 2901, 63350, 66251, 24,light-sirt-2-4-4-100
1529223840000 ms, 2018-06-17T03:24:00, 6252, 120432, 126684, 48,light-sirt-2-4-4-100
1529223900000 ms, 2018-06-17T03:25:00, 66686, 60409, 127095, 24,light-sirt-2-4-4-100
1529223960000 ms, 2018-06-17T03:26:00, 67095, 60720, 127815, 24,light-sirt-2-4-4-100
1529224020000 ms, 2018-06-17T03:27:00, 67812, 60496, 128308, 24,light-sirt-2-4-4-100
1529224260000 ms, 2018-06-17T03:31:00, 4, 120746, 120750, 48,light-sirt-2-4-8-100
1529224320000 ms, 2018-06-17T03:32:00, 60804, 64484, 125288, 24,light-sirt-2-4-8-100
1529224380000 ms, 2018-06-17T03:33:00, 65293, 121489, 186782, 48,light-sirt-2-4-8-100
1529224440000 ms, 2018-06-17T03:34:00, 126781, 62949, 189730, 24,light-sirt-2-4-8-100
1529224740000 ms, 2018-06-17T03:39:00, 4, 62726, 62730, 24,light-sirt-2-4-16-100
1529224800000 ms, 2018-06-17T03:40:00, 2786, 121640, 124426, 48,light-sirt-2-4-16-100
1529224860000 ms, 2018-06-17T03:41:00, 64424, 62345, 126769, 24,light-sirt-2-4-16-100
1529224920000 ms, 2018-06-17T03:42:00, 66769, 62981, 129750, 24,light-sirt-2-4-16-100
1529225280000 ms, 2018-06-17T03:48:00, 5, 63011, 63016, 24,light-sirt-4-1-1-100
1529225340000 ms, 2018-06-17T03:49:00, 3074, 60680, 63754, 24,light-sirt-4-1-1-100
1529225400000 ms, 2018-06-17T03:50:00, 3758, 60516, 64274, 24,light-sirt-4-1-1-100
1529225460000 ms, 2018-06-17T03:51:00, 4271, 121371, 125642, 48,light-sirt-4-1-1-100
1529225520000 ms, 2018-06-17T03:52:00, 65646, 60155, 125801, 24,light-sirt-4-1-1-100
1529225580000 ms, 2018-06-17T03:53:00, 65800, 60778, 126578, 24,light-sirt-4-1-1-100
1529225820000 ms, 2018-06-17T03:57:00, 4, 126657, 126661, 48,light-sirt-4-1-2-100
1529225880000 ms, 2018-06-17T03:58:00, 66719, 62944, 129663, 24,light-sirt-4-1-2-100
1529225940000 ms, 2018-06-17T03:59:00, 69664, 122063, 191727, 48,light-sirt-4-1-2-100
1529226000000 ms, 2018-06-17T04:00:00, 131730, 62837, 194567, 24,light-sirt-4-1-2-100
1529226300000 ms, 2018-06-17T04:05:00, 4, 123665, 123669, 48,light-sirt-4-1-4-100
1529226360000 ms, 2018-06-17T04:06:00, 63726, 62411, 126137, 24,light-sirt-4-1-4-100
1529226420000 ms, 2018-06-17T04:07:00, 66139, 62671, 128810, 24,light-sirt-4-1-4-100
1529226480000 ms, 2018-06-17T04:08:00, 68811, 119990, 188801, 48,light-sirt-4-1-4-100
1529226780000 ms, 2018-06-17T04:13:00, 5, 62382, 62387, 24,light-sirt-4-1-8-100
1529226840000 ms, 2018-06-17T04:14:00, 2444, 120668, 123112, 48,light-sirt-4-1-8-100
1529226900000 ms, 2018-06-17T04:15:00, 63113, 61003, 124116, 24,light-sirt-4-1-8-100
1529226960000 ms, 2018-06-17T04:16:00, 64120, 62425, 126545, 24,light-sirt-4-1-8-100
1529227260000 ms, 2018-06-17T04:21:00, 4, 63204, 63208, 24,light-sirt-4-1-16-100
1529227320000 ms, 2018-06-17T04:22:00, 3265, 62591, 65856, 24,light-sirt-4-1-16-100
1529227380000 ms, 2018-06-17T04:23:00, 5856, 62846, 68702, 24,light-sirt-4-1-16-100
1529227440000 ms, 2018-06-17T04:24:00, 8702, 120347, 129049, 48,light-sirt-4-1-16-100
1529227500000 ms, 2018-06-17T04:25:00, 69051, 63280, 132331, 24,light-sirt-4-1-16-100
1529227560000 ms, 2018-06-17T04:26:00, 72331, 62857, 135188, 24,light-sirt-4-1-16-100
1529227860000 ms, 2018-06-17T04:31:00, 6, 121875, 121881, 48,light-sirt-4-2-1-100
1529227920000 ms, 2018-06-17T04:32:00, 61938, 60476, 122414, 24,light-sirt-4-2-1-100
1529227980000 ms, 2018-06-17T04:33:00, 62414, 60196, 122610, 24,light-sirt-4-2-1-100
1529228040000 ms, 2018-06-17T04:34:00, 62613, 119770, 182383, 48,light-sirt-4-2-1-100
1529228340000 ms, 2018-06-17T04:39:00, 4, 121239, 121243, 48,light-sirt-4-2-2-100
1529228400000 ms, 2018-06-17T04:40:00, 61301, 60485, 121786, 24,light-sirt-4-2-2-100
1529228460000 ms, 2018-06-17T04:41:00, 61787, 60026, 121813, 24,light-sirt-4-2-2-100
1529228520000 ms, 2018-06-17T04:42:00, 61813, 119488, 181301, 48,light-sirt-4-2-2-100
1529228820000 ms, 2018-06-17T04:47:00, 5, 64657, 64662, 24,light-sirt-4-2-4-100
1529228880000 ms, 2018-06-17T04:48:00, 4719, 123211, 127930, 48,light-sirt-4-2-4-100
1529228940000 ms, 2018-06-17T04:49:00, 67931, 62984, 130915, 24,light-sirt-4-2-4-100
1529229000000 ms, 2018-06-17T04:50:00, 70916, 62573, 133489, 24,light-sirt-4-2-4-100
1529229300000 ms, 2018-06-17T04:55:00, 4, 62544, 62548, 24,light-sirt-4-2-8-100
1529229360000 ms, 2018-06-17T04:56:00, 2601, 60325, 62926, 24,light-sirt-4-2-8-100
1529229420000 ms, 2018-06-17T04:57:00, 2929, 120702, 123631, 48,light-sirt-4-2-8-100
1529229480000 ms, 2018-06-17T04:58:00, 63629, 62625, 126254, 24,light-sirt-4-2-8-100
1529229540000 ms, 2018-06-17T04:59:00, 66257, 60479, 126736, 24,light-sirt-4-2-8-100
1529229840000 ms, 2018-06-17T05:04:00, 4, 120510, 120514, 48,light-sirt-4-2-16-100
1529229900000 ms, 2018-06-17T05:05:00, 60573, 62817, 123390, 24,light-sirt-4-2-16-100
1529229960000 ms, 2018-06-17T05:06:00, 63391, 62389, 125780, 24,light-sirt-4-2-16-100
1529230020000 ms, 2018-06-17T05:07:00, 65779, 122791, 188570, 48,light-sirt-4-2-16-100
1529230380000 ms, 2018-06-17T05:13:00, 4, 63468, 63472, 24,light-sirt-4-4-1-100
1529230440000 ms, 2018-06-17T05:14:00, 3543, 120499, 124042, 48,light-sirt-4-4-1-100
1529230500000 ms, 2018-06-17T05:15:00, 64041, 61019, 125060, 24,light-sirt-4-4-1-100
1529230560000 ms, 2018-06-17T05:16:00, 65060, 61216, 126276, 24,light-sirt-4-4-1-100
1529230860000 ms, 2018-06-17T05:21:00, 4, 63125, 63129, 24,light-sirt-4-4-2-100
1529230920000 ms, 2018-06-17T05:22:00, 3187, 60889, 64076, 24,light-sirt-4-4-2-100
1529230980000 ms, 2018-06-17T05:23:00, 4077, 122949, 127026, 48,light-sirt-4-4-2-100
1529231040000 ms, 2018-06-17T05:24:00, 67026, 61469, 128495, 24,light-sirt-4-4-2-100
1529231100000 ms, 2018-06-17T05:25:00, 68497, 61523, 130020, 24,light-sirt-4-4-2-100
1529231340000 ms, 2018-06-17T05:29:00, 4, 62798, 62802, 24,light-sirt-4-4-4-100
1529231400000 ms, 2018-06-17T05:30:00, 2865, 63200, 66065, 24,light-sirt-4-4-4-100
1529231460000 ms, 2018-06-17T05:31:00, 6066, 60315, 66381, 24,light-sirt-4-4-4-100
1529231520000 ms, 2018-06-17T05:32:00, 6382, 119532, 125914, 48,light-sirt-4-4-4-100
1529231580000 ms, 2018-06-17T05:33:00, 65915, 62386, 128301, 24,light-sirt-4-4-4-100
1529231640000 ms, 2018-06-17T05:34:00, 68298, 60760, 129058, 24,light-sirt-4-4-4-100
1529231880000 ms, 2018-06-17T05:38:00, 4, 62941, 62945, 24,light-sirt-4-4-8-100
1529231940000 ms, 2018-06-17T05:39:00, 2999, 119116, 122115, 48,light-sirt-4-4-8-100
1529232000000 ms, 2018-06-17T05:40:00, 62119, 63121, 125240, 24,light-sirt-4-4-8-100
1529232060000 ms, 2018-06-17T05:41:00, 65240, 61172, 126412, 24,light-sirt-4-4-8-100
1529232360000 ms, 2018-06-17T05:46:00, 5, 63275, 63280, 24,light-sirt-4-4-16-100
1529232420000 ms, 2018-06-17T05:47:00, 3336, 62887, 66223, 24,light-sirt-4-4-16-100
1529232480000 ms, 2018-06-17T05:48:00, 6228, 120634, 126862, 48,light-sirt-4-4-16-100
1529232540000 ms, 2018-06-17T05:49:00, 66863, 61599, 128462, 24,light-sirt-4-4-16-100
1529232960000 ms, 2018-06-17T05:56:00, 5, 62681, 62686, 24,light-sirt-8-1-1-100
1529233020000 ms, 2018-06-17T05:57:00, 2719, 60686, 63405, 24,light-sirt-8-1-1-100
1529233080000 ms, 2018-06-17T05:58:00, 3428, 119322, 122750, 48,light-sirt-8-1-1-100
1529233140000 ms, 2018-06-17T05:59:00, 62749, 61000, 123749, 24,light-sirt-8-1-1-100
1529233200000 ms, 2018-06-17T06:00:00, 63752, 60434, 124186, 24,light-sirt-8-1-1-100
1529233440000 ms, 2018-06-17T06:04:00, 5, 62869, 62874, 24,light-sirt-8-1-2-100
1529233500000 ms, 2018-06-17T06:05:00, 2932, 63189, 66121, 24,light-sirt-8-1-2-100
1529233560000 ms, 2018-06-17T06:06:00, 6122, 60830, 66952, 24,light-sirt-8-1-2-100
1529233620000 ms, 2018-06-17T06:07:00, 6950, 120818, 127768, 48,light-sirt-8-1-2-100
1529233680000 ms, 2018-06-17T06:08:00, 67773, 61001, 128774, 24,light-sirt-8-1-2-100
1529233740000 ms, 2018-06-17T06:09:00, 68771, 60867, 129638, 24,light-sirt-8-1-2-100
1529233980000 ms, 2018-06-17T06:13:00, 3, 121615, 121618, 48,light-sirt-8-1-4-100
1529234040000 ms, 2018-06-17T06:14:00, 61673, 62377, 124050, 24,light-sirt-8-1-4-100
1529234100000 ms, 2018-06-17T06:15:00, 64052, 87058, 151110, 34,light-sirt-8-1-4-100
1529234160000 ms, 2018-06-17T06:16:00, 91112, 96301, 187413, 38,light-sirt-8-1-4-100
1529234460000 ms, 2018-06-17T06:21:00, 5, 122373, 122378, 48,light-sirt-8-1-8-100
1529234520000 ms, 2018-06-17T06:22:00, 62441, 62638, 125079, 24,light-sirt-8-1-8-100
1529234580000 ms, 2018-06-17T06:23:00, 65080, 61184, 126264, 24,light-sirt-8-1-8-100
1529234640000 ms, 2018-06-17T06:24:00, 66263, 120431, 186694, 48,light-sirt-8-1-8-100
1529234940000 ms, 2018-06-17T06:29:00, 4, 62932, 62936, 24,light-sirt-8-1-16-100
1529235000000 ms, 2018-06-17T06:30:00, 2990, 120750, 123740, 48,light-sirt-8-1-16-100
1529235060000 ms, 2018-06-17T06:31:00, 63743, 62752, 126495, 24,light-sirt-8-1-16-100
1529235120000 ms, 2018-06-17T06:32:00, 66497, 61795, 128292, 24,light-sirt-8-1-16-100
1529235180000 ms, 2018-06-17T06:33:00, 68292, 61962, 130254, 24,light-sirt-8-1-16-100
1529235540000 ms, 2018-06-17T06:39:00, 4, 122245, 122249, 48,light-sirt-8-2-1-100
1529235600000 ms, 2018-06-17T06:40:00, 62304, 60517, 122821, 24,light-sirt-8-2-1-100
1529235660000 ms, 2018-06-17T06:41:00, 62824, 61097, 123921, 24,light-sirt-8-2-1-100
1529235720000 ms, 2018-06-17T06:42:00, 63920, 118842, 182762, 48,light-sirt-8-2-1-100
1529236020000 ms, 2018-06-17T06:47:00, 5, 63173, 63178, 24,light-sirt-8-2-2-100
1529236080000 ms, 2018-06-17T06:48:00, 3235, 120929, 124164, 48,light-sirt-8-2-2-100
1529236140000 ms, 2018-06-17T06:49:00, 64165, 61057, 125222, 24,light-sirt-8-2-2-100
1529236200000 ms, 2018-06-17T06:50:00, 65222, 60558, 125780, 24,light-sirt-8-2-2-100
1529236500000 ms, 2018-06-17T06:55:00, 5, 62718, 62723, 24,light-sirt-8-2-4-100
1529236560000 ms, 2018-06-17T06:56:00, 2784, 61488, 64272, 24,light-sirt-8-2-4-100
1529236620000 ms, 2018-06-17T06:57:00, 4273, 120017, 124290, 48,light-sirt-8-2-4-100
1529236680000 ms, 2018-06-17T06:58:00, 64289, 62543, 126832, 24,light-sirt-8-2-4-100
1529236740000 ms, 2018-06-17T06:59:00, 66835, 60931, 127766, 24,light-sirt-8-2-4-100
1529236980000 ms, 2018-06-17T07:03:00, 4, 62762, 62766, 24,light-sirt-8-2-8-100
1529237040000 ms, 2018-06-17T07:04:00, 2821, 60915, 63736, 24,light-sirt-8-2-8-100
1529237100000 ms, 2018-06-17T07:05:00, 3736, 61495, 65231, 24,light-sirt-8-2-8-100
1529237160000 ms, 2018-06-17T07:06:00, 5231, 121630, 126861, 48,light-sirt-8-2-8-100
1529237220000 ms, 2018-06-17T07:07:00, 66866, 58785, 125651, 24,light-sirt-8-2-8-100
1529237280000 ms, 2018-06-17T07:08:00, 65649, 60168, 125817, 24,light-sirt-8-2-8-100
1529237520000 ms, 2018-06-17T07:12:00, 4, 122407, 122411, 48,light-sirt-8-2-16-100
1529237580000 ms, 2018-06-17T07:13:00, 62468, 63012, 125480, 24,light-sirt-8-2-16-100
1529237640000 ms, 2018-06-17T07:14:00, 65483, 63279, 128762, 24,light-sirt-8-2-16-100
1529237700000 ms, 2018-06-17T07:15:00, 68759, 121997, 190756, 48,light-sirt-8-2-16-100
1529238060000 ms, 2018-06-17T07:21:00, 5, 62643, 62648, 24,light-sirt-8-4-1-100
1529238120000 ms, 2018-06-17T07:22:00, 2589, 61250, 63839, 24,light-sirt-8-4-1-100
1529238180000 ms, 2018-06-17T07:23:00, 3943, 60969, 64912, 24,light-sirt-8-4-1-100
1529238240000 ms, 2018-06-17T07:24:00, 4923, 120850, 125773, 48,light-sirt-8-4-1-100
