,Atom,Length,Run,Cores,StageInPending,StageInPendingStd,StageInDelay,StageInDelayStd,SchedulerDelay,SchedulerDelayStd,Execution,ExecutionStd,StageOut,StageOutStd,TotalTime,TotalTimeStd
17,CA,Med,3.0,64.0,7.23243260384,0.777702976771,0.0413574501872,0.00909390190958,0.00469651818266,0.00619024456027,15.6165398397,0.621214786026,0.965563531975,0.512483918009,15.662593808,0.621338115113
18,CA,Med,1.0,256.0,9.09001941606,1.67659925978,0.0426875175927,0.0553084609497,0.366555631158,0.314328386495,4.4194379216,0.328635211504,7.18946804479,0.859579356321,4.82868107035,0.448782580271
19,CA,Med,2.0,256.0,9.48750652931,1.67185892406,0.0322565948602,0.0319208123466,0.440396524965,0.325092244282,4.38760956749,0.282832113094,7.61566612776,0.85144490957,4.86026268732,0.406181848033
20,CA,Med,3.0,256.0,9.23283945769,1.72732431048,0.0423988625446,0.052584271784,0.508653754368,0.368002572423,4.39122939017,0.28361084269,7.60204829089,0.872950592536,4.94228200708,0.401033414793
21,CA,Med,1.0,1024.0,13.2198918792,3.6856531387,0.198068100726,0.212838682533,1.61792947236,0.789516827226,1.34318247088,0.188378368313,18.1036196256,7.93224047962,3.15918004396,0.826449764877
22,CA,Med,2.0,1024.0,14.1597556067,4.10075234182,0.0639113595239,0.0687895871863,1.53882571543,0.735485918871,1.27467042976,0.154225807757,16.4172486779,7.64355488328,2.87740750471,0.677692042486
23,CA,Med,3.0,1024.0,13.5055045721,3.82694404858,0.216590641766,0.201352246869,1.52011939068,0.74116328938,1.29636536422,0.157913712859,17.4153111964,7.95137191796,3.03307539667,0.813663035163
24,CA,Long,1.0,16.0,6.42133943736,0.32511003111,0.0726700425156,0.0354315438757,0.00369121134313,0.000793645382289,123.041700348,6.53887784848,0.271948009563,0.391102130426,123.118061602,6.55166943035
25,CA,Long,2.0,16.0,6.33852310479,0.351552068055,0.0738918036225,0.0054518929271,0.00384145974938,0.000570293033211,123.35441114,7.77600201109,0.492331594,0.45247878343,123.432144404,7.77604506043
26,CA,Long,3.0,16.0,6.3548591584,0.338155529057,0.0708899497994,0.019316941069,0.00374381244188,0.000625177640992,123.835684836,7.32829232396,0.332204461063,0.386043560642,123.910318598,7.33382128843
27,CA,Long,1.0,64.0,7.23385582119,0.798274729436,0.0424193404616,0.00666444561091,0.00296512991219,0.000620566075421,33.7248742245,1.61801315231,0.529264055202,0.460956984506,33.7702586949,1.6178242558
28,CA,Long,2.0,64.0,7.24065612629,0.806206338866,0.0427829660475,0.0094713021105,0.00319971889375,0.00136285855423,33.9786399417,1.91686976121,0.551094762983,0.514128275948,34.0246226266,1.91547816247
29,CA,Long,3.0,64.0,7.25818847865,0.769298183442,0.0424057804044,0.00853614408485,0.00318302214187,0.0013652852563,33.9455191679,1.70721668427,0.907150633631,0.823517535337,33.9911079705,1.70491588427
30,CA,Long,1.0,256.0,9.53602430969,1.82886847008,0.0249808076718,0.006727700638,0.725452431483,0.619317239776,9.20229783002,0.348905934636,4.23602884449,0.367319965969,9.95273106918,0.544357001968
31,CA,Long,2.0,256.0,9.17390421219,1.7318503607,0.0234427805995,0.00518268882831,0.839687517843,0.594035806966,9.15655102953,0.331790839782,5.32024212088,0.418784376411,10.019681328,0.552723289481
32,CA,Long,3.0,256.0,9.27229453623,1.84299683834,0.0248746303852,0.00609038709471,0.657097440212,0.466808757711,9.14516488742,0.35027125069,6.03012901917,0.343228105325,9.82713695802,0.450932964036
33,CA,Long,1.0,1024.0,13.8550860668,4.01352856224,0.0675836559399,0.0914487032154,2.4680582867,1.24578582694,2.54954506969,0.211301422554,18.8351189063,7.12282624109,5.08518701233,1.16200927001
34,CA,Long,2.0,1024.0,13.5648241725,3.93191859868,0.0894538382984,0.131023859473,2.67102967342,1.25923626443,2.56245773891,0.200652909169,20.4433597841,7.52859525155,5.32294125063,1.21047152363
35,CA,Long,3.0,1024.0,13.5232772091,4.04366847048,0.101513275179,0.142639103033,2.59691894799,1.32431337313,2.57856006431,0.22342967875,22.8224720445,9.03673169873,5.27699228749,1.28966146274
