,Atom,Length,Run,Cores,StageInDelay,StageInDelayStd,SchedulerDelay,SchedulerDelayStd,Execution,ExecutionStd,StageOut,StageOutStd,TotalTime,TotalTimeStd
25,CA,Med,2.0,78.0,0.043203014594,0.0162769645222,0.00297125486256,0.000495895114987,10.7309411397,1.87309420814,1.45947009783,0.39772364962,10.7771154092,1.87402337825
26,CA,Med,3.0,78.0,0.0431809822715,0.0206427214453,0.00292898447064,0.00049501942221,10.8094477012,1.73559372174,1.40467066948,0.441578478625,10.8555576679,1.73101457355
27,CA,Med,1.0,136.0,0.0277662645369,0.0082840829738,0.00267537025816,0.000495083764503,6.93929407877,0.578765902089,1.58913765409,0.419531863951,6.96973571356,0.578653360893
28,CA,Med,2.0,136.0,0.0317776185621,0.0090449609015,0.00268241587765,0.000750906317223,6.79690963731,0.774041435657,1.59009986765,0.638684162409,6.83136967175,0.773819645545
29,CA,Med,3.0,136.0,0.0310588531644,0.0110995508245,0.00266920292978,0.000578151298306,6.8069253336,0.786219464321,1.9180166511,0.57653173553,6.84065338969,0.784750753918
30,CA,Med,1.0,300.0,0.0425981664662,0.040245449549,0.01193108638,0.0160593965572,3.68822965146,0.736029572445,7.90187638124,1.88507947763,3.7427589043,0.729372643093
31,CA,Med,2.0,300.0,0.0556009952233,0.0596044881142,0.00846460581027,0.0105385967365,3.61197452545,0.315051962285,7.22012853066,1.78232940207,3.67604012648,0.2952523035
32,CA,Med,3.0,300.0,0.0373238984757,0.0250859026778,0.00795132239733,0.00913699429874,3.56446771463,0.308137491245,6.7170047299,2.07921217967,3.6097429355,0.299245901853
33,CA,Med,1.0,528.0,0.0391463583176,0.0520080867215,0.624503997689,0.439327136185,2.40496832358,0.270249092808,11.8751138521,3.88568772211,3.06861867959,0.417147015652
34,CA,Med,2.0,528.0,0.068776598033,0.108428405172,1.0020877019,0.47336742422,2.36050684389,0.210544468048,12.7526772614,3.77352575705,3.43137114382,0.411112161108
35,CA,Med,3.0,528.0,0.0390952920381,0.0330163534454,0.766685010358,0.376616114234,2.40891283886,0.241267780781,11.8790594845,3.67551877703,3.21469314125,0.313524247176
36,CA,Long,1.0,21.0,0.062916176659,0.0174364873068,0.00383414541048,0.00105372369497,44.0059722378,5.28681449346,1.08981174515,0.427940161558,44.0727225599,5.28904680558
37,CA,Long,2.0,21.0,0.0619910103938,0.0179734857151,0.00384376162476,0.00105024143959,43.651095799,4.55463836324,1.5149584952,0.364419475362,43.7169305711,4.55753298692
38,CA,Long,3.0,21.0,0.0686881882814,0.0201041903788,0.00395171982905,0.00119373716173,43.8146668616,4.94077033023,1.26645154044,0.368634523815,43.8873067697,4.93918512896
39,CA,Long,1.0,36.0,0.0492462582072,0.0108215944748,0.00337038437528,0.000684545161632,30.8705605335,6.94578116398,1.2220338252,0.358707092875,30.923177176,6.94707739979
40,CA,Long,2.0,36.0,0.0923766493797,0.0311298037277,0.00352538294111,0.000620719854753,30.8149115841,6.68439921681,1.12179409796,0.55141321491,30.9108136164,6.68872174363
41,CA,Long,3.0,36.0,0.0884992414044,0.0273861725659,0.00348047415528,0.000732477505117,30.8787741198,7.07003440634,1.2646846705,0.539477806336,30.9707538353,7.07242894119
42,CA,Long,1.0,78.0,0.0368058926026,0.00678086325463,0.00284549517474,0.000407686731868,17.2450741193,4.36791323901,1.25346617821,0.463512766761,17.2847255071,4.36806781039
43,CA,Long,2.0,78.0,0.0433614223436,0.0423375055101,0.00285209142179,0.000386540259495,17.0020048924,4.37589501899,1.29497807759,0.422942738165,17.0482184062,4.3749852311
44,CA,Long,3.0,78.0,0.067601384261,0.0224889316973,0.00296915800321,0.000471162857337,17.0342170428,4.11481094442,1.25868675342,0.522287597604,17.1047875851,4.11618149787
45,CA,Long,1.0,136.0,0.0335432483907,0.00800319791716,0.00275261437051,0.000498805412025,11.2311786361,2.32972680427,1.27542385284,0.47928412284,11.2674744988,2.33001492206
46,CA,Long,2.0,136.0,0.0379444991848,0.0095359524514,0.00271586635478,0.000390779428851,11.102567827,2.27525485643,1.41676613688,0.554991037767,11.1432281925,2.27468847451
47,CA,Long,3.0,136.0,0.0397635540561,0.0333839873973,0.00276167076985,0.000724564796775,10.9523678317,2.25738656279,1.20972613377,0.480372367788,10.9948930565,2.2616112948
48,CA,Long,1.0,300.0,0.0317422350248,0.0207271827452,0.00810176769847,0.0159194596878,5.89094965538,1.08187751918,5.90078401248,1.38934730784,5.9307936581,1.08087365281
49,CA,Long,2.0,300.0,0.031646408242,0.0223428819509,0.00775478044973,0.0138458936369,5.87926082532,1.06136110252,5.62762022336,1.02161756372,5.91866201401,1.06279277609
50,CA,Long,3.0,300.0,0.027601106961,0.0118600508035,0.0098392009706,0.0190471000537,6.00635511955,1.55737198313,6.55773275455,1.4297394043,6.04379542748,1.55784618104
51,CA,Long,1.0,528.0,0.0281987677924,0.0171384003833,1.17433754513,0.567241597753,4.60240088494,0.996598704779,11.7293707268,2.74307277977,5.80493719785,1.09047973732
52,CA,Long,2.0,528.0,0.0292048946471,0.0260344810445,0.840664639618,0.399270126052,4.28930920272,0.807134867841,11.7375303827,3.19625930906,5.15917873699,0.861801487587
53,CA,Long,3.0,528.0,0.0294268469929,0.0174955478464,0.724728512041,0.36223444529,4.09135487585,0.799870360947,11.145462811,2.92428734007,4.84551023489,0.793152311
