Executable,Number_Messages,Nodes,TTC,Throughput,System,parallel_tasks,Partitions,Dask-Config,Dask_Nodes
PeakFinder,500,1.0,43.9624249935,11.3733489468,Wrangler,7,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.9911048412,13.1609754991,Wrangler,8,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,32.8913068771,15.2015850835,Wrangler,9,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,37.8380498886,13.2142116592,Wrangler,10,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,31.1383740902,16.0573573479,Wrangler,11,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,31.4213590622,15.912742635,Wrangler,12,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,31.2338759899,16.0082597549,Wrangler,13,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,57.4962420464,8.69622052163,Wrangler,14,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,48.8108780384,10.243618228,Wrangler,15,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.608342886,16.8871321818,Wrangler,16,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,38.1980109215,13.0896868171,Wrangler,17,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,47.7712488174,10.4665465605,Wrangler,18,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,48.4730160236,10.3150173234,Wrangler,19,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,29.4453701973,16.9805981942,Wrangler,20,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,76.8283782005,6.50801190538,Wrangler,21,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,38.5300240517,12.9768930154,Wrangler,22,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,78.8636679649,6.34005509638,Wrangler,23,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,68.4807021618,7.30132700478,Wrangler,24,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,92.1381080151,5.42663628298,Wrangler,1,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,56.5210309029,8.84626469144,Wrangler,2,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,46.706001997,10.7052622494,Wrangler,3,24,dask-distributed-kafka-gpfs,1.0
PeakFinder,500,1.0,40.3349499702,12.3961973516,Wrangler,4,24,dask-distributed-kafka-gpfs,1.0
