CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000969,Euclidean_dist_122881_36865,7.6843650341,7.6873660088,46.3701980114,57.629365921,60.2517590523
unit.000970,Euclidean_dist_122881_40961,7.4880430698,7.4934408665,36.2488369942,45.778842926,47.7041680813
unit.000971,Euclidean_dist_122881_45057,7.1127409935,7.1148979664,31.3774209023,35.5747909546,36.5683379173
unit.000972,Euclidean_dist_122881_49153,8.5013570786,8.5036299229,86.6690530777,97.5299520493,99.7998259068
unit.000973,Euclidean_dist_122881_53249,23.4899790287,23.8884539604,160.281776905,166.842077017,169.055233002
unit.000974,Euclidean_dist_122881_57345,9.2342100143,9.2368888855,129.969816923,142.176354885,143.266752005
unit.000975,Euclidean_dist_122881_61441,6.8274490833,6.8297069073,8.8548879623,23.9388649464,27.9507300854
unit.000976,Euclidean_dist_122881_65537,6.5109319687,6.5137689114,6.725538969,23.8762049675,25.6286878586
unit.000977,Euclidean_dist_122881_69633,8.2827739716,8.2861878872,84.199244976,86.6043899059,88.4400589466
unit.000978,Euclidean_dist_122881_73729,8.4910218716,8.4931769371,86.5890898705,97.5242710114,99.690803051
unit.000979,Euclidean_dist_122881_77825,8.844055891,8.8465549946,101.690132856,109.716037035,110.824770927
unit.000980,Euclidean_dist_122881_81921,6.5399570465,6.5424110889,6.8614480496,23.0629460812,24.7398228645
unit.000981,Euclidean_dist_122881_86017,7.0585689545,7.061068058,30.5053510666,34.3001880646,35.2098400593
unit.000982,Euclidean_dist_122881_90113,6.7097809315,6.7122058868,7.9620530605,23.7863049507,26.7264490128
unit.000983,Euclidean_dist_122881_94209,8.2111680508,8.2133789063,76.8401079178,84.4119179249,85.6526079178
unit.000984,Euclidean_dist_122881_98305,8.835504055,8.8380439282,101.574487925,109.736705065,110.711071968
unit.000985,Euclidean_dist_122881_102401,6.8091509342,6.8117120266,8.6731128693,23.4050130844,27.7818319798
unit.000986,Euclidean_dist_122881_106497,6.8640658855,6.8663079739,9.0490989685,30.3633799553,30.7478439808
unit.000987,Euclidean_dist_122881_110593,7.477809906,7.4803800583,36.2228989601,45.7496950626,47.6513280869
unit.000988,Euclidean_dist_122881_114689,23.4432880878,23.7179889679,158.271796942,160.245188951,162.323692083
unit.000989,Euclidean_dist_122881_118785,7.9873919487,7.9900119305,58.517649889,76.6012790203,79.4176409245
unit.000990,Euclidean_dist_122881_122881,6.639081955,6.6417009831,7.5417649746,23.4795880318,25.3166570663
unit.000991,Euclidean_dist_122881_126977,8.0330560207,8.0354468823,60.8393058777,76.7466640472,79.8452160358
unit.000992,Euclidean_dist_126977_1,8.4862160683,8.4885480404,84.8760268688,97.521502018,99.6324620247
unit.000993,Euclidean_dist_126977_4097,23.0160880089,23.0190908909,142.753499985,151.005547047,151.983479977
unit.000994,Euclidean_dist_126977_8193,7.7736959457,7.7768080235,47.2916588783,57.787364006,61.008425951
unit.000995,Euclidean_dist_126977_12289,24.2649109364,24.3248360157,178.375279903,180.660281897,181.466693878
unit.000996,Euclidean_dist_126977_16385,8.2945718765,8.2969620228,84.4469468594,97.1115598679,98.912350893
unit.000997,Euclidean_dist_126977_20481,6.9150259495,6.9173550606,23.0953838825,28.1055829525,29.6058058739
unit.000998,Euclidean_dist_126977_24577,9.1140880585,9.1191608906,118.832737923,126.666702986,129.020122051
unit.000999,Euclidean_dist_126977_28673,7.8350589275,7.8390769959,57.652256012,60.9511508942,61.6540460587
unit.001000,Euclidean_dist_126977_32769,8.1917169094,8.1946918964,76.7495498657,84.1785180569,85.4831469059
unit.001001,Euclidean_dist_126977_36865,8.8111989498,8.8174500465,101.461755037,109.125933886,110.440433979
unit.001002,Euclidean_dist_126977_40961,8.8065810204,8.8088049889,101.41596508,109.731684923,110.493962049
unit.001003,Euclidean_dist_126977_45057,23.4728250504,23.8323409557,158.961103916,162.523483038,163.724168062
unit.001004,Euclidean_dist_126977_49153,6.5133359432,6.5165278912,6.737787962,23.4297790527,24.5817849636
unit.001005,Euclidean_dist_126977_53249,23.1263039112,23.4075460434,151.228862047,158.281352043,160.490980864
unit.001006,Euclidean_dist_126977_57345,24.2705450058,24.3276689053,179.105023861,181.162077904,181.520760059
unit.001007,Euclidean_dist_126977_61441,6.6251020432,6.6274249554,7.4370958805,23.8985099792,26.050057888
unit.001008,Euclidean_dist_126977_65537,6.6175229549,6.619907856,7.3481009007,23.4669408798,25.2102198601
unit.001009,Euclidean_dist_126977_69633,7.3838088512,7.3877379894,36.0069749355,45.6915080547,47.3271410465
unit.001010,Euclidean_dist_126977_73729,7.8298990727,7.8322150707,57.6216590405,60.9458460808,61.6001629829
unit.001011,Euclidean_dist_126977_77825,6.6821968556,6.6845519543,7.7921559811,23.0993509293,26.432434082
unit.001012,Euclidean_dist_126977_81921,9.0151028633,9.0177900791,112.891995907,118.710797071,120.89389801
unit.001013,Euclidean_dist_126977_86017,24.2383658886,24.3094198704,177.391686916,179.150300026,180.158674002
unit.001014,Euclidean_dist_126977_90113,23.4158320427,23.6061608791,151.458605051,158.810693979,161.009410858
unit.001015,Euclidean_dist_126977_94209,24.2589700222,24.3218150139,178.348134995,180.672333002,181.412244081
unit.001016,Euclidean_dist_126977_98305,6.7641649246,6.7662858963,8.2826139927,23.3838460445,27.3597579002
unit.001017,Euclidean_dist_126977_102401,7.1015789509,7.1055779457,30.6566309929,35.5070478916,36.4624619484
unit.001018,Euclidean_dist_126977_106497,9.0632100105,9.0686600208,115.266879082,121.524591923,127.311380863
unit.001019,Euclidean_dist_126977_110593,7.7156338692,7.718503952,46.4871039391,57.8492209911,60.4721748829
unit.001020,Euclidean_dist_126977_114689,6.5680670738,6.574146986,6.9918329716,23.0702118874,24.8969819546
unit.001021,Euclidean_dist_126977_118785,6.578922987,6.5815958977,7.0315580368,23.8863608837,25.8395569324
unit.001022,Euclidean_dist_126977_122881,23.0015950203,23.0049200058,142.192120075,144.24337697,145.639817953
unit.001023,Euclidean_dist_126977_126977,23.8887929916,24.1630959511,166.86173892,174.706136942,175.913371086
unit.001024,ConnComp,191.363475084,192.677177906,192.720294952,277.496721983,281.005467892
