,Atoms,Cores,Duration,Type
742,524288,256,3.79464197159,comm
743,524288,256,0.786381006241,conn
744,524288,256,7.76384782791,total
745,4194304,256,0.0688240528107,setup
746,4194304,256,102.686828852,comp
747,4194304,256,63.0112700462,comm
748,4194304,256,34.220908165,conn
749,4194304,256,165.766922951,total
750,4194304,256,0.045116186142,setup
751,4194304,256,102.105824947,comp
752,4194304,256,61.9984900951,comm
753,4194304,256,34.1274609566,conn
754,4194304,256,164.149431229,total
755,4194304,256,0.0829968452454,setup
756,4194304,256,103.807515144,comp
757,4194304,256,59.8766319752,comm
758,4194304,256,33.7403268814,conn
759,4194304,256,163.767143965,total
760,4194304,256,0.160146951675,setup
761,4194304,256,101.558470964,comp
762,4194304,256,59.718558073,comm
763,4194304,256,34.1121208668,conn
764,4194304,256,161.437175989,total
765,4194304,256,0.0849678516388,setup
766,4194304,256,102.511974096,comp
767,4194304,256,61.9357838631,comm
768,4194304,256,34.1708421707,conn
769,4194304,256,164.532725811,total
770,4194304,256,0.0751609802246,setup
771,4194304,256,102.602893114,comp
772,4194304,256,62.5692210197,comm
773,4194304,256,34.176117897,conn
774,4194304,256,165.247275114,total
775,4194304,256,0.0728778839111,setup
776,4194304,256,101.974760056,comp
777,4194304,256,62.1179049015,comm
778,4194304,256,34.6698350906,conn
779,4194304,256,164.165542841,total
780,4194304,256,0.0745429992676,setup
781,4194304,256,103.37136507,comp
782,4194304,256,61.9497959614,comm
783,4194304,256,34.2773299217,conn
784,4194304,256,165.395704031,total
785,4194304,256,0.0817317962646,setup
786,4194304,256,104.095251083,comp
787,4194304,256,61.1589620113,comm
788,4194304,256,34.175041914,conn
789,4194304,256,165.335944891,total
790,4194304,256,0.0665581226349,setup
791,4194304,256,102.78202486,comp
792,4194304,256,61.7209079266,comm
793,4194304,256,34.2549412251,conn
794,4194304,256,164.56949091,total
