CU,Name,Scheduling,StagingInput,AgentStagingInputPending,AgentStagingInput,AllocatingPending,Allocating,ExecutingPending,Executing,AgentStagingOutputPending,AgentStagingOutput,PendingOutputStaging,StagingOutput,Done
unit.000236,Euclidean_dist_24577_49153,N/A,193.170036077,193.170036077,262.228950977,262.231568098,262.232937098,262.233358145,262.234897137,262.968027115,262.969505072,262.973917007,196.186387062,196.213055134
unit.000237,Euclidean_dist_24577_53249,N/A,194.537718058,194.537718058,263.589313984,263.59152317,263.592795134,263.593117952,263.594411135,264.276194096,264.277619123,264.281694174,197.316329002,197.344007969
unit.000238,Euclidean_dist_24577_57345,N/A,41.6686620712,41.6686620712,110.864267111,110.867086172,110.868386984,110.868702173,110.870274067,111.576058149,111.577522993,111.581277132,44.6607811451,44.6874160767
unit.000239,Euclidean_dist_24577_61441,N/A,198.047387123,198.047387123,267.043097973,267.045792103,267.047192097,267.047502041,267.049034119,267.696732044,267.698225021,267.701821089,200.663195133,200.689887047
unit.000240,Euclidean_dist_24577_65537,N/A,198.928954124,198.928954124,267.995748997,267.998553038,268.003760099,268.005005121,268.008226156,268.702996016,268.70441699,268.708559036,201.792593002,201.819399118
unit.000241,Euclidean_dist_24577_69633,N/A,200.453022957,200.453022957,269.500313044,269.502925158,269.504323006,269.504627943,269.506008148,270.213231087,270.214646101,270.218176126,203.951286077,203.979058027
unit.000242,Euclidean_dist_24577_73729,N/A,202.244909048,202.244909048,271.301784039,271.30440712,271.305660963,271.305977106,271.307348967,272.024152994,272.025618076,272.028764009,205.087814093,205.115190029
unit.000243,Euclidean_dist_24577_77825,N/A,203.723729134,203.723729134,272.806539059,272.809515953,272.810964108,272.811292171,272.812745094,273.533318996,273.534819126,273.538748026,206.266662121,206.29349494
unit.000244,Euclidean_dist_24577_81921,N/A,205.241131067,205.241131067,274.161184072,274.163562059,274.164680958,274.164930105,274.177405119,274.841931105,274.847053051,274.850124121,207.552420139,207.580348015
unit.000245,Euclidean_dist_24577_86017,N/A,208.526090145,208.526090145,277.612190008,277.614989042,277.616321087,277.616635084,277.618065119,278.362048149,278.363402128,278.367349148,211.107707977,211.134536982
unit.000246,Euclidean_dist_24577_90113,N/A,254.374622107,254.374622107,323.839624166,323.842519999,323.843863964,323.844176054,323.845515013,324.516178131,324.517781973,324.52158308,256.56526494,256.5945611
