CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000111,Euclidean_dist_21593_70175,N/A,18.5160501003,18.5252709389,21.850456953,293.286296129,290.623559952
unit.000112,Euclidean_dist_21593_75573,N/A,18.5403971672,18.5495941639,21.8567259312,262.845067978,263.839662075
unit.000113,Euclidean_dist_21593_80971,N/A,18.5769491196,18.5924310684,21.8661870956,258.009747028,255.973708153
unit.000114,Euclidean_dist_21593_86369,N/A,18.6076991558,18.6168920994,21.8724551201,266.997311115,265.300191164
unit.000115,Euclidean_dist_21593_91767,N/A,18.6410200596,18.6593410969,21.8819379807,275.706253052,278.715939999
unit.000116,Euclidean_dist_21593_97165,N/A,18.6805770397,18.6957609653,21.8913371563,268.20224905,265.442139149
unit.000117,Euclidean_dist_21593_102563,N/A,18.7231431007,18.7353041172,21.9007210732,262.756168127,263.86242795
unit.000118,Euclidean_dist_21593_107961,N/A,18.7474169731,18.7626430988,21.9069881439,289.383330107,286.783652067
unit.000119,Euclidean_dist_21593_113359,N/A,18.786960125,18.7991640568,21.9164040089,308.986305952,306.946666002
unit.000120,Euclidean_dist_21593_118757,N/A,18.8113110065,18.8234460354,21.9226739407,282.520391941,280.656166077
unit.000121,Euclidean_dist_21593_124155,N/A,18.835693121,18.8478970528,21.9289729595,292.962666988,290.651446104
unit.000122,Euclidean_dist_21593_129553,N/A,18.8781740665,18.8903551102,21.9383921623,282.462969065,280.69640708
unit.000123,Euclidean_dist_21593_134951,N/A,18.9026069641,18.9237170219,21.9446649551,262.864175081,263.883474112
unit.000124,Euclidean_dist_21593_140349,N/A,18.9693980217,18.9815740585,21.9603779316,273.0943501,270.615708113
unit.000125,Euclidean_dist_26991_26991,N/A,20.0879149437,20.1061551571,22.0824370384,137.939011097,135.664236069
unit.000126,Euclidean_dist_26991_32389,N/A,20.5786089897,20.5878040791,22.1545300484,283.181970119,285.239119053
unit.000127,Euclidean_dist_26991_37787,N/A,16.5080721378,16.5263900757,21.7751870155,284.264325142,285.103701115
unit.000128,Euclidean_dist_26991_43185,N/A,19.0486631393,19.0578570366,21.979195118,282.631559134,285.166538954
unit.000129,Euclidean_dist_26991_48583,N/A,19.0333490372,19.0457141399,21.97605896,282.294284105,285.165737152
unit.000130,Euclidean_dist_26991_53981,N/A,19.0852370262,19.0974330902,21.9885909557,284.426989079,285.187469006
unit.000131,Euclidean_dist_26991_59379,N/A,19.1094520092,19.1216621399,21.9948551655,288.842740059,286.846091032
unit.000132,Euclidean_dist_26991_64777,N/A,19.1245961189,19.1369011402,21.9979839325,288.836359024,286.861272097
unit.000133,Euclidean_dist_26991_70175,N/A,19.1520290375,19.161221981,22.0042459965,293.000935078,290.692477942
unit.000134,Euclidean_dist_26991_75573,N/A,19.1917741299,19.2009570599,22.0136351585,292.975367069,290.71271801
unit.000135,Euclidean_dist_26991_80971,N/A,19.2130069733,19.2283501625,22.0198850632,259.025058985,259.20660615
unit.000136,Euclidean_dist_26991_86369,N/A,19.2435541153,19.2528040409,22.0261361599,288.672489166,286.632154942
