CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000086,Mapper-0-87,N/A,0.589,N/A,1.05,14.594,14.596,0.023648,4.921794,0.003918

unit.000087,Mapper-0-88,N/A,0.607,N/A,1.21,14.619,14.62,0.025725,4.292012,0.003499

unit.000088,Mapper-0-89,N/A,0.618,N/A,1.284,12.445,12.446,0.007114,3.808482,0.003566

unit.000089,Mapper-0-90,N/A,0.632,N/A,1.36,13.543,13.544,0.00734,4.021237,0.003908

unit.000090,Mapper-0-91,N/A,0.644,N/A,1.49,14.622,14.624,0.029698,4.036094,0.003858

unit.000091,Mapper-0-92,N/A,0.533,N/A,0.563,12.416,12.418,0.030184,3.901439,0.003909

unit.000092,Mapper-0-93,N/A,0.546,N/A,0.673,12.427,12.429,0.030189,3.793786,0.007256

unit.000093,Mapper-0-94,N/A,0.559,N/A,0.779,13.466,13.468,0.024674,4.065589,0.007395

unit.000094,Mapper-0-95,N/A,0.571,N/A,0.859,13.475,13.477,0.011244,4.070249,0.003683

unit.000095,Mapper-0-96,N/A,0.582,N/A,0.995,13.48,13.483,0.005654,4.051461,0.003717

unit.000096,Reducer-0,N/A,17.122,N/A,17.288,19.639,21.01,0.685465,0.012504,0.003804

unit.000097,Mapper-1-1,N/A,31.95,N/A,31.972,37.181,37.182,0.007661,3.818379,0.003995

unit.000098,Mapper-1-2,N/A,40.91,N/A,40.924,47.779,47.78,0.007988,4.054962,0.003922

unit.000099,Mapper-1-3,N/A,30.464,N/A,30.479,36.167,36.169,0.007614,3.880091,0.003704

unit.000100,Mapper-1-4,N/A,55.067,N/A,55.083,60.959,60.961,0.007685,3.810985,0.003683

unit.000101,Mapper-1-5,N/A,31.769,N/A,31.783,37.179,37.18,0.018523,3.818103,0.003877

unit.000102,Mapper-1-6,N/A,50.409,N/A,50.425,58.901,58.906,0.008536,3.943519,0.003865

unit.000103,Mapper-1-7,N/A,33.074,N/A,33.088,40.741,40.744,0.007593,3.855701,0.004006

unit.000104,Mapper-1-8,N/A,28.687,N/A,28.702,34.15,34.152,0.007571,3.836959,0.007435

unit.000105,Mapper-1-9,N/A,25.42,N/A,25.436,31.045,31.048,0.00814,3.816552,0.004146

unit.000106,Mapper-1-10,N/A,51.397,N/A,51.419,58.913,58.921,0.008323,3.944835,0.004251

unit.000107,Mapper-1-11,N/A,42.357,N/A,42.379,47.785,47.787,0.007654,3.816458,0.00381

unit.000108,Mapper-1-12,N/A,32.422,N/A,32.436,38.185,38.187,0.009305,3.832489,0.003776

unit.000109,Mapper-1-13,N/A,41.886,N/A,41.899,47.783,47.785,0.00749,3.869794,0.003622

unit.000110,Mapper-1-14,N/A,27.377,N/A,27.391,33.126,33.131,0.007375,3.853135,0.004064

unit.000111,Mapper-1-15,N/A,40.256,N/A,40.271,47.773,47.775,0.007231,3.850497,0.00376

unit.000112,Mapper-1-16,N/A,29.81,N/A,29.824,35.161,35.162,0.007586,3.823352,0.003734

unit.000113,Mapper-1-17,N/A,32.748,N/A,32.769,40.738,40.74,0.007794,3.920387,0.003805

unit.000114,Mapper-1-18,N/A,38.298,N/A,38.318,45.714,45.724,0.013361,3.98747,0.00373

unit.000115,Mapper-1-19,N/A,40.583,N/A,40.597,47.776,47.778,0.007661,3.820023,0.003856

unit.000116,Mapper-1-20,N/A,47.76,N/A,47.777,55.872,55.875,0.006268,3.942374,0.004783

unit.000117,Mapper-1-21,N/A,56.741,N/A,56.755,63.975,63.977,0.007794,4.083788,0.004659

unit.000118,Mapper-1-22,N/A,53.725,N/A,53.739,60.954,60.955,0.00785,3.829126,0.0039

unit.000119,Mapper-1-23,N/A,54.406,N/A,54.421,60.957,60.959,0.011227,3.892923,0.003787

unit.000120,Mapper-1-24,N/A,52.722,N/A,52.737,60.949,60.952,0.013144,3.784522,0.003888

unit.000121,Mapper-1-25,N/A,53.381,N/A,53.395,60.953,60.955,0.007709,3.89487,0.003761

unit.000122,Mapper-1-26,N/A,48.749,N/A,48.763,55.877,55.88,0.007254,3.8075,0.003945

unit.000123,Mapper-1-27,N/A,52.067,N/A,52.08,58.922,58.924,0.006611,3.93783,0.003796

unit.000124,Mapper-1-28,N/A,50.735,N/A,50.75,58.901,58.904,0.007324,3.867871,0.004214

unit.000125,Mapper-1-29,N/A,51.063,N/A,51.083,58.907,58.914,0.006327,3.903212,0.003842

unit.000126,Mapper-1-30,N/A,27.703,N/A,27.717,33.134,33.141,0.007061,3.867643,0.003768

unit.000127,Mapper-1-31,N/A,29.34,N/A,29.354,35.158,35.16,0.00779,3.939448,0.004079

unit.000128,Mapper-1-32,N/A,26.725,N/A,26.739,32.064,32.067,0.007271,3.935359,0.004167

unit.000129,Mapper-1-33,N/A,34.383,N/A,34.397,40.753,40.755,0.008837,3.950309,0.003847

unit.000130,Mapper-1-34,N/A,34.713,N/A,34.727,40.756,40.757,0.007305,3.799616,0.00371

unit.000131,Mapper-1-35,N/A,29.014,N/A,29.028,35.155,35.157,0.007406,3.909758,0.00378

unit.000132,Mapper-1-36,N/A,36.016,N/A,36.03,42.37,42.478,0.006291,3.988464,0.003814

