,Atoms,Cores,Framework,Approach,Type,Time
13,524,64.0,Spark,1,TotalTime,112.781636397
14,524,128.0,Spark,1,TotalTime,70.5284366608
15,524,256.0,Spark,1,TotalTime,50.2489579519
0,131,32.0,Spark,2,Overhead,2.00000707308
1,131,64.0,Spark,2,Overhead,1.95851794879
2,131,128.0,Spark,2,Overhead,1.94997390111
3,131,256.0,Spark,2,Overhead,1.93238671621
4,131,32.0,Spark,2,Edge Disc,16.4439412753
5,131,64.0,Spark,2,Edge Disc,12.6488740444
6,131,128.0,Spark,2,Edge Disc,11.3060563405
7,131,256.0,Spark,2,Edge Disc,12.7733576298
8,131,32.0,Spark,2,ConnComp,3.53656466802
9,131,64.0,Spark,2,ConnComp,3.51224859556
10,131,128.0,Spark,2,ConnComp,3.58073266347
11,131,256.0,Spark,2,ConnComp,3.46235028903
12,131,32.0,Spark,2,TotalTime,21.987618049
13,131,64.0,Spark,2,TotalTime,18.1275399526
14,131,128.0,Spark,2,TotalTime,16.8438420296
15,131,256.0,Spark,2,TotalTime,18.1753527323
0,262,32.0,Spark,2,Overhead,2.14768830935
1,262,64.0,Spark,2,Overhead,2.11935337385
2,262,128.0,Spark,2,Overhead,2.0718943278
3,262,256.0,Spark,2,Overhead,2.17328151067
4,262,32.0,Spark,2,Edge Disc,42.9230323633
5,262,64.0,Spark,2,Edge Disc,25.9396379789
6,262,128.0,Spark,2,Edge Disc,17.4194287459
7,262,256.0,Spark,2,Edge Disc,13.9637769858
8,262,32.0,Spark,2,ConnComp,7.81642460823
9,262,64.0,Spark,2,ConnComp,7.97156008085
10,262,128.0,Spark,2,ConnComp,7.43927899996
11,262,256.0,Spark,2,ConnComp,7.70589971542
12,262,32.0,Spark,2,TotalTime,52.8962590694
13,262,64.0,Spark,2,TotalTime,36.0397533576
14,262,128.0,Spark,2,TotalTime,26.9389733473
15,262,256.0,Spark,2,TotalTime,23.8618652026
0,524,32.0,Spark,2,Overhead,2.26554830869
1,524,64.0,Spark,2,Overhead,2.35212206841
2,524,128.0,Spark,2,Overhead,2.32325132688
3,524,256.0,Spark,2,Overhead,2.32060408592
4,524,32.0,Spark,2,Edge Disc,148.452414672
5,524,64.0,Spark,2,Edge Disc,79.2292466958
6,524,128.0,Spark,2,Edge Disc,44.6169447104
7,524,256.0,Spark,2,Edge Disc,29.7994557222
8,524,32.0,Spark,2,ConnComp,16.2997150421
9,524,64.0,Spark,2,ConnComp,15.6399820646
10,524,128.0,Spark,2,ConnComp,15.8336982727
11,524,256.0,Spark,2,ConnComp,16.1366242568
12,524,32.0,Spark,2,TotalTime,167.033357382
13,524,64.0,Spark,2,TotalTime,97.2327137788
14,524,128.0,Spark,2,TotalTime,62.7849153678
15,524,256.0,Spark,2,TotalTime,48.2682610353
0,131,32.0,Spark,3,Overhead,0.0237496693929
1,131,64.0,Spark,3,Overhead,0.00523392359416
2,131,128.0,Spark,3,Overhead,0.00528240203857
3,131,256.0,Spark,3,Overhead,0.00515023867289
4,131,32.0,Spark,3,Execution,38.0828060309
5,131,64.0,Spark,3,Execution,38.8444256783
6,131,128.0,Spark,3,Execution,39.8913428783
7,131,256.0,Spark,3,Execution,49.4400580724
8,131,32.0,Spark,3,Write,0.00761294364929
9,131,64.0,Spark,3,Write,0.0073664188385
10,131,128.0,Spark,3,Write,0.00747179985046
11,131,256.0,Spark,3,Write,0.00785048802694
12,131,32.0,Spark,3,TotalTime,38.114168644
13,131,64.0,Spark,3,TotalTime,38.8570260207
14,131,128.0,Spark,3,TotalTime,39.9040970802
15,131,256.0,Spark,3,TotalTime,49.4530587991
0,262,32.0,Spark,3,Overhead,0.032764673233
1,262,64.0,Spark,3,Overhead,0.00671569506327
2,262,128.0,Spark,3,Overhead,0.00655436515808
3,262,256.0,Spark,3,Overhead,0.00666793187459
4,262,32.0,Spark,3,Execution,62.7254513899
5,262,64.0,Spark,3,Execution,43.8419415951
6,262,128.0,Spark,3,Execution,44.9703703721
7,262,256.0,Spark,3,Execution,48.2247879505
8,262,32.0,Spark,3,Write,0.0116972923279
9,262,64.0,Spark,3,Write,0.0119650363922
10,262,128.0,Spark,3,Write,0.0136709213257
11,262,256.0,Spark,3,Write,0.0114507675171
12,262,32.0,Spark,3,TotalTime,62.7699133555
13,262,64.0,Spark,3,TotalTime,43.8606223265
14,262,128.0,Spark,3,TotalTime,44.9905956586
15,262,256.0,Spark,3,TotalTime,48.2429066499
0,524,32.0,Spark,3,Overhead,0.010752360026
1,524,64.0,Spark,3,Overhead,0.0106756687164
2,524,128.0,Spark,3,Overhead,0.0427560011546
3,524,256.0,Spark,3,Overhead,0.0422027111053
4,524,32.0,Spark,3,Execution,166.672751665
5,524,64.0,Spark,3,Execution,98.0218396982
6,524,128.0,Spark,3,Execution,63.5677237511
7,524,256.0,Spark,3,Execution,51.3081963062
8,524,32.0,Spark,3,Write,0.0366659959157
9,524,64.0,Spark,3,Write,0.0383173624674
10,524,128.0,Spark,3,Write,0.036882241567
11,524,256.0,Spark,3,Write,0.0377313296
12,524,32.0,Spark,3,TotalTime,166.720170021
13,524,64.0,Spark,3,TotalTime,98.0708327293
14,524,128.0,Spark,3,TotalTime,63.6473619938
15,524,256.0,Spark,3,TotalTime,51.3881303469
